Date,Open,High,Low,Close,Volume
29-Dec-17,2590.00,2590.00,2460.00,2460.00,311100
28-Dec-17,2510.00,2510.00,2500.00,2500.00,144900
27-Dec-17,2500.00,2540.00,2480.00,2500.00,106400
22-Dec-17,2520.00,2520.00,2490.00,2500.00,194800
21-Dec-17,2530.00,2580.00,2520.00,2520.00,132200
20-Dec-17,2570.00,2570.00,2550.00,2570.00,8500
19-Dec-17,2560.00,2640.00,2550.00,2570.00,306500
18-Dec-17,2620.00,2750.00,2600.00,2610.00,178200
15-Dec-17,2550.00,2600.00,2520.00,2600.00,27500
14-Dec-17,2550.00,2640.00,2550.00,2550.00,95400
13-Dec-17,2540.00,2820.00,2500.00,2550.00,126300
12-Dec-17,2600.00,2600.00,2520.00,2560.00,164100
11-Dec-17,2520.00,2650.00,2430.00,2650.00,453200
8-Dec-17,2650.00,2680.00,2520.00,2520.00,535700
7-Dec-17,2700.00,2700.00,2650.00,2650.00,46600
6-Dec-17,2790.00,2790.00,2600.00,2600.00,272600
5-Dec-17,2720.00,2800.00,2720.00,2800.00,35600
4-Dec-17,2800.00,2800.00,2800.00,2800.00,300
30-Nov-17,2800.00,2800.00,2780.00,2800.00,79300
29-Nov-17,2830.00,2830.00,2820.00,2820.00,21100
28-Nov-17,2900.00,2900.00,2820.00,2820.00,57000
27-Nov-17,2830.00,2830.00,2830.00,2830.00,1600
24-Nov-17,2850.00,2850.00,2830.00,2830.00,150000
23-Nov-17,2860.00,2860.00,2860.00,2860.00,20700
22-Nov-17,2890.00,2890.00,2890.00,2890.00,900
21-Nov-17,2900.00,2900.00,2890.00,2890.00,46500
20-Nov-17,2900.00,2900.00,2880.00,2890.00,96000
17-Nov-17,2900.00,2910.00,2870.00,2900.00,68400
16-Nov-17,2900.00,2910.00,2900.00,2900.00,96900
15-Nov-17,2950.00,2950.00,2910.00,2910.00,74200
14-Nov-17,2950.00,2970.00,2950.00,2950.00,177900
13-Nov-17,2950.00,2980.00,2950.00,2950.00,575700
10-Nov-17,2950.00,2960.00,2950.00,2950.00,967400
9-Nov-17,2960.00,2970.00,2950.00,2960.00,104900
8-Nov-17,2950.00,2960.00,2950.00,2960.00,161200
7-Nov-17,2940.00,2990.00,2940.00,2950.00,708900
6-Nov-17,2910.00,2940.00,2900.00,2940.00,513400
3-Nov-17,2920.00,2930.00,2900.00,2910.00,2596000
2-Nov-17,2940.00,2960.00,2920.00,2920.00,346200
1-Nov-17,2950.00,3000.00,2910.00,2940.00,1951300
31-Oct-17,3000.00,3000.00,2950.00,2950.00,785500
30-Oct-17,3030.00,3100.00,2980.00,2980.00,197600
27-Oct-17,2940.00,3000.00,2940.00,3000.00,217800
26-Oct-17,2940.00,2950.00,2900.00,2950.00,21700
25-Oct-17,2930.00,2940.00,2920.00,2940.00,149800
24-Oct-17,2900.00,2930.00,2900.00,2930.00,320700
23-Oct-17,2960.00,2960.00,2890.00,2930.00,106000
20-Oct-17,2890.00,2960.00,2890.00,2960.00,187900
19-Oct-17,2910.00,2910.00,2900.00,2900.00,26000
18-Oct-17,2910.00,2910.00,2910.00,2910.00,25500
17-Oct-17,2920.00,2950.00,2870.00,2950.00,77200
