Date,Open,High,Low,Close,Volume
29-Dec-17,880.00,885.00,880.00,885.00,9900
28-Dec-17,880.00,880.00,875.00,875.00,172700
27-Dec-17,915.00,915.00,880.00,880.00,61000
22-Dec-17,915.00,915.00,915.00,915.00,5100
21-Dec-17,900.00,930.00,900.00,920.00,12000
20-Dec-17,905.00,905.00,900.00,900.00,4700
19-Dec-17,910.00,910.00,900.00,905.00,13600
18-Dec-17,910.00,910.00,910.00,910.00,22300
15-Dec-17,935.00,935.00,930.00,935.00,8000
14-Dec-17,935.00,950.00,935.00,950.00,1200
13-Dec-17,935.00,940.00,935.00,935.00,4700
12-Dec-17,925.00,925.00,915.00,915.00,500
11-Dec-17,930.00,935.00,920.00,925.00,3500
8-Dec-17,-,-,-,940.00,0
7-Dec-17,-,-,-,940.00,0
6-Dec-17,940.00,940.00,940.00,940.00,14700
5-Dec-17,960.00,960.00,940.00,940.00,58400
4-Dec-17,960.00,965.00,960.00,960.00,10100
30-Nov-17,965.00,970.00,965.00,970.00,1400
29-Nov-17,965.00,995.00,965.00,965.00,1800
28-Nov-17,980.00,980.00,975.00,975.00,5500
27-Nov-17,975.00,1000.00,975.00,1000.00,14200
24-Nov-17,975.00,975.00,975.00,975.00,200
23-Nov-17,960.00,980.00,960.00,980.00,400
22-Nov-17,965.00,985.00,965.00,985.00,37000
21-Nov-17,965.00,965.00,965.00,965.00,3100
20-Nov-17,975.00,985.00,965.00,965.00,78300
17-Nov-17,960.00,975.00,960.00,975.00,11700
16-Nov-17,975.00,980.00,975.00,975.00,22400
15-Nov-17,970.00,970.00,960.00,960.00,900
14-Nov-17,980.00,985.00,970.00,970.00,7400
13-Nov-17,975.00,980.00,975.00,980.00,13300
10-Nov-17,975.00,975.00,975.00,975.00,8300
9-Nov-17,980.00,980.00,965.00,965.00,39900
8-Nov-17,980.00,980.00,960.00,960.00,20200
7-Nov-17,990.00,990.00,975.00,980.00,4600
6-Nov-17,1020.00,1020.00,950.00,960.00,204500
3-Nov-17,985.00,985.00,980.00,980.00,7500
2-Nov-17,990.00,1000.00,985.00,990.00,13100
1-Nov-17,1010.00,1010.00,985.00,1000.00,24300
31-Oct-17,1010.00,1010.00,1010.00,1010.00,500
