Date,Open,High,Low,Close,Volume
29-Dec-17,7225.00,7250.00,7125.00,7125.00,85600
28-Dec-17,7175.00,7250.00,7175.00,7225.00,281800
27-Dec-17,7150.00,7225.00,7125.00,7200.00,95300
22-Dec-17,7100.00,7125.00,7100.00,7100.00,235200
21-Dec-17,7100.00,7125.00,7075.00,7075.00,15100
20-Dec-17,7175.00,7175.00,7075.00,7075.00,24600
19-Dec-17,7100.00,7175.00,7075.00,7175.00,240400
18-Dec-17,7150.00,7150.00,7150.00,7150.00,31600
15-Dec-17,7175.00,7175.00,7000.00,7150.00,258900
14-Dec-17,7100.00,7175.00,7100.00,7175.00,100700
13-Dec-17,7125.00,7175.00,7100.00,7175.00,18500
12-Dec-17,7200.00,7200.00,7125.00,7175.00,241800
11-Dec-17,7200.00,7200.00,7175.00,7175.00,35900
8-Dec-17,7175.00,7225.00,7150.00,7225.00,253500
7-Dec-17,7125.00,7150.00,7100.00,7150.00,43800
6-Dec-17,7100.00,7200.00,7100.00,7150.00,34300
5-Dec-17,7175.00,7275.00,7075.00,7175.00,259900
4-Dec-17,7250.00,7350.00,7125.00,7275.00,52100
30-Nov-17,7100.00,7425.00,7100.00,7425.00,98900
29-Nov-17,7100.00,7125.00,7100.00,7100.00,378300
28-Nov-17,7125.00,7125.00,7100.00,7125.00,73500
27-Nov-17,7175.00,7175.00,7125.00,7125.00,69400
24-Nov-17,7200.00,7200.00,7150.00,7150.00,263600
23-Nov-17,7125.00,7200.00,7125.00,7175.00,18500
22-Nov-17,7200.00,7200.00,7125.00,7175.00,45800
21-Nov-17,7250.00,7250.00,7125.00,7150.00,266300
20-Nov-17,7250.00,7300.00,7200.00,7250.00,84000
17-Nov-17,7025.00,7200.00,7025.00,7200.00,94600
16-Nov-17,7075.00,7100.00,7025.00,7075.00,72400
15-Nov-17,7075.00,7075.00,7050.00,7050.00,70200
14-Nov-17,7075.00,7075.00,7025.00,7050.00,20900
13-Nov-17,7100.00,7125.00,7075.00,7075.00,212600
10-Nov-17,7100.00,7100.00,7075.00,7075.00,8300
9-Nov-17,7075.00,7100.00,7075.00,7100.00,125300
8-Nov-17,7075.00,7075.00,7075.00,7075.00,65700
7-Nov-17,7125.00,7125.00,7050.00,7075.00,41100
6-Nov-17,7100.00,7100.00,7075.00,7075.00,28100
3-Nov-17,7100.00,7125.00,7075.00,7100.00,125700
2-Nov-17,7075.00,7100.00,7050.00,7100.00,25500
1-Nov-17,7050.00,7100.00,7050.00,7075.00,41700
31-Oct-17,7050.00,7125.00,7025.00,7075.00,78300
30-Oct-17,7025.00,7100.00,6950.00,6975.00,168400
27-Oct-17,7050.00,7150.00,7000.00,7000.00,106300
26-Oct-17,7125.00,7150.00,7025.00,7100.00,110600
25-Oct-17,7100.00,7100.00,7025.00,7075.00,123000
24-Oct-17,7000.00,7100.00,7000.00,7100.00,90500
23-Oct-17,7050.00,7075.00,7025.00,7075.00,116100
20-Oct-17,7075.00,7075.00,7025.00,7050.00,92500
19-Oct-17,7025.00,7200.00,7025.00,7125.00,56500
18-Oct-17,7025.00,7075.00,7000.00,7075.00,106400
17-Oct-17,7000.00,7150.00,6975.00,7150.00,196500
16-Oct-17,7050.00,7100.00,6925.00,7100.00,35100
13-Oct-17,7000.00,7100.00,6950.00,7100.00,69600
12-Oct-17,7000.00,7000.00,6950.00,7000.00,95100
11-Oct-17,6925.00,6950.00,6900.00,6925.00,30800
10-Oct-17,6950.00,6950.00,6925.00,6925.00,18400
9-Oct-17,6950.00,6950.00,6925.00,6950.00,128900
6-Oct-17,6950.00,7025.00,6950.00,6975.00,17900
5-Oct-17,6925.00,7000.00,6925.00,6950.00,109000
4-Oct-17,6950.00,6950.00,6900.00,6925.00,215400
3-Oct-17,6950.00,6950.00,6875.00,6900.00,40600
2-Oct-17,7050.00,7050.00,6900.00,6950.00,31200
29-Sep-17,6875.00,7250.00,6800.00,7250.00,222700
28-Sep-17,6850.00,6900.00,6725.00,6900.00,19700
27-Sep-17,6900.00,6900.00,6875.00,6900.00,294900
26-Sep-17,6900.00,6975.00,6875.00,6975.00,27600
25-Sep-17,6950.00,6975.00,6875.00,6975.00,357600
22-Sep-17,7000.00,7000.00,6950.00,7000.00,17700
20-Sep-17,6950.00,6975.00,6900.00,6975.00,35000
19-Sep-17,6950.00,7100.00,6900.00,7025.00,285000
18-Sep-17,7000.00,7100.00,6900.00,7075.00,5600
15-Sep-17,7050.00,7125.00,6900.00,7000.00,7900
14-Sep-17,7000.00,7100.00,6900.00,7050.00,45100
13-Sep-17,7150.00,7175.00,6950.00,7100.00,96100
12-Sep-17,7150.00,7250.00,7100.00,7175.00,36100
11-Sep-17,6900.00,7150.00,6900.00,7150.00,379500
8-Sep-17,6775.00,7100.00,6775.00,6900.00,115500
7-Sep-17,6775.00,6800.00,6775.00,6775.00,35200
6-Sep-17,6750.00,6850.00,6750.00,6775.00,277100
5-Sep-17,6750.00,6800.00,6700.00,6775.00,104700
4-Sep-17,6800.00,6800.00,6800.00,6800.00,31600
31-Aug-17,6800.00,6825.00,6800.00,6800.00,24000
30-Aug-17,6825.00,6825.00,6800.00,6825.00,57000
29-Aug-17,6800.00,6850.00,6800.00,6850.00,55900
28-Aug-17,6875.00,6875.00,6800.00,6850.00,329200
25-Aug-17,6825.00,7000.00,6825.00,6875.00,157800
24-Aug-17,6850.00,6850.00,6825.00,6850.00,76400
23-Aug-17,6825.00,6850.00,6825.00,6825.00,239800
22-Aug-17,6825.00,6825.00,6825.00,6825.00,32800
21-Aug-17,6800.00,6825.00,6800.00,6825.00,153400
18-Aug-17,6825.00,6825.00,6800.00,6825.00,208700
16-Aug-17,6800.00,6850.00,6800.00,6800.00,88300
15-Aug-17,6800.00,6850.00,6775.00,6850.00,119100
14-Aug-17,6825.00,6825.00,6800.00,6800.00,135100
11-Aug-17,6900.00,6900.00,6800.00,6800.00,181400
10-Aug-17,6825.00,6900.00,6800.00,6900.00,59800
9-Aug-17,6750.00,6825.00,6625.00,6825.00,229100
8-Aug-17,6800.00,6850.00,6700.00,6825.00,134100
7-Aug-17,6825.00,6850.00,6825.00,6850.00,10500
4-Aug-17,6800.00,6850.00,6800.00,6825.00,22100
3-Aug-17,6850.00,6875.00,6725.00,6875.00,82900
2-Aug-17,6750.00,6875.00,6700.00,6875.00,85100
1-Aug-17,6750.00,6825.00,6700.00,6750.00,217500
31-Jul-17,6800.00,6800.00,6700.00,6800.00,90300
28-Jul-17,6800.00,6850.00,6800.00,6800.00,173400
27-Jul-17,6625.00,6800.00,6625.00,6800.00,399500
26-Jul-17,6600.00,6725.00,6600.00,6625.00,193500
25-Jul-17,6600.00,6675.00,6525.00,6600.00,68100
24-Jul-17,6675.00,6675.00,6575.00,6675.00,237900
21-Jul-17,6600.00,6675.00,6525.00,6675.00,157400
20-Jul-17,6600.00,6700.00,6600.00,6675.00,72200
19-Jul-17,6700.00,6700.00,6600.00,6675.00,35700
18-Jul-17,6600.00,6700.00,6525.00,6700.00,31900
17-Jul-17,6625.00,6700.00,6600.00,6700.00,45500
14-Jul-17,6600.00,6700.00,6600.00,6700.00,28700
13-Jul-17,6625.00,6675.00,6600.00,6675.00,13300
12-Jul-17,6600.00,6650.00,6600.00,6650.00,49100
11-Jul-17,6600.00,6650.00,6600.00,6625.00,262000
10-Jul-17,6650.00,6650.00,6600.00,6600.00,61800
7-Jul-17,6650.00,6650.00,6625.00,6650.00,116400
6-Jul-17,6625.00,6650.00,6600.00,6650.00,208500
5-Jul-17,6600.00,6650.00,6600.00,6650.00,63900
4-Jul-17,6625.00,6650.00,6600.00,6625.00,191900
3-Jul-17,6775.00,6775.00,6450.00,6625.00,272000
22-Jun-17,6375.00,6800.00,6350.00,6800.00,141500
21-Jun-17,6300.00,6375.00,6275.00,6375.00,51000
20-Jun-17,6300.00,6400.00,6275.00,6375.00,237700
19-Jun-17,6375.00,6400.00,6275.00,6350.00,32500
16-Jun-17,6450.00,6500.00,6350.00,6375.00,47200
15-Jun-17,6250.00,6475.00,6250.00,6375.00,258300
14-Jun-17,6325.00,6325.00,6250.00,6300.00,15100
13-Jun-17,6250.00,6275.00,6200.00,6200.00,52400
12-Jun-17,6200.00,6275.00,6175.00,6250.00,314100
9-Jun-17,6275.00,6275.00,6225.00,6250.00,5200
8-Jun-17,6250.00,6300.00,6200.00,6300.00,79300
7-Jun-17,6175.00,6325.00,6175.00,6275.00,301700
6-Jun-17,6300.00,6350.00,6275.00,6275.00,10100
5-Jun-17,6350.00,6350.00,6300.00,6300.00,74200
2-Jun-17,6350.00,6350.00,6300.00,6325.00,275800
31-May-17,6300.00,6400.00,6300.00,6375.00,92600
30-May-17,6375.00,6400.00,6250.00,6300.00,146600
29-May-17,6450.00,6475.00,6350.00,6450.00,372900
26-May-17,6475.00,6550.00,6200.00,6550.00,312300
24-May-17,6900.00,6925.00,6850.00,6925.00,844100
