Date,Open,High,Low,Close,Volume
29-Dec-17,260.00,260.00,248.00,248.00,800
28-Dec-17,248.00,248.00,248.00,248.00,59500
27-Dec-17,240.00,248.00,240.00,248.00,361100
22-Dec-17,250.00,250.00,240.00,248.00,2300
21-Dec-17,240.00,246.00,238.00,240.00,214500
20-Dec-17,-,-,-,238.00,0
19-Dec-17,238.00,238.00,238.00,238.00,3000
18-Dec-17,-,-,-,238.00,0
15-Dec-17,-,-,-,238.00,0
14-Dec-17,238.00,240.00,238.00,238.00,1200
13-Dec-17,238.00,250.00,238.00,240.00,220500
12-Dec-17,238.00,240.00,238.00,238.00,212600
11-Dec-17,240.00,244.00,240.00,240.00,29600
8-Dec-17,240.00,240.00,238.00,238.00,35000
7-Dec-17,238.00,240.00,238.00,240.00,262100
6-Dec-17,238.00,238.00,238.00,238.00,5300
5-Dec-17,238.00,238.00,238.00,238.00,53400
4-Dec-17,240.00,240.00,236.00,240.00,138100
30-Nov-17,236.00,240.00,236.00,240.00,31300
29-Nov-17,234.00,236.00,234.00,236.00,23300
28-Nov-17,236.00,236.00,236.00,236.00,38000
27-Nov-17,240.00,246.00,234.00,236.00,85700
24-Nov-17,226.00,270.00,226.00,242.00,244400
23-Nov-17,228.00,240.00,204.00,222.00,231100
22-Nov-17,195.00,228.00,195.00,226.00,280400
21-Nov-17,145.00,199.00,145.00,195.00,326900
20-Nov-17,148.00,148.00,148.00,148.00,100
17-Nov-17,145.00,145.00,135.00,137.00,16100
16-Nov-17,135.00,152.00,135.00,152.00,8700
15-Nov-17,143.00,143.00,143.00,143.00,200
14-Nov-17,-,-,-,143.00,0
13-Nov-17,143.00,153.00,143.00,143.00,600
10-Nov-17,149.00,149.00,143.00,143.00,600
9-Nov-17,128.00,135.00,128.00,135.00,500
8-Nov-17,135.00,137.00,128.00,128.00,35600
7-Nov-17,134.00,136.00,132.00,134.00,16300
6-Nov-17,143.00,170.00,134.00,135.00,93700
3-Nov-17,124.00,131.00,124.00,129.00,50800
2-Nov-17,123.00,124.00,123.00,124.00,1800
1-Nov-17,127.00,127.00,125.00,125.00,2800
31-Oct-17,122.00,140.00,122.00,127.00,25100
30-Oct-17,140.00,140.00,101.00,121.00,176400
27-Oct-17,155.00,169.00,136.00,136.00,60200
26-Oct-17,159.00,159.00,159.00,159.00,500
25-Oct-17,130.00,170.00,130.00,160.00,10500
24-Oct-17,144.00,161.00,133.00,133.00,8500
23-Oct-17,-,-,-,144.00,0
20-Oct-17,146.00,146.00,137.00,144.00,300
19-Oct-17,137.00,138.00,137.00,137.00,1500
18-Oct-17,136.00,172.00,133.00,134.00,40200
17-Oct-17,136.00,136.00,136.00,136.00,900
16-Oct-17,105.00,156.00,105.00,138.00,3100
13-Oct-17,162.00,162.00,87.00,130.00,13800
12-Oct-17,-,-,-,128.00,0
11-Oct-17,134.00,134.00,128.00,128.00,1300
10-Oct-17,129.00,140.00,129.00,134.00,2000
9-Oct-17,135.00,135.00,135.00,135.00,300
6-Oct-17,136.00,136.00,135.00,135.00,300
5-Oct-17,-,-,-,136.00,0
4-Oct-17,135.00,178.00,135.00,136.00,4800
3-Oct-17,135.00,135.00,135.00,135.00,300
2-Oct-17,137.00,137.00,134.00,134.00,400
29-Sep-17,137.00,137.00,137.00,137.00,400
28-Sep-17,130.00,130.00,130.00,130.00,5900
27-Sep-17,139.00,139.00,130.00,130.00,1200
26-Sep-17,140.00,140.00,140.00,140.00,100
25-Sep-17,149.00,149.00,140.00,140.00,18500
22-Sep-17,149.00,149.00,149.00,149.00,15000
20-Sep-17,170.00,170.00,135.00,149.00,6200
19-Sep-17,139.00,179.00,139.00,151.00,8000
18-Sep-17,-,-,-,139.00,0
15-Sep-17,-,-,-,139.00,0
14-Sep-17,-,-,-,139.00,0
13-Sep-17,139.00,139.00,139.00,139.00,20000
12-Sep-17,145.00,148.00,139.00,139.00,4900
11-Sep-17,-,-,-,139.00,0
8-Sep-17,-,-,-,139.00,0
7-Sep-17,139.00,139.00,139.00,139.00,100
6-Sep-17,-,-,-,139.00,0
5-Sep-17,140.00,140.00,139.00,139.00,6500
4-Sep-17,142.00,157.00,140.00,140.00,4800
31-Aug-17,143.00,143.00,130.00,143.00,11700
30-Aug-17,146.00,150.00,140.00,140.00,2800
29-Aug-17,143.00,151.00,140.00,140.00,8500
28-Aug-17,152.00,152.00,140.00,143.00,55200
25-Aug-17,151.00,158.00,151.00,158.00,200
24-Aug-17,161.00,161.00,151.00,160.00,25100
23-Aug-17,159.00,159.00,159.00,159.00,100
22-Aug-17,160.00,160.00,160.00,160.00,10600
21-Aug-17,160.00,160.00,160.00,160.00,100
18-Aug-17,160.00,160.00,160.00,160.00,100
16-Aug-17,165.00,169.00,165.00,165.00,36300
15-Aug-17,169.00,169.00,165.00,165.00,15800
14-Aug-17,192.00,192.00,172.00,172.00,48500
11-Aug-17,152.00,152.00,152.00,152.00,200
10-Aug-17,152.00,152.00,152.00,152.00,500
9-Aug-17,150.00,175.00,150.00,152.00,3600
8-Aug-17,158.00,158.00,149.00,149.00,300
7-Aug-17,165.00,165.00,138.00,155.00,1400
4-Aug-17,-,-,-,150.00,0
3-Aug-17,157.00,160.00,150.00,150.00,900
2-Aug-17,149.00,155.00,148.00,155.00,900
1-Aug-17,150.00,158.00,150.00,158.00,300
31-Jul-17,159.00,160.00,150.00,157.00,600
