Date,Open,High,Low,Close,Volume
29-Dec-17,52.00,58.00,52.00,54.00,9934700
28-Dec-17,52.00,55.00,52.00,54.00,1586400
27-Dec-17,56.00,56.00,52.00,55.00,3966300
22-Dec-17,52.00,58.00,52.00,55.00,9770800
21-Dec-17,53.00,53.00,52.00,53.00,2001700
20-Dec-17,53.00,53.00,52.00,53.00,1107000
19-Dec-17,53.00,54.00,51.00,52.00,4731000
18-Dec-17,54.00,54.00,53.00,53.00,635900
15-Dec-17,53.00,54.00,52.00,53.00,967600
14-Dec-17,57.00,57.00,53.00,53.00,3250000
13-Dec-17,57.00,57.00,53.00,54.00,2562100
12-Dec-17,57.00,57.00,54.00,54.00,1078000
11-Dec-17,58.00,60.00,54.00,54.00,7017000
8-Dec-17,53.00,61.00,52.00,58.00,17609800
7-Dec-17,52.00,54.00,51.00,52.00,1411700
6-Dec-17,52.00,53.00,51.00,52.00,3716200
5-Dec-17,52.00,53.00,51.00,52.00,4201000
4-Dec-17,53.00,54.00,51.00,52.00,5790000
30-Nov-17,54.00,54.00,52.00,53.00,2484500
29-Nov-17,55.00,55.00,53.00,53.00,1734600
28-Nov-17,55.00,56.00,53.00,54.00,3500800
27-Nov-17,57.00,58.00,54.00,55.00,4219000
24-Nov-17,57.00,59.00,56.00,56.00,2863900
23-Nov-17,58.00,59.00,57.00,57.00,2576100
22-Nov-17,58.00,60.00,57.00,57.00,3455900
21-Nov-17,60.00,61.00,58.00,58.00,3490900
20-Nov-17,57.00,63.00,57.00,60.00,9748700
17-Nov-17,57.00,60.00,57.00,57.00,4503000
16-Nov-17,59.00,60.00,57.00,57.00,5394600
15-Nov-17,61.00,61.00,58.00,59.00,3335600
14-Nov-17,61.00,63.00,59.00,61.00,14723400
13-Nov-17,62.00,66.00,60.00,63.00,12023500
10-Nov-17,59.00,63.00,58.00,60.00,7145600
9-Nov-17,65.00,67.00,62.00,63.00,9471800
8-Nov-17,66.00,68.00,62.00,62.00,13624900
7-Nov-17,65.00,69.00,65.00,66.00,11900700
6-Nov-17,67.00,68.00,65.00,66.00,4603500
3-Nov-17,66.00,68.00,65.00,67.00,3975800
2-Nov-17,68.00,71.00,66.00,66.00,9773000
1-Nov-17,68.00,74.00,68.00,68.00,13331500
31-Oct-17,64.00,78.00,63.00,73.00,76425600
30-Oct-17,69.00,69.00,61.00,65.00,7808800
27-Oct-17,70.00,70.00,65.00,67.00,10821600
26-Oct-17,72.00,73.00,67.00,70.00,25591300
25-Oct-17,71.00,79.00,70.00,72.00,71374500
24-Oct-17,63.00,79.00,62.00,71.00,153747800
23-Oct-17,52.00,68.00,51.00,62.00,140986400
20-Oct-17,51.00,52.00,50.00,51.00,2118300
19-Oct-17,50.00,52.00,50.00,51.00,810700
18-Oct-17,51.00,52.00,50.00,51.00,2414800
17-Oct-17,51.00,52.00,50.00,51.00,742200
16-Oct-17,52.00,52.00,50.00,51.00,1861000
13-Oct-17,51.00,52.00,51.00,51.00,1669100
12-Oct-17,52.00,52.00,51.00,51.00,1632300
11-Oct-17,51.00,52.00,50.00,52.00,1513400
10-Oct-17,51.00,52.00,51.00,52.00,604400
9-Oct-17,51.00,52.00,50.00,51.00,1362000
6-Oct-17,52.00,52.00,51.00,51.00,4011300
5-Oct-17,51.00,53.00,51.00,52.00,4396000
4-Oct-17,51.00,53.00,51.00,51.00,3518000
3-Oct-17,52.00,52.00,51.00,51.00,2457500
2-Oct-17,52.00,53.00,51.00,52.00,1535700
29-Sep-17,52.00,56.00,51.00,52.00,7179000
28-Sep-17,52.00,52.00,51.00,51.00,2535400
27-Sep-17,52.00,52.00,51.00,52.00,4568800
26-Sep-17,54.00,54.00,51.00,52.00,4101900
25-Sep-17,54.00,55.00,53.00,54.00,2481500
22-Sep-17,56.00,56.00,53.00,54.00,11396000
20-Sep-17,51.00,59.00,50.00,55.00,37244700
19-Sep-17,51.00,52.00,50.00,50.00,2586400
18-Sep-17,52.00,52.00,50.00,51.00,1739500
15-Sep-17,51.00,52.00,50.00,51.00,1664500
14-Sep-17,51.00,52.00,50.00,51.00,2404800
13-Sep-17,52.00,52.00,50.00,51.00,7524500
12-Sep-17,52.00,53.00,51.00,52.00,1731100
11-Sep-17,53.00,53.00,52.00,52.00,1582200
8-Sep-17,53.00,53.00,52.00,52.00,1967300
7-Sep-17,53.00,54.00,52.00,53.00,4380000
6-Sep-17,51.00,54.00,51.00,53.00,3457200
5-Sep-17,53.00,53.00,51.00,51.00,5950500
4-Sep-17,53.00,54.00,52.00,53.00,4314500
31-Aug-17,54.00,54.00,52.00,53.00,5000000
30-Aug-17,55.00,55.00,53.00,53.00,2900400
29-Aug-17,55.00,56.00,54.00,54.00,4583400
