Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,725.00,0
28-Dec-17,-,-,-,725.00,0
27-Dec-17,-,-,-,725.00,0
22-Dec-17,-,-,-,725.00,0
21-Dec-17,-,-,-,725.00,0
20-Dec-17,-,-,-,725.00,0
19-Dec-17,-,-,-,725.00,0
18-Dec-17,-,-,-,725.00,0
15-Dec-17,665.00,725.00,665.00,725.00,200
14-Dec-17,-,-,-,720.00,0
13-Dec-17,720.00,720.00,720.00,720.00,100
12-Dec-17,700.00,725.00,645.00,645.00,1900
11-Dec-17,620.00,620.00,620.00,620.00,100
8-Dec-17,615.00,615.00,615.00,615.00,100
7-Dec-17,-,-,-,745.00,0
6-Dec-17,-,-,-,745.00,0
5-Dec-17,-,-,-,745.00,0
4-Dec-17,-,-,-,745.00,0
30-Nov-17,-,-,-,745.00,0
29-Nov-17,745.00,745.00,745.00,745.00,2300
28-Nov-17,-,-,-,750.00,0
27-Nov-17,700.00,750.00,700.00,750.00,1300
24-Nov-17,745.00,745.00,745.00,745.00,100
23-Nov-17,650.00,735.00,650.00,735.00,4500
22-Nov-17,700.00,700.00,700.00,700.00,1300
21-Nov-17,700.00,700.00,700.00,700.00,300
20-Nov-17,700.00,700.00,700.00,700.00,100
17-Nov-17,750.00,750.00,750.00,750.00,200
16-Nov-17,-,-,-,790.00,0
15-Nov-17,790.00,790.00,790.00,790.00,100
14-Nov-17,-,-,-,790.00,0
13-Nov-17,-,-,-,790.00,0
10-Nov-17,-,-,-,790.00,0
9-Nov-17,-,-,-,790.00,0
8-Nov-17,795.00,795.00,790.00,790.00,300
7-Nov-17,-,-,-,795.00,0
6-Nov-17,785.00,795.00,745.00,795.00,3400
3-Nov-17,675.00,790.00,660.00,745.00,5800
2-Nov-17,870.00,870.00,870.00,870.00,100
1-Nov-17,870.00,870.00,870.00,870.00,100
31-Oct-17,850.00,850.00,850.00,850.00,900
30-Oct-17,870.00,870.00,870.00,870.00,100
27-Oct-17,750.00,820.00,750.00,820.00,400
26-Oct-17,760.00,760.00,750.00,750.00,8700
25-Oct-17,-,-,-,830.00,0
24-Oct-17,-,-,-,830.00,0
23-Oct-17,830.00,830.00,830.00,830.00,200
20-Oct-17,-,-,-,840.00,0
19-Oct-17,860.00,860.00,840.00,840.00,400
18-Oct-17,-,-,-,870.00,0
17-Oct-17,870.00,870.00,870.00,870.00,100
16-Oct-17,760.00,800.00,760.00,800.00,200
13-Oct-17,-,-,-,760.00,0
12-Oct-17,-,-,-,760.00,0
11-Oct-17,-,-,-,760.00,0
10-Oct-17,760.00,760.00,760.00,760.00,100
9-Oct-17,770.00,780.00,770.00,780.00,700
6-Oct-17,700.00,760.00,700.00,760.00,200
5-Oct-17,-,-,-,915.00,0
4-Oct-17,-,-,-,915.00,0
3-Oct-17,-,-,-,915.00,0
2-Oct-17,-,-,-,915.00,0
29-Sep-17,-,-,-,915.00,0
28-Sep-17,-,-,-,915.00,0
27-Sep-17,-,-,-,915.00,0
26-Sep-17,-,-,-,915.00,0
25-Sep-17,-,-,-,915.00,0
22-Sep-17,-,-,-,915.00,0
20-Sep-17,-,-,-,915.00,0
19-Sep-17,-,-,-,915.00,0
18-Sep-17,-,-,-,915.00,0
15-Sep-17,-,-,-,915.00,0
14-Sep-17,-,-,-,915.00,0
13-Sep-17,-,-,-,915.00,0
12-Sep-17,-,-,-,915.00,0
11-Sep-17,915.00,915.00,915.00,915.00,100
8-Sep-17,-,-,-,930.00,0
7-Sep-17,-,-,-,930.00,0
6-Sep-17,-,-,-,930.00,0
5-Sep-17,-,-,-,930.00,0
4-Sep-17,-,-,-,930.00,0
31-Aug-17,-,-,-,930.00,0
30-Aug-17,-,-,-,930.00,0
29-Aug-17,-,-,-,930.00,0
28-Aug-17,720.00,930.00,720.00,930.00,400
25-Aug-17,-,-,-,945.00,0
24-Aug-17,-,-,-,945.00,0
23-Aug-17,-,-,-,945.00,0
22-Aug-17,945.00,945.00,945.00,945.00,100
21-Aug-17,-,-,-,950.00,0
18-Aug-17,-,-,-,950.00,0
16-Aug-17,-,-,-,950.00,0
15-Aug-17,-,-,-,950.00,0
14-Aug-17,950.00,950.00,950.00,950.00,100
11-Aug-17,-,-,-,905.00,0
10-Aug-17,-,-,-,905.00,0
9-Aug-17,-,-,-,905.00,0
8-Aug-17,-,-,-,905.00,0
7-Aug-17,900.00,905.00,850.00,905.00,1700
4-Aug-17,930.00,930.00,930.00,930.00,100
3-Aug-17,930.00,930.00,930.00,930.00,100
2-Aug-17,950.00,950.00,950.00,950.00,300
1-Aug-17,800.00,935.00,720.00,900.00,11800
31-Jul-17,805.00,805.00,800.00,800.00,2400
28-Jul-17,780.00,780.00,780.00,780.00,200
27-Jul-17,930.00,930.00,775.00,775.00,2600
26-Jul-17,950.00,950.00,900.00,900.00,10900
25-Jul-17,900.00,900.00,900.00,900.00,100
24-Jul-17,-,-,-,950.00,0
21-Jul-17,-,-,-,950.00,0
20-Jul-17,950.00,950.00,950.00,950.00,200
19-Jul-17,-,-,-,960.00,0
18-Jul-17,960.00,960.00,960.00,960.00,100
17-Jul-17,-,-,-,1000.00,0
14-Jul-17,-,-,-,1000.00,0
13-Jul-17,1000.00,1000.00,1000.00,1000.00,100
12-Jul-17,-,-,-,900.00,0
11-Jul-17,900.00,900.00,900.00,900.00,100
10-Jul-17,-,-,-,880.00,0
7-Jul-17,680.00,900.00,680.00,880.00,22600
6-Jul-17,-,-,-,900.00,0
5-Jul-17,-,-,-,900.00,0
4-Jul-17,-,-,-,900.00,0
3-Jul-17,-,-,-,900.00,0
22-Jun-17,900.00,900.00,900.00,900.00,4500
21-Jun-17,-,-,-,900.00,0
20-Jun-17,-,-,-,900.00,0
19-Jun-17,-,-,-,900.00,0
16-Jun-17,-,-,-,900.00,0
15-Jun-17,-,-,-,900.00,0
14-Jun-17,-,-,-,900.00,0
13-Jun-17,-,-,-,900.00,0
12-Jun-17,900.00,900.00,900.00,900.00,100
9-Jun-17,-,-,-,900.00,0
8-Jun-17,900.00,900.00,900.00,900.00,100
7-Jun-17,-,-,-,900.00,0
6-Jun-17,-,-,-,900.00,0
5-Jun-17,-,-,-,900.00,0
2-Jun-17,-,-,-,900.00,0
31-May-17,-,-,-,900.00,0
30-May-17,-,-,-,900.00,0
29-May-17,-,-,-,900.00,0
26-May-17,-,-,-,900.00,0
24-May-17,-,-,-,900.00,0
23-May-17,-,-,-,900.00,0
22-May-17,-,-,-,900.00,0
19-May-17,-,-,-,900.00,0
18-May-17,-,-,-,900.00,0
17-May-17,830.00,900.00,830.00,900.00,1900
16-May-17,830.00,830.00,830.00,830.00,100
15-May-17,830.00,830.00,830.00,830.00,100
12-May-17,880.00,880.00,880.00,880.00,100
10-May-17,-,-,-,900.00,0
9-May-17,-,-,-,900.00,0
8-May-17,-,-,-,900.00,0
5-May-17,900.00,900.00,900.00,900.00,100
4-May-17,-,-,-,900.00,0
3-May-17,-,-,-,900.00,0
2-May-17,-,-,-,900.00,0
28-Apr-17,-,-,-,900.00,0
27-Apr-17,-,-,-,900.00,0
26-Apr-17,-,-,-,900.00,0
25-Apr-17,-,-,-,900.00,0
21-Apr-17,-,-,-,900.00,0
20-Apr-17,995.00,995.00,800.00,900.00,2500
18-Apr-17,800.00,800.00,800.00,800.00,1400
17-Apr-17,800.00,800.00,800.00,800.00,1500
13-Apr-17,950.00,950.00,940.00,940.00,300
12-Apr-17,-,-,-,1030.00,0
11-Apr-17,1030.00,1030.00,1030.00,1030.00,100
10-Apr-17,1030.00,1030.00,1030.00,1030.00,100
7-Apr-17,-,-,-,920.00,0
6-Apr-17,-,-,-,920.00,0
5-Apr-17,-,-,-,920.00,0
4-Apr-17,870.00,1080.00,870.00,920.00,2600
3-Apr-17,-,-,-,870.00,0
31-Mar-17,-,-,-,870.00,0
30-Mar-17,870.00,870.00,870.00,870.00,400
29-Mar-17,-,-,-,870.00,0
27-Mar-17,-,-,-,870.00,0
24-Mar-17,-,-,-,870.00,0
