Date,Open,High,Low,Close,Volume
29-Dec-17,6450.00,6450.00,6350.00,6350.00,3515200
28-Dec-17,6425.00,6425.00,6275.00,6425.00,4181400
27-Dec-17,6350.00,6475.00,6325.00,6450.00,4884700
22-Dec-17,6300.00,6375.00,6200.00,6350.00,5374100
21-Dec-17,6100.00,6275.00,6075.00,6225.00,5696200
20-Dec-17,6050.00,6100.00,5925.00,6050.00,6075700
19-Dec-17,6100.00,6125.00,6025.00,6050.00,4959900
18-Dec-17,6225.00,6225.00,6075.00,6100.00,4055300
15-Dec-17,6325.00,6325.00,6175.00,6300.00,5823900
14-Dec-17,6300.00,6350.00,6200.00,6350.00,4483900
13-Dec-17,6150.00,6275.00,6100.00,6275.00,4050300
12-Dec-17,6125.00,6200.00,6075.00,6100.00,5551000
11-Dec-17,6225.00,6325.00,5975.00,6075.00,7305000
8-Dec-17,6275.00,6275.00,6200.00,6225.00,4429800
7-Dec-17,6175.00,6300.00,6175.00,6175.00,4938900
6-Dec-17,6150.00,6175.00,6075.00,6100.00,4766900
5-Dec-17,6425.00,6425.00,6150.00,6150.00,4896900
4-Dec-17,6400.00,6475.00,6275.00,6425.00,6461200
30-Nov-17,6425.00,6475.00,6325.00,6350.00,8309300
29-Nov-17,6475.00,6475.00,6350.00,6425.00,4205000
28-Nov-17,6600.00,6600.00,6325.00,6400.00,7551800
27-Nov-17,6700.00,6700.00,6575.00,6600.00,4721600
24-Nov-17,6825.00,6900.00,6625.00,6700.00,5276600
23-Nov-17,6675.00,6825.00,6650.00,6800.00,5350700
22-Nov-17,6700.00,6775.00,6600.00,6625.00,4434100
21-Nov-17,6750.00,6900.00,6650.00,6725.00,4739700
20-Nov-17,6975.00,7000.00,6675.00,6675.00,6823000
17-Nov-17,7075.00,7100.00,6900.00,6925.00,4171100
16-Nov-17,6950.00,7225.00,6950.00,7025.00,5327100
15-Nov-17,7175.00,7250.00,6925.00,6925.00,4505700
14-Nov-17,7250.00,7375.00,7175.00,7175.00,3184000
13-Nov-17,7375.00,7375.00,7250.00,7250.00,3957800
10-Nov-17,7375.00,7375.00,7300.00,7300.00,2518600
9-Nov-17,7425.00,7525.00,7300.00,7325.00,4532000
8-Nov-17,7500.00,7625.00,7400.00,7500.00,4185000
7-Nov-17,7650.00,7700.00,7425.00,7600.00,3984500
6-Nov-17,7500.00,7650.00,7500.00,7650.00,4202700
3-Nov-17,7600.00,7625.00,7325.00,7575.00,4608600
2-Nov-17,7300.00,7600.00,7300.00,7575.00,5481500
1-Nov-17,7400.00,7525.00,7225.00,7275.00,6499800
31-Oct-17,7400.00,7500.00,7300.00,7450.00,4875900
30-Oct-17,7600.00,7900.00,7250.00,7250.00,6823000
27-Oct-17,8025.00,8025.00,7500.00,7600.00,6067900
26-Oct-17,7900.00,8025.00,7850.00,7925.00,7052400
25-Oct-17,7725.00,8000.00,7675.00,7900.00,4278900
24-Oct-17,7425.00,7675.00,7425.00,7675.00,4207300
23-Oct-17,7450.00,7500.00,7350.00,7450.00,4545800
20-Oct-17,7300.00,7500.00,7225.00,7500.00,5033700
19-Oct-17,7250.00,7375.00,7175.00,7350.00,5533700
18-Oct-17,7075.00,7225.00,6950.00,7175.00,5134000
17-Oct-17,7050.00,7125.00,6975.00,7050.00,5687500
16-Oct-17,7250.00,7250.00,7025.00,7050.00,5147900
12-Oct-17,7100.00,7350.00,7100.00,7275.00,5579700
11-Oct-17,7100.00,7250.00,7050.00,7250.00,2839300
10-Oct-17,7150.00,7225.00,7000.00,7050.00,6770800
9-Oct-17,6925.00,7150.00,6850.00,7150.00,4810600
6-Oct-17,6975.00,6975.00,6875.00,6900.00,4549100
5-Oct-17,7075.00,7200.00,6925.00,7000.00,5222600
4-Oct-17,7200.00,7200.00,7100.00,7175.00,4165000
3-Oct-17,7250.00,7250.00,7150.00,7200.00,7371400
2-Oct-17,7150.00,7225.00,7100.00,7150.00,5845300
29-Sep-17,7100.00,7150.00,7025.00,7100.00,6570800
28-Sep-17,7100.00,7175.00,6900.00,7000.00,7719100
27-Sep-17,7025.00,7200.00,7025.00,7125.00,2899900
26-Sep-17,7000.00,7200.00,6950.00,6975.00,4918000
25-Sep-17,7275.00,7275.00,6975.00,7075.00,5142500
22-Sep-17,7000.00,7200.00,7000.00,7150.00,11012000
20-Sep-17,7000.00,7025.00,6975.00,7000.00,2199400
19-Sep-17,6950.00,7025.00,6925.00,7000.00,5600300
18-Sep-17,6975.00,7050.00,6925.00,6925.00,5091400
15-Sep-17,6850.00,7050.00,6825.00,6975.00,7683800
14-Sep-17,6825.00,6900.00,6725.00,6850.00,5771600
13-Sep-17,6875.00,6975.00,6775.00,6825.00,7880800
12-Sep-17,7200.00,7200.00,6850.00,6900.00,4784500
11-Sep-17,7250.00,7275.00,7025.00,7200.00,5099600
8-Sep-17,7200.00,7225.00,7075.00,7200.00,6151900
7-Sep-17,7100.00,7200.00,7000.00,7175.00,10526300
6-Sep-17,7000.00,7100.00,6950.00,7100.00,9465600
5-Sep-17,6900.00,7000.00,6875.00,6950.00,5248300
4-Sep-17,6775.00,6950.00,6750.00,6850.00,9185100
31-Aug-17,6775.00,6800.00,6675.00,6775.00,7788800
30-Aug-17,6875.00,6950.00,6700.00,6775.00,7752000
29-Aug-17,6800.00,6925.00,6800.00,6850.00,9704500
28-Aug-17,6675.00,6775.00,6625.00,6725.00,5233000
25-Aug-17,6575.00,6625.00,6550.00,6625.00,5716900
24-Aug-17,6575.00,6600.00,6550.00,6600.00,5004100
23-Aug-17,6625.00,6625.00,6525.00,6575.00,6508700
22-Aug-17,6550.00,6650.00,6525.00,6625.00,6872500
21-Aug-17,6750.00,6750.00,6500.00,6550.00,7001600
18-Aug-17,6575.00,6825.00,6575.00,6750.00,6698600
16-Aug-17,6650.00,6650.00,6550.00,6575.00,6152700
15-Aug-17,6675.00,6725.00,6650.00,6675.00,6633700
14-Aug-17,6650.00,6750.00,6600.00,6650.00,3245100
11-Aug-17,6550.00,6575.00,6525.00,6525.00,5613700
10-Aug-17,6500.00,6600.00,6500.00,6600.00,5040400
9-Aug-17,6675.00,6750.00,6575.00,6575.00,6837300
8-Aug-17,6600.00,6750.00,6600.00,6750.00,4805100
7-Aug-17,6600.00,6625.00,6550.00,6600.00,6616200
4-Aug-17,6550.00,6650.00,6550.00,6550.00,5988300
3-Aug-17,6675.00,6725.00,6550.00,6575.00,8322100
2-Aug-17,6875.00,6900.00,6675.00,6825.00,8823100
1-Aug-17,6900.00,7000.00,6875.00,6950.00,8448900
31-Jul-17,6875.00,6900.00,6750.00,6900.00,7509300
28-Jul-17,6700.00,6900.00,6650.00,6775.00,12299600
27-Jul-17,6550.00,6700.00,6475.00,6625.00,8937200
26-Jul-17,6475.00,6525.00,6425.00,6450.00,8024400
25-Jul-17,6450.00,6500.00,6400.00,6475.00,6573800
24-Jul-17,6325.00,6450.00,6325.00,6450.00,8038500
21-Jul-17,6325.00,6375.00,6300.00,6300.00,5839000
