Date,Open,High,Low,Close,Volume
29-Dec-17,318.00,318.00,306.00,306.00,1800
28-Dec-17,310.00,318.00,308.00,316.00,1300
27-Dec-17,318.00,320.00,308.00,314.00,8000
22-Dec-17,310.00,334.00,302.00,308.00,63700
21-Dec-17,306.00,380.00,292.00,306.00,495900
20-Dec-17,306.00,306.00,290.00,306.00,19400
19-Dec-17,306.00,312.00,294.00,306.00,13300
18-Dec-17,314.00,350.00,292.00,312.00,25600
15-Dec-17,346.00,346.00,310.00,314.00,52400
14-Dec-17,340.00,340.00,334.00,334.00,7900
13-Dec-17,380.00,380.00,344.00,344.00,5600
12-Dec-17,340.00,358.00,340.00,354.00,64800
11-Dec-17,382.00,382.00,340.00,360.00,67400
8-Dec-17,388.00,400.00,368.00,368.00,107700
7-Dec-17,378.00,404.00,370.00,388.00,229200
6-Dec-17,406.00,420.00,378.00,378.00,579900
5-Dec-17,406.00,430.00,354.00,408.00,129600
4-Dec-17,434.00,434.00,406.00,406.00,80000
30-Nov-17,430.00,456.00,430.00,432.00,119200
29-Nov-17,535.00,595.00,400.00,430.00,1342700
28-Nov-17,418.00,520.00,418.00,520.00,861200
27-Nov-17,410.00,510.00,394.00,418.00,354500
24-Nov-17,416.00,430.00,340.00,410.00,238800
23-Nov-17,500.00,520.00,398.00,398.00,231700
22-Nov-17,474.00,560.00,464.00,500.00,467800
21-Nov-17,372.00,464.00,372.00,464.00,667100
20-Nov-17,370.00,374.00,354.00,372.00,9300
17-Nov-17,360.00,378.00,360.00,370.00,37400
16-Nov-17,358.00,370.00,352.00,360.00,76600
15-Nov-17,348.00,348.00,348.00,348.00,1100
14-Nov-17,312.00,350.00,312.00,350.00,14300
13-Nov-17,342.00,342.00,312.00,312.00,4400
10-Nov-17,346.00,346.00,300.00,342.00,28400
9-Nov-17,344.00,350.00,344.00,350.00,1600
8-Nov-17,348.00,350.00,342.00,350.00,63800
7-Nov-17,340.00,350.00,340.00,348.00,54700
6-Nov-17,326.00,342.00,326.00,342.00,4600
3-Nov-17,330.00,332.00,326.00,332.00,900
2-Nov-17,326.00,330.00,326.00,330.00,1000
1-Nov-17,324.00,340.00,324.00,328.00,33300
31-Oct-17,324.00,324.00,320.00,324.00,7200
30-Oct-17,316.00,354.00,314.00,330.00,88800
27-Oct-17,344.00,344.00,312.00,326.00,172200
26-Oct-17,350.00,350.00,330.00,342.00,10200
25-Oct-17,348.00,348.00,290.00,346.00,30800
24-Oct-17,362.00,390.00,342.00,348.00,11300
23-Oct-17,316.00,322.00,314.00,314.00,2100
20-Oct-17,300.00,326.00,260.00,310.00,22500
19-Oct-17,320.00,324.00,310.00,324.00,26700
18-Oct-17,346.00,348.00,318.00,320.00,13700
17-Oct-17,354.00,354.00,348.00,348.00,13700
16-Oct-17,300.00,352.00,260.00,346.00,4900
13-Oct-17,364.00,364.00,338.00,344.00,11100
12-Oct-17,350.00,392.00,330.00,364.00,9200
