Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,220.00,0
28-Dec-17,-,-,-,220.00,0
27-Dec-17,210.00,220.00,210.00,220.00,2000
22-Dec-17,200.00,210.00,200.00,210.00,20200
21-Dec-17,200.00,204.00,200.00,204.00,33300
20-Dec-17,200.00,212.00,200.00,212.00,11200
19-Dec-17,202.00,202.00,202.00,202.00,7900
18-Dec-17,206.00,206.00,206.00,206.00,373600
15-Dec-17,-,-,-,204.00,0
14-Dec-17,200.00,204.00,200.00,204.00,354900
13-Dec-17,204.00,204.00,200.00,204.00,12200
12-Dec-17,202.00,208.00,200.00,204.00,22400
11-Dec-17,208.00,208.00,208.00,208.00,4800
8-Dec-17,204.00,210.00,202.00,210.00,45800
7-Dec-17,212.00,214.00,200.00,210.00,76400
6-Dec-17,232.00,232.00,214.00,214.00,39400
5-Dec-17,226.00,226.00,218.00,218.00,155500
4-Dec-17,238.00,240.00,224.00,224.00,135400
30-Nov-17,236.00,236.00,222.00,228.00,195900
29-Nov-17,230.00,230.00,230.00,230.00,40100
28-Nov-17,234.00,234.00,226.00,230.00,78800
27-Nov-17,226.00,234.00,226.00,230.00,35800
24-Nov-17,236.00,238.00,226.00,226.00,565600
23-Nov-17,250.00,254.00,232.00,234.00,927900
22-Nov-17,240.00,252.00,238.00,248.00,1831200
21-Nov-17,236.00,248.00,230.00,236.00,1300900
20-Nov-17,230.00,248.00,224.00,230.00,612000
17-Nov-17,224.00,224.00,224.00,224.00,100
16-Nov-17,222.00,224.00,222.00,224.00,53500
15-Nov-17,224.00,224.00,220.00,222.00,231500
14-Nov-17,224.00,226.00,224.00,226.00,31100
13-Nov-17,226.00,226.00,224.00,224.00,1800
10-Nov-17,222.00,224.00,222.00,222.00,116100
9-Nov-17,222.00,232.00,222.00,224.00,402400
8-Nov-17,226.00,226.00,222.00,222.00,84600
7-Nov-17,222.00,240.00,222.00,238.00,39400
6-Nov-17,236.00,236.00,228.00,236.00,137500
3-Nov-17,228.00,232.00,228.00,232.00,65100
2-Nov-17,230.00,230.00,226.00,230.00,56100
1-Nov-17,230.00,230.00,226.00,230.00,13000
31-Oct-17,226.00,236.00,226.00,230.00,565400
30-Oct-17,228.00,234.00,228.00,234.00,312800
27-Oct-17,234.00,234.00,228.00,234.00,192600
26-Oct-17,236.00,236.00,226.00,226.00,313900
25-Oct-17,232.00,232.00,228.00,230.00,262100
24-Oct-17,236.00,236.00,226.00,232.00,566100
23-Oct-17,238.00,238.00,230.00,230.00,213900
20-Oct-17,242.00,242.00,232.00,236.00,269500
19-Oct-17,234.00,248.00,232.00,238.00,215300
18-Oct-17,234.00,250.00,234.00,240.00,307700
17-Oct-17,236.00,240.00,228.00,234.00,222300
16-Oct-17,244.00,244.00,236.00,242.00,39000
13-Oct-17,248.00,256.00,244.00,244.00,612100
12-Oct-17,244.00,256.00,242.00,248.00,1939900
11-Oct-17,240.00,248.00,236.00,244.00,245000
10-Oct-17,250.00,254.00,236.00,244.00,239800
9-Oct-17,240.00,244.00,230.00,236.00,529000
6-Oct-17,238.00,242.00,232.00,234.00,121900
5-Oct-17,250.00,250.00,238.00,238.00,48200
4-Oct-17,242.00,252.00,236.00,250.00,67900
3-Oct-17,232.00,250.00,232.00,242.00,133200
2-Oct-17,230.00,260.00,230.00,232.00,482000
29-Sep-17,230.00,230.00,220.00,220.00,131100
28-Sep-17,232.00,234.00,228.00,230.00,93600
27-Sep-17,236.00,238.00,232.00,232.00,66900
26-Sep-17,242.00,248.00,236.00,238.00,177900
25-Sep-17,254.00,254.00,244.00,244.00,24700
22-Sep-17,260.00,260.00,242.00,254.00,112800
20-Sep-17,252.00,260.00,248.00,258.00,131600
19-Sep-17,260.00,260.00,246.00,250.00,68300
18-Sep-17,254.00,280.00,246.00,260.00,137800
15-Sep-17,252.00,264.00,242.00,252.00,148000
14-Sep-17,256.00,280.00,244.00,250.00,768600
13-Sep-17,270.00,270.00,256.00,256.00,501800
12-Sep-17,280.00,284.00,264.00,270.00,581300
11-Sep-17,288.00,298.00,260.00,278.00,974700
8-Sep-17,288.00,326.00,270.00,284.00,7732900
7-Sep-17,226.00,272.00,226.00,272.00,3298800
6-Sep-17,-,-,-,218.00,0
5-Sep-17,216.00,224.00,212.00,218.00,105200
4-Sep-17,224.00,224.00,216.00,216.00,24400
31-Aug-17,226.00,226.00,218.00,218.00,45000
30-Aug-17,226.00,226.00,220.00,220.00,30000
29-Aug-17,222.00,226.00,222.00,222.00,29700
28-Aug-17,218.00,220.00,216.00,218.00,11000
25-Aug-17,224.00,224.00,216.00,224.00,14700
24-Aug-17,226.00,228.00,224.00,224.00,51100
23-Aug-17,224.00,236.00,214.00,214.00,314600
22-Aug-17,216.00,226.00,216.00,218.00,10200
21-Aug-17,220.00,232.00,212.00,224.00,169900
18-Aug-17,216.00,220.00,216.00,220.00,2800
16-Aug-17,218.00,218.00,218.00,218.00,40400
15-Aug-17,-,-,-,214.00,0
14-Aug-17,214.00,214.00,214.00,214.00,600
11-Aug-17,216.00,216.00,214.00,214.00,500
10-Aug-17,210.00,210.00,206.00,208.00,365200
9-Aug-17,204.00,204.00,202.00,202.00,58900
8-Aug-17,204.00,204.00,202.00,202.00,190900
7-Aug-17,202.00,210.00,202.00,204.00,1800
4-Aug-17,204.00,204.00,204.00,204.00,1700
3-Aug-17,206.00,206.00,206.00,206.00,17300
2-Aug-17,210.00,212.00,200.00,210.00,396000
1-Aug-17,222.00,222.00,220.00,220.00,900
31-Jul-17,210.00,220.00,202.00,220.00,22200
28-Jul-17,222.00,224.00,222.00,224.00,13700
27-Jul-17,222.00,222.00,222.00,222.00,2000
26-Jul-17,230.00,234.00,230.00,230.00,192100
25-Jul-17,230.00,232.00,230.00,232.00,48300
24-Jul-17,230.00,234.00,230.00,232.00,211000
21-Jul-17,226.00,232.00,224.00,226.00,129100
20-Jul-17,218.00,226.00,218.00,226.00,129100
19-Jul-17,206.00,226.00,206.00,218.00,281500
18-Jul-17,202.00,212.00,202.00,204.00,23700
17-Jul-17,200.00,202.00,198.00,202.00,13500
14-Jul-17,-,-,-,200.00,0
13-Jul-17,198.00,200.00,198.00,200.00,45400
12-Jul-17,-,-,-,198.00,0
11-Jul-17,-,-,-,198.00,0
10-Jul-17,198.00,198.00,198.00,198.00,5000
7-Jul-17,198.00,198.00,198.00,198.00,10000
6-Jul-17,199.00,204.00,199.00,202.00,70900
5-Jul-17,200.00,202.00,200.00,200.00,168000
4-Jul-17,196.00,204.00,196.00,200.00,103200
3-Jul-17,202.00,204.00,200.00,200.00,113200
22-Jun-17,196.00,196.00,196.00,196.00,4500
21-Jun-17,196.00,196.00,196.00,196.00,200
20-Jun-17,196.00,196.00,196.00,196.00,200
19-Jun-17,212.00,212.00,196.00,196.00,600
16-Jun-17,202.00,202.00,200.00,202.00,11300
15-Jun-17,204.00,204.00,200.00,202.00,300
14-Jun-17,196.00,200.00,196.00,200.00,100100
13-Jun-17,204.00,204.00,196.00,196.00,443900
12-Jun-17,202.00,202.00,196.00,196.00,69900
9-Jun-17,202.00,202.00,196.00,202.00,113200
8-Jun-17,195.00,196.00,195.00,196.00,24700
7-Jun-17,193.00,193.00,193.00,193.00,100
6-Jun-17,191.00,198.00,191.00,198.00,129100
5-Jun-17,190.00,191.00,190.00,191.00,370000
2-Jun-17,192.00,197.00,188.00,192.00,10900
31-May-17,194.00,196.00,190.00,192.00,60300
30-May-17,192.00,192.00,192.00,192.00,50200
29-May-17,196.00,196.00,196.00,196.00,8000
26-May-17,196.00,204.00,196.00,197.00,37500
24-May-17,188.00,197.00,188.00,197.00,20000
23-May-17,198.00,198.00,197.00,197.00,140500
22-May-17,191.00,202.00,191.00,199.00,60800
19-May-17,188.00,198.00,188.00,198.00,210100
18-May-17,-,-,-,192.00,0
17-May-17,202.00,202.00,192.00,192.00,1200
