Date,Open,High,Low,Close,Volume
29-Dec-17,6000.00,6100.00,6000.00,6025.00,7200
28-Dec-17,6075.00,6175.00,6075.00,6175.00,2500
27-Dec-17,6025.00,6050.00,6025.00,6025.00,1700
22-Dec-17,6125.00,6125.00,5975.00,6125.00,17200
21-Dec-17,6125.00,6125.00,6125.00,6125.00,700
20-Dec-17,6325.00,6325.00,6150.00,6150.00,900
19-Dec-17,-,-,-,6325.00,0
18-Dec-17,6325.00,6325.00,6325.00,6325.00,1600
15-Dec-17,6200.00,6325.00,6200.00,6325.00,3600
14-Dec-17,6150.00,6325.00,6150.00,6325.00,400
13-Dec-17,6350.00,6350.00,6150.00,6200.00,2300
12-Dec-17,-,-,-,6350.00,0
11-Dec-17,-,-,-,6350.00,0
8-Dec-17,6350.00,6350.00,6350.00,6350.00,1000
7-Dec-17,6100.00,6350.00,6000.00,6350.00,1900
6-Dec-17,6400.00,6400.00,5625.00,6300.00,31900
5-Dec-17,6700.00,6700.00,6700.00,6700.00,400
4-Dec-17,6500.00,6500.00,6500.00,6500.00,200
30-Nov-17,6550.00,6550.00,6550.00,6550.00,100
29-Nov-17,-,-,-,6450.00,0
28-Nov-17,6450.00,6450.00,6450.00,6450.00,300
27-Nov-17,6400.00,6400.00,6400.00,6400.00,12900
24-Nov-17,-,-,-,6450.00,0
23-Nov-17,6650.00,6650.00,6450.00,6450.00,2500
22-Nov-17,6400.00,6475.00,6400.00,6475.00,400
21-Nov-17,6400.00,6500.00,6400.00,6500.00,3000
20-Nov-17,6500.00,6500.00,6500.00,6500.00,100
17-Nov-17,6350.00,6500.00,6350.00,6500.00,200
16-Nov-17,6400.00,6400.00,6400.00,6400.00,100
15-Nov-17,-,-,-,6450.00,0
14-Nov-17,6450.00,6450.00,6450.00,6450.00,400
13-Nov-17,6600.00,6600.00,6600.00,6600.00,700
10-Nov-17,-,-,-,6600.00,0
9-Nov-17,-,-,-,6600.00,0
8-Nov-17,-,-,-,6600.00,0
7-Nov-17,6625.00,6625.00,6600.00,6600.00,800
6-Nov-17,6500.00,6600.00,6500.00,6600.00,800
3-Nov-17,6500.00,6500.00,6500.00,6500.00,600
2-Nov-17,-,-,-,6700.00,0
1-Nov-17,6700.00,6700.00,6700.00,6700.00,800
31-Oct-17,6700.00,6700.00,6700.00,6700.00,500
30-Oct-17,6675.00,6700.00,6675.00,6700.00,600
27-Oct-17,6850.00,6850.00,6850.00,6850.00,1400
26-Oct-17,-,-,-,6600.00,0
25-Oct-17,6400.00,6600.00,6400.00,6600.00,1000
24-Oct-17,6600.00,6600.00,6450.00,6500.00,4000
23-Oct-17,6800.00,6800.00,6800.00,6800.00,2000
20-Oct-17,-,-,-,6800.00,0
19-Oct-17,6800.00,6800.00,6800.00,6800.00,2000
18-Oct-17,6400.00,6500.00,6400.00,6500.00,4500
17-Oct-17,6600.00,6600.00,6600.00,6600.00,300
16-Oct-17,-,-,-,6400.00,0
12-Oct-17,6400.00,6400.00,6400.00,6400.00,3900
11-Oct-17,6400.00,6500.00,6325.00,6500.00,11400
10-Oct-17,-,-,-,6600.00,0
9-Oct-17,6600.00,6600.00,6600.00,6600.00,100
6-Oct-17,-,-,-,6575.00,0
5-Oct-17,-,-,-,6575.00,0
4-Oct-17,-,-,-,6575.00,0
3-Oct-17,-,-,-,6575.00,0
2-Oct-17,6575.00,6575.00,6575.00,6575.00,100
29-Sep-17,6350.00,6500.00,6250.00,6500.00,2000
28-Sep-17,-,-,-,6500.00,0
27-Sep-17,6500.00,6500.00,6350.00,6500.00,800
