Date,Open,High,Low,Close,Volume
29-Dec-17,615.00,615.00,590.00,610.00,1056700
28-Dec-17,620.00,620.00,610.00,615.00,587500
27-Dec-17,620.00,625.00,610.00,620.00,754600
22-Dec-17,630.00,630.00,620.00,620.00,198400
21-Dec-17,660.00,670.00,650.00,650.00,22500
20-Dec-17,670.00,670.00,660.00,660.00,11000
19-Dec-17,675.00,675.00,670.00,670.00,157900
18-Dec-17,750.00,750.00,670.00,675.00,29900
15-Dec-17,670.00,750.00,635.00,750.00,1464300
14-Dec-17,670.00,670.00,615.00,670.00,1000
13-Dec-17,620.00,670.00,620.00,670.00,28900
12-Dec-17,625.00,625.00,600.00,620.00,263900
11-Dec-17,660.00,680.00,635.00,635.00,6500
8-Dec-17,640.00,660.00,640.00,660.00,42000
7-Dec-17,640.00,685.00,640.00,640.00,5300
6-Dec-17,-,-,-,690.00,0
5-Dec-17,695.00,695.00,670.00,690.00,3500
4-Dec-17,690.00,690.00,620.00,660.00,2900
30-Nov-17,690.00,690.00,690.00,690.00,800
29-Nov-17,695.00,695.00,695.00,695.00,100
28-Nov-17,695.00,700.00,695.00,700.00,51500
27-Nov-17,700.00,700.00,695.00,695.00,5200
24-Nov-17,700.00,700.00,700.00,700.00,65300
23-Nov-17,665.00,700.00,665.00,700.00,3100
22-Nov-17,660.00,665.00,650.00,665.00,16033300
21-Nov-17,675.00,675.00,665.00,665.00,1300
20-Nov-17,670.00,680.00,650.00,680.00,1011700
17-Nov-17,670.00,670.00,670.00,670.00,300
16-Nov-17,640.00,670.00,640.00,670.00,300
15-Nov-17,670.00,670.00,650.00,650.00,99700
14-Nov-17,680.00,680.00,680.00,680.00,300
13-Nov-17,690.00,690.00,680.00,680.00,400
10-Nov-17,690.00,690.00,680.00,680.00,239700
9-Nov-17,690.00,690.00,690.00,690.00,1000
8-Nov-17,690.00,690.00,690.00,690.00,22500
7-Nov-17,700.00,700.00,690.00,690.00,30200
6-Nov-17,690.00,705.00,690.00,705.00,13900
3-Nov-17,700.00,710.00,690.00,690.00,25800
2-Nov-17,690.00,690.00,690.00,690.00,200
1-Nov-17,695.00,695.00,680.00,690.00,86200
31-Oct-17,695.00,695.00,695.00,695.00,903100
30-Oct-17,695.00,695.00,695.00,695.00,72300
27-Oct-17,685.00,730.00,680.00,695.00,840500
26-Oct-17,680.00,680.00,680.00,680.00,100
25-Oct-17,680.00,690.00,680.00,690.00,12500
24-Oct-17,680.00,690.00,680.00,680.00,461000
23-Oct-17,680.00,690.00,680.00,680.00,416500
20-Oct-17,685.00,685.00,680.00,680.00,200200
19-Oct-17,685.00,685.00,685.00,685.00,1500
18-Oct-17,685.00,685.00,685.00,685.00,200
17-Oct-17,700.00,700.00,680.00,685.00,1114200
16-Oct-17,700.00,700.00,690.00,700.00,2300
13-Oct-17,700.00,700.00,690.00,700.00,3100
12-Oct-17,700.00,700.00,700.00,700.00,4000
11-Oct-17,690.00,695.00,680.00,695.00,1000
10-Oct-17,685.00,690.00,680.00,680.00,20900
9-Oct-17,685.00,690.00,680.00,685.00,587300
6-Oct-17,690.00,690.00,680.00,685.00,5319600
5-Oct-17,680.00,690.00,680.00,690.00,6600
4-Oct-17,700.00,700.00,680.00,680.00,410900
3-Oct-17,700.00,700.00,700.00,700.00,7706900
2-Oct-17,695.00,695.00,680.00,695.00,6172700
29-Sep-17,690.00,695.00,690.00,695.00,5276000
28-Sep-17,695.00,695.00,690.00,690.00,700
