Date,Open,High,Low,Close,Volume
29-Dec-17,625.00,630.00,625.00,625.00,23985600
28-Dec-17,635.00,640.00,620.00,620.00,30355400
27-Dec-17,635.00,640.00,630.00,635.00,11145100
22-Dec-17,630.00,640.00,625.00,630.00,7568100
21-Dec-17,630.00,640.00,625.00,625.00,9024500
20-Dec-17,645.00,650.00,625.00,630.00,9719700
19-Dec-17,640.00,650.00,635.00,645.00,16647700
18-Dec-17,640.00,645.00,630.00,635.00,9895500
15-Dec-17,635.00,640.00,625.00,630.00,10841200
14-Dec-17,620.00,640.00,620.00,635.00,16982600
13-Dec-17,605.00,625.00,605.00,620.00,9749200
12-Dec-17,605.00,615.00,600.00,605.00,11540300
11-Dec-17,625.00,630.00,600.00,605.00,16493100
8-Dec-17,605.00,635.00,605.00,625.00,45310200
7-Dec-17,610.00,625.00,600.00,605.00,23986400
6-Dec-17,630.00,640.00,610.00,610.00,26738900
5-Dec-17,655.00,655.00,625.00,630.00,23577400
4-Dec-17,655.00,665.00,650.00,650.00,12930500
30-Nov-17,665.00,675.00,655.00,665.00,12440800
29-Nov-17,650.00,685.00,650.00,665.00,28563000
28-Nov-17,655.00,660.00,645.00,650.00,23712100
27-Nov-17,660.00,665.00,655.00,655.00,12238700
24-Nov-17,660.00,665.00,650.00,660.00,14418800
23-Nov-17,665.00,670.00,660.00,660.00,6915400
22-Nov-17,665.00,670.00,655.00,660.00,20933300
21-Nov-17,665.00,670.00,660.00,665.00,10088000
20-Nov-17,665.00,670.00,660.00,665.00,14196200
17-Nov-17,660.00,680.00,660.00,660.00,34187200
16-Nov-17,660.00,670.00,655.00,660.00,25308500
15-Nov-17,675.00,680.00,655.00,660.00,45943200
14-Nov-17,695.00,700.00,675.00,680.00,42247300
13-Nov-17,705.00,705.00,680.00,685.00,83549000
10-Nov-17,705.00,715.00,700.00,705.00,38442300
9-Nov-17,715.00,725.00,695.00,710.00,103690000
8-Nov-17,700.00,710.00,685.00,705.00,63204500
7-Nov-17,675.00,705.00,665.00,695.00,103506100
6-Nov-17,670.00,675.00,660.00,670.00,28975500
3-Nov-17,670.00,675.00,660.00,670.00,22853300
2-Nov-17,720.00,720.00,665.00,670.00,256093000
1-Nov-17,655.00,720.00,655.00,710.00,187604600
31-Oct-17,650.00,655.00,640.00,645.00,20497400
30-Oct-17,650.00,655.00,645.00,645.00,21423800
27-Oct-17,655.00,660.00,645.00,645.00,23814100
26-Oct-17,650.00,660.00,645.00,655.00,24938000
25-Oct-17,650.00,655.00,640.00,645.00,26980900
24-Oct-17,645.00,655.00,645.00,645.00,7100400
23-Oct-17,660.00,665.00,645.00,645.00,12261700
20-Oct-17,660.00,670.00,650.00,660.00,13645500
19-Oct-17,660.00,665.00,650.00,660.00,14121600
18-Oct-17,650.00,665.00,645.00,655.00,25437000
17-Oct-17,660.00,660.00,650.00,650.00,6222200
16-Oct-17,655.00,675.00,650.00,655.00,35225800
13-Oct-17,650.00,660.00,645.00,645.00,11977700
12-Oct-17,645.00,655.00,640.00,650.00,12507300
11-Oct-17,660.00,665.00,640.00,640.00,10587800
10-Oct-17,655.00,665.00,655.00,660.00,18229500
9-Oct-17,650.00,660.00,645.00,650.00,12502300
6-Oct-17,645.00,655.00,645.00,650.00,5793900
5-Oct-17,650.00,660.00,645.00,645.00,8762500
4-Oct-17,655.00,665.00,650.00,650.00,24907700
3-Oct-17,650.00,655.00,635.00,645.00,17013200
2-Oct-17,640.00,650.00,635.00,640.00,16530400
29-Sep-17,635.00,660.00,625.00,640.00,24072600
28-Sep-17,625.00,640.00,620.00,630.00,14424300
27-Sep-17,645.00,650.00,625.00,625.00,18345200
26-Sep-17,655.00,665.00,640.00,645.00,29735000
25-Sep-17,680.00,680.00,645.00,650.00,78522200
22-Sep-17,675.00,680.00,670.00,675.00,12778300
20-Sep-17,675.00,700.00,675.00,680.00,41602000
19-Sep-17,680.00,685.00,670.00,675.00,19730200
18-Sep-17,685.00,690.00,670.00,680.00,13545400
15-Sep-17,690.00,695.00,680.00,680.00,22670800
14-Sep-17,670.00,685.00,665.00,680.00,36698200
13-Sep-17,680.00,685.00,660.00,670.00,37638600
12-Sep-17,695.00,695.00,675.00,680.00,25738800
11-Sep-17,695.00,700.00,685.00,690.00,30436400
8-Sep-17,700.00,715.00,695.00,700.00,31039600
7-Sep-17,715.00,715.00,695.00,695.00,30548300
6-Sep-17,710.00,720.00,700.00,705.00,23984600
5-Sep-17,710.00,720.00,690.00,710.00,69302100
4-Sep-17,740.00,755.00,705.00,710.00,107837600
31-Aug-17,760.00,760.00,735.00,740.00,81253900
30-Aug-17,735.00,765.00,735.00,755.00,224928900
29-Aug-17,725.00,745.00,715.00,730.00,122694300
28-Aug-17,715.00,725.00,710.00,715.00,36112300
25-Aug-17,740.00,740.00,720.00,720.00,34707600
24-Aug-17,725.00,755.00,725.00,740.00,177441400
23-Aug-17,730.00,730.00,705.00,720.00,42780700
22-Aug-17,720.00,735.00,715.00,725.00,182949100
21-Aug-17,690.00,720.00,690.00,715.00,102629300
18-Aug-17,680.00,695.00,670.00,685.00,18410200
16-Aug-17,680.00,685.00,670.00,680.00,10240400
15-Aug-17,690.00,690.00,675.00,680.00,12460000
14-Aug-17,695.00,695.00,685.00,685.00,7751500
11-Aug-17,700.00,705.00,685.00,690.00,12102600
10-Aug-17,700.00,710.00,685.00,700.00,50850900
9-Aug-17,680.00,700.00,680.00,695.00,50302900
8-Aug-17,650.00,675.00,650.00,670.00,27776800
7-Aug-17,660.00,660.00,645.00,650.00,33692700
4-Aug-17,680.00,685.00,650.00,660.00,61558600
3-Aug-17,690.00,700.00,680.00,680.00,25897800
2-Aug-17,680.00,690.00,680.00,685.00,32474400
1-Aug-17,700.00,700.00,685.00,690.00,29985500
31-Jul-17,695.00,700.00,685.00,690.00,19661600
28-Jul-17,715.00,720.00,685.00,690.00,109987400
27-Jul-17,725.00,730.00,710.00,715.00,26317600
26-Jul-17,710.00,730.00,705.00,720.00,59653900
25-Jul-17,700.00,710.00,695.00,700.00,14167700
24-Jul-17,715.00,715.00,695.00,700.00,13504500
21-Jul-17,720.00,720.00,705.00,705.00,10171800
20-Jul-17,725.00,725.00,715.00,715.00,8878600
19-Jul-17,725.00,730.00,715.00,725.00,21032700
18-Jul-17,720.00,740.00,715.00,715.00,37100300
17-Jul-17,705.00,735.00,700.00,720.00,72311400
14-Jul-17,705.00,705.00,695.00,695.00,6158400
13-Jul-17,705.00,705.00,695.00,700.00,4404900
12-Jul-17,700.00,705.00,695.00,700.00,6873200
11-Jul-17,710.00,710.00,695.00,695.00,11048100
10-Jul-17,720.00,720.00,700.00,705.00,5487400
7-Jul-17,695.00,720.00,695.00,710.00,22957900
6-Jul-17,700.00,705.00,695.00,695.00,6155100
5-Jul-17,705.00,710.00,695.00,700.00,25318300
4-Jul-17,700.00,710.00,685.00,705.00,25412300
3-Jul-17,705.00,715.00,695.00,700.00,15816300
22-Jun-17,705.00,705.00,695.00,695.00,6431000
21-Jun-17,715.00,715.00,690.00,695.00,20616500
20-Jun-17,715.00,715.00,705.00,710.00,9263500
19-Jun-17,720.00,725.00,705.00,705.00,17487600
16-Jun-17,725.00,735.00,705.00,720.00,21389700
15-Jun-17,740.00,750.00,725.00,725.00,14858200
14-Jun-17,730.00,755.00,725.00,740.00,43368600
13-Jun-17,705.00,735.00,705.00,725.00,36398000
12-Jun-17,715.00,725.00,705.00,705.00,19076100
9-Jun-17,720.00,720.00,710.00,715.00,15215200
8-Jun-17,720.00,725.00,705.00,715.00,57808300
7-Jun-17,725.00,730.00,720.00,720.00,25556500
6-Jun-17,725.00,740.00,720.00,720.00,35456100
5-Jun-17,770.00,780.00,725.00,725.00,115261500
2-Jun-17,780.00,780.00,755.00,760.00,36832000
31-May-17,740.00,790.00,735.00,775.00,183754000
30-May-17,755.00,760.00,730.00,735.00,64525500
29-May-17,700.00,750.00,700.00,750.00,141141200
26-May-17,700.00,710.00,690.00,700.00,29798500
24-May-17,705.00,715.00,700.00,705.00,14749300
23-May-17,700.00,715.00,695.00,705.00,32925900
22-May-17,710.00,725.00,690.00,695.00,61079400
19-May-17,695.00,715.00,685.00,700.00,24996400
18-May-17,690.00,715.00,690.00,695.00,30963400
17-May-17,705.00,730.00,685.00,705.00,108904600
16-May-17,615.00,705.00,605.00,700.00,133675800
15-May-17,620.00,625.00,595.00,610.00,32166200
12-May-17,625.00,630.00,610.00,620.00,16641100
10-May-17,630.00,645.00,625.00,625.00,27182000
9-May-17,645.00,655.00,630.00,630.00,17059800
8-May-17,630.00,660.00,630.00,640.00,35290200
5-May-17,640.00,640.00,625.00,630.00,32981900
4-May-17,670.00,670.00,645.00,645.00,33320500
3-May-17,685.00,700.00,660.00,665.00,39252200
2-May-17,705.00,705.00,685.00,685.00,26785400
28-Apr-17,695.00,715.00,695.00,695.00,44285700
27-Apr-17,700.00,700.00,690.00,695.00,16444000
26-Apr-17,700.00,705.00,695.00,700.00,17763500
25-Apr-17,700.00,705.00,695.00,700.00,18629700
21-Apr-17,700.00,705.00,695.00,700.00,23755000
20-Apr-17,710.00,715.00,695.00,700.00,29325100
18-Apr-17,720.00,725.00,705.00,710.00,17214600
17-Apr-17,735.00,745.00,715.00,720.00,16084400
13-Apr-17,730.00,745.00,725.00,735.00,32527700
12-Apr-17,705.00,730.00,700.00,725.00,40154800
11-Apr-17,710.00,715.00,700.00,700.00,11258400
10-Apr-17,715.00,725.00,705.00,705.00,14646900
7-Apr-17,710.00,730.00,710.00,715.00,21113000
6-Apr-17,720.00,720.00,710.00,715.00,11373700
5-Apr-17,725.00,730.00,710.00,710.00,23488800
4-Apr-17,720.00,730.00,715.00,720.00,24341900
3-Apr-17,735.00,740.00,715.00,715.00,22045400
31-Mar-17,725.00,740.00,725.00,730.00,12350500
30-Mar-17,750.00,750.00,725.00,725.00,16325800
29-Mar-17,730.00,745.00,720.00,745.00,21848400
27-Mar-17,730.00,735.00,710.00,720.00,13391800
24-Mar-17,750.00,750.00,730.00,730.00,16775200
23-Mar-17,740.00,755.00,740.00,745.00,15433100
22-Mar-17,745.00,745.00,735.00,740.00,15535300
21-Mar-17,765.00,765.00,740.00,750.00,22188200
20-Mar-17,770.00,780.00,750.00,760.00,46958900
17-Mar-17,720.00,780.00,720.00,760.00,141376300
16-Mar-17,700.00,725.00,700.00,715.00,54707700
15-Mar-17,705.00,710.00,690.00,695.00,35648700
14-Mar-17,730.00,735.00,705.00,705.00,53558600
13-Mar-17,730.00,740.00,725.00,725.00,17603800
10-Mar-17,740.00,740.00,725.00,730.00,12387900
9-Mar-17,725.00,745.00,715.00,735.00,70456200
8-Mar-17,745.00,750.00,725.00,730.00,29069300
7-Mar-17,760.00,760.00,745.00,750.00,13194100
6-Mar-17,755.00,770.00,750.00,760.00,31431800
