Date,Open,High,Low,Close,Volume
29-Dec-17,1780.00,1780.00,1780.00,1780.00,86800
28-Dec-17,1780.00,1780.00,1780.00,1780.00,87600
27-Dec-17,1780.00,1780.00,1780.00,1780.00,86400
22-Dec-17,1780.00,1780.00,1780.00,1780.00,86600
21-Dec-17,1780.00,1780.00,1780.00,1780.00,85000
20-Dec-17,1780.00,1780.00,1780.00,1780.00,88600
19-Dec-17,1780.00,1780.00,1780.00,1780.00,87200
18-Dec-17,1780.00,1780.00,1780.00,1780.00,85100
15-Dec-17,1780.00,1780.00,1780.00,1780.00,90700
14-Dec-17,1780.00,1780.00,1780.00,1780.00,99200
13-Dec-17,1780.00,1780.00,1780.00,1780.00,97200
12-Dec-17,1780.00,1780.00,1780.00,1780.00,95800
11-Dec-17,1780.00,1780.00,1780.00,1780.00,44200
8-Dec-17,1780.00,1780.00,1780.00,1780.00,87400
7-Dec-17,1780.00,1780.00,1780.00,1780.00,86700
6-Dec-17,1780.00,1780.00,1780.00,1780.00,85900
5-Dec-17,1780.00,1780.00,1780.00,1780.00,87900
4-Dec-17,1780.00,1780.00,1780.00,1780.00,86600
30-Nov-17,1780.00,1780.00,1780.00,1780.00,87300
29-Nov-17,1780.00,1780.00,1780.00,1780.00,85700
28-Nov-17,1780.00,1780.00,1780.00,1780.00,86400
27-Nov-17,1780.00,1780.00,1780.00,1780.00,85100
24-Nov-17,1780.00,1780.00,1780.00,1780.00,87300
23-Nov-17,1780.00,1780.00,1780.00,1780.00,84800
22-Nov-17,1780.00,1780.00,1780.00,1780.00,88200
21-Nov-17,1780.00,1780.00,1780.00,1780.00,85000
20-Nov-17,1780.00,1780.00,1780.00,1780.00,88200
17-Nov-17,1780.00,1780.00,1780.00,1780.00,88300
16-Nov-17,1780.00,1780.00,1700.00,1780.00,85300
15-Nov-17,1780.00,1780.00,1780.00,1780.00,85500
14-Nov-17,1770.00,1780.00,1770.00,1780.00,82500
13-Nov-17,1780.00,1780.00,1780.00,1780.00,88200
10-Nov-17,1780.00,1780.00,1780.00,1780.00,86300
9-Nov-17,1780.00,1780.00,1780.00,1780.00,82100
8-Nov-17,1780.00,1780.00,1780.00,1780.00,84900
7-Nov-17,1780.00,1780.00,1780.00,1780.00,79800
6-Nov-17,1780.00,1780.00,1780.00,1780.00,99400
3-Nov-17,1780.00,1780.00,1780.00,1780.00,88300
2-Nov-17,1780.00,1780.00,1780.00,1780.00,88100
1-Nov-17,1780.00,1780.00,1780.00,1780.00,80200
31-Oct-17,1780.00,1780.00,1780.00,1780.00,88300
30-Oct-17,1780.00,1780.00,1780.00,1780.00,96600
27-Oct-17,1780.00,1780.00,1780.00,1780.00,81700
26-Oct-17,1780.00,1780.00,1780.00,1780.00,60400
25-Oct-17,1780.00,1780.00,1780.00,1780.00,76200
24-Oct-17,1780.00,1780.00,1780.00,1780.00,89300
23-Oct-17,1780.00,1780.00,1780.00,1780.00,78900
20-Oct-17,1780.00,1780.00,1780.00,1780.00,161100
19-Oct-17,1780.00,1780.00,1780.00,1780.00,178400
18-Oct-17,1780.00,1780.00,1780.00,1780.00,186600
