Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,200.00,0
28-Dec-17,-,-,-,200.00,0
27-Dec-17,-,-,-,200.00,0
22-Dec-17,200.00,200.00,200.00,200.00,500
21-Dec-17,199.00,199.00,199.00,199.00,300
20-Dec-17,-,-,-,199.00,0
19-Dec-17,199.00,199.00,199.00,199.00,100
18-Dec-17,-,-,-,198.00,0
15-Dec-17,-,-,-,198.00,0
14-Dec-17,208.00,210.00,198.00,198.00,27700
13-Dec-17,199.00,199.00,199.00,199.00,3000
12-Dec-17,208.00,208.00,208.00,208.00,1000
11-Dec-17,208.00,208.00,208.00,208.00,100
8-Dec-17,208.00,208.00,208.00,208.00,200
7-Dec-17,-,-,-,208.00,0
6-Dec-17,212.00,212.00,199.00,208.00,2800
5-Dec-17,202.00,202.00,198.00,198.00,85900
4-Dec-17,208.00,208.00,208.00,208.00,100
30-Nov-17,204.00,204.00,200.00,202.00,10900
29-Nov-17,204.00,208.00,204.00,204.00,10000
28-Nov-17,210.00,210.00,210.00,210.00,1000
27-Nov-17,230.00,230.00,204.00,210.00,20700
24-Nov-17,228.00,228.00,220.00,220.00,300
23-Nov-17,218.00,218.00,218.00,218.00,800
22-Nov-17,214.00,218.00,206.00,218.00,4000
21-Nov-17,-,-,-,214.00,0
20-Nov-17,214.00,216.00,214.00,214.00,700
17-Nov-17,210.00,214.00,210.00,214.00,2000
16-Nov-17,214.00,214.00,210.00,210.00,3900
15-Nov-17,212.00,216.00,208.00,210.00,213500
14-Nov-17,216.00,216.00,210.00,216.00,600
13-Nov-17,218.00,220.00,218.00,220.00,1700
10-Nov-17,230.00,230.00,214.00,218.00,1300
9-Nov-17,248.00,248.00,210.00,216.00,57400
8-Nov-17,238.00,248.00,234.00,244.00,11200
7-Nov-17,234.00,254.00,212.00,230.00,44200
6-Nov-17,276.00,276.00,232.00,232.00,1200
3-Nov-17,278.00,278.00,278.00,278.00,100
2-Nov-17,-,-,-,230.00,0
1-Nov-17,230.00,230.00,230.00,230.00,100
31-Oct-17,230.00,258.00,230.00,258.00,1400
30-Oct-17,244.00,244.00,244.00,244.00,1400
27-Oct-17,246.00,250.00,244.00,244.00,700
26-Oct-17,230.00,236.00,230.00,236.00,600
25-Oct-17,230.00,260.00,228.00,230.00,3500
24-Oct-17,222.00,280.00,220.00,222.00,12500
23-Oct-17,-,-,-,234.00,0
20-Oct-17,254.00,254.00,234.00,234.00,5300
19-Oct-17,256.00,256.00,254.00,254.00,1700
18-Oct-17,270.00,280.00,264.00,274.00,500
17-Oct-17,260.00,260.00,260.00,260.00,3900
16-Oct-17,260.00,262.00,260.00,262.00,5700
13-Oct-17,-,-,-,210.00,0
12-Oct-17,270.00,270.00,210.00,210.00,400
11-Oct-17,258.00,258.00,256.00,256.00,4200
10-Oct-17,236.00,256.00,236.00,256.00,200
9-Oct-17,-,-,-,300.00,0
6-Oct-17,300.00,300.00,300.00,300.00,400
5-Oct-17,250.00,300.00,210.00,300.00,5000
4-Oct-17,290.00,290.00,250.00,250.00,3100
3-Oct-17,232.00,232.00,232.00,232.00,200
2-Oct-17,230.00,230.00,230.00,230.00,200
29-Sep-17,-,-,-,254.00,0
28-Sep-17,-,-,-,254.00,0
27-Sep-17,-,-,-,254.00,0
26-Sep-17,-,-,-,254.00,0
25-Sep-17,250.00,254.00,250.00,254.00,1100
22-Sep-17,254.00,254.00,254.00,254.00,200
20-Sep-17,254.00,256.00,254.00,256.00,200
19-Sep-17,254.00,258.00,254.00,258.00,300
18-Sep-17,234.00,234.00,234.00,234.00,100
15-Sep-17,-,-,-,234.00,0
14-Sep-17,-,-,-,234.00,0
13-Sep-17,236.00,236.00,210.00,234.00,2800
12-Sep-17,248.00,248.00,248.00,248.00,100
11-Sep-17,-,-,-,252.00,0
