Date,Open,High,Low,Close,Volume
29-Dec-17,73.00,75.00,69.00,72.00,696100
28-Dec-17,73.00,73.00,69.00,71.00,185500
27-Dec-17,72.00,73.00,70.00,73.00,181100
22-Dec-17,73.00,78.00,70.00,71.00,486500
21-Dec-17,72.00,75.00,71.00,73.00,232600
20-Dec-17,72.00,76.00,72.00,72.00,791400
19-Dec-17,76.00,76.00,71.00,72.00,1499000
18-Dec-17,77.00,80.00,74.00,75.00,856200
15-Dec-17,73.00,77.00,73.00,75.00,393700
14-Dec-17,77.00,78.00,72.00,75.00,300200
13-Dec-17,80.00,80.00,71.00,75.00,895900
12-Dec-17,81.00,81.00,73.00,80.00,577500
11-Dec-17,86.00,86.00,78.00,79.00,776700
8-Dec-17,81.00,90.00,80.00,81.00,1609800
7-Dec-17,90.00,94.00,78.00,78.00,2116800
6-Dec-17,75.00,91.00,75.00,89.00,2367300
5-Dec-17,75.00,79.00,72.00,75.00,435600
4-Dec-17,75.00,77.00,71.00,74.00,115000
30-Nov-17,78.00,78.00,72.00,75.00,270500
29-Nov-17,78.00,81.00,77.00,77.00,16000
28-Nov-17,76.00,79.00,76.00,77.00,73700
27-Nov-17,77.00,79.00,77.00,78.00,64300
24-Nov-17,78.00,78.00,76.00,77.00,19600
23-Nov-17,77.00,80.00,76.00,76.00,539900
22-Nov-17,79.00,80.00,75.00,79.00,48100
21-Nov-17,79.00,79.00,77.00,78.00,79900
20-Nov-17,82.00,82.00,70.00,76.00,236100
17-Nov-17,79.00,82.00,78.00,81.00,222500
16-Nov-17,80.00,80.00,79.00,79.00,64800
15-Nov-17,79.00,80.00,77.00,80.00,77500
14-Nov-17,79.00,80.00,79.00,80.00,21500
13-Nov-17,78.00,80.00,78.00,79.00,93200
10-Nov-17,78.00,80.00,78.00,80.00,20500
9-Nov-17,79.00,80.00,76.00,78.00,203400
8-Nov-17,81.00,82.00,78.00,79.00,52300
7-Nov-17,80.00,81.00,80.00,80.00,68300
6-Nov-17,82.00,83.00,80.00,81.00,51400
3-Nov-17,82.00,82.00,81.00,81.00,5100
2-Nov-17,82.00,85.00,80.00,80.00,84600
1-Nov-17,87.00,87.00,79.00,81.00,323700
31-Oct-17,81.00,88.00,79.00,87.00,829300
30-Oct-17,80.00,80.00,78.00,80.00,34500
27-Oct-17,80.00,82.00,76.00,80.00,23000
26-Oct-17,82.00,83.00,79.00,79.00,177800
25-Oct-17,79.00,86.00,79.00,81.00,330600
24-Oct-17,81.00,82.00,55.00,79.00,784700
23-Oct-17,81.00,83.00,81.00,81.00,6700
20-Oct-17,83.00,83.00,81.00,83.00,4300
19-Oct-17,82.00,86.00,80.00,82.00,161600
18-Oct-17,82.00,83.00,80.00,80.00,34100
17-Oct-17,80.00,83.00,78.00,82.00,472900
16-Oct-17,81.00,81.00,79.00,79.00,49200
13-Oct-17,83.00,84.00,81.00,81.00,153400
12-Oct-17,86.00,86.00,80.00,83.00,187200
11-Oct-17,84.00,86.00,82.00,86.00,366700
10-Oct-17,85.00,85.00,84.00,84.00,2400
9-Oct-17,87.00,87.00,84.00,86.00,19100
6-Oct-17,87.00,87.00,84.00,84.00,21800
5-Oct-17,87.00,92.00,82.00,87.00,188800
4-Oct-17,84.00,89.00,82.00,86.00,128300
3-Oct-17,87.00,87.00,83.00,84.00,126300
2-Oct-17,89.00,89.00,87.00,87.00,206600
29-Sep-17,90.00,91.00,84.00,91.00,11600
28-Sep-17,90.00,92.00,79.00,91.00,13100
27-Sep-17,95.00,97.00,87.00,90.00,67400
26-Sep-17,91.00,97.00,90.00,90.00,174500
25-Sep-17,93.00,93.00,90.00,91.00,267300
22-Sep-17,90.00,97.00,89.00,92.00,476600
20-Sep-17,90.00,90.00,88.00,90.00,24100
19-Sep-17,88.00,90.00,88.00,90.00,32400
18-Sep-17,89.00,90.00,88.00,88.00,36300
15-Sep-17,90.00,92.00,87.00,88.00,188900
14-Sep-17,88.00,90.00,88.00,90.00,79400
13-Sep-17,88.00,91.00,88.00,90.00,197000
12-Sep-17,98.00,98.00,89.00,90.00,110800
11-Sep-17,87.00,98.00,85.00,91.00,127000
8-Sep-17,88.00,89.00,80.00,87.00,24300
7-Sep-17,92.00,92.00,88.00,88.00,3400
6-Sep-17,91.00,96.00,87.00,88.00,220600
5-Sep-17,91.00,91.00,88.00,89.00,20000
4-Sep-17,95.00,95.00,89.00,90.00,502500
31-Aug-17,98.00,100.00,94.00,94.00,36500
