Date,Open,High,Low,Close,Volume
29-Dec-17,208.00,214.00,206.00,210.00,27963600
28-Dec-17,204.00,210.00,204.00,206.00,14890900
27-Dec-17,204.00,208.00,202.00,204.00,21684800
22-Dec-17,210.00,210.00,202.00,202.00,14372500
21-Dec-17,202.00,212.00,200.00,208.00,58924100
20-Dec-17,206.00,206.00,200.00,200.00,48642900
19-Dec-17,208.00,212.00,206.00,206.00,34244000
18-Dec-17,218.00,218.00,206.00,208.00,36123200
15-Dec-17,204.00,218.00,202.00,216.00,87841200
14-Dec-17,200.00,208.00,198.00,202.00,49808300
13-Dec-17,202.00,202.00,196.00,199.00,19487100
12-Dec-17,206.00,208.00,200.00,202.00,17602200
11-Dec-17,208.00,214.00,204.00,204.00,19535600
8-Dec-17,204.00,210.00,204.00,208.00,21501100
7-Dec-17,210.00,214.00,204.00,204.00,18202700
6-Dec-17,210.00,222.00,210.00,210.00,19586000
5-Dec-17,220.00,220.00,210.00,210.00,22561400
4-Dec-17,224.00,224.00,218.00,220.00,10776600
30-Nov-17,228.00,228.00,222.00,222.00,19257000
29-Nov-17,230.00,232.00,228.00,228.00,22882500
28-Nov-17,240.00,242.00,228.00,230.00,36159100
27-Nov-17,244.00,246.00,240.00,240.00,17662300
24-Nov-17,246.00,250.00,244.00,244.00,3249800
23-Nov-17,248.00,250.00,246.00,246.00,4097100
22-Nov-17,246.00,254.00,244.00,248.00,14086300
21-Nov-17,252.00,254.00,246.00,246.00,9287400
20-Nov-17,244.00,256.00,242.00,252.00,28331900
17-Nov-17,244.00,248.00,244.00,244.00,8992600
16-Nov-17,248.00,250.00,242.00,244.00,11047700
15-Nov-17,240.00,250.00,236.00,248.00,38287200
14-Nov-17,246.00,248.00,240.00,240.00,13165800
13-Nov-17,248.00,248.00,242.00,244.00,8540900
10-Nov-17,252.00,252.00,246.00,246.00,16352700
9-Nov-17,256.00,256.00,250.00,250.00,10415800
8-Nov-17,250.00,260.00,248.00,254.00,27619400
7-Nov-17,252.00,256.00,248.00,250.00,12417100
6-Nov-17,252.00,256.00,248.00,250.00,15585100
3-Nov-17,248.00,258.00,248.00,252.00,21983100
2-Nov-17,256.00,260.00,248.00,248.00,29669300
1-Nov-17,262.00,268.00,254.00,256.00,27424300
31-Oct-17,270.00,274.00,262.00,262.00,59445700
30-Oct-17,276.00,280.00,260.00,272.00,47451600
27-Oct-17,276.00,282.00,274.00,280.00,30525500
26-Oct-17,278.00,282.00,272.00,276.00,39644500
25-Oct-17,270.00,280.00,264.00,278.00,107394000
24-Oct-17,252.00,268.00,248.00,268.00,60236100
23-Oct-17,260.00,262.00,250.00,250.00,36440400
20-Oct-17,260.00,268.00,258.00,258.00,38870600
19-Oct-17,258.00,264.00,256.00,258.00,26275900
18-Oct-17,268.00,270.00,256.00,258.00,74089500
17-Oct-17,276.00,280.00,266.00,268.00,37595100
16-Oct-17,280.00,282.00,272.00,276.00,35512700
13-Oct-17,286.00,286.00,274.00,280.00,32337600
12-Oct-17,288.00,292.00,284.00,284.00,30875400
11-Oct-17,288.00,290.00,284.00,288.00,20727200
10-Oct-17,290.00,294.00,286.00,286.00,24021500
9-Oct-17,290.00,296.00,284.00,286.00,28382500
6-Oct-17,296.00,298.00,284.00,290.00,60172300
5-Oct-17,296.00,298.00,290.00,296.00,35490400
4-Oct-17,290.00,300.00,284.00,290.00,71814900
3-Oct-17,288.00,294.00,284.00,290.00,36609900
2-Oct-17,280.00,294.00,278.00,284.00,70730600
29-Sep-17,284.00,284.00,276.00,280.00,31360400
28-Sep-17,266.00,282.00,266.00,280.00,107858300
27-Sep-17,280.00,280.00,258.00,264.00,93553000
26-Sep-17,294.00,300.00,280.00,280.00,96511200
25-Sep-17,296.00,302.00,294.00,294.00,33590800
22-Sep-17,296.00,308.00,294.00,294.00,68966700
20-Sep-17,296.00,302.00,294.00,296.00,27750500
19-Sep-17,298.00,304.00,290.00,296.00,62044700
18-Sep-17,310.00,310.00,292.00,298.00,93161300
