Date,Open,High,Low,Close,Volume
31-Mar-15,59.00,60.00,57.00,58.00,11313900
30-Mar-15,58.00,61.00,57.00,59.00,23707100
27-Mar-15,59.00,60.00,57.00,57.00,7669800
26-Mar-15,57.00,61.00,57.00,58.00,20560700
25-Mar-15,62.00,63.00,57.00,58.00,40851900
24-Mar-15,63.00,65.00,62.00,62.00,16584500
23-Mar-15,66.00,67.00,63.00,63.00,25736200
20-Mar-15,68.00,70.00,66.00,66.00,21951000
19-Mar-15,70.00,71.00,67.00,68.00,33058900
18-Mar-15,69.00,69.00,65.00,67.00,39560400
17-Mar-15,71.00,72.00,69.00,69.00,32830500
16-Mar-15,71.00,73.00,70.00,70.00,19872600
13-Mar-15,73.00,74.00,70.00,71.00,19950000
12-Mar-15,73.00,76.00,72.00,72.00,33411700
11-Mar-15,77.00,77.00,72.00,73.00,95337100
10-Mar-15,69.00,78.00,67.00,77.00,150801200
9-Mar-15,70.00,72.00,67.00,69.00,48111200
6-Mar-15,66.00,71.00,66.00,70.00,85359300
5-Mar-15,67.00,68.00,65.00,66.00,8693000
4-Mar-15,65.00,67.00,64.00,67.00,9537600
3-Mar-15,67.00,67.00,64.00,65.00,10113900
2-Mar-15,67.00,70.00,64.00,66.00,39898700
27-Feb-15,63.00,68.00,62.00,67.00,34822000
26-Feb-15,63.00,66.00,62.00,63.00,15263300
25-Feb-15,66.00,67.00,63.00,63.00,11884200
24-Feb-15,65.00,67.00,65.00,66.00,10104900
23-Feb-15,65.00,68.00,65.00,65.00,12097000
20-Feb-15,64.00,67.00,62.00,65.00,31663400
18-Feb-15,67.00,68.00,63.00,63.00,30553000
17-Feb-15,69.00,70.00,66.00,67.00,17664500
16-Feb-15,70.00,71.00,68.00,68.00,9885000
13-Feb-15,71.00,71.00,69.00,69.00,10887100
12-Feb-15,69.00,72.00,66.00,69.00,52016500
11-Feb-15,72.00,72.00,69.00,69.00,15938600
10-Feb-15,70.00,73.00,70.00,72.00,21209000
9-Feb-15,71.00,73.00,71.00,71.00,13954600
6-Feb-15,73.00,73.00,71.00,71.00,14052100
5-Feb-15,72.00,74.00,71.00,72.00,21997600
4-Feb-15,74.00,76.00,71.00,71.00,32305000
3-Feb-15,75.00,76.00,73.00,74.00,19663300
2-Feb-15,74.00,77.00,74.00,75.00,33134600
30-Jan-15,81.00,81.00,75.00,75.00,59263200
29-Jan-15,79.00,82.00,78.00,79.00,60098200
28-Jan-15,76.00,80.00,75.00,79.00,89999100
27-Jan-15,73.00,77.00,73.00,75.00,44311500
26-Jan-15,75.00,76.00,71.00,73.00,28468600
23-Jan-15,74.00,75.00,73.00,75.00,26974900
22-Jan-15,76.00,77.00,72.00,73.00,58693400
21-Jan-15,78.00,78.00,74.00,75.00,80170700
20-Jan-15,86.00,88.00,69.00,76.00,219375700
19-Jan-15,89.00,90.00,85.00,86.00,54807300
16-Jan-15,87.00,93.00,83.00,88.00,167618500
15-Jan-15,84.00,87.00,83.00,86.00,54286600
14-Jan-15,89.00,92.00,80.00,82.00,85100600
13-Jan-15,91.00,94.00,88.00,89.00,113509900
12-Jan-15,88.00,94.00,88.00,91.00,103481600
9-Jan-15,92.00,92.00,87.00,88.00,85453000
8-Jan-15,94.00,97.00,90.00,90.00,159128600
7-Jan-15,84.00,96.00,84.00,93.00,360695700
6-Jan-15,84.00,88.00,82.00,84.00,65004200
5-Jan-15,88.00,88.00,81.00,85.00,104680100
2-Jan-15,78.00,93.00,77.00,86.00,216580300
30-Dec-14,72.00,83.00,71.00,77.00,216489400
29-Dec-14,75.00,76.00,70.00,71.00,24370500
24-Dec-14,76.00,77.00,73.00,73.00,43951600
23-Dec-14,72.00,80.00,72.00,75.00,76327200
22-Dec-14,85.00,87.00,70.00,74.00,233350500
19-Dec-14,93.00,102.00,82.00,83.00,390436800
18-Dec-14,97.00,97.00,90.00,93.00,308880100
17-Dec-14,85.00,98.00,82.00,89.00,406069400
16-Dec-14,104.00,107.00,87.00,88.00,536121600
15-Dec-14,77.00,102.00,72.00,102.00,921758900
12-Dec-14,69.00,77.00,68.00,76.00,341206600
11-Dec-14,68.00,71.00,68.00,68.00,51378800
10-Dec-14,69.00,74.00,67.00,68.00,99447700
9-Dec-14,69.00,80.00,68.00,69.00,439809100
8-Dec-14,57.00,74.00,57.00,68.00,665443100
5-Dec-14,57.00,60.00,54.00,57.00,52423600
4-Dec-14,57.00,58.00,56.00,57.00,25203300
3-Dec-14,58.00,59.00,56.00,56.00,34143100
2-Dec-14,57.00,61.00,56.00,57.00,51273700
1-Dec-14,58.00,60.00,56.00,56.00,29385000
28-Nov-14,59.00,64.00,58.00,58.00,117580100
27-Nov-14,56.00,61.00,54.00,58.00,70113400
26-Nov-14,56.00,58.00,54.00,55.00,28790700
25-Nov-14,56.00,59.00,55.00,56.00,39105400
24-Nov-14,63.00,64.00,51.00,56.00,103011400
21-Nov-14,65.00,70.00,60.00,63.00,111087300
20-Nov-14,72.00,72.00,64.00,64.00,83545200
19-Nov-14,65.00,73.00,65.00,68.00,128169300
18-Nov-14,65.00,67.00,60.00,65.00,69310400
17-Nov-14,69.00,70.00,61.00,62.00,41157900
14-Nov-14,71.00,73.00,67.00,68.00,24548700
13-Nov-14,72.00,75.00,69.00,71.00,43969100
12-Nov-14,72.00,77.00,68.00,71.00,62915200
11-Nov-14,63.00,80.00,60.00,71.00,198983800
10-Nov-14,102.00,106.00,65.00,65.00,165236300
7-Nov-14,98.00,114.00,96.00,100.00,192714500
6-Nov-14,77.00,90.00,73.00,90.00,231336100
5-Nov-14,50.00,67.00,50.00,67.00,277727100
29-Sep-14,50.00,50.00,50.00,50.00,100
24-Sep-14,50.00,50.00,50.00,50.00,100
19-Sep-14,50.00,50.00,50.00,50.00,500
9-Sep-14,50.00,50.00,50.00,50.00,1400
25-Aug-14,50.00,50.00,50.00,50.00,2100
18-Aug-14,50.00,50.00,50.00,50.00,100
15-Aug-14,50.00,50.00,50.00,50.00,500
14-Aug-14,50.00,50.00,50.00,50.00,460900
12-Aug-14,50.00,50.00,50.00,50.00,100
