Date,Open,High,Low,Close,Volume
29-Dec-17,342.00,344.00,342.00,342.00,76000
28-Dec-17,342.00,344.00,342.00,344.00,118200
27-Dec-17,342.00,342.00,340.00,342.00,84100
22-Dec-17,340.00,342.00,334.00,342.00,141800
21-Dec-17,338.00,340.00,336.00,340.00,155400
20-Dec-17,340.00,342.00,336.00,340.00,399800
19-Dec-17,340.00,342.00,338.00,340.00,580100
18-Dec-17,350.00,350.00,340.00,342.00,19800
15-Dec-17,338.00,344.00,336.00,340.00,2417600
14-Dec-17,340.00,342.00,338.00,340.00,301400
13-Dec-17,338.00,340.00,338.00,340.00,25100
12-Dec-17,342.00,342.00,334.00,340.00,463700
11-Dec-17,342.00,344.00,334.00,342.00,2761000
8-Dec-17,344.00,344.00,338.00,344.00,478900
7-Dec-17,360.00,360.00,340.00,344.00,430400
6-Dec-17,346.00,352.00,346.00,348.00,198600
5-Dec-17,348.00,352.00,342.00,352.00,177000
4-Dec-17,350.00,350.00,342.00,348.00,150800
30-Nov-17,356.00,356.00,348.00,350.00,2141400
29-Nov-17,370.00,370.00,348.00,352.00,226200
28-Nov-17,370.00,370.00,346.00,350.00,108600
27-Nov-17,352.00,370.00,348.00,350.00,248300
24-Nov-17,354.00,354.00,344.00,348.00,912900
23-Nov-17,362.00,362.00,354.00,354.00,1472900
22-Nov-17,366.00,366.00,360.00,362.00,682400
21-Nov-17,368.00,368.00,362.00,366.00,442700
20-Nov-17,368.00,370.00,364.00,370.00,356900
17-Nov-17,368.00,374.00,366.00,370.00,2869200
16-Nov-17,372.00,374.00,364.00,372.00,1066000
15-Nov-17,370.00,386.00,370.00,372.00,41400
14-Nov-17,370.00,370.00,364.00,370.00,130800
13-Nov-17,370.00,370.00,364.00,366.00,86100
10-Nov-17,370.00,370.00,362.00,370.00,100500
9-Nov-17,372.00,372.00,366.00,370.00,143600
8-Nov-17,372.00,372.00,364.00,370.00,297800
7-Nov-17,370.00,378.00,364.00,370.00,1390100
6-Nov-17,372.00,374.00,366.00,370.00,233300
3-Nov-17,380.00,382.00,366.00,370.00,3572000
2-Nov-17,382.00,384.00,380.00,382.00,374500
1-Nov-17,386.00,386.00,382.00,384.00,221500
31-Oct-17,390.00,396.00,382.00,384.00,248800
30-Oct-17,384.00,400.00,384.00,386.00,202700
27-Oct-17,398.00,398.00,372.00,398.00,2154200
26-Oct-17,410.00,410.00,388.00,400.00,875800
25-Oct-17,398.00,400.00,398.00,400.00,196600
24-Oct-17,414.00,414.00,392.00,400.00,538600
23-Oct-17,414.00,414.00,400.00,404.00,74900
20-Oct-17,406.00,406.00,400.00,402.00,230800
19-Oct-17,410.00,412.00,404.00,406.00,117200
18-Oct-17,416.00,416.00,402.00,406.00,213100
17-Oct-17,420.00,420.00,410.00,418.00,60400
16-Oct-17,414.00,424.00,408.00,420.00,153700
13-Oct-17,418.00,420.00,412.00,420.00,68900
12-Oct-17,410.00,418.00,410.00,416.00,39400
11-Oct-17,412.00,414.00,408.00,414.00,309300
10-Oct-17,420.00,424.00,410.00,412.00,345300
9-Oct-17,416.00,422.00,410.00,412.00,80600
6-Oct-17,418.00,428.00,412.00,416.00,10900
5-Oct-17,418.00,418.00,410.00,410.00,156600
4-Oct-17,418.00,418.00,408.00,416.00,538600
3-Oct-17,420.00,420.00,414.00,418.00,377000
2-Oct-17,420.00,420.00,416.00,420.00,81000
29-Sep-17,420.00,420.00,412.00,420.00,2058000
28-Sep-17,410.00,424.00,408.00,418.00,30200
27-Sep-17,410.00,410.00,400.00,404.00,1350000
26-Sep-17,424.00,424.00,402.00,410.00,1082600
25-Sep-17,432.00,432.00,418.00,418.00,127900
22-Sep-17,426.00,428.00,410.00,424.00,178800
20-Sep-17,430.00,430.00,424.00,428.00,5772800
19-Sep-17,430.00,430.00,426.00,428.00,162400
18-Sep-17,428.00,430.00,422.00,430.00,2952300
15-Sep-17,430.00,430.00,428.00,430.00,2306500
14-Sep-17,422.00,436.00,422.00,428.00,902600
13-Sep-17,430.00,430.00,416.00,428.00,1510100
12-Sep-17,424.00,428.00,420.00,424.00,134500
11-Sep-17,424.00,428.00,414.00,428.00,123500
8-Sep-17,428.00,434.00,426.00,428.00,129400
7-Sep-17,430.00,432.00,428.00,428.00,2077200
6-Sep-17,436.00,436.00,424.00,430.00,2632600
5-Sep-17,430.00,436.00,426.00,436.00,13069000
4-Sep-17,428.00,436.00,426.00,428.00,23096900
31-Aug-17,440.00,440.00,428.00,430.00,87200
30-Aug-17,430.00,432.00,428.00,430.00,1884700
29-Aug-17,444.00,444.00,422.00,428.00,827000
28-Aug-17,450.00,450.00,438.00,450.00,38500
25-Aug-17,474.00,480.00,454.00,456.00,136900
24-Aug-17,434.00,480.00,426.00,480.00,1705000
23-Aug-17,436.00,436.00,428.00,430.00,396100
22-Aug-17,438.00,438.00,424.00,432.00,1425400
21-Aug-17,438.00,438.00,432.00,432.00,425200
18-Aug-17,440.00,440.00,430.00,438.00,161700
16-Aug-17,440.00,454.00,430.00,434.00,7513000
15-Aug-17,444.00,458.00,432.00,440.00,491500
14-Aug-17,442.00,444.00,440.00,442.00,13500
11-Aug-17,450.00,450.00,442.00,442.00,2500
10-Aug-17,450.00,450.00,440.00,444.00,13826400
9-Aug-17,442.00,444.00,442.00,444.00,700
8-Aug-17,434.00,448.00,424.00,444.00,463900
7-Aug-17,440.00,444.00,434.00,440.00,203800
4-Aug-17,440.00,440.00,438.00,440.00,1529300
3-Aug-17,444.00,448.00,440.00,444.00,965300
2-Aug-17,446.00,448.00,440.00,444.00,3693500
1-Aug-17,450.00,450.00,444.00,444.00,3967400
31-Jul-17,420.00,450.00,420.00,442.00,837600
28-Jul-17,450.00,450.00,446.00,446.00,605600
27-Jul-17,450.00,452.00,440.00,440.00,776900
26-Jul-17,456.00,460.00,450.00,450.00,1277900
25-Jul-17,460.00,462.00,456.00,456.00,1284100
24-Jul-17,456.00,462.00,454.00,456.00,275400
21-Jul-17,458.00,474.00,452.00,456.00,293300
20-Jul-17,470.00,470.00,458.00,458.00,225300
19-Jul-17,474.00,476.00,470.00,470.00,46500
18-Jul-17,470.00,480.00,470.00,480.00,48900
17-Jul-17,460.00,478.00,460.00,466.00,40700
14-Jul-17,474.00,474.00,438.00,460.00,142100
13-Jul-17,494.00,494.00,478.00,478.00,24600
12-Jul-17,478.00,494.00,476.00,494.00,5082800
11-Jul-17,476.00,478.00,476.00,478.00,3100
10-Jul-17,478.00,478.00,470.00,478.00,2317500
7-Jul-17,480.00,480.00,476.00,478.00,428700
6-Jul-17,480.00,482.00,480.00,482.00,99600
5-Jul-17,470.00,482.00,470.00,480.00,652400
4-Jul-17,476.00,480.00,460.00,476.00,5061600
3-Jul-17,480.00,480.00,456.00,476.00,6329900
22-Jun-17,448.00,480.00,444.00,480.00,5482900
21-Jun-17,440.00,448.00,440.00,446.00,1334200
20-Jun-17,448.00,450.00,448.00,450.00,3968800
19-Jun-17,448.00,454.00,442.00,448.00,105900
16-Jun-17,450.00,450.00,444.00,448.00,1208800
15-Jun-17,444.00,450.00,442.00,450.00,96400
14-Jun-17,446.00,446.00,438.00,440.00,410500
13-Jun-17,440.00,450.00,434.00,440.00,140200
12-Jun-17,438.00,446.00,430.00,432.00,116100
9-Jun-17,438.00,438.00,428.00,436.00,167500
8-Jun-17,440.00,440.00,428.00,428.00,6142900
7-Jun-17,434.00,446.00,426.00,430.00,10857500
6-Jun-17,444.00,460.00,426.00,434.00,1962400
5-Jun-17,446.00,446.00,442.00,446.00,293500
2-Jun-17,434.00,456.00,430.00,444.00,9116000
31-May-17,448.00,450.00,424.00,424.00,71626900
30-May-17,450.00,450.00,438.00,438.00,3151900
29-May-17,446.00,452.00,444.00,450.00,3053700
26-May-17,468.00,468.00,430.00,440.00,2091500
24-May-17,460.00,470.00,450.00,450.00,18000
23-May-17,476.00,476.00,456.00,460.00,2142400
22-May-17,500.00,500.00,476.00,478.00,424500
19-May-17,460.00,500.00,434.00,500.00,4697100
18-May-17,460.00,460.00,432.00,454.00,5826200
17-May-17,466.00,466.00,430.00,460.00,4308500
16-May-17,476.00,478.00,466.00,468.00,1195700
15-May-17,468.00,476.00,468.00,476.00,387500
12-May-17,474.00,480.00,468.00,470.00,2832100
10-May-17,494.00,496.00,468.00,474.00,2704900
