Date,Open,High,Low,Close,Volume
29-Dec-17,50.00,50.00,50.00,50.00,123600
28-Dec-17,50.00,50.00,50.00,50.00,112500
27-Dec-17,50.00,50.00,50.00,50.00,85600
22-Dec-17,50.00,50.00,50.00,50.00,3800
21-Dec-17,50.00,50.00,50.00,50.00,700
20-Dec-17,50.00,50.00,50.00,50.00,100300
19-Dec-17,50.00,50.00,50.00,50.00,700
18-Dec-17,50.00,50.00,50.00,50.00,3200
15-Dec-17,50.00,50.00,50.00,50.00,4100
14-Dec-17,50.00,50.00,50.00,50.00,600
13-Dec-17,50.00,50.00,50.00,50.00,200
12-Dec-17,50.00,50.00,50.00,50.00,21000
11-Dec-17,50.00,50.00,50.00,50.00,3400
8-Dec-17,50.00,50.00,50.00,50.00,14200
7-Dec-17,50.00,50.00,50.00,50.00,4300
6-Dec-17,50.00,50.00,50.00,50.00,209300
5-Dec-17,50.00,50.00,50.00,50.00,5400
4-Dec-17,50.00,50.00,50.00,50.00,4100
30-Nov-17,50.00,50.00,50.00,50.00,13200
29-Nov-17,50.00,50.00,50.00,50.00,103400
28-Nov-17,50.00,50.00,50.00,50.00,1200
27-Nov-17,50.00,50.00,50.00,50.00,5300
24-Nov-17,50.00,50.00,50.00,50.00,8700
23-Nov-17,50.00,50.00,50.00,50.00,154000
22-Nov-17,50.00,50.00,50.00,50.00,23900
21-Nov-17,50.00,50.00,50.00,50.00,2000
20-Nov-17,50.00,50.00,50.00,50.00,11800
17-Nov-17,50.00,50.00,50.00,50.00,7000
16-Nov-17,50.00,50.00,50.00,50.00,102900
15-Nov-17,50.00,50.00,50.00,50.00,47600
14-Nov-17,50.00,50.00,50.00,50.00,17100
13-Nov-17,50.00,50.00,50.00,50.00,65400
10-Nov-17,50.00,50.00,50.00,50.00,2700
9-Nov-17,50.00,50.00,50.00,50.00,300
8-Nov-17,50.00,50.00,50.00,50.00,500
7-Nov-17,50.00,50.00,50.00,50.00,46900
6-Nov-17,50.00,50.00,50.00,50.00,6100
