Date,Open,High,Low,Close,Volume
29-Dec-17,155.00,172.00,148.00,168.00,12000
28-Dec-17,145.00,172.00,145.00,155.00,20100
27-Dec-17,170.00,170.00,140.00,145.00,47600
22-Dec-17,170.00,170.00,170.00,170.00,1400
21-Dec-17,-,-,-,170.00,0
20-Dec-17,-,-,-,170.00,0
19-Dec-17,-,-,-,170.00,0
18-Dec-17,165.00,170.00,165.00,170.00,700
15-Dec-17,-,-,-,165.00,0
14-Dec-17,170.00,170.00,165.00,165.00,5200
13-Dec-17,-,-,-,165.00,0
12-Dec-17,174.00,174.00,165.00,165.00,600
11-Dec-17,-,-,-,175.00,0
8-Dec-17,180.00,180.00,175.00,175.00,300
7-Dec-17,160.00,160.00,160.00,160.00,200
6-Dec-17,170.00,170.00,152.00,160.00,1600
5-Dec-17,180.00,180.00,159.00,160.00,13300
4-Dec-17,-,-,-,171.00,0
30-Nov-17,180.00,180.00,171.00,171.00,600
29-Nov-17,165.00,165.00,165.00,165.00,500
28-Nov-17,165.00,165.00,165.00,165.00,3000
27-Nov-17,158.00,170.00,154.00,170.00,10900
24-Nov-17,175.00,175.00,162.00,165.00,5300
23-Nov-17,180.00,180.00,165.00,168.00,18600
22-Nov-17,188.00,188.00,174.00,174.00,2800
21-Nov-17,156.00,168.00,156.00,168.00,1400
20-Nov-17,158.00,184.00,158.00,158.00,9000
17-Nov-17,167.00,167.00,167.00,167.00,1000
16-Nov-17,156.00,168.00,156.00,168.00,22100
15-Nov-17,163.00,163.00,163.00,163.00,200
14-Nov-17,-,-,-,163.00,0
13-Nov-17,158.00,163.00,158.00,163.00,6000
10-Nov-17,158.00,158.00,158.00,158.00,1900
9-Nov-17,160.00,160.00,150.00,158.00,10900
8-Nov-17,160.00,160.00,160.00,160.00,300
7-Nov-17,165.00,165.00,157.00,163.00,2600
6-Nov-17,-,-,-,163.00,0
3-Nov-17,-,-,-,163.00,0
2-Nov-17,157.00,163.00,157.00,163.00,2800
1-Nov-17,154.00,180.00,153.00,159.00,13500
31-Oct-17,157.00,159.00,154.00,154.00,10100
30-Oct-17,154.00,162.00,154.00,159.00,6100
27-Oct-17,159.00,163.00,154.00,160.00,12400
26-Oct-17,160.00,160.00,160.00,160.00,100
25-Oct-17,162.00,162.00,155.00,160.00,6200
