Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,1015.00,0
28-Dec-17,1015.00,1015.00,1015.00,1015.00,5000
27-Dec-17,1015.00,1015.00,1015.00,1015.00,1200
22-Dec-17,-,-,-,1050.00,0
21-Dec-17,-,-,-,1050.00,0
20-Dec-17,1050.00,1050.00,1050.00,1050.00,15000
19-Dec-17,1030.00,1030.00,1030.00,1030.00,7200
18-Dec-17,1025.00,1025.00,1025.00,1025.00,100
15-Dec-17,1100.00,1100.00,1050.00,1050.00,30100
14-Dec-17,-,-,-,1100.00,0
13-Dec-17,1100.00,1100.00,1100.00,1100.00,100
12-Dec-17,-,-,-,1050.00,0
11-Dec-17,1050.00,1050.00,1050.00,1050.00,15500
8-Dec-17,-,-,-,1100.00,0
7-Dec-17,-,-,-,1100.00,0
6-Dec-17,1080.00,1100.00,1080.00,1100.00,15600
5-Dec-17,1050.00,1050.00,1050.00,1050.00,1100
4-Dec-17,1100.00,1100.00,1100.00,1100.00,9100
30-Nov-17,1100.00,1100.00,1100.00,1100.00,9100
29-Nov-17,-,-,-,1100.00,0
28-Nov-17,1100.00,1100.00,1100.00,1100.00,211700
27-Nov-17,-,-,-,1100.00,0
24-Nov-17,1050.00,1100.00,1050.00,1100.00,274100
23-Nov-17,1050.00,1050.00,1050.00,1050.00,100
22-Nov-17,-,-,-,1060.00,0
21-Nov-17,-,-,-,1060.00,0
20-Nov-17,-,-,-,1060.00,0
17-Nov-17,-,-,-,1060.00,0
16-Nov-17,-,-,-,1060.00,0
15-Nov-17,-,-,-,1060.00,0
14-Nov-17,-,-,-,1060.00,0
13-Nov-17,-,-,-,1060.00,0
10-Nov-17,-,-,-,1060.00,0
9-Nov-17,-,-,-,1060.00,0
8-Nov-17,-,-,-,1060.00,0
7-Nov-17,-,-,-,1060.00,0
6-Nov-17,-,-,-,1060.00,0
3-Nov-17,1060.00,1060.00,1060.00,1060.00,100
2-Nov-17,-,-,-,1080.00,0
1-Nov-17,-,-,-,1080.00,0
31-Oct-17,-,-,-,1080.00,0
30-Oct-17,1080.00,1080.00,1080.00,1080.00,3000
27-Oct-17,-,-,-,1080.00,0
26-Oct-17,-,-,-,1080.00,0
25-Oct-17,-,-,-,1080.00,0
24-Oct-17,1080.00,1080.00,1080.00,1080.00,1100
23-Oct-17,-,-,-,1080.00,0
20-Oct-17,1080.00,1080.00,1080.00,1080.00,100
19-Oct-17,-,-,-,1080.00,0
18-Oct-17,1080.00,1080.00,1080.00,1080.00,100
17-Oct-17,1080.00,1080.00,1080.00,1080.00,200
16-Oct-17,-,-,-,1080.00,0
13-Oct-17,1080.00,1080.00,1080.00,1080.00,100
12-Oct-17,1075.00,1075.00,1070.00,1070.00,4100
11-Oct-17,1075.00,1075.00,1075.00,1075.00,5000
10-Oct-17,1070.00,1070.00,1070.00,1070.00,2200
9-Oct-17,-,-,-,1070.00,0
6-Oct-17,-,-,-,1070.00,0
5-Oct-17,1070.00,1070.00,1070.00,1070.00,100
4-Oct-17,-,-,-,1070.00,0
3-Oct-17,1070.00,1070.00,1070.00,1070.00,100
2-Oct-17,-,-,-,1070.00,0
29-Sep-17,1050.00,1070.00,1050.00,1070.00,20100
28-Sep-17,-,-,-,1060.00,0
27-Sep-17,-,-,-,1060.00,0
26-Sep-17,1060.00,1060.00,1060.00,1060.00,3100
25-Sep-17,-,-,-,1060.00,0
22-Sep-17,-,-,-,1060.00,0
20-Sep-17,1060.00,1060.00,1060.00,1060.00,7500
19-Sep-17,-,-,-,1050.00,0
18-Sep-17,-,-,-,1050.00,0
15-Sep-17,1050.00,1050.00,1050.00,1050.00,1800
14-Sep-17,1050.00,1050.00,1050.00,1050.00,1300
13-Sep-17,1050.00,1050.00,1030.00,1030.00,4200
12-Sep-17,1050.00,1050.00,1050.00,1050.00,5500
11-Sep-17,1060.00,1060.00,1050.00,1050.00,18600
8-Sep-17,1135.00,1140.00,1135.00,1140.00,20000
7-Sep-17,-,-,-,1140.00,0
6-Sep-17,-,-,-,1140.00,0
5-Sep-17,1140.00,1140.00,1140.00,1140.00,1000
