Date,Open,High,Low,Close,Volume
29-Dec-17,1290.00,1310.00,1285.00,1310.00,18200
28-Dec-17,1300.00,1300.00,1300.00,1300.00,40100
27-Dec-17,1300.00,1350.00,1300.00,1300.00,99700
22-Dec-17,1300.00,1350.00,1260.00,1350.00,39100
21-Dec-17,1300.00,1325.00,1275.00,1300.00,8200
20-Dec-17,1300.00,1300.00,1300.00,1300.00,400
19-Dec-17,1295.00,1295.00,1260.00,1270.00,17000
18-Dec-17,1300.00,1300.00,1250.00,1295.00,10400
15-Dec-17,1300.00,1300.00,1250.00,1295.00,21900
14-Dec-17,1300.00,1300.00,1300.00,1300.00,300
13-Dec-17,1300.00,1300.00,1300.00,1300.00,100
12-Dec-17,1290.00,1300.00,1280.00,1285.00,141500
11-Dec-17,1300.00,1300.00,1280.00,1290.00,709300
8-Dec-17,1300.00,1315.00,1270.00,1280.00,136900
7-Dec-17,1270.00,1300.00,1260.00,1300.00,5800
6-Dec-17,1270.00,1270.00,1270.00,1270.00,33700
5-Dec-17,1290.00,1290.00,1260.00,1260.00,20400
4-Dec-17,1370.00,1370.00,1280.00,1280.00,868400
30-Nov-17,1365.00,1365.00,1330.00,1360.00,36200
29-Nov-17,1340.00,1365.00,1340.00,1365.00,112200
28-Nov-17,1330.00,1350.00,1330.00,1340.00,22400
27-Nov-17,1350.00,1365.00,1350.00,1365.00,1500
24-Nov-17,1335.00,1345.00,1335.00,1345.00,3600
23-Nov-17,-,-,-,1335.00,0
22-Nov-17,1330.00,1385.00,1330.00,1335.00,6100
21-Nov-17,1350.00,1350.00,1330.00,1330.00,240600
20-Nov-17,1380.00,1410.00,1345.00,1345.00,266000
17-Nov-17,1390.00,1390.00,1370.00,1370.00,900
16-Nov-17,1340.00,1390.00,1340.00,1365.00,54400
15-Nov-17,1370.00,1390.00,1340.00,1340.00,102700
14-Nov-17,1380.00,1390.00,1370.00,1370.00,176900
13-Nov-17,1390.00,1435.00,1390.00,1390.00,1063900
10-Nov-17,1385.00,1400.00,1370.00,1390.00,16800
9-Nov-17,1420.00,1435.00,1390.00,1390.00,587400
8-Nov-17,1420.00,1420.00,1405.00,1420.00,4800
7-Nov-17,1420.00,1450.00,1370.00,1395.00,167400
6-Nov-17,1385.00,1500.00,1380.00,1400.00,298800
3-Nov-17,1350.00,1400.00,1330.00,1385.00,1242200
2-Nov-17,1330.00,1400.00,1325.00,1330.00,4542900
1-Nov-17,1330.00,1335.00,1325.00,1330.00,2292400
31-Oct-17,1325.00,1335.00,1300.00,1330.00,606500
30-Oct-17,1335.00,1335.00,1290.00,1300.00,217000
27-Oct-17,1330.00,1330.00,1330.00,1330.00,464500
26-Oct-17,1335.00,1340.00,1330.00,1330.00,752600
25-Oct-17,1340.00,1345.00,1330.00,1330.00,751200
24-Oct-17,1350.00,1350.00,1330.00,1340.00,49500
23-Oct-17,1360.00,1360.00,1345.00,1350.00,525500
20-Oct-17,1360.00,1360.00,1360.00,1360.00,6100
19-Oct-17,1360.00,1370.00,1360.00,1360.00,18900
18-Oct-17,1375.00,1375.00,1370.00,1370.00,2300
17-Oct-17,1390.00,1390.00,1375.00,1375.00,4100
16-Oct-17,1365.00,1395.00,1365.00,1395.00,213500
13-Oct-17,1390.00,1400.00,1375.00,1395.00,220700
12-Oct-17,1375.00,1375.00,1355.00,1375.00,261200
11-Oct-17,1390.00,1390.00,1370.00,1375.00,531900
10-Oct-17,1410.00,1415.00,1380.00,1400.00,529900
9-Oct-17,1400.00,1410.00,1380.00,1380.00,1042400
6-Oct-17,1400.00,1420.00,1400.00,1400.00,278100
5-Oct-17,1410.00,1415.00,1400.00,1400.00,519300
4-Oct-17,1410.00,1415.00,1410.00,1415.00,71100
3-Oct-17,1410.00,1410.00,1375.00,1405.00,50300
2-Oct-17,1410.00,1410.00,1410.00,1410.00,1000
29-Sep-17,1420.00,1420.00,1415.00,1415.00,11500
28-Sep-17,1400.00,1420.00,1400.00,1420.00,9500
27-Sep-17,1410.00,1410.00,1400.00,1400.00,7000
26-Sep-17,1420.00,1420.00,1400.00,1410.00,81900
25-Sep-17,1430.00,1430.00,1420.00,1420.00,74300
22-Sep-17,1430.00,1430.00,1430.00,1430.00,512700
20-Sep-17,1450.00,1450.00,1430.00,1430.00,508600
19-Sep-17,1440.00,1450.00,1440.00,1450.00,7900
18-Sep-17,1450.00,1450.00,1440.00,1440.00,28500
15-Sep-17,1450.00,1450.00,1445.00,1450.00,8500
14-Sep-17,1450.00,1450.00,1445.00,1450.00,524800
13-Sep-17,1460.00,1465.00,1460.00,1460.00,4000
