Date,Open,High,Low,Close,Volume
29-Dec-17,585.00,650.00,585.00,600.00,62300
28-Dec-17,550.00,640.00,550.00,640.00,43000
27-Dec-17,550.00,550.00,550.00,550.00,100
22-Dec-17,560.00,560.00,515.00,535.00,1700
21-Dec-17,-,-,-,560.00,0
20-Dec-17,540.00,560.00,540.00,560.00,300
19-Dec-17,540.00,540.00,540.00,540.00,100
18-Dec-17,570.00,570.00,570.00,570.00,2100
15-Dec-17,515.00,515.00,515.00,515.00,600
14-Dec-17,460.00,600.00,460.00,595.00,24300
13-Dec-17,-,-,-,570.00,0
12-Dec-17,550.00,570.00,550.00,570.00,200
11-Dec-17,-,-,-,550.00,0
8-Dec-17,555.00,555.00,510.00,550.00,2900
7-Dec-17,550.00,560.00,550.00,555.00,2100
6-Dec-17,515.00,550.00,460.00,550.00,3400
5-Dec-17,570.00,570.00,515.00,515.00,300
4-Dec-17,-,-,-,570.00,0
30-Nov-17,580.00,580.00,570.00,570.00,200
29-Nov-17,550.00,550.00,515.00,550.00,1200
28-Nov-17,555.00,555.00,555.00,555.00,100
27-Nov-17,530.00,550.00,525.00,545.00,3900
24-Nov-17,530.00,530.00,530.00,530.00,600
23-Nov-17,535.00,570.00,530.00,550.00,16900
22-Nov-17,570.00,590.00,540.00,550.00,1700
21-Nov-17,570.00,570.00,570.00,570.00,1100
20-Nov-17,575.00,600.00,575.00,600.00,2400
17-Nov-17,-,-,-,570.00,0
16-Nov-17,560.00,575.00,555.00,570.00,4200
15-Nov-17,555.00,585.00,555.00,560.00,14900
14-Nov-17,600.00,600.00,595.00,595.00,2800
13-Nov-17,610.00,610.00,605.00,605.00,500
10-Nov-17,590.00,600.00,550.00,600.00,4900
9-Nov-17,630.00,630.00,595.00,595.00,1600
8-Nov-17,600.00,600.00,595.00,595.00,16500
7-Nov-17,665.00,700.00,600.00,600.00,24200
6-Nov-17,685.00,685.00,600.00,600.00,9400
3-Nov-17,605.00,615.00,585.00,600.00,50900
2-Nov-17,650.00,740.00,605.00,605.00,51700
1-Nov-17,900.00,900.00,675.00,675.00,169300
31-Oct-17,785.00,900.00,600.00,900.00,305800
30-Oct-17,630.00,790.00,580.00,790.00,124400
27-Oct-17,590.00,640.00,590.00,640.00,15500
26-Oct-17,575.00,620.00,575.00,590.00,10000
25-Oct-17,560.00,655.00,515.00,570.00,43200
24-Oct-17,560.00,595.00,560.00,560.00,15400
23-Oct-17,585.00,610.00,580.00,580.00,18900
20-Oct-17,585.00,645.00,570.00,580.00,36900
19-Oct-17,660.00,660.00,565.00,565.00,69800
18-Oct-17,525.00,680.00,525.00,680.00,1300
17-Oct-17,690.00,695.00,680.00,690.00,3400
16-Oct-17,820.00,820.00,665.00,700.00,25100
13-Oct-17,820.00,950.00,770.00,790.00,10700
12-Oct-17,770.00,975.00,755.00,820.00,2392300
11-Oct-17,-,-,-,820.00,0
10-Oct-17,950.00,950.00,730.00,820.00,5800
9-Oct-17,975.00,975.00,975.00,975.00,4300
6-Oct-17,730.00,975.00,665.00,975.00,102300
5-Oct-17,650.00,780.00,590.00,780.00,49400
4-Oct-17,555.00,675.00,555.00,625.00,14700
3-Oct-17,550.00,635.00,505.00,635.00,57900
2-Oct-17,595.00,595.00,490.00,510.00,10000
29-Sep-17,535.00,575.00,535.00,570.00,11300
