Date,Open,High,Low,Close,Volume
29-Dec-17,840.00,895.00,735.00,890.00,4100
28-Dec-17,800.00,800.00,755.00,780.00,4000
27-Dec-17,700.00,840.00,700.00,840.00,1100
22-Dec-17,715.00,790.00,715.00,785.00,1500
21-Dec-17,715.00,800.00,715.00,800.00,1400
20-Dec-17,960.00,960.00,850.00,850.00,400
19-Dec-17,770.00,820.00,710.00,770.00,3800
18-Dec-17,705.00,770.00,705.00,770.00,2800
15-Dec-17,750.00,800.00,750.00,775.00,4200
14-Dec-17,770.00,800.00,750.00,750.00,5700
13-Dec-17,835.00,835.00,755.00,830.00,7000
12-Dec-17,835.00,835.00,835.00,835.00,100
11-Dec-17,800.00,835.00,755.00,835.00,15900
8-Dec-17,995.00,995.00,850.00,850.00,1300
7-Dec-17,1070.00,1070.00,770.00,805.00,7000
6-Dec-17,-,-,-,950.00,0
5-Dec-17,975.00,975.00,950.00,950.00,2200
4-Dec-17,800.00,950.00,800.00,945.00,4700
30-Nov-17,800.00,800.00,780.00,800.00,1700
29-Nov-17,810.00,810.00,665.00,800.00,5400
28-Nov-17,940.00,940.00,800.00,800.00,1800
27-Nov-17,775.00,965.00,705.00,795.00,3000
24-Nov-17,700.00,780.00,700.00,775.00,9200
23-Nov-17,865.00,865.00,660.00,660.00,200
22-Nov-17,870.00,870.00,870.00,870.00,300
21-Nov-17,875.00,875.00,870.00,870.00,1300
20-Nov-17,790.00,875.00,790.00,875.00,2600
17-Nov-17,-,-,-,790.00,0
16-Nov-17,-,-,-,790.00,0
15-Nov-17,790.00,790.00,790.00,790.00,100
14-Nov-17,-,-,-,790.00,0
13-Nov-17,-,-,-,790.00,0
10-Nov-17,750.00,790.00,750.00,790.00,2200
9-Nov-17,-,-,-,790.00,0
8-Nov-17,790.00,790.00,790.00,790.00,300
7-Nov-17,-,-,-,800.00,0
6-Nov-17,810.00,810.00,800.00,800.00,4500
3-Nov-17,735.00,735.00,735.00,735.00,33600
2-Nov-17,730.00,730.00,730.00,730.00,4300
1-Nov-17,735.00,735.00,730.00,730.00,19900
31-Oct-17,735.00,735.00,735.00,735.00,200
30-Oct-17,-,-,-,785.00,0
27-Oct-17,785.00,785.00,785.00,785.00,2000
26-Oct-17,720.00,720.00,720.00,720.00,2300
25-Oct-17,-,-,-,745.00,0
24-Oct-17,-,-,-,745.00,0
23-Oct-17,-,-,-,745.00,0
20-Oct-17,-,-,-,745.00,0
19-Oct-17,-,-,-,745.00,0
18-Oct-17,-,-,-,745.00,0
17-Oct-17,745.00,745.00,745.00,745.00,1500
16-Oct-17,750.00,750.00,750.00,750.00,5000
13-Oct-17,-,-,-,725.00,0
12-Oct-17,-,-,-,725.00,0
11-Oct-17,-,-,-,725.00,0
10-Oct-17,720.00,725.00,720.00,725.00,60000
9-Oct-17,-,-,-,725.00,0
6-Oct-17,725.00,725.00,725.00,725.00,40200
5-Oct-17,-,-,-,725.00,0
4-Oct-17,725.00,725.00,725.00,725.00,8100
3-Oct-17,-,-,-,720.00,0
