Date,Open,High,Low,Close,Volume
27-Aug-15,-,-,-,194.00,0
26-Aug-15,194.00,194.00,194.00,194.00,2100
25-Aug-15,194.00,194.00,194.00,194.00,10100
24-Aug-15,178.00,193.00,175.00,193.00,2800
21-Aug-15,180.00,193.00,178.00,193.00,6700
20-Aug-15,193.00,193.00,193.00,193.00,2600
19-Aug-15,193.00,193.00,180.00,180.00,2600
18-Aug-15,185.00,193.00,185.00,193.00,2500
14-Aug-15,192.00,192.00,192.00,192.00,7500
13-Aug-15,191.00,191.00,191.00,191.00,3500
12-Aug-15,190.00,190.00,190.00,190.00,100
11-Aug-15,190.00,190.00,185.00,185.00,22400
10-Aug-15,190.00,190.00,190.00,190.00,4900
7-Aug-15,190.00,190.00,190.00,190.00,4900
6-Aug-15,190.00,190.00,190.00,190.00,5000
5-Aug-15,190.00,190.00,190.00,190.00,4900
4-Aug-15,190.00,190.00,190.00,190.00,4900
3-Aug-15,190.00,190.00,190.00,190.00,4900
31-Jul-15,190.00,190.00,190.00,190.00,4900
30-Jul-15,190.00,190.00,190.00,190.00,0
29-Jul-15,190.00,190.00,190.00,190.00,8500
28-Jul-15,192.00,192.00,190.00,190.00,53800
27-Jul-15,192.00,192.00,192.00,192.00,9900
24-Jul-15,192.00,192.00,192.00,192.00,9900
23-Jul-15,192.00,192.00,192.00,192.00,9900
22-Jul-15,192.00,192.00,192.00,192.00,9900
15-Jul-15,194.00,194.00,192.00,192.00,32300
14-Jul-15,193.00,195.00,193.00,195.00,30700
13-Jul-15,193.00,194.00,192.00,194.00,30100
10-Jul-15,193.00,194.00,192.00,194.00,31000
9-Jul-15,193.00,193.00,192.00,193.00,26300
8-Jul-15,193.00,193.00,193.00,193.00,20000
7-Jul-15,194.00,194.00,193.00,193.00,19900
6-Jul-15,195.00,195.00,194.00,194.00,19900
3-Jul-15,195.00,195.00,195.00,195.00,9900
2-Jul-15,195.00,195.00,195.00,195.00,9900
1-Jul-15,195.00,195.00,195.00,195.00,445400
30-Jun-15,195.00,196.00,195.00,196.00,20500
29-Jun-15,195.00,195.00,195.00,195.00,9800
26-Jun-15,195.00,195.00,195.00,195.00,9500
25-Jun-15,195.00,195.00,194.00,195.00,20100
24-Jun-15,195.00,195.00,193.00,195.00,55700
23-Jun-15,195.00,195.00,194.00,195.00,21500
22-Jun-15,195.00,195.00,195.00,195.00,10000
19-Jun-15,195.00,195.00,195.00,195.00,10000
18-Jun-15,195.00,195.00,195.00,195.00,0
17-Jun-15,195.00,195.00,195.00,195.00,0
16-Jun-15,195.00,196.00,194.00,196.00,25400
15-Jun-15,198.00,198.00,195.00,195.00,522000
12-Jun-15,198.00,198.00,198.00,198.00,8600
11-Jun-15,199.00,199.00,198.00,199.00,13600
10-Jun-15,198.00,198.00,198.00,198.00,0
9-Jun-15,201.00,201.00,198.00,198.00,86700
8-Jun-15,202.00,202.00,201.00,201.00,33800
5-Jun-15,203.00,203.00,202.00,203.00,73500
4-Jun-15,202.00,202.00,202.00,202.00,37100
3-Jun-15,201.00,201.00,201.00,201.00,20500
1-Jun-15,201.00,202.00,200.00,202.00,101200
29-May-15,202.00,202.00,202.00,202.00,51800
28-May-15,202.00,202.00,202.00,202.00,10000
27-May-15,203.00,203.00,202.00,202.00,278800
26-May-15,204.00,204.00,203.00,203.00,150800
25-May-15,205.00,205.00,203.00,203.00,225100
22-May-15,205.00,205.00,204.00,205.00,125200
21-May-15,204.00,204.00,204.00,204.00,55000
20-May-15,205.00,205.00,204.00,205.00,369500
19-May-15,203.00,205.00,203.00,205.00,346100
18-May-15,204.00,204.00,202.00,202.00,140000
15-May-15,204.00,204.00,202.00,204.00,771900
