Date,Open,High,Low,Close,Volume
29-Dec-17,1470.00,1530.00,1470.00,1530.00,316200
28-Dec-17,1475.00,1500.00,1450.00,1500.00,346900
27-Dec-17,1450.00,1475.00,1450.00,1475.00,84000
22-Dec-17,-,-,-,1450.00,0
21-Dec-17,1495.00,1495.00,1450.00,1450.00,32500
20-Dec-17,1495.00,1495.00,1485.00,1495.00,94000
19-Dec-17,1490.00,1495.00,1490.00,1495.00,68200
18-Dec-17,1495.00,1500.00,1490.00,1500.00,96000
15-Dec-17,1490.00,1500.00,1475.00,1500.00,121200
14-Dec-17,1500.00,1500.00,1450.00,1500.00,91800
13-Dec-17,1520.00,1520.00,1480.00,1510.00,109300
12-Dec-17,1525.00,1530.00,1500.00,1520.00,109600
11-Dec-17,1470.00,1530.00,1470.00,1525.00,34137300
8-Dec-17,1210.00,1470.00,1200.00,1470.00,33848000
7-Dec-17,1305.00,1305.00,1285.00,1285.00,57000
6-Dec-17,1355.00,1355.00,1200.00,1300.00,596800
5-Dec-17,1345.00,1360.00,1330.00,1355.00,79200
4-Dec-17,1350.00,1350.00,1340.00,1345.00,46300
30-Nov-17,1310.00,1350.00,1310.00,1350.00,92000
29-Nov-17,1305.00,1310.00,1305.00,1310.00,57600
28-Nov-17,1300.00,1310.00,1300.00,1305.00,29100
27-Nov-17,1295.00,1300.00,1295.00,1300.00,53500
24-Nov-17,1295.00,1295.00,1295.00,1295.00,45500
23-Nov-17,1295.00,1295.00,1265.00,1295.00,39400
22-Nov-17,1295.00,1295.00,1295.00,1295.00,40800
21-Nov-17,1295.00,1295.00,1265.00,1295.00,53100
20-Nov-17,1295.00,1295.00,1290.00,1295.00,49000
17-Nov-17,1295.00,1295.00,1290.00,1295.00,57500
16-Nov-17,1295.00,1295.00,1290.00,1295.00,45000
15-Nov-17,1290.00,1295.00,1290.00,1295.00,42600
14-Nov-17,1290.00,1290.00,1285.00,1290.00,39000
13-Nov-17,1290.00,1290.00,1285.00,1290.00,50500
10-Nov-17,1290.00,1290.00,1285.00,1290.00,39500
9-Nov-17,1290.00,1290.00,1285.00,1290.00,24000
8-Nov-17,1285.00,1290.00,1285.00,1290.00,38000
7-Nov-17,1280.00,1290.00,1280.00,1290.00,27500
6-Nov-17,1280.00,1280.00,1275.00,1280.00,39000
3-Nov-17,1275.00,1280.00,1275.00,1280.00,41500
2-Nov-17,1260.00,1275.00,1240.00,1275.00,51100
1-Nov-17,1285.00,1290.00,1260.00,1260.00,17000
31-Oct-17,1280.00,1290.00,1280.00,1290.00,19000
30-Oct-17,1290.00,1290.00,1255.00,1280.00,36600
27-Oct-17,1285.00,1290.00,1265.00,1290.00,45000
26-Oct-17,1290.00,1290.00,1285.00,1290.00,49000
25-Oct-17,1290.00,1290.00,1285.00,1290.00,46000
24-Oct-17,1290.00,1295.00,1285.00,1290.00,55700
23-Oct-17,1290.00,1290.00,1285.00,1290.00,52500
20-Oct-17,1280.00,1290.00,1280.00,1290.00,52000
19-Oct-17,1275.00,1280.00,1260.00,1280.00,52900
18-Oct-17,1265.00,1275.00,1265.00,1275.00,57100
17-Oct-17,1275.00,1275.00,1270.00,1275.00,49000
16-Oct-17,1275.00,1275.00,1265.00,1275.00,49300
13-Oct-17,1275.00,1275.00,1270.00,1275.00,51500
12-Oct-17,1270.00,1275.00,1260.00,1275.00,48000
11-Oct-17,1270.00,1270.00,1265.00,1270.00,54000
10-Oct-17,1265.00,1270.00,1265.00,1270.00,42300
9-Oct-17,1255.00,1265.00,1240.00,1265.00,49100
6-Oct-17,1255.00,1265.00,1255.00,1255.00,30400
5-Oct-17,1285.00,1285.00,1255.00,1255.00,25700
4-Oct-17,1295.00,1305.00,1260.00,1285.00,37100
3-Oct-17,1295.00,1300.00,1290.00,1295.00,47700
2-Oct-17,1310.00,1310.00,1280.00,1300.00,73100
