Date,Open,High,Low,Close,Volume
29-Dec-17,110.00,115.00,108.00,113.00,854900
28-Dec-17,110.00,115.00,106.00,109.00,269200
27-Dec-17,106.00,115.00,106.00,109.00,1287500
22-Dec-17,115.00,118.00,104.00,106.00,710900
21-Dec-17,103.00,116.00,103.00,112.00,1543500
20-Dec-17,104.00,105.00,103.00,103.00,210500
19-Dec-17,103.00,104.00,102.00,104.00,338100
18-Dec-17,103.00,105.00,100.00,103.00,262500
15-Dec-17,106.00,106.00,103.00,103.00,140900
14-Dec-17,103.00,107.00,103.00,103.00,474500
13-Dec-17,104.00,105.00,101.00,103.00,679100
12-Dec-17,109.00,109.00,101.00,103.00,589800
11-Dec-17,108.00,111.00,107.00,109.00,1007500
8-Dec-17,118.00,118.00,108.00,108.00,738300
7-Dec-17,120.00,120.00,111.00,113.00,756900
6-Dec-17,120.00,121.00,110.00,118.00,370400
5-Dec-17,123.00,124.00,116.00,118.00,928500
4-Dec-17,128.00,128.00,122.00,123.00,1928500
30-Nov-17,132.00,132.00,127.00,128.00,824700
29-Nov-17,135.00,137.00,128.00,130.00,1296900
28-Nov-17,134.00,143.00,130.00,134.00,21405700
27-Nov-17,127.00,133.00,127.00,133.00,4016200
24-Nov-17,128.00,129.00,127.00,128.00,698500
23-Nov-17,134.00,134.00,126.00,127.00,1415200
22-Nov-17,128.00,133.00,126.00,129.00,2142500
21-Nov-17,130.00,130.00,126.00,127.00,965600
20-Nov-17,131.00,136.00,127.00,128.00,6220800
17-Nov-17,125.00,132.00,125.00,129.00,1240000
16-Nov-17,122.00,131.00,122.00,127.00,1111700
15-Nov-17,125.00,132.00,125.00,128.00,662400
14-Nov-17,127.00,136.00,127.00,130.00,808600
13-Nov-17,128.00,136.00,128.00,132.00,1636700
10-Nov-17,129.00,137.00,129.00,134.00,793800
9-Nov-17,136.00,137.00,133.00,135.00,881600
8-Nov-17,135.00,136.00,133.00,136.00,694600
7-Nov-17,140.00,140.00,133.00,135.00,1741600
6-Nov-17,140.00,141.00,137.00,137.00,2234100
3-Nov-17,140.00,142.00,138.00,138.00,2062000
2-Nov-17,139.00,149.00,137.00,138.00,7516400
1-Nov-17,143.00,143.00,139.00,139.00,771400
31-Oct-17,142.00,143.00,140.00,142.00,628500
30-Oct-17,144.00,144.00,140.00,142.00,2063700
27-Oct-17,144.00,144.00,141.00,142.00,1230700
26-Oct-17,144.00,147.00,141.00,142.00,2492600
25-Oct-17,146.00,148.00,140.00,141.00,3397700
24-Oct-17,147.00,148.00,143.00,144.00,964700
23-Oct-17,147.00,148.00,144.00,147.00,2192800
20-Oct-17,148.00,149.00,146.00,147.00,1557100
19-Oct-17,150.00,152.00,147.00,148.00,1272100
18-Oct-17,154.00,158.00,150.00,150.00,2354000
17-Oct-17,148.00,156.00,148.00,154.00,3707700
16-Oct-17,150.00,150.00,147.00,148.00,1522800
13-Oct-17,150.00,150.00,147.00,148.00,1437800
12-Oct-17,149.00,151.00,147.00,147.00,682600
11-Oct-17,150.00,151.00,148.00,149.00,598900
10-Oct-17,148.00,151.00,147.00,148.00,734100
9-Oct-17,149.00,155.00,147.00,148.00,1489000
6-Oct-17,145.00,156.00,145.00,149.00,2166300
5-Oct-17,147.00,155.00,147.00,148.00,913800
4-Oct-17,153.00,153.00,149.00,152.00,865100
3-Oct-17,150.00,153.00,148.00,149.00,781500
2-Oct-17,153.00,157.00,148.00,149.00,1743400
29-Sep-17,156.00,160.00,153.00,153.00,1159100
28-Sep-17,154.00,163.00,152.00,156.00,2076600
27-Sep-17,159.00,159.00,151.00,154.00,2082500
26-Sep-17,169.00,172.00,156.00,157.00,4391500
25-Sep-17,156.00,176.00,156.00,169.00,13824400
22-Sep-17,157.00,159.00,150.00,156.00,856200
20-Sep-17,159.00,160.00,156.00,157.00,1634500
19-Sep-17,162.00,164.00,156.00,158.00,2930900
18-Sep-17,148.00,169.00,145.00,161.00,10210300
15-Sep-17,151.00,151.00,145.00,147.00,1742200
14-Sep-17,153.00,154.00,150.00,151.00,710300
13-Sep-17,158.00,158.00,152.00,154.00,1116300
12-Sep-17,162.00,162.00,158.00,158.00,898300
11-Sep-17,161.00,170.00,158.00,161.00,2269600
8-Sep-17,156.00,173.00,154.00,160.00,4165700
7-Sep-17,163.00,165.00,154.00,156.00,2111300
6-Sep-17,160.00,164.00,158.00,160.00,4554300
5-Sep-17,149.00,172.00,141.00,158.00,16144600
4-Sep-17,153.00,155.00,146.00,146.00,1677100
31-Aug-17,158.00,161.00,150.00,152.00,1856200
30-Aug-17,163.00,163.00,154.00,158.00,2068600
29-Aug-17,170.00,170.00,160.00,163.00,3014900
28-Aug-17,172.00,179.00,168.00,168.00,1429000
25-Aug-17,172.00,173.00,170.00,171.00,1477800
24-Aug-17,174.00,176.00,170.00,171.00,2720800
23-Aug-17,176.00,182.00,171.00,174.00,3148300
22-Aug-17,186.00,190.00,175.00,175.00,5631400
21-Aug-17,170.00,195.00,166.00,186.00,15630300
18-Aug-17,183.00,183.00,169.00,170.00,7004800
16-Aug-17,189.00,190.00,183.00,183.00,4013200
15-Aug-17,193.00,196.00,188.00,189.00,2309500
14-Aug-17,200.00,200.00,191.00,192.00,3010000
11-Aug-17,200.00,206.00,195.00,196.00,7721600
10-Aug-17,194.00,202.00,194.00,200.00,3998300
9-Aug-17,196.00,202.00,193.00,196.00,6905700
8-Aug-17,208.00,208.00,194.00,196.00,12753900
7-Aug-17,228.00,228.00,195.00,200.00,18285200
4-Aug-17,230.00,230.00,222.00,224.00,2509700
3-Aug-17,224.00,238.00,222.00,222.00,7589200
2-Aug-17,228.00,230.00,222.00,222.00,3816100
1-Aug-17,234.00,234.00,224.00,226.00,2455100
31-Jul-17,232.00,232.00,224.00,230.00,1718500
28-Jul-17,238.00,240.00,222.00,230.00,5342200
27-Jul-17,236.00,248.00,232.00,236.00,9464600
26-Jul-17,230.00,242.00,230.00,234.00,6832000
25-Jul-17,234.00,242.00,228.00,228.00,5583900
24-Jul-17,244.00,250.00,230.00,232.00,4554000
21-Jul-17,252.00,256.00,236.00,242.00,11529300
20-Jul-17,224.00,272.00,222.00,250.00,58024100
19-Jul-17,214.00,234.00,214.00,222.00,21840500
18-Jul-17,268.00,278.00,212.00,214.00,34875600
17-Jul-17,270.00,284.00,262.00,264.00,7028700
14-Jul-17,276.00,278.00,266.00,268.00,3135100
13-Jul-17,288.00,290.00,270.00,274.00,6287300
12-Jul-17,292.00,294.00,282.00,284.00,3850500
11-Jul-17,292.00,304.00,288.00,290.00,7443700
10-Jul-17,300.00,326.00,286.00,288.00,14863000
7-Jul-17,262.00,304.00,260.00,300.00,29100800
6-Jul-17,260.00,268.00,256.00,262.00,2106400
5-Jul-17,260.00,274.00,254.00,260.00,3590800
4-Jul-17,280.00,286.00,260.00,260.00,6193600
3-Jul-17,276.00,288.00,276.00,280.00,3557600
22-Jun-17,286.00,292.00,274.00,274.00,5671300
21-Jun-17,308.00,336.00,276.00,284.00,31660700
20-Jun-17,314.00,314.00,290.00,300.00,10686600
19-Jun-17,318.00,328.00,306.00,306.00,6881300
16-Jun-17,330.00,342.00,312.00,316.00,27196500
15-Jun-17,318.00,356.00,316.00,328.00,42011800
14-Jun-17,324.00,340.00,300.00,318.00,29411900
13-Jun-17,268.00,326.00,256.00,322.00,50547000
12-Jun-17,268.00,274.00,254.00,264.00,5678100
9-Jun-17,294.00,298.00,264.00,266.00,18793500
8-Jun-17,256.00,312.00,250.00,292.00,86160200
7-Jun-17,224.00,268.00,210.00,252.00,43374600
