Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,525.00,0
28-Dec-17,-,-,-,525.00,0
27-Dec-17,-,-,-,525.00,0
22-Dec-17,525.00,525.00,525.00,525.00,100
21-Dec-17,-,-,-,515.00,0
20-Dec-17,482.00,515.00,482.00,515.00,2100
19-Dec-17,492.00,505.00,492.00,505.00,400
18-Dec-17,-,-,-,525.00,0
15-Dec-17,-,-,-,525.00,0
14-Dec-17,-,-,-,525.00,0
13-Dec-17,-,-,-,525.00,0
12-Dec-17,-,-,-,525.00,0
11-Dec-17,-,-,-,525.00,0
8-Dec-17,525.00,525.00,525.00,525.00,1000
7-Dec-17,540.00,540.00,540.00,540.00,400
6-Dec-17,560.00,560.00,560.00,560.00,100
5-Dec-17,-,-,-,545.00,0
4-Dec-17,-,-,-,545.00,0
30-Nov-17,-,-,-,545.00,0
29-Nov-17,-,-,-,545.00,0
28-Nov-17,545.00,545.00,545.00,545.00,100
27-Nov-17,520.00,555.00,520.00,555.00,300
24-Nov-17,545.00,545.00,520.00,520.00,2200
23-Nov-17,545.00,555.00,505.00,555.00,7200
22-Nov-17,468.00,590.00,468.00,590.00,9400
21-Nov-17,605.00,605.00,605.00,605.00,100
20-Nov-17,590.00,590.00,580.00,580.00,2100
17-Nov-17,-,-,-,595.00,0
16-Nov-17,590.00,630.00,590.00,595.00,1600
15-Nov-17,550.00,550.00,520.00,540.00,9100
14-Nov-17,555.00,555.00,555.00,555.00,100
13-Nov-17,620.00,690.00,515.00,570.00,4900
10-Nov-17,630.00,630.00,484.00,570.00,5800
9-Nov-17,630.00,630.00,575.00,580.00,10400
8-Nov-17,505.00,510.00,505.00,510.00,17000
7-Nov-17,452.00,452.00,452.00,452.00,200
6-Nov-17,-,-,-,560.00,0
3-Nov-17,-,-,-,560.00,0
2-Nov-17,-,-,-,560.00,0
1-Nov-17,-,-,-,560.00,0
31-Oct-17,-,-,-,560.00,0
30-Oct-17,-,-,-,560.00,0
27-Oct-17,-,-,-,560.00,0
26-Oct-17,-,-,-,560.00,0
25-Oct-17,-,-,-,560.00,0
24-Oct-17,-,-,-,560.00,0
23-Oct-17,-,-,-,560.00,0
20-Oct-17,-,-,-,560.00,0
19-Oct-17,-,-,-,560.00,0
18-Oct-17,-,-,-,560.00,0
17-Oct-17,-,-,-,560.00,0
16-Oct-17,-,-,-,560.00,0
13-Oct-17,560.00,560.00,560.00,560.00,100
12-Oct-17,555.00,555.00,555.00,555.00,900
11-Oct-17,-,-,-,486.00,0
10-Oct-17,-,-,-,486.00,0
9-Oct-17,-,-,-,486.00,0
6-Oct-17,600.00,600.00,486.00,486.00,300
5-Oct-17,-,-,-,615.00,0
4-Oct-17,-,-,-,615.00,0
3-Oct-17,-,-,-,615.00,0
2-Oct-17,-,-,-,615.00,0
29-Sep-17,-,-,-,615.00,0
28-Sep-17,-,-,-,615.00,0
27-Sep-17,-,-,-,615.00,0
26-Sep-17,-,-,-,615.00,0
25-Sep-17,-,-,-,615.00,0
22-Sep-17,-,-,-,615.00,0
20-Sep-17,-,-,-,615.00,0
19-Sep-17,-,-,-,615.00,0
18-Sep-17,-,-,-,615.00,0
15-Sep-17,-,-,-,615.00,0
14-Sep-17,-,-,-,615.00,0
13-Sep-17,-,-,-,615.00,0
12-Sep-17,-,-,-,615.00,0
11-Sep-17,-,-,-,615.00,0
8-Sep-17,-,-,-,615.00,0
7-Sep-17,615.00,615.00,615.00,615.00,100
6-Sep-17,-,-,-,570.00,0
5-Sep-17,570.00,570.00,570.00,570.00,100
4-Sep-17,-,-,-,620.00,0
31-Aug-17,620.00,620.00,620.00,620.00,100
30-Aug-17,-,-,-,620.00,0
29-Aug-17,620.00,620.00,620.00,620.00,200
28-Aug-17,-,-,-,615.00,0
25-Aug-17,-,-,-,615.00,0
24-Aug-17,615.00,615.00,615.00,615.00,600
23-Aug-17,-,-,-,605.00,0
22-Aug-17,-,-,-,605.00,0
21-Aug-17,-,-,-,605.00,0
18-Aug-17,-,-,-,605.00,0
16-Aug-17,-,-,-,605.00,0
15-Aug-17,-,-,-,605.00,0
14-Aug-17,-,-,-,605.00,0
11-Aug-17,-,-,-,605.00,0
10-Aug-17,-,-,-,605.00,0
9-Aug-17,-,-,-,605.00,0
8-Aug-17,-,-,-,605.00,0
7-Aug-17,-,-,-,605.00,0
4-Aug-17,-,-,-,605.00,0
3-Aug-17,-,-,-,605.00,0
2-Aug-17,-,-,-,605.00,0
1-Aug-17,-,-,-,605.00,0
31-Jul-17,-,-,-,605.00,0
28-Jul-17,-,-,-,605.00,0
27-Jul-17,-,-,-,605.00,0
26-Jul-17,-,-,-,605.00,0
25-Jul-17,-,-,-,605.00,0
24-Jul-17,-,-,-,605.00,0
21-Jul-17,605.00,605.00,605.00,605.00,100
20-Jul-17,-,-,-,685.00,0
19-Jul-17,-,-,-,685.00,0
18-Jul-17,-,-,-,685.00,0
17-Jul-17,-,-,-,685.00,0
14-Jul-17,-,-,-,685.00,0
13-Jul-17,685.00,685.00,685.00,685.00,300
12-Jul-17,-,-,-,685.00,0
11-Jul-17,-,-,-,685.00,0
10-Jul-17,-,-,-,685.00,0
7-Jul-17,-,-,-,685.00,0
6-Jul-17,-,-,-,685.00,0
5-Jul-17,-,-,-,685.00,0
4-Jul-17,-,-,-,685.00,0
3-Jul-17,-,-,-,685.00,0
22-Jun-17,675.00,685.00,675.00,685.00,900
21-Jun-17,675.00,675.00,675.00,675.00,100
20-Jun-17,675.00,675.00,675.00,675.00,5700
19-Jun-17,660.00,660.00,660.00,660.00,4400
16-Jun-17,620.00,650.00,620.00,650.00,36500
15-Jun-17,610.00,625.00,610.00,625.00,15000
14-Jun-17,-,-,-,575.00,0
13-Jun-17,575.00,575.00,575.00,575.00,600
12-Jun-17,580.00,580.00,580.00,580.00,200
9-Jun-17,580.00,580.00,580.00,580.00,100
8-Jun-17,590.00,590.00,590.00,590.00,100
7-Jun-17,610.00,610.00,600.00,600.00,800
6-Jun-17,-,-,-,580.00,0
5-Jun-17,580.00,580.00,580.00,580.00,200
2-Jun-17,610.00,610.00,580.00,580.00,200
31-May-17,585.00,585.00,585.00,585.00,200
30-May-17,-,-,-,610.00,0
29-May-17,610.00,610.00,610.00,610.00,500
26-May-17,-,-,-,600.00,0
24-May-17,600.00,600.00,600.00,600.00,100
23-May-17,-,-,-,600.00,0
22-May-17,610.00,610.00,600.00,600.00,300
19-May-17,575.00,575.00,575.00,575.00,3300
18-May-17,580.00,580.00,580.00,580.00,100
17-May-17,610.00,610.00,610.00,610.00,100
16-May-17,-,-,-,595.00,0
15-May-17,-,-,-,595.00,0
12-May-17,-,-,-,595.00,0
10-May-17,-,-,-,595.00,0
9-May-17,600.00,600.00,595.00,595.00,10100
8-May-17,605.00,605.00,605.00,605.00,100
5-May-17,620.00,620.00,580.00,580.00,1100
4-May-17,615.00,615.00,600.00,600.00,5300
3-May-17,-,-,-,600.00,0
2-May-17,600.00,600.00,600.00,600.00,20000
28-Apr-17,680.00,680.00,600.00,620.00,8300
27-Apr-17,605.00,680.00,605.00,680.00,51700
26-Apr-17,575.00,700.00,575.00,605.00,24000
25-Apr-17,760.00,760.00,740.00,740.00,600
21-Apr-17,760.00,760.00,760.00,760.00,300
20-Apr-17,765.00,765.00,765.00,765.00,100
18-Apr-17,-,-,-,880.00,0
17-Apr-17,-,-,-,880.00,0
13-Apr-17,890.00,890.00,880.00,880.00,600
12-Apr-17,775.00,775.00,770.00,770.00,2200
11-Apr-17,835.00,835.00,835.00,835.00,200
10-Apr-17,675.00,675.00,675.00,675.00,2500
7-Apr-17,655.00,665.00,655.00,665.00,4500
6-Apr-17,-,-,-,855.00,0
5-Apr-17,-,-,-,855.00,0
4-Apr-17,-,-,-,855.00,0
3-Apr-17,-,-,-,855.00,0
31-Mar-17,-,-,-,855.00,0
30-Mar-17,-,-,-,855.00,0
29-Mar-17,-,-,-,855.00,0
27-Mar-17,-,-,-,855.00,0
24-Mar-17,-,-,-,855.00,0
23-Mar-17,-,-,-,855.00,0
22-Mar-17,895.00,895.00,855.00,855.00,600
21-Mar-17,825.00,825.00,770.00,770.00,300
20-Mar-17,665.00,665.00,665.00,665.00,2600
17-Mar-17,650.00,650.00,650.00,650.00,1000
16-Mar-17,-,-,-,625.00,0
15-Mar-17,625.00,625.00,625.00,625.00,100
14-Mar-17,620.00,815.00,620.00,815.00,200
13-Mar-17,-,-,-,820.00,0
10-Mar-17,-,-,-,820.00,0
9-Mar-17,-,-,-,820.00,0
8-Mar-17,-,-,-,820.00,0
7-Mar-17,-,-,-,820.00,0
6-Mar-17,-,-,-,820.00,0
3-Mar-17,-,-,-,820.00,0
2-Mar-17,-,-,-,820.00,0
1-Mar-17,-,-,-,820.00,0
28-Feb-17,-,-,-,820.00,0
27-Feb-17,-,-,-,820.00,0
24-Feb-17,-,-,-,820.00,0
23-Feb-17,-,-,-,820.00,0
22-Feb-17,-,-,-,820.00,0
21-Feb-17,-,-,-,820.00,0
20-Feb-17,-,-,-,820.00,0
17-Feb-17,-,-,-,820.00,0
16-Feb-17,-,-,-,820.00,0
14-Feb-17,-,-,-,820.00,0
13-Feb-17,-,-,-,820.00,0
10-Feb-17,-,-,-,820.00,0
9-Feb-17,-,-,-,820.00,0
8-Feb-17,-,-,-,820.00,0
7-Feb-17,-,-,-,820.00,0
6-Feb-17,-,-,-,820.00,0
3-Feb-17,-,-,-,820.00,0
2-Feb-17,-,-,-,820.00,0
1-Feb-17,-,-,-,820.00,0
31-Jan-17,-,-,-,820.00,0
30-Jan-17,820.00,820.00,820.00,820.00,300
27-Jan-17,-,-,-,820.00,0
26-Jan-17,-,-,-,820.00,0
25-Jan-17,-,-,-,820.00,0
24-Jan-17,-,-,-,820.00,0
23-Jan-17,-,-,-,820.00,0
20-Jan-17,-,-,-,820.00,0
19-Jan-17,-,-,-,820.00,0
18-Jan-17,-,-,-,820.00,0
17-Jan-17,820.00,820.00,820.00,820.00,100
16-Jan-17,-,-,-,825.00,0
13-Jan-17,-,-,-,825.00,0
12-Jan-17,-,-,-,825.00,0
11-Jan-17,-,-,-,825.00,0
10-Jan-17,825.00,825.00,825.00,825.00,100
9-Jan-17,-,-,-,830.00,0
6-Jan-17,-,-,-,830.00,0
5-Jan-17,830.00,830.00,830.00,830.00,300
4-Jan-17,-,-,-,830.00,0
3-Jan-17,830.00,830.00,830.00,830.00,100
30-Dec-16,735.00,835.00,735.00,835.00,200
29-Dec-16,740.00,740.00,740.00,740.00,100
28-Dec-16,775.00,775.00,775.00,775.00,100
27-Dec-16,895.00,895.00,775.00,775.00,200
23-Dec-16,-,-,-,850.00,0
22-Dec-16,855.00,855.00,850.00,850.00,32400
21-Dec-16,800.00,940.00,800.00,940.00,500
20-Dec-16,-,-,-,860.00,0
19-Dec-16,-,-,-,860.00,0
16-Dec-16,900.00,900.00,860.00,860.00,500
15-Dec-16,-,-,-,950.00,0
14-Dec-16,-,-,-,950.00,0
13-Dec-16,-,-,-,950.00,0
9-Dec-16,-,-,-,950.00,0
8-Dec-16,-,-,-,950.00,0
7-Dec-16,-,-,-,950.00,0
6-Dec-16,-,-,-,950.00,0
5-Dec-16,950.00,950.00,950.00,950.00,100
2-Dec-16,-,-,-,950.00,0
1-Dec-16,-,-,-,950.00,0
30-Nov-16,-,-,-,950.00,0
29-Nov-16,-,-,-,950.00,0
28-Nov-16,-,-,-,950.00,0
25-Nov-16,-,-,-,950.00,0
24-Nov-16,-,-,-,950.00,0
23-Nov-16,-,-,-,950.00,0
22-Nov-16,-,-,-,950.00,0
21-Nov-16,-,-,-,950.00,0
18-Nov-16,-,-,-,950.00,0
17-Nov-16,-,-,-,950.00,0
16-Nov-16,950.00,950.00,950.00,950.00,200
15-Nov-16,980.00,980.00,980.00,980.00,100
14-Nov-16,-,-,-,1000.00,0
11-Nov-16,-,-,-,1000.00,0
10-Nov-16,-,-,-,1000.00,0
9-Nov-16,-,-,-,1000.00,0
8-Nov-16,-,-,-,1000.00,0
7-Nov-16,-,-,-,1000.00,0
4-Nov-16,-,-,-,1000.00,0
3-Nov-16,-,-,-,1000.00,0
2-Nov-16,1000.00,1000.00,1000.00,1000.00,1000
1-Nov-16,-,-,-,1000.00,0
31-Oct-16,-,-,-,1000.00,0
28-Oct-16,1000.00,1000.00,1000.00,1000.00,200
27-Oct-16,-,-,-,1000.00,0
26-Oct-16,-,-,-,1000.00,0
25-Oct-16,-,-,-,1000.00,0
24-Oct-16,-,-,-,1000.00,0
21-Oct-16,-,-,-,1000.00,0
20-Oct-16,1000.00,1000.00,1000.00,1000.00,100
19-Oct-16,-,-,-,1000.00,0
18-Oct-16,980.00,1000.00,980.00,1000.00,3900
17-Oct-16,-,-,-,1000.00,0
14-Oct-16,-,-,-,1000.00,0
13-Oct-16,-,-,-,1000.00,0
12-Oct-16,-,-,-,1000.00,0
11-Oct-16,-,-,-,1000.00,0
10-Oct-16,-,-,-,1000.00,0
7-Oct-16,-,-,-,1000.00,0
6-Oct-16,-,-,-,1000.00,0
5-Oct-16,-,-,-,1000.00,0
4-Oct-16,-,-,-,1000.00,0
3-Oct-16,-,-,-,1000.00,0
30-Sep-16,-,-,-,1000.00,0
29-Sep-16,-,-,-,1000.00,0
28-Sep-16,-,-,-,1000.00,0
27-Sep-16,-,-,-,1000.00,0
26-Sep-16,-,-,-,1000.00,0
23-Sep-16,-,-,-,1000.00,0
22-Sep-16,-,-,-,1000.00,0
21-Sep-16,-,-,-,1000.00,0
20-Sep-16,-,-,-,1000.00,0
19-Sep-16,-,-,-,1000.00,0
16-Sep-16,-,-,-,1000.00,0
15-Sep-16,-,-,-,1000.00,0
14-Sep-16,-,-,-,1000.00,0
13-Sep-16,-,-,-,1000.00,0
9-Sep-16,-,-,-,1000.00,0
8-Sep-16,-,-,-,1000.00,0
7-Sep-16,-,-,-,1000.00,0
6-Sep-16,-,-,-,1000.00,0
5-Sep-16,-,-,-,1000.00,0
2-Sep-16,-,-,-,1000.00,0
1-Sep-16,-,-,-,1000.00,0
31-Aug-16,-,-,-,1000.00,0
30-Aug-16,900.00,1000.00,900.00,1000.00,100100
29-Aug-16,-,-,-,1000.00,0
26-Aug-16,-,-,-,1000.00,0
25-Aug-16,-,-,-,1000.00,0
24-Aug-16,1000.00,1000.00,1000.00,1000.00,400
23-Aug-16,-,-,-,1000.00,0
22-Aug-16,-,-,-,1000.00,0
19-Aug-16,-,-,-,1000.00,0
18-Aug-16,-,-,-,1000.00,0
16-Aug-16,-,-,-,1000.00,0
15-Aug-16,-,-,-,1000.00,0
12-Aug-16,-,-,-,1000.00,0
11-Aug-16,-,-,-,1000.00,0
10-Aug-16,-,-,-,1000.00,0
9-Aug-16,-,-,-,1000.00,0
8-Aug-16,1020.00,1020.00,1000.00,1000.00,200
5-Aug-16,-,-,-,1020.00,0
4-Aug-16,-,-,-,1020.00,0
3-Aug-16,-,-,-,1020.00,0
2-Aug-16,-,-,-,1020.00,0
1-Aug-16,-,-,-,1020.00,0
29-Jul-16,-,-,-,1020.00,0
28-Jul-16,-,-,-,1020.00,0
27-Jul-16,-,-,-,1020.00,0
26-Jul-16,-,-,-,1020.00,0
25-Jul-16,-,-,-,1020.00,0
22-Jul-16,-,-,-,1020.00,0
21-Jul-16,-,-,-,1020.00,0
20-Jul-16,-,-,-,1020.00,0
19-Jul-16,-,-,-,1020.00,0
18-Jul-16,-,-,-,1020.00,0
15-Jul-16,-,-,-,1020.00,0
14-Jul-16,-,-,-,1020.00,0
13-Jul-16,1020.00,1020.00,1020.00,1020.00,300
12-Jul-16,-,-,-,1130.00,0
11-Jul-16,-,-,-,1130.00,0
1-Jul-16,-,-,-,1130.00,0
30-Jun-16,-,-,-,1130.00,0
29-Jun-16,-,-,-,1130.00,0
28-Jun-16,-,-,-,1130.00,0
27-Jun-16,-,-,-,1130.00,0
24-Jun-16,-,-,-,1130.00,0
23-Jun-16,-,-,-,1130.00,0
22-Jun-16,-,-,-,1130.00,0
21-Jun-16,-,-,-,1130.00,0
20-Jun-16,-,-,-,1130.00,0
17-Jun-16,-,-,-,1130.00,0
16-Jun-16,1130.00,1130.00,1130.00,1130.00,200
