Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,50.00,0
28-Dec-17,-,-,-,50.00,0
27-Dec-17,-,-,-,50.00,0
22-Dec-17,-,-,-,50.00,0
21-Dec-17,-,-,-,50.00,0
20-Dec-17,50.00,50.00,50.00,50.00,100
19-Dec-17,-,-,-,50.00,0
18-Dec-17,-,-,-,50.00,0
15-Dec-17,-,-,-,50.00,0
14-Dec-17,-,-,-,50.00,0
13-Dec-17,-,-,-,50.00,0
12-Dec-17,-,-,-,50.00,0
11-Dec-17,-,-,-,50.00,0
8-Dec-17,50.00,50.00,50.00,50.00,900
7-Dec-17,50.00,50.00,50.00,50.00,20000
6-Dec-17,-,-,-,50.00,0
5-Dec-17,50.00,50.00,50.00,50.00,1600
4-Dec-17,-,-,-,50.00,0
30-Nov-17,50.00,50.00,50.00,50.00,100
29-Nov-17,-,-,-,50.00,0
28-Nov-17,50.00,50.00,50.00,50.00,100
27-Nov-17,50.00,50.00,50.00,50.00,100
24-Nov-17,50.00,50.00,50.00,50.00,100
23-Nov-17,-,-,-,50.00,0
22-Nov-17,50.00,50.00,50.00,50.00,100
21-Nov-17,-,-,-,50.00,0
20-Nov-17,-,-,-,50.00,0
17-Nov-17,-,-,-,50.00,0
16-Nov-17,-,-,-,50.00,0
15-Nov-17,-,-,-,50.00,0
14-Nov-17,-,-,-,50.00,0
13-Nov-17,-,-,-,50.00,0
10-Nov-17,-,-,-,50.00,0
9-Nov-17,-,-,-,50.00,0
8-Nov-17,50.00,50.00,50.00,50.00,100
7-Nov-17,-,-,-,50.00,0
6-Nov-17,50.00,50.00,50.00,50.00,100
3-Nov-17,-,-,-,50.00,0
2-Nov-17,50.00,50.00,50.00,50.00,100
1-Nov-17,-,-,-,50.00,0
31-Oct-17,50.00,50.00,50.00,50.00,200
30-Oct-17,50.00,50.00,50.00,50.00,100
27-Oct-17,-,-,-,50.00,0
26-Oct-17,-,-,-,50.00,0
25-Oct-17,50.00,50.00,50.00,50.00,1000
24-Oct-17,50.00,50.00,50.00,50.00,100
23-Oct-17,-,-,-,50.00,0
20-Oct-17,-,-,-,50.00,0
19-Oct-17,-,-,-,50.00,0
18-Oct-17,-,-,-,50.00,0
17-Oct-17,-,-,-,50.00,0
16-Oct-17,-,-,-,50.00,0
13-Oct-17,-,-,-,50.00,0
12-Oct-17,-,-,-,50.00,0
11-Oct-17,-,-,-,50.00,0
10-Oct-17,-,-,-,50.00,0
9-Oct-17,-,-,-,50.00,0
6-Oct-17,-,-,-,50.00,0
5-Oct-17,-,-,-,50.00,0
4-Oct-17,-,-,-,50.00,0
3-Oct-17,50.00,50.00,50.00,50.00,100
2-Oct-17,-,-,-,50.00,0
29-Sep-17,-,-,-,50.00,0
28-Sep-17,50.00,50.00,50.00,50.00,7500
27-Sep-17,50.00,50.00,50.00,50.00,2000
26-Sep-17,-,-,-,50.00,0
25-Sep-17,50.00,50.00,50.00,50.00,100
22-Sep-17,50.00,50.00,50.00,50.00,10000
20-Sep-17,-,-,-,50.00,0
19-Sep-17,-,-,-,50.00,0
18-Sep-17,-,-,-,50.00,0
15-Sep-17,-,-,-,50.00,0
14-Sep-17,50.00,50.00,50.00,50.00,100
