Date,Open,High,Low,Close,Volume
29-Dec-17,3530.00,3610.00,3520.00,3570.00,17384200
28-Dec-17,3500.00,3530.00,3480.00,3520.00,15146800
27-Dec-17,3530.00,3530.00,3490.00,3490.00,17221500
22-Dec-17,3510.00,3530.00,3490.00,3500.00,13047200
21-Dec-17,3490.00,3520.00,3480.00,3510.00,21959300
20-Dec-17,3500.00,3520.00,3460.00,3470.00,27321900
19-Dec-17,3460.00,3500.00,3440.00,3480.00,21919700
18-Dec-17,3380.00,3460.00,3380.00,3430.00,18649500
15-Dec-17,3400.00,3400.00,3340.00,3370.00,15969100
14-Dec-17,3390.00,3400.00,3350.00,3370.00,18380300
13-Dec-17,3360.00,3410.00,3320.00,3360.00,15390700
12-Dec-17,3410.00,3470.00,3340.00,3360.00,33973000
11-Dec-17,3520.00,3530.00,3380.00,3450.00,26567000
8-Dec-17,3550.00,3550.00,3470.00,3540.00,15956900
7-Dec-17,3400.00,3550.00,3370.00,3550.00,23384000
6-Dec-17,3380.00,3450.00,3330.00,3380.00,39383400
5-Dec-17,3300.00,3400.00,3300.00,3400.00,58263700
4-Dec-17,3200.00,3290.00,3170.00,3290.00,51195400
30-Nov-17,3190.00,3200.00,3110.00,3200.00,347707400
29-Nov-17,3200.00,3240.00,3160.00,3160.00,40151200
28-Nov-17,3110.00,3200.00,3110.00,3180.00,53002300
27-Nov-17,3090.00,3120.00,3080.00,3100.00,35731200
24-Nov-17,3090.00,3100.00,3050.00,3070.00,16524600
23-Nov-17,3070.00,3110.00,3050.00,3060.00,19451900
22-Nov-17,2990.00,3070.00,2980.00,3070.00,38484500
21-Nov-17,2990.00,3000.00,2970.00,2990.00,19044100
20-Nov-17,3000.00,3030.00,2970.00,2980.00,25224900
17-Nov-17,2940.00,3010.00,2940.00,2980.00,34567700
16-Nov-17,2980.00,2980.00,2930.00,2940.00,26404400
15-Nov-17,3000.00,3000.00,2950.00,2970.00,24352300
14-Nov-17,2970.00,3040.00,2950.00,2950.00,97952300
13-Nov-17,2920.00,2920.00,2880.00,2910.00,13010300
10-Nov-17,2870.00,2930.00,2870.00,2910.00,10244300
9-Nov-17,2880.00,2920.00,2790.00,2870.00,30794600
8-Nov-17,2910.00,2960.00,2880.00,2890.00,21395400
7-Nov-17,2930.00,2940.00,2900.00,2900.00,11116800
6-Nov-17,2880.00,2920.00,2870.00,2920.00,18822400
3-Nov-17,2870.00,2880.00,2820.00,2880.00,18044100
2-Nov-17,2840.00,2890.00,2820.00,2860.00,41392100
1-Nov-17,2770.00,2820.00,2740.00,2820.00,20145500
31-Oct-17,2760.00,2820.00,2740.00,2760.00,43911300
30-Oct-17,2830.00,2850.00,2690.00,2760.00,110732500
27-Oct-17,3000.00,3010.00,2810.00,2830.00,59744000
26-Oct-17,3020.00,3050.00,2970.00,2970.00,16293400
25-Oct-17,3060.00,3070.00,2990.00,3000.00,16625300
24-Oct-17,3070.00,3090.00,3040.00,3050.00,8965700
23-Oct-17,3090.00,3110.00,3040.00,3060.00,16794700
20-Oct-17,3140.00,3140.00,3050.00,3060.00,15452600
19-Oct-17,3090.00,3120.00,3070.00,3120.00,23310500
18-Oct-17,3100.00,3110.00,3030.00,3060.00,7411000
17-Oct-17,3090.00,3140.00,3040.00,3080.00,14607900
16-Oct-17,3100.00,3130.00,3060.00,3070.00,26904500
13-Oct-17,3150.00,3170.00,3050.00,3050.00,27562100
12-Oct-17,3010.00,3150.00,3000.00,3140.00,33062900
11-Oct-17,2960.00,3030.00,2940.00,3010.00,17895800
10-Oct-17,2990.00,3010.00,2960.00,2960.00,10703100
9-Oct-17,3010.00,3050.00,2980.00,2980.00,8833900
6-Oct-17,2960.00,3050.00,2960.00,3010.00,20324800
5-Oct-17,2940.00,2970.00,2920.00,2960.00,16997200
4-Oct-17,2930.00,3000.00,2930.00,2940.00,22854800
3-Oct-17,3030.00,3050.00,2900.00,2930.00,37758400
2-Oct-17,3170.00,3170.00,3030.00,3030.00,21535900
29-Sep-17,3100.00,3150.00,3060.00,3150.00,20175100
28-Sep-17,3150.00,3150.00,3020.00,3060.00,27457400
