Date,Open,High,Low,Close,Volume
29-Dec-17,7075.00,7100.00,6875.00,6950.00,7881200
28-Dec-17,6900.00,7300.00,6850.00,7075.00,27242900
27-Dec-17,6600.00,7000.00,6500.00,6850.00,29190900
22-Dec-17,5950.00,6075.00,5950.00,6000.00,2852300
21-Dec-17,6050.00,6100.00,5925.00,6000.00,2404400
20-Dec-17,5750.00,6100.00,5675.00,6050.00,10828000
19-Dec-17,5700.00,5775.00,5650.00,5750.00,2969000
18-Dec-17,5550.00,5700.00,5550.00,5700.00,5486000
15-Dec-17,5625.00,5650.00,5500.00,5500.00,11187100
14-Dec-17,5625.00,5675.00,5525.00,5600.00,4904800
13-Dec-17,5500.00,5650.00,5500.00,5625.00,3048600
12-Dec-17,5700.00,5725.00,5500.00,5500.00,1646600
11-Dec-17,5525.00,5700.00,5525.00,5675.00,9177200
8-Dec-17,5500.00,5650.00,5400.00,5500.00,10942000
7-Dec-17,5600.00,5650.00,5250.00,5500.00,7011400
6-Dec-17,5200.00,5600.00,5150.00,5575.00,8146100
5-Dec-17,5175.00,5275.00,5150.00,5150.00,1259700
4-Dec-17,5125.00,5250.00,5050.00,5150.00,4747100
30-Nov-17,5300.00,5425.00,5025.00,5025.00,7550400
29-Nov-17,5300.00,5375.00,5275.00,5300.00,1966500
28-Nov-17,5400.00,5400.00,5250.00,5325.00,2678400
27-Nov-17,5475.00,5475.00,5300.00,5400.00,2276000
24-Nov-17,5600.00,5600.00,5400.00,5475.00,2635400
23-Nov-17,5575.00,5675.00,5475.00,5600.00,2390000
22-Nov-17,5475.00,5575.00,5400.00,5575.00,1300300
21-Nov-17,5550.00,5625.00,5350.00,5475.00,2813500
20-Nov-17,5600.00,5600.00,5500.00,5550.00,1404100
17-Nov-17,5600.00,5675.00,5550.00,5550.00,2453600
16-Nov-17,5500.00,5675.00,5400.00,5525.00,3475600
15-Nov-17,5750.00,5750.00,5500.00,5500.00,4030400
14-Nov-17,5675.00,5800.00,5650.00,5675.00,6260800
13-Nov-17,5550.00,5750.00,5550.00,5675.00,4907000
10-Nov-17,5750.00,5800.00,5450.00,5550.00,6368200
9-Nov-17,5000.00,5775.00,5000.00,5725.00,30379700
8-Nov-17,4980.00,4980.00,4850.00,4850.00,3067100
7-Nov-17,5025.00,5025.00,4970.00,4990.00,1893500
6-Nov-17,5050.00,5075.00,5000.00,5025.00,1642900
3-Nov-17,5075.00,5100.00,5025.00,5025.00,1593100
2-Nov-17,5225.00,5225.00,5050.00,5050.00,1864700
1-Nov-17,5125.00,5275.00,5100.00,5200.00,523900
31-Oct-17,5150.00,5225.00,5100.00,5100.00,1556000
30-Oct-17,5150.00,5175.00,5050.00,5050.00,747900
27-Oct-17,5275.00,5325.00,5025.00,5125.00,3787700
26-Oct-17,5225.00,5400.00,5200.00,5225.00,4077100
25-Oct-17,5175.00,5300.00,5175.00,5225.00,537500
24-Oct-17,5325.00,5325.00,5225.00,5225.00,804300
23-Oct-17,5400.00,5400.00,5275.00,5275.00,168200
20-Oct-17,5300.00,5400.00,5275.00,5400.00,403200
19-Oct-17,5250.00,5300.00,5200.00,5225.00,771600
18-Oct-17,5325.00,5325.00,5225.00,5250.00,1206800
17-Oct-17,5425.00,5425.00,5300.00,5325.00,2308100
16-Oct-17,5425.00,5475.00,5400.00,5450.00,1050100
13-Oct-17,5500.00,5525.00,5450.00,5475.00,926400
12-Oct-17,5650.00,5650.00,5375.00,5550.00,1466100
11-Oct-17,5400.00,5475.00,5375.00,5475.00,1210400
10-Oct-17,5475.00,5500.00,5375.00,5375.00,616600
9-Oct-17,5500.00,5575.00,5400.00,5425.00,1959800
6-Oct-17,5400.00,5475.00,5325.00,5475.00,1584000
5-Oct-17,5500.00,5500.00,5350.00,5400.00,3819300
4-Oct-17,5450.00,5475.00,5325.00,5475.00,1581300
3-Oct-17,5325.00,5475.00,5200.00,5450.00,2113800
2-Oct-17,5250.00,5325.00,5250.00,5325.00,492300
29-Sep-17,5125.00,5225.00,5125.00,5200.00,1831000
28-Sep-17,5325.00,5325.00,5025.00,5100.00,4840800
27-Sep-17,5275.00,5300.00,5200.00,5300.00,569500
26-Sep-17,5350.00,5350.00,5225.00,5275.00,469500
25-Sep-17,5325.00,5350.00,5300.00,5325.00,1050600
22-Sep-17,5450.00,5450.00,5300.00,5325.00,1654100
20-Sep-17,5425.00,5450.00,5300.00,5450.00,669400
19-Sep-17,5325.00,5450.00,5275.00,5450.00,523000
18-Sep-17,5425.00,5425.00,5250.00,5350.00,304700
15-Sep-17,5300.00,5425.00,5225.00,5425.00,3288900
14-Sep-17,5200.00,5300.00,5125.00,5225.00,5310900
13-Sep-17,5350.00,5350.00,5200.00,5200.00,1652300
12-Sep-17,5200.00,5350.00,5200.00,5350.00,636200
11-Sep-17,5350.00,5350.00,5200.00,5200.00,514100
8-Sep-17,5300.00,5400.00,5275.00,5300.00,1471200
7-Sep-17,5200.00,5325.00,5200.00,5275.00,1622600
6-Sep-17,5300.00,5350.00,5125.00,5200.00,4034400
5-Sep-17,5300.00,5425.00,5275.00,5300.00,5284200
4-Sep-17,5400.00,5475.00,5275.00,5300.00,1062700
31-Aug-17,5475.00,5525.00,5375.00,5450.00,4912200
30-Aug-17,5525.00,5525.00,5450.00,5525.00,1234300
29-Aug-17,5500.00,5550.00,5400.00,5525.00,6010000
28-Aug-17,5400.00,5525.00,5400.00,5500.00,666400
25-Aug-17,5475.00,5475.00,5375.00,5475.00,581700
24-Aug-17,5550.00,5550.00,5375.00,5475.00,1341900
23-Aug-17,5575.00,5600.00,5475.00,5475.00,1141100
