Date,Open,High,Low,Close,Volume
29-Dec-17,69.00,69.00,69.00,69.00,13800
28-Dec-17,72.00,72.00,70.00,70.00,8100
27-Dec-17,69.00,70.00,69.00,70.00,2400
22-Dec-17,72.00,72.00,69.00,69.00,9700
21-Dec-17,72.00,73.00,72.00,72.00,5900
20-Dec-17,71.00,73.00,66.00,72.00,26900
19-Dec-17,73.00,78.00,63.00,69.00,52900
18-Dec-17,72.00,74.00,72.00,74.00,2900
15-Dec-17,-,-,-,71.00,0
14-Dec-17,71.00,71.00,71.00,71.00,9400
13-Dec-17,73.00,73.00,72.00,72.00,18100
12-Dec-17,75.00,75.00,75.00,75.00,100
11-Dec-17,75.00,75.00,73.00,75.00,1900
8-Dec-17,-,-,-,75.00,0
7-Dec-17,75.00,75.00,75.00,75.00,200
6-Dec-17,76.00,76.00,74.00,75.00,7700
5-Dec-17,77.00,77.00,76.00,76.00,400
4-Dec-17,78.00,78.00,77.00,77.00,4000
30-Nov-17,78.00,78.00,77.00,78.00,1600
29-Nov-17,78.00,78.00,78.00,78.00,6600
28-Nov-17,79.00,79.00,78.00,78.00,3000
27-Nov-17,79.00,79.00,78.00,79.00,2300
24-Nov-17,80.00,81.00,78.00,78.00,17500
23-Nov-17,79.00,80.00,79.00,80.00,7800
22-Nov-17,80.00,80.00,79.00,79.00,300
21-Nov-17,79.00,79.00,79.00,79.00,700
20-Nov-17,80.00,80.00,80.00,80.00,2100
17-Nov-17,80.00,80.00,78.00,78.00,6000
16-Nov-17,79.00,80.00,78.00,80.00,4300
15-Nov-17,79.00,80.00,79.00,79.00,10800
14-Nov-17,81.00,81.00,79.00,79.00,26100
13-Nov-17,80.00,81.00,80.00,81.00,9000
10-Nov-17,81.00,81.00,80.00,80.00,37500
9-Nov-17,82.00,82.00,80.00,81.00,43600
8-Nov-17,83.00,83.00,80.00,82.00,33200
7-Nov-17,83.00,83.00,82.00,82.00,6800
6-Nov-17,83.00,83.00,83.00,83.00,14000
3-Nov-17,85.00,85.00,83.00,83.00,28000
2-Nov-17,85.00,87.00,84.00,84.00,112200
1-Nov-17,84.00,87.00,83.00,84.00,119900
31-Oct-17,93.00,100.00,80.00,82.00,998800
30-Oct-17,87.00,105.00,82.00,94.00,806400
27-Oct-17,85.00,87.00,85.00,87.00,7800
26-Oct-17,85.00,85.00,85.00,85.00,5400
25-Oct-17,86.00,86.00,85.00,85.00,7000
24-Oct-17,86.00,86.00,86.00,86.00,200
23-Oct-17,85.00,85.00,85.00,85.00,200
20-Oct-17,88.00,88.00,85.00,85.00,4900
19-Oct-17,89.00,89.00,85.00,87.00,14700
18-Oct-17,88.00,88.00,86.00,86.00,24000
17-Oct-17,89.00,89.00,89.00,89.00,100
16-Oct-17,88.00,88.00,87.00,87.00,8100
13-Oct-17,89.00,89.00,89.00,89.00,100
12-Oct-17,89.00,89.00,88.00,88.00,12800
11-Oct-17,88.00,89.00,87.00,89.00,40300
10-Oct-17,89.00,90.00,87.00,89.00,45700
9-Oct-17,92.00,92.00,87.00,90.00,57100
6-Oct-17,94.00,94.00,88.00,88.00,31700
5-Oct-17,89.00,94.00,87.00,91.00,54400
4-Oct-17,92.00,95.00,89.00,90.00,25600
3-Oct-17,86.00,97.00,86.00,92.00,65000
2-Oct-17,88.00,88.00,86.00,86.00,5500
29-Sep-17,90.00,91.00,87.00,90.00,13400
28-Sep-17,90.00,91.00,90.00,91.00,300
27-Sep-17,87.00,90.00,86.00,90.00,2900
26-Sep-17,92.00,92.00,89.00,89.00,22600
25-Sep-17,92.00,92.00,89.00,89.00,1800
22-Sep-17,91.00,95.00,89.00,92.00,81900
20-Sep-17,88.00,93.00,87.00,91.00,186700
19-Sep-17,89.00,89.00,89.00,88.00,6500
18-Sep-17,88.00,89.00,85.00,89.00,12500
15-Sep-17,89.00,89.00,87.00,88.00,43000
14-Sep-17,88.00,89.00,88.00,89.00,800
13-Sep-17,88.00,91.00,87.00,90.00,103000
12-Sep-17,91.00,92.00,89.00,90.00,30800
11-Sep-17,91.00,92.00,88.00,91.00,109500
8-Sep-17,91.00,97.00,88.00,91.00,472500
7-Sep-17,92.00,92.00,90.00,91.00,30900
6-Sep-17,92.00,95.00,90.00,91.00,307700
5-Sep-17,83.00,117.00,83.00,91.00,2930600
4-Sep-17,92.00,93.00,92.00,92.00,1600
31-Aug-17,-,-,-,94.00,0
30-Aug-17,94.00,94.00,89.00,94.00,32600
29-Aug-17,92.00,94.00,91.00,92.00,73200
28-Aug-17,94.00,97.00,91.00,95.00,20500
25-Aug-17,92.00,95.00,91.00,94.00,123700
24-Aug-17,95.00,95.00,89.00,95.00,109200
23-Aug-17,96.00,96.00,88.00,91.00,207300
22-Aug-17,96.00,96.00,91.00,94.00,503800
21-Aug-17,116.00,117.00,91.00,92.00,1153800
18-Aug-17,92.00,122.00,90.00,116.00,2329400
16-Aug-17,98.00,99.00,91.00,91.00,19700
15-Aug-17,94.00,104.00,93.00,97.00,72400
14-Aug-17,94.00,97.00,90.00,95.00,87200
11-Aug-17,88.00,93.00,87.00,93.00,26300
10-Aug-17,95.00,95.00,88.00,88.00,64000
9-Aug-17,93.00,94.00,93.00,94.00,22000
8-Aug-17,91.00,94.00,80.00,93.00,295200
7-Aug-17,96.00,99.00,91.00,91.00,232900
4-Aug-17,90.00,110.00,89.00,95.00,1550100
3-Aug-17,87.00,101.00,84.00,88.00,847600
2-Aug-17,90.00,90.00,84.00,84.00,36700
1-Aug-17,93.00,109.00,81.00,82.00,139000
31-Jul-17,91.00,91.00,83.00,83.00,24300
28-Jul-17,87.00,90.00,82.00,87.00,32300
27-Jul-17,82.00,89.00,82.00,87.00,73400
26-Jul-17,-,-,-,91.00,0
25-Jul-17,94.00,94.00,91.00,91.00,1400
24-Jul-17,81.00,91.00,81.00,89.00,17600
21-Jul-17,85.00,88.00,83.00,83.00,17900
20-Jul-17,90.00,90.00,85.00,85.00,11600
19-Jul-17,92.00,96.00,86.00,86.00,88600
18-Jul-17,90.00,91.00,85.00,85.00,29400
17-Jul-17,86.00,91.00,82.00,90.00,48000
14-Jul-17,97.00,97.00,76.00,81.00,76600
13-Jul-17,91.00,91.00,90.00,91.00,2300
12-Jul-17,91.00,91.00,91.00,91.00,5400
11-Jul-17,-,-,-,91.00,0
10-Jul-17,-,-,-,91.00,0
7-Jul-17,-,-,-,91.00,0
6-Jul-17,91.00,91.00,91.00,91.00,100
