Date,Open,High,Low,Close,Volume
29-Dec-17,930.00,995.00,930.00,995.00,21086700
28-Dec-17,925.00,930.00,920.00,930.00,12555500
27-Dec-17,910.00,920.00,900.00,920.00,20084800
22-Dec-17,910.00,910.00,910.00,910.00,17656400
21-Dec-17,910.00,910.00,910.00,910.00,37083500
20-Dec-17,910.00,910.00,910.00,910.00,20600400
19-Dec-17,915.00,920.00,900.00,910.00,12774900
18-Dec-17,915.00,950.00,915.00,915.00,20213300
15-Dec-17,925.00,940.00,915.00,920.00,17486000
14-Dec-17,920.00,925.00,915.00,925.00,34740700
13-Dec-17,925.00,925.00,920.00,925.00,27190600
12-Dec-17,915.00,935.00,915.00,925.00,27328100
11-Dec-17,945.00,945.00,915.00,920.00,20680100
8-Dec-17,950.00,955.00,935.00,935.00,24896800
7-Dec-17,960.00,960.00,935.00,935.00,33809100
6-Dec-17,970.00,970.00,930.00,935.00,20594000
5-Dec-17,990.00,990.00,915.00,925.00,37081100
4-Dec-17,990.00,1050.00,940.00,940.00,19691900
30-Nov-17,950.00,965.00,940.00,940.00,21203900
29-Nov-17,990.00,990.00,950.00,950.00,35737400
28-Nov-17,1045.00,1075.00,950.00,990.00,26156400
27-Nov-17,930.00,1120.00,920.00,1040.00,27769600
24-Nov-17,920.00,980.00,910.00,960.00,21606900
23-Nov-17,970.00,975.00,900.00,900.00,19297200
22-Nov-17,950.00,970.00,950.00,970.00,17418800
21-Nov-17,950.00,970.00,950.00,950.00,21256200
20-Nov-17,960.00,965.00,950.00,950.00,27509800
17-Nov-17,935.00,945.00,930.00,940.00,21429700
16-Nov-17,940.00,940.00,940.00,940.00,13951300
15-Nov-17,940.00,945.00,940.00,940.00,31806100
14-Nov-17,935.00,945.00,935.00,940.00,32294100
13-Nov-17,920.00,945.00,920.00,930.00,10960300
10-Nov-17,945.00,945.00,920.00,945.00,14000
9-Nov-17,915.00,970.00,915.00,945.00,6585800
8-Nov-17,960.00,985.00,915.00,915.00,19636100
7-Nov-17,970.00,970.00,955.00,960.00,17000
6-Nov-17,990.00,990.00,965.00,970.00,28800
3-Nov-17,990.00,990.00,990.00,990.00,13300
2-Nov-17,1000.00,1000.00,1000.00,1000.00,6200
1-Nov-17,980.00,1000.00,980.00,1000.00,16678100
31-Oct-17,980.00,990.00,980.00,985.00,4513300
30-Oct-17,990.00,1000.00,990.00,990.00,7100
27-Oct-17,1010.00,1010.00,990.00,990.00,8600
26-Oct-17,970.00,1020.00,970.00,985.00,15800
25-Oct-17,990.00,1010.00,990.00,990.00,18702300
24-Oct-17,1030.00,1030.00,990.00,1000.00,4185100
23-Oct-17,1020.00,1035.00,1000.00,1035.00,42300
20-Oct-17,1000.00,1015.00,1000.00,1000.00,15600
19-Oct-17,1020.00,1020.00,950.00,1000.00,54000
18-Oct-17,1020.00,1020.00,1020.00,1020.00,18138700
17-Oct-17,1020.00,1020.00,1005.00,1010.00,4184400
16-Oct-17,1025.00,1025.00,1005.00,1020.00,6708800
13-Oct-17,1020.00,1035.00,1020.00,1025.00,122300
12-Oct-17,1025.00,1030.00,1025.00,1025.00,9700
11-Oct-17,1090.00,1090.00,1020.00,1025.00,17303300
10-Oct-17,1040.00,1090.00,1040.00,1090.00,4021100
9-Oct-17,1015.00,1045.00,1010.00,1040.00,6604500
6-Oct-17,1030.00,1030.00,1015.00,1015.00,30000
5-Oct-17,1060.00,1060.00,1000.00,1030.00,44000
4-Oct-17,1030.00,1085.00,1020.00,1060.00,16072700
3-Oct-17,1050.00,1050.00,1030.00,1030.00,3960400
2-Oct-17,1055.00,1085.00,1050.00,1050.00,6354600
29-Sep-17,1040.00,1070.00,1040.00,1055.00,6970500
28-Sep-17,1050.00,1050.00,1030.00,1030.00,39300
27-Sep-17,1030.00,1060.00,1030.00,1060.00,25394200
26-Sep-17,1060.00,1115.00,1050.00,1050.00,9602200
25-Sep-17,1080.00,1080.00,1060.00,1060.00,5721300
22-Sep-17,1085.00,1100.00,1080.00,1090.00,3825500
20-Sep-17,1090.00,1100.00,1090.00,1090.00,25100
19-Sep-17,1120.00,1120.00,1095.00,1100.00,23793300
18-Sep-17,1125.00,1125.00,1100.00,1100.00,12725700
15-Sep-17,1100.00,1125.00,1090.00,1095.00,8252000
14-Sep-17,1115.00,1120.00,1100.00,1100.00,2672800
13-Sep-17,1115.00,1115.00,1115.00,1115.00,9100
12-Sep-17,1150.00,1150.00,1115.00,1115.00,21470200
11-Sep-17,1105.00,1160.00,1105.00,1150.00,17117300
8-Sep-17,1085.00,1125.00,1085.00,1105.00,6343200
7-Sep-17,1150.00,1150.00,1125.00,1125.00,2421400
6-Sep-17,1110.00,1165.00,1100.00,1150.00,24700
5-Sep-17,1145.00,1175.00,1145.00,1150.00,24649300
4-Sep-17,1220.00,1220.00,1145.00,1145.00,15827200
31-Aug-17,1100.00,1295.00,1080.00,1220.00,8418200
30-Aug-17,1110.00,1120.00,1090.00,1090.00,2517000
29-Aug-17,1115.00,1130.00,1105.00,1110.00,3622700
28-Aug-17,1135.00,1135.00,1105.00,1105.00,23928300
25-Aug-17,1140.00,1140.00,1055.00,1135.00,5525800
24-Aug-17,1145.00,1180.00,1135.00,1135.00,3583900
23-Aug-17,1150.00,1200.00,1105.00,1165.00,2801400
22-Aug-17,1140.00,1170.00,1035.00,1150.00,949200
21-Aug-17,1210.00,1220.00,1130.00,1135.00,26619400
18-Aug-17,1245.00,1245.00,1205.00,1210.00,16696800
16-Aug-17,1245.00,1255.00,1215.00,1220.00,5041200
15-Aug-17,1260.00,1260.00,1225.00,1245.00,2575000
14-Aug-17,1260.00,1260.00,1230.00,1245.00,47200
11-Aug-17,1230.00,1275.00,1225.00,1235.00,20017400
10-Aug-17,1255.00,1260.00,1240.00,1255.00,16405100
9-Aug-17,1265.00,1300.00,1245.00,1250.00,10594200
8-Aug-17,1235.00,1330.00,1235.00,1260.00,9717000
7-Aug-17,1250.00,1290.00,1220.00,1230.00,165100
4-Aug-17,1290.00,1320.00,1240.00,1245.00,24775100
3-Aug-17,1230.00,1320.00,1230.00,1270.00,12661000
2-Aug-17,1230.00,1310.00,1120.00,1225.00,10843600
1-Aug-17,1275.00,1300.00,1200.00,1210.00,282200
31-Jul-17,1295.00,1300.00,1275.00,1275.00,889700
28-Jul-17,1220.00,1340.00,1220.00,1295.00,30512100
27-Jul-17,1170.00,1340.00,1170.00,1220.00,20909500
26-Jul-17,1110.00,1280.00,1110.00,1160.00,11247100
25-Jul-17,1110.00,1110.00,1045.00,1070.00,177700
24-Jul-17,1185.00,1185.00,1095.00,1140.00,142300
21-Jul-17,1260.00,1270.00,1180.00,1200.00,26028100
20-Jul-17,1130.00,1305.00,1120.00,1250.00,30043100
19-Jul-17,870.00,1100.00,830.00,1100.00,24999600
18-Jul-17,960.00,960.00,875.00,880.00,613400
17-Jul-17,1025.00,1025.00,940.00,960.00,596400
14-Jul-17,1020.00,1050.00,1000.00,1025.00,122200
13-Jul-17,1200.00,1200.00,1000.00,1020.00,41811000
12-Jul-17,1230.00,1230.00,1175.00,1200.00,11207400
11-Jul-17,1250.00,1250.00,1200.00,1200.00,144500
10-Jul-17,1250.00,1295.00,1250.00,1250.00,101000
7-Jul-17,1315.00,1340.00,1250.00,1265.00,306600
6-Jul-17,1315.00,1330.00,1310.00,1315.00,38200
5-Jul-17,1315.00,1340.00,1305.00,1340.00,16000
4-Jul-17,1355.00,1355.00,1315.00,1315.00,162300
3-Jul-17,1370.00,1370.00,1355.00,1355.00,8800
22-Jun-17,1370.00,1370.00,1350.00,1370.00,14809900
21-Jun-17,1395.00,1415.00,1360.00,1370.00,26964400
20-Jun-17,1350.00,1400.00,1350.00,1395.00,3308700
19-Jun-17,1390.00,1390.00,1345.00,1345.00,10127400
16-Jun-17,1345.00,1400.00,1345.00,1390.00,681600
15-Jun-17,1340.00,1400.00,1320.00,1340.00,3411600
14-Jun-17,1330.00,1400.00,1300.00,1340.00,8840400
13-Jun-17,1355.00,1355.00,1325.00,1330.00,17360100
12-Jun-17,1360.00,1395.00,1350.00,1355.00,337300
9-Jun-17,1405.00,1405.00,1350.00,1350.00,3826800
8-Jun-17,1405.00,1415.00,1380.00,1405.00,14713500
7-Jun-17,1420.00,1420.00,1400.00,1405.00,108900
6-Jun-17,1410.00,1445.00,1400.00,1420.00,9780500
5-Jun-17,1440.00,1445.00,1410.00,1410.00,62162700
2-Jun-17,1415.00,1420.00,1390.00,1410.00,15880500
31-May-17,1380.00,1415.00,1360.00,1385.00,5371200
30-May-17,1340.00,1455.00,1320.00,1380.00,2241800
29-May-17,1365.00,1365.00,1305.00,1310.00,1057800
26-May-17,1310.00,1440.00,1310.00,1365.00,18462500
24-May-17,1360.00,1390.00,1310.00,1360.00,318500
23-May-17,1460.00,1460.00,1360.00,1360.00,1088300
22-May-17,1515.00,1520.00,1450.00,1455.00,527600
