Date,Open,High,Low,Close,Volume
29-Dec-17,70.00,73.00,70.00,73.00,166800
28-Dec-17,72.00,73.00,70.00,72.00,300100
27-Dec-17,72.00,74.00,72.00,73.00,63900
22-Dec-17,73.00,73.00,72.00,73.00,66900
21-Dec-17,70.00,75.00,70.00,73.00,364300
20-Dec-17,71.00,72.00,71.00,72.00,12300
19-Dec-17,72.00,72.00,70.00,72.00,31100
18-Dec-17,73.00,73.00,70.00,72.00,21800
15-Dec-17,72.00,73.00,70.00,73.00,260700
14-Dec-17,71.00,73.00,71.00,71.00,54900
13-Dec-17,73.00,74.00,70.00,70.00,1878000
12-Dec-17,74.00,74.00,73.00,73.00,101100
11-Dec-17,72.00,78.00,72.00,72.00,189500
8-Dec-17,75.00,77.00,72.00,72.00,474500
7-Dec-17,76.00,76.00,71.00,74.00,1352100
6-Dec-17,75.00,76.00,74.00,76.00,81000
5-Dec-17,76.00,76.00,74.00,75.00,364600
4-Dec-17,73.00,76.00,73.00,75.00,33200
30-Nov-17,74.00,75.00,73.00,75.00,153700
29-Nov-17,74.00,74.00,72.00,74.00,224500
28-Nov-17,75.00,75.00,72.00,74.00,325600
27-Nov-17,77.00,78.00,72.00,75.00,694600
24-Nov-17,76.00,78.00,76.00,76.00,599900
23-Nov-17,76.00,77.00,75.00,76.00,175800
22-Nov-17,75.00,76.00,74.00,75.00,354000
21-Nov-17,74.00,77.00,72.00,74.00,1465100
20-Nov-17,76.00,76.00,74.00,74.00,143000
17-Nov-17,76.00,76.00,73.00,75.00,353300
16-Nov-17,74.00,76.00,73.00,75.00,434600
15-Nov-17,74.00,75.00,73.00,73.00,199300
14-Nov-17,76.00,76.00,71.00,73.00,1108600
13-Nov-17,72.00,76.00,72.00,75.00,2358900
10-Nov-17,86.00,86.00,71.00,75.00,12345500
9-Nov-17,86.00,86.00,82.00,85.00,235800
8-Nov-17,83.00,84.00,81.00,84.00,102500
7-Nov-17,84.00,84.00,83.00,84.00,11400
6-Nov-17,84.00,84.00,81.00,84.00,152100
3-Nov-17,84.00,84.00,82.00,83.00,58400
2-Nov-17,85.00,85.00,80.00,84.00,591700
1-Nov-17,83.00,85.00,80.00,85.00,70600
31-Oct-17,83.00,86.00,83.00,85.00,102300
30-Oct-17,82.00,86.00,82.00,85.00,392000
27-Oct-17,82.00,83.00,80.00,83.00,81900
26-Oct-17,81.00,83.00,81.00,82.00,211100
25-Oct-17,81.00,81.00,79.00,81.00,136100
24-Oct-17,81.00,82.00,80.00,81.00,377900
23-Oct-17,80.00,81.00,78.00,81.00,417400
20-Oct-17,83.00,83.00,77.00,78.00,3848600
19-Oct-17,84.00,85.00,80.00,82.00,1759300
18-Oct-17,87.00,89.00,86.00,86.00,800
17-Oct-17,86.00,89.00,86.00,86.00,1300
16-Oct-17,86.00,86.00,82.00,86.00,79800
13-Oct-17,86.00,90.00,80.00,85.00,514200
12-Oct-17,88.00,88.00,85.00,86.00,43900
11-Oct-17,87.00,90.00,82.00,87.00,105400
