Date,Open,High,Low,Close,Volume
29-Dec-17,3360.00,3460.00,3340.00,3460.00,220600
28-Dec-17,3330.00,3360.00,3320.00,3350.00,649500
27-Dec-17,3320.00,3330.00,3310.00,3320.00,682300
22-Dec-17,3320.00,3330.00,3300.00,3320.00,26500
21-Dec-17,3290.00,3330.00,3260.00,3320.00,130200
20-Dec-17,3270.00,3290.00,3250.00,3290.00,122700
19-Dec-17,3280.00,3280.00,3240.00,3270.00,145500
18-Dec-17,3300.00,3300.00,3270.00,3270.00,164400
15-Dec-17,3470.00,3470.00,3230.00,3310.00,471300
14-Dec-17,3460.00,3470.00,3430.00,3450.00,990900
13-Dec-17,3470.00,3470.00,3430.00,3440.00,392700
12-Dec-17,3490.00,3500.00,3430.00,3450.00,493400
11-Dec-17,3500.00,3500.00,3460.00,3480.00,175400
8-Dec-17,3510.00,3520.00,3490.00,3490.00,99100
7-Dec-17,3500.00,3560.00,3470.00,3510.00,1183400
6-Dec-17,3600.00,3600.00,3470.00,3480.00,650800
5-Dec-17,3610.00,3620.00,3560.00,3600.00,73100
4-Dec-17,3770.00,3770.00,3590.00,3590.00,100800
30-Nov-17,3790.00,3800.00,3750.00,3770.00,233400
29-Nov-17,3800.00,3800.00,3780.00,3790.00,7500
28-Nov-17,3800.00,3850.00,3790.00,3800.00,73000
27-Nov-17,3920.00,3920.00,3780.00,3800.00,63100
24-Nov-17,3850.00,3920.00,3830.00,3920.00,15300
23-Nov-17,3850.00,3860.00,3830.00,3830.00,6600
22-Nov-17,3900.00,3910.00,3830.00,3830.00,43500
21-Nov-17,3970.00,3980.00,3900.00,3900.00,69900
20-Nov-17,3970.00,3980.00,3940.00,3950.00,41600
17-Nov-17,4130.00,4130.00,3950.00,3950.00,46700
16-Nov-17,3980.00,4150.00,3960.00,4150.00,67100
15-Nov-17,4240.00,4240.00,3950.00,3960.00,151100
14-Nov-17,4300.00,4300.00,4250.00,4250.00,20400
13-Nov-17,4340.00,4340.00,4290.00,4290.00,15900
10-Nov-17,4330.00,4370.00,4330.00,4340.00,11500
9-Nov-17,4370.00,4380.00,4360.00,4370.00,9400
8-Nov-17,4400.00,4400.00,4370.00,4370.00,6800
7-Nov-17,4390.00,4440.00,4390.00,4390.00,22100
6-Nov-17,4400.00,4410.00,4380.00,4390.00,14100
3-Nov-17,4400.00,4410.00,4380.00,4400.00,7400
2-Nov-17,4560.00,4560.00,4380.00,4380.00,44200
1-Nov-17,4540.00,4570.00,4540.00,4560.00,18300
31-Oct-17,4560.00,4560.00,4450.00,4560.00,53900
30-Oct-17,4500.00,4560.00,4470.00,4560.00,55700
27-Oct-17,4350.00,4500.00,4340.00,4500.00,71900
26-Oct-17,4400.00,4400.00,4300.00,4340.00,89700
25-Oct-17,4220.00,4440.00,4220.00,4400.00,135500
24-Oct-17,4060.00,4320.00,3990.00,4200.00,418500
23-Oct-17,4260.00,4320.00,4030.00,4060.00,677700
20-Oct-17,4680.00,4680.00,4260.00,4260.00,1865200
19-Oct-17,4830.00,4840.00,4680.00,4700.00,87300
18-Oct-17,4770.00,4910.00,4770.00,4830.00,108500
17-Oct-17,4800.00,4810.00,4710.00,4770.00,145600
16-Oct-17,4810.00,4820.00,4780.00,4800.00,60800
13-Oct-17,4810.00,4820.00,4790.00,4810.00,102200
12-Oct-17,4800.00,4820.00,4800.00,4810.00,57400
11-Oct-17,4780.00,4800.00,4780.00,4780.00,32700
10-Oct-17,4800.00,4800.00,4770.00,4770.00,29000
9-Oct-17,4780.00,4800.00,4780.00,4780.00,23200
6-Oct-17,4830.00,4830.00,4760.00,4780.00,29800
5-Oct-17,4840.00,4850.00,4820.00,4830.00,11100
4-Oct-17,4840.00,4860.00,4840.00,4840.00,12400
3-Oct-17,4920.00,4920.00,4850.00,4850.00,28200
2-Oct-17,4900.00,4930.00,4900.00,4910.00,55500
29-Sep-17,4810.00,4910.00,4790.00,4880.00,252100
28-Sep-17,4770.00,4810.00,4760.00,4780.00,19200
27-Sep-17,4930.00,4930.00,4760.00,4770.00,139500
26-Sep-17,4940.00,4950.00,4930.00,4930.00,21200
25-Sep-17,4900.00,4960.00,4900.00,4930.00,304900
22-Sep-17,4900.00,4920.00,4850.00,4910.00,82800
20-Sep-17,4810.00,4960.00,4810.00,4900.00,457100
19-Sep-17,4770.00,4810.00,4760.00,4810.00,15100
18-Sep-17,4760.00,4770.00,4740.00,4770.00,45500
15-Sep-17,4750.00,4760.00,4740.00,4760.00,77800
14-Sep-17,4750.00,4780.00,4750.00,4750.00,54300
13-Sep-17,4740.00,4750.00,4730.00,4750.00,17500
12-Sep-17,4740.00,4740.00,4690.00,4740.00,76700
11-Sep-17,4790.00,4790.00,4730.00,4740.00,87000
8-Sep-17,4670.00,4800.00,4670.00,4790.00,171100
7-Sep-17,4730.00,4730.00,4650.00,4680.00,93200
6-Sep-17,4730.00,4730.00,4720.00,4730.00,11700
5-Sep-17,4740.00,4760.00,4730.00,4730.00,15300
4-Sep-17,4740.00,4740.00,4710.00,4730.00,25600
31-Aug-17,4720.00,4750.00,4710.00,4750.00,263200
30-Aug-17,4760.00,4770.00,4670.00,4710.00,97300
29-Aug-17,4810.00,4840.00,4740.00,4760.00,436000
28-Aug-17,4850.00,4850.00,4820.00,4820.00,5700
25-Aug-17,4810.00,4850.00,4770.00,4850.00,75000
24-Aug-17,4880.00,4900.00,4810.00,4810.00,42700
23-Aug-17,4940.00,4940.00,4890.00,4900.00,260500
22-Aug-17,4990.00,4990.00,4930.00,4950.00,97300
21-Aug-17,4980.00,4980.00,4940.00,4950.00,181400
18-Aug-17,4970.00,5000.00,4930.00,4980.00,46000
16-Aug-17,4940.00,5000.00,4930.00,4970.00,77100
15-Aug-17,4960.00,4960.00,4880.00,4940.00,27100
14-Aug-17,4830.00,4890.00,4830.00,4880.00,51800
11-Aug-17,4830.00,4850.00,4790.00,4850.00,69800
10-Aug-17,4810.00,4820.00,4790.00,4820.00,84800
