Date,Open,High,Low,Close,Volume
29-Dec-17,1760.00,1795.00,1755.00,1795.00,775900
28-Dec-17,1770.00,1770.00,1750.00,1770.00,345500
27-Dec-17,1765.00,1775.00,1745.00,1770.00,2830200
22-Dec-17,1770.00,1770.00,1760.00,1770.00,75600
21-Dec-17,1800.00,1800.00,1765.00,1770.00,172200
20-Dec-17,1750.00,1810.00,1750.00,1810.00,479900
19-Dec-17,1740.00,1770.00,1740.00,1770.00,742500
18-Dec-17,1790.00,1790.00,1720.00,1770.00,386200
15-Dec-17,1780.00,1795.00,1780.00,1790.00,1139700
14-Dec-17,1770.00,1825.00,1730.00,1825.00,452400
13-Dec-17,1805.00,1805.00,1770.00,1780.00,443300
12-Dec-17,1800.00,1800.00,1790.00,1795.00,1026900
11-Dec-17,1795.00,1805.00,1780.00,1795.00,550700
8-Dec-17,1795.00,1805.00,1765.00,1795.00,659700
7-Dec-17,1750.00,1795.00,1725.00,1795.00,1095300
6-Dec-17,1690.00,1750.00,1685.00,1750.00,830400
5-Dec-17,1690.00,1700.00,1680.00,1700.00,286600
4-Dec-17,1625.00,1690.00,1625.00,1690.00,178100
30-Nov-17,1650.00,1650.00,1625.00,1650.00,345700
29-Nov-17,1645.00,1685.00,1645.00,1650.00,769400
28-Nov-17,1670.00,1670.00,1645.00,1650.00,412700
27-Nov-17,1690.00,1690.00,1680.00,1690.00,493100
24-Nov-17,1685.00,1690.00,1660.00,1690.00,42000
23-Nov-17,1685.00,1690.00,1685.00,1690.00,179400
22-Nov-17,1685.00,1690.00,1685.00,1685.00,235500
21-Nov-17,1690.00,1690.00,1660.00,1685.00,128200
20-Nov-17,1690.00,1695.00,1655.00,1695.00,87100
17-Nov-17,1685.00,1695.00,1685.00,1695.00,154100
16-Nov-17,1675.00,1695.00,1650.00,1695.00,510700
15-Nov-17,1650.00,1690.00,1625.00,1690.00,152800
14-Nov-17,1680.00,1690.00,1655.00,1675.00,63800
13-Nov-17,1655.00,1690.00,1645.00,1690.00,95700
10-Nov-17,1690.00,1690.00,1690.00,1690.00,90000
9-Nov-17,1675.00,1690.00,1635.00,1690.00,36400
8-Nov-17,1685.00,1685.00,1650.00,1675.00,21900
