Date,Open,High,Low,Close,Volume
29-Dec-17,2280.00,2420.00,2260.00,2400.00,26822700
28-Dec-17,2270.00,2280.00,2240.00,2260.00,7908800
27-Dec-17,2270.00,2290.00,2250.00,2250.00,7990600
22-Dec-17,2280.00,2300.00,2240.00,2250.00,12898300
21-Dec-17,2230.00,2320.00,2230.00,2270.00,14010400
20-Dec-17,2230.00,2250.00,2210.00,2230.00,9251500
19-Dec-17,2200.00,2270.00,2200.00,2220.00,8030100
18-Dec-17,2200.00,2230.00,2200.00,2200.00,7242500
15-Dec-17,2240.00,2270.00,2200.00,2200.00,14482600
14-Dec-17,2240.00,2260.00,2220.00,2230.00,12377000
13-Dec-17,2230.00,2270.00,2220.00,2230.00,6198000
12-Dec-17,2230.00,2350.00,2210.00,2220.00,24051300
11-Dec-17,2300.00,2300.00,2230.00,2230.00,5997200
8-Dec-17,2300.00,2330.00,2290.00,2300.00,6805900
7-Dec-17,2340.00,2350.00,2300.00,2300.00,10888800
6-Dec-17,2340.00,2370.00,2320.00,2320.00,7118600
5-Dec-17,2370.00,2380.00,2300.00,2330.00,7935600
4-Dec-17,2470.00,2470.00,2360.00,2370.00,10871700
30-Nov-17,2360.00,2490.00,2310.00,2490.00,11234600
29-Nov-17,2360.00,2390.00,2350.00,2360.00,6729800
28-Nov-17,2430.00,2430.00,2360.00,2360.00,8185700
27-Nov-17,2420.00,2450.00,2390.00,2400.00,8325400
24-Nov-17,2400.00,2490.00,2370.00,2420.00,15727400
23-Nov-17,2420.00,2420.00,2370.00,2390.00,10409400
22-Nov-17,2360.00,2400.00,2360.00,2400.00,7012700
21-Nov-17,2380.00,2400.00,2340.00,2380.00,8899200
20-Nov-17,2370.00,2420.00,2330.00,2380.00,11579100
17-Nov-17,2370.00,2370.00,2320.00,2330.00,10938600
16-Nov-17,2350.00,2390.00,2320.00,2360.00,9623900
15-Nov-17,2280.00,2350.00,2260.00,2350.00,13071100
14-Nov-17,2320.00,2320.00,2280.00,2280.00,7779700
13-Nov-17,2320.00,2350.00,2290.00,2310.00,7489600
10-Nov-17,2340.00,2350.00,2320.00,2320.00,9886800
9-Nov-17,2380.00,2380.00,2330.00,2340.00,18550200
8-Nov-17,2400.00,2410.00,2350.00,2350.00,10115500
7-Nov-17,2430.00,2430.00,2390.00,2410.00,7156800
6-Nov-17,2440.00,2440.00,2410.00,2420.00,5252700
3-Nov-17,2440.00,2450.00,2410.00,2420.00,8708100
2-Nov-17,2430.00,2470.00,2410.00,2420.00,8391200
1-Nov-17,2450.00,2460.00,2420.00,2420.00,4747300
31-Oct-17,2450.00,2460.00,2440.00,2450.00,6280400
30-Oct-17,2480.00,2500.00,2440.00,2450.00,7088800
27-Oct-17,2440.00,2500.00,2440.00,2470.00,8525700
26-Oct-17,2540.00,2550.00,2420.00,2430.00,17099500
25-Oct-17,2580.00,2580.00,2480.00,2520.00,11174300
24-Oct-17,2440.00,2730.00,2380.00,2730.00,13078900
23-Oct-17,2500.00,2520.00,2430.00,2430.00,9787700
20-Oct-17,2500.00,2660.00,2450.00,2500.00,24000100
19-Oct-17,2530.00,2550.00,2450.00,2510.00,33721500
18-Oct-17,2540.00,2560.00,2480.00,2530.00,6334100
17-Oct-17,2550.00,2580.00,2530.00,2540.00,8243400
16-Oct-17,2580.00,2590.00,2540.00,2550.00,11116700
13-Oct-17,2590.00,2600.00,2560.00,2570.00,6997100
12-Oct-17,2620.00,2630.00,2570.00,2580.00,7244400
11-Oct-17,2610.00,2660.00,2560.00,2630.00,10619100
10-Oct-17,2650.00,2680.00,2630.00,2630.00,6556400
9-Oct-17,2580.00,2650.00,2570.00,2640.00,6723100
6-Oct-17,2610.00,2660.00,2550.00,2580.00,18316700
5-Oct-17,2730.00,2740.00,2630.00,2630.00,6907000
4-Oct-17,2700.00,2750.00,2700.00,2730.00,12308500
3-Oct-17,2590.00,2700.00,2570.00,2700.00,11263800
2-Oct-17,2600.00,2620.00,2570.00,2590.00,9293400
29-Sep-17,2570.00,2600.00,2540.00,2600.00,18860200
28-Sep-17,2510.00,2550.00,2480.00,2540.00,12797100
27-Sep-17,2530.00,2540.00,2450.00,2510.00,19300100
26-Sep-17,2600.00,2620.00,2530.00,2530.00,8394300
25-Sep-17,2560.00,2640.00,2560.00,2580.00,8241500
22-Sep-17,2580.00,2600.00,2500.00,2560.00,20377700
20-Sep-17,2650.00,2680.00,2570.00,2570.00,11631200
19-Sep-17,2630.00,2700.00,2590.00,2640.00,13227000
18-Sep-17,2650.00,2660.00,2590.00,2600.00,10912700
15-Sep-17,2540.00,2650.00,2490.00,2650.00,17721000
14-Sep-17,2530.00,2560.00,2490.00,2540.00,16788700
13-Sep-17,2580.00,2580.00,2520.00,2540.00,16491400
12-Sep-17,2500.00,2640.00,2470.00,2560.00,15661100
11-Sep-17,2540.00,2540.00,2480.00,2500.00,13985600
8-Sep-17,2520.00,2550.00,2390.00,2540.00,20497700
7-Sep-17,2540.00,2550.00,2480.00,2520.00,3054500
6-Sep-17,2540.00,2540.00,2500.00,2530.00,3223200
