Date,Open,High,Low,Close,Volume
29-Dec-17,705.00,710.00,705.00,710.00,7278200
28-Dec-17,700.00,710.00,695.00,705.00,5869900
27-Dec-17,705.00,710.00,695.00,705.00,8934700
22-Dec-17,705.00,710.00,700.00,700.00,4871100
21-Dec-17,690.00,705.00,685.00,695.00,11943300
20-Dec-17,705.00,705.00,690.00,690.00,12158600
19-Dec-17,705.00,710.00,695.00,700.00,12485200
18-Dec-17,710.00,710.00,705.00,705.00,3283900
15-Dec-17,710.00,710.00,705.00,710.00,4062800
14-Dec-17,705.00,710.00,705.00,710.00,2521600
13-Dec-17,710.00,710.00,705.00,705.00,5071900
12-Dec-17,720.00,720.00,705.00,705.00,8427600
11-Dec-17,715.00,725.00,715.00,720.00,9661600
8-Dec-17,720.00,725.00,715.00,715.00,3048300
7-Dec-17,710.00,730.00,710.00,720.00,11592300
6-Dec-17,705.00,720.00,705.00,710.00,3052400
5-Dec-17,720.00,725.00,705.00,705.00,8252400
4-Dec-17,740.00,740.00,715.00,720.00,14052700
30-Nov-17,710.00,735.00,710.00,735.00,11065800
29-Nov-17,710.00,720.00,710.00,710.00,2214900
28-Nov-17,715.00,720.00,705.00,710.00,6186700
27-Nov-17,710.00,720.00,705.00,710.00,7895900
24-Nov-17,715.00,720.00,710.00,710.00,2506300
23-Nov-17,720.00,720.00,710.00,715.00,5353600
22-Nov-17,735.00,735.00,715.00,715.00,14901100
21-Nov-17,700.00,740.00,695.00,730.00,27098400
20-Nov-17,700.00,710.00,700.00,700.00,3125700
17-Nov-17,700.00,705.00,700.00,700.00,2096400
16-Nov-17,700.00,705.00,690.00,700.00,6588400
15-Nov-17,715.00,715.00,695.00,700.00,8239200
14-Nov-17,715.00,730.00,715.00,715.00,26418200
13-Nov-17,695.00,715.00,690.00,715.00,19571300
10-Nov-17,690.00,695.00,685.00,695.00,5957200
9-Nov-17,690.00,695.00,680.00,685.00,7518400
8-Nov-17,695.00,695.00,690.00,690.00,4743800
7-Nov-17,685.00,700.00,685.00,695.00,5297900
6-Nov-17,700.00,700.00,695.00,700.00,2084900
3-Nov-17,695.00,700.00,690.00,695.00,1835600
2-Nov-17,690.00,700.00,690.00,690.00,3455400
1-Nov-17,695.00,700.00,690.00,690.00,3027500
31-Oct-17,700.00,705.00,695.00,695.00,5809500
30-Oct-17,690.00,705.00,685.00,700.00,10908600
27-Oct-17,685.00,695.00,680.00,690.00,9444100
26-Oct-17,675.00,695.00,675.00,680.00,14946500
25-Oct-17,680.00,685.00,670.00,675.00,13759600
24-Oct-17,675.00,685.00,675.00,685.00,9303600
23-Oct-17,670.00,685.00,665.00,675.00,21964500
20-Oct-17,695.00,700.00,670.00,670.00,25669300
19-Oct-17,695.00,705.00,690.00,695.00,11802600
18-Oct-17,705.00,705.00,690.00,695.00,8021700
17-Oct-17,700.00,705.00,695.00,705.00,7729200
16-Oct-17,705.00,715.00,695.00,700.00,16305200
13-Oct-17,710.00,715.00,700.00,705.00,9778100
12-Oct-17,695.00,720.00,690.00,710.00,47016500
11-Oct-17,690.00,700.00,685.00,695.00,8373500
10-Oct-17,690.00,695.00,685.00,690.00,3270400
9-Oct-17,690.00,690.00,685.00,685.00,761900
6-Oct-17,685.00,695.00,685.00,685.00,2977900
5-Oct-17,700.00,700.00,685.00,685.00,3087500
4-Oct-17,690.00,700.00,690.00,695.00,3388000
3-Oct-17,690.00,695.00,685.00,690.00,4660400
2-Oct-17,700.00,700.00,690.00,690.00,5210300
29-Sep-17,690.00,700.00,685.00,700.00,12276800
28-Sep-17,680.00,690.00,675.00,685.00,5714000
27-Sep-17,680.00,685.00,670.00,675.00,7366800
26-Sep-17,685.00,690.00,675.00,675.00,7011000
25-Sep-17,705.00,705.00,680.00,680.00,12340800
22-Sep-17,690.00,700.00,690.00,700.00,14105100
20-Sep-17,690.00,690.00,680.00,690.00,3749800
19-Sep-17,685.00,700.00,685.00,685.00,5266200
18-Sep-17,695.00,695.00,680.00,685.00,2434800
15-Sep-17,685.00,695.00,675.00,695.00,5277900
14-Sep-17,680.00,685.00,675.00,680.00,5027600
13-Sep-17,670.00,685.00,670.00,680.00,13621100
12-Sep-17,680.00,690.00,675.00,675.00,7783500
11-Sep-17,685.00,695.00,675.00,680.00,12182300
8-Sep-17,700.00,700.00,685.00,685.00,7226400
7-Sep-17,705.00,710.00,690.00,700.00,9787500
6-Sep-17,690.00,705.00,685.00,700.00,6021900
5-Sep-17,695.00,700.00,680.00,690.00,8421900
4-Sep-17,710.00,720.00,695.00,695.00,7090300
31-Aug-17,720.00,725.00,700.00,710.00,9265500
30-Aug-17,695.00,720.00,695.00,720.00,26625100
29-Aug-17,680.00,695.00,675.00,690.00,13769300
28-Aug-17,695.00,700.00,680.00,680.00,12647200
25-Aug-17,700.00,705.00,690.00,695.00,6471500
24-Aug-17,705.00,710.00,700.00,700.00,6463600
23-Aug-17,715.00,725.00,700.00,705.00,8571600
22-Aug-17,720.00,740.00,710.00,715.00,26284600
21-Aug-17,700.00,720.00,700.00,720.00,16590600
18-Aug-17,700.00,705.00,690.00,700.00,6666800
16-Aug-17,710.00,715.00,695.00,700.00,11042500
15-Aug-17,720.00,725.00,710.00,710.00,17305800
14-Aug-17,700.00,720.00,700.00,715.00,23766700
11-Aug-17,705.00,710.00,690.00,695.00,17691900
10-Aug-17,695.00,710.00,695.00,705.00,31514600
9-Aug-17,685.00,705.00,685.00,695.00,36774200
8-Aug-17,665.00,700.00,665.00,685.00,61802400
7-Aug-17,640.00,665.00,640.00,665.00,23259700
4-Aug-17,650.00,650.00,640.00,640.00,3252400
3-Aug-17,660.00,665.00,645.00,650.00,7036600
2-Aug-17,670.00,675.00,655.00,660.00,22932600
1-Aug-17,625.00,675.00,625.00,670.00,50461500
31-Jul-17,630.00,635.00,625.00,630.00,7534900
28-Jul-17,635.00,640.00,625.00,630.00,6676900
27-Jul-17,635.00,640.00,625.00,630.00,7260900
26-Jul-17,625.00,640.00,620.00,635.00,8833700
25-Jul-17,630.00,635.00,625.00,625.00,4638600
24-Jul-17,620.00,635.00,615.00,630.00,9442300
21-Jul-17,635.00,640.00,620.00,620.00,20976100
20-Jul-17,650.00,650.00,635.00,635.00,11964200
19-Jul-17,650.00,660.00,640.00,645.00,21392100
18-Jul-17,635.00,655.00,630.00,650.00,32684000
17-Jul-17,615.00,640.00,615.00,635.00,8026300
14-Jul-17,640.00,640.00,635.00,640.00,4333900
13-Jul-17,640.00,645.00,630.00,635.00,7590200
12-Jul-17,635.00,645.00,635.00,635.00,6267100
11-Jul-17,645.00,655.00,635.00,635.00,10154900
10-Jul-17,650.00,650.00,640.00,650.00,6944600
7-Jul-17,640.00,650.00,635.00,640.00,11080600
6-Jul-17,640.00,645.00,635.00,640.00,13791000
5-Jul-17,650.00,660.00,630.00,635.00,32365600
4-Jul-17,670.00,670.00,640.00,650.00,45012500
3-Jul-17,670.00,680.00,660.00,665.00,14321100
22-Jun-17,670.00,680.00,665.00,665.00,9922300
21-Jun-17,670.00,675.00,665.00,675.00,7371500
20-Jun-17,680.00,685.00,670.00,670.00,9227200
19-Jun-17,695.00,705.00,675.00,675.00,15811100
16-Jun-17,675.00,705.00,665.00,705.00,28253200
15-Jun-17,700.00,700.00,680.00,680.00,7688000
14-Jun-17,665.00,700.00,660.00,695.00,63627400
13-Jun-17,670.00,670.00,655.00,660.00,11158400
12-Jun-17,660.00,670.00,655.00,665.00,10438600
9-Jun-17,690.00,695.00,655.00,660.00,35335000
8-Jun-17,685.00,700.00,680.00,690.00,18379300
7-Jun-17,695.00,700.00,685.00,685.00,5140300
6-Jun-17,695.00,705.00,685.00,700.00,13376500
5-Jun-17,715.00,715.00,695.00,700.00,24528800
2-Jun-17,685.00,725.00,680.00,710.00,64453900
31-May-17,675.00,690.00,670.00,680.00,9393200
30-May-17,680.00,690.00,675.00,675.00,5295800
29-May-17,675.00,690.00,675.00,680.00,7272300
26-May-17,680.00,700.00,675.00,675.00,14521500
24-May-17,685.00,685.00,670.00,680.00,3596400
23-May-17,700.00,700.00,675.00,685.00,5279200
22-May-17,690.00,700.00,675.00,695.00,15224100
19-May-17,655.00,690.00,650.00,690.00,23670300
18-May-17,650.00,665.00,635.00,655.00,12056000
