Date,Open,High,Low,Close,Volume
29-Dec-17,149.00,149.00,140.00,140.00,32400
28-Dec-17,150.00,150.00,141.00,142.00,85600
27-Dec-17,143.00,154.00,142.00,152.00,70700
22-Dec-17,146.00,174.00,140.00,144.00,812800
21-Dec-17,142.00,160.00,142.00,143.00,451900
20-Dec-17,159.00,162.00,140.00,142.00,243000
19-Dec-17,147.00,166.00,143.00,159.00,454400
18-Dec-17,202.00,202.00,143.00,147.00,928100
15-Dec-17,200.00,208.00,185.00,195.00,109200
14-Dec-17,230.00,234.00,190.00,190.00,289100
13-Dec-17,210.00,234.00,186.00,224.00,950600
12-Dec-17,240.00,240.00,186.00,202.00,278600
11-Dec-17,230.00,250.00,218.00,220.00,368400
8-Dec-17,240.00,240.00,181.00,218.00,259200
7-Dec-17,230.00,278.00,220.00,240.00,944800
6-Dec-17,168.00,226.00,168.00,226.00,988500
5-Dec-17,125.00,168.00,116.00,168.00,814500
4-Dec-17,111.00,130.00,111.00,125.00,100000
30-Nov-17,117.00,117.00,110.00,114.00,35700
29-Nov-17,115.00,115.00,104.00,104.00,23500
28-Nov-17,118.00,118.00,101.00,103.00,49100
27-Nov-17,120.00,129.00,108.00,108.00,302500
24-Nov-17,113.00,124.00,113.00,118.00,64100
23-Nov-17,113.00,113.00,110.00,113.00,22000
22-Nov-17,112.00,113.00,107.00,107.00,9500
21-Nov-17,113.00,113.00,106.00,109.00,177100
20-Nov-17,99.00,120.00,99.00,115.00,220000
17-Nov-17,95.00,99.00,91.00,98.00,50900
16-Nov-17,86.00,99.00,86.00,98.00,49600
15-Nov-17,92.00,98.00,92.00,98.00,26900
14-Nov-17,91.00,94.00,88.00,94.00,3500
13-Nov-17,91.00,98.00,82.00,90.00,68600
10-Nov-17,98.00,98.00,98.00,98.00,100
9-Nov-17,93.00,98.00,87.00,98.00,25100
8-Nov-17,94.00,95.00,80.00,93.00,10200
7-Nov-17,97.00,98.00,94.00,98.00,5700
6-Nov-17,99.00,99.00,93.00,97.00,20600
3-Nov-17,101.00,105.00,100.00,100.00,8600
2-Nov-17,87.00,103.00,87.00,102.00,177500
1-Nov-17,89.00,120.00,84.00,89.00,16800
31-Oct-17,84.00,89.00,82.00,89.00,35900
30-Oct-17,86.00,86.00,78.00,82.00,30900
27-Oct-17,91.00,91.00,91.00,91.00,700
26-Oct-17,86.00,100.00,86.00,89.00,25800
25-Oct-17,82.00,86.00,82.00,86.00,1000
24-Oct-17,77.00,88.00,77.00,88.00,4000
23-Oct-17,89.00,89.00,89.00,89.00,100
20-Oct-17,89.00,89.00,89.00,89.00,500
19-Oct-17,86.00,94.00,82.00,90.00,27500
18-Oct-17,90.00,90.00,89.00,90.00,300
17-Oct-17,-,-,-,94.00,0
16-Oct-17,98.00,98.00,94.00,94.00,10400
13-Oct-17,97.00,97.00,88.00,88.00,5200
12-Oct-17,98.00,98.00,89.00,89.00,500
11-Oct-17,89.00,90.00,89.00,89.00,15700
10-Oct-17,91.00,92.00,91.00,92.00,10200
9-Oct-17,96.00,96.00,96.00,96.00,10000
6-Oct-17,96.00,99.00,60.00,97.00,2000
5-Oct-17,-,-,-,88.00,0
4-Oct-17,-,-,-,88.00,0
3-Oct-17,88.00,88.00,88.00,88.00,100
2-Oct-17,107.00,107.00,82.00,88.00,700
29-Sep-17,99.00,100.00,99.00,100.00,74000
28-Sep-17,89.00,112.00,89.00,90.00,1500
27-Sep-17,89.00,89.00,89.00,89.00,111700
26-Sep-17,96.00,96.00,89.00,89.00,106700
25-Sep-17,97.00,97.00,96.00,96.00,24500
22-Sep-17,97.00,97.00,97.00,97.00,13400
20-Sep-17,96.00,96.00,96.00,96.00,708600
19-Sep-17,92.00,97.00,83.00,93.00,9000
18-Sep-17,94.00,94.00,94.00,94.00,7200
15-Sep-17,94.00,94.00,94.00,94.00,2000
14-Sep-17,101.00,135.00,94.00,94.00,12900
13-Sep-17,101.00,113.00,100.00,100.00,600
12-Sep-17,97.00,107.00,97.00,105.00,5800
11-Sep-17,97.00,99.00,97.00,99.00,1300
8-Sep-17,102.00,102.00,98.00,101.00,4000
7-Sep-17,109.00,109.00,100.00,102.00,27300
6-Sep-17,101.00,109.00,101.00,109.00,6000
5-Sep-17,109.00,109.00,99.00,101.00,6400
4-Sep-17,109.00,109.00,109.00,109.00,700
31-Aug-17,109.00,109.00,109.00,109.00,1500
30-Aug-17,118.00,118.00,108.00,109.00,21800
29-Aug-17,108.00,108.00,108.00,108.00,100
28-Aug-17,115.00,115.00,104.00,104.00,12500
25-Aug-17,115.00,115.00,114.00,115.00,9100
24-Aug-17,114.00,124.00,102.00,115.00,18900
23-Aug-17,110.00,110.00,108.00,108.00,48600
22-Aug-17,108.00,114.00,106.00,106.00,6100
21-Aug-17,105.00,114.00,105.00,105.00,9000
18-Aug-17,142.00,142.00,106.00,106.00,27600
16-Aug-17,106.00,109.00,105.00,106.00,6700
15-Aug-17,107.00,110.00,106.00,110.00,300
14-Aug-17,113.00,113.00,106.00,106.00,32000
11-Aug-17,108.00,108.00,108.00,108.00,100
10-Aug-17,112.00,112.00,112.00,112.00,100
9-Aug-17,107.00,130.00,103.00,112.00,6500
8-Aug-17,107.00,109.00,102.00,109.00,102100
7-Aug-17,118.00,118.00,100.00,105.00,128700
4-Aug-17,118.00,118.00,97.00,117.00,13900
3-Aug-17,85.00,128.00,85.00,124.00,8800
2-Aug-17,113.00,130.00,113.00,130.00,40600
1-Aug-17,110.00,110.00,73.00,110.00,5700
31-Jul-17,120.00,120.00,109.00,112.00,24600
28-Jul-17,120.00,120.00,118.00,118.00,800
27-Jul-17,130.00,130.00,120.00,120.00,9400
26-Jul-17,121.00,121.00,120.00,120.00,1800
25-Jul-17,128.00,128.00,122.00,122.00,800
24-Jul-17,123.00,123.00,122.00,122.00,700
21-Jul-17,123.00,128.00,123.00,128.00,6100
20-Jul-17,122.00,122.00,119.00,119.00,12000
19-Jul-17,-,-,-,130.00,0
18-Jul-17,-,-,-,130.00,0
17-Jul-17,-,-,-,130.00,0
14-Jul-17,130.00,130.00,130.00,130.00,100
13-Jul-17,120.00,120.00,120.00,120.00,100
12-Jul-17,122.00,124.00,119.00,119.00,21700
11-Jul-17,122.00,124.00,122.00,122.00,7000
10-Jul-17,120.00,120.00,120.00,120.00,600
7-Jul-17,122.00,135.00,120.00,120.00,3900
6-Jul-17,119.00,120.00,119.00,120.00,9100
5-Jul-17,126.00,127.00,119.00,119.00,3000
4-Jul-17,123.00,128.00,122.00,122.00,2100
3-Jul-17,126.00,128.00,126.00,128.00,5200
22-Jun-17,145.00,145.00,126.00,128.00,2200
21-Jun-17,121.00,148.00,121.00,126.00,27900
20-Jun-17,120.00,121.00,120.00,121.00,3000
19-Jun-17,121.00,121.00,117.00,119.00,75400
16-Jun-17,122.00,128.00,118.00,121.00,43100
15-Jun-17,129.00,139.00,122.00,123.00,293400
14-Jun-17,129.00,130.00,129.00,129.00,1100
13-Jun-17,130.00,131.00,129.00,129.00,59200
12-Jun-17,132.00,132.00,130.00,130.00,400
9-Jun-17,149.00,149.00,131.00,131.00,9800
8-Jun-17,146.00,146.00,131.00,131.00,18200
7-Jun-17,86.00,147.00,86.00,146.00,62800
6-Jun-17,130.00,148.00,130.00,130.00,62500
5-Jun-17,150.00,150.00,131.00,131.00,4100
2-Jun-17,146.00,146.00,122.00,131.00,19200
31-May-17,170.00,170.00,125.00,147.00,19700
30-May-17,126.00,168.00,126.00,138.00,35100
29-May-17,136.00,136.00,117.00,136.00,45100
26-May-17,122.00,146.00,122.00,146.00,8900
24-May-17,140.00,158.00,106.00,119.00,20000
23-May-17,192.00,192.00,111.00,150.00,15200
22-May-17,146.00,194.00,126.00,150.00,166600
19-May-17,112.00,149.00,111.00,146.00,52200
18-May-17,99.00,176.00,99.00,111.00,22000
17-May-17,172.00,172.00,130.00,132.00,10200
16-May-17,194.00,212.00,127.00,128.00,37100
15-May-17,194.00,194.00,194.00,194.00,100
12-May-17,194.00,194.00,175.00,175.00,400
10-May-17,194.00,194.00,125.00,185.00,117600
9-May-17,165.00,189.00,165.00,189.00,96300
8-May-17,85.00,143.00,69.00,140.00,59100
5-May-17,-,-,-,106.00,0
4-May-17,106.00,106.00,69.00,106.00,30600
3-May-17,-,-,-,106.00,0
2-May-17,-,-,-,106.00,0
28-Apr-17,-,-,-,106.00,0
27-Apr-17,-,-,-,106.00,0
26-Apr-17,-,-,-,106.00,0
25-Apr-17,-,-,-,106.00,0
21-Apr-17,-,-,-,106.00,0
20-Apr-17,106.00,106.00,106.00,106.00,300
18-Apr-17,-,-,-,80.00,0
17-Apr-17,-,-,-,80.00,0
13-Apr-17,-,-,-,80.00,0
12-Apr-17,-,-,-,80.00,0
11-Apr-17,-,-,-,80.00,0
10-Apr-17,-,-,-,80.00,0
7-Apr-17,-,-,-,80.00,0
6-Apr-17,-,-,-,80.00,0
5-Apr-17,-,-,-,80.00,0
4-Apr-17,-,-,-,80.00,0
3-Apr-17,-,-,-,80.00,0
31-Mar-17,80.00,80.00,80.00,80.00,100
30-Mar-17,-,-,-,90.00,0
29-Mar-17,145.00,145.00,90.00,90.00,1100
27-Mar-17,-,-,-,138.00,0
24-Mar-17,-,-,-,138.00,0
23-Mar-17,-,-,-,138.00,0
22-Mar-17,-,-,-,138.00,0
21-Mar-17,-,-,-,138.00,0
20-Mar-17,-,-,-,138.00,0
17-Mar-17,-,-,-,138.00,0
16-Mar-17,-,-,-,138.00,0
14-Mar-17,-,-,-,138.00,0
9-Mar-17,-,-,-,138.00,0
8-Mar-17,-,-,-,138.00,0
7-Mar-17,-,-,-,138.00,0
6-Mar-17,-,-,-,138.00,0
3-Mar-17,-,-,-,138.00,0
2-Mar-17,138.00,138.00,138.00,138.00,29000
1-Mar-17,127.00,127.00,127.00,127.00,1200
28-Feb-17,127.00,127.00,127.00,127.00,25000
27-Feb-17,127.00,127.00,127.00,127.00,27000
24-Feb-17,-,-,-,127.00,0
23-Feb-17,-,-,-,127.00,0
22-Feb-17,-,-,-,127.00,0
21-Feb-17,-,-,-,127.00,0
20-Feb-17,-,-,-,127.00,0
17-Feb-17,-,-,-,127.00,0
16-Feb-17,127.00,127.00,127.00,127.00,1200
14-Feb-17,127.00,127.00,127.00,127.00,2800
13-Feb-17,137.00,137.00,137.00,137.00,8700
10-Feb-17,127.00,127.00,127.00,127.00,100
9-Feb-17,127.00,127.00,127.00,127.00,2600
8-Feb-17,-,-,-,99.00,0
7-Feb-17,-,-,-,99.00,0
6-Feb-17,-,-,-,99.00,0
3-Feb-17,-,-,-,99.00,0
2-Feb-17,99.00,99.00,99.00,99.00,5300
1-Feb-17,-,-,-,96.00,0
31-Jan-17,106.00,106.00,96.00,96.00,50000
30-Jan-17,-,-,-,116.00,0
27-Jan-17,-,-,-,116.00,0
26-Jan-17,-,-,-,116.00,0
25-Jan-17,-,-,-,116.00,0
24-Jan-17,116.00,116.00,116.00,116.00,2000
23-Jan-17,116.00,116.00,116.00,116.00,300
20-Jan-17,-,-,-,116.00,0
19-Jan-17,117.00,117.00,116.00,116.00,889500
18-Jan-17,116.00,116.00,116.00,116.00,800
17-Jan-17,-,-,-,116.00,0
16-Jan-17,116.00,116.00,116.00,116.00,100
13-Jan-17,116.00,116.00,116.00,116.00,100
12-Jan-17,-,-,-,125.00,0
11-Jan-17,-,-,-,125.00,0
10-Jan-17,125.00,125.00,125.00,125.00,100
9-Jan-17,-,-,-,125.00,0
6-Jan-17,126.00,145.00,125.00,125.00,23800
5-Jan-17,-,-,-,145.00,0
4-Jan-17,-,-,-,145.00,0
3-Jan-17,145.00,145.00,145.00,145.00,100
30-Dec-16,-,-,-,145.00,0
29-Dec-16,-,-,-,145.00,0
28-Dec-16,145.00,145.00,145.00,145.00,100
27-Dec-16,-,-,-,145.00,0
23-Dec-16,-,-,-,145.00,0
22-Dec-16,-,-,-,145.00,0
21-Dec-16,-,-,-,145.00,0
20-Dec-16,145.00,145.00,145.00,145.00,100
19-Dec-16,-,-,-,145.00,0
16-Dec-16,-,-,-,145.00,0
15-Dec-16,-,-,-,145.00,0
14-Dec-16,-,-,-,145.00,0
13-Dec-16,-,-,-,145.00,0
9-Dec-16,-,-,-,145.00,0
8-Dec-16,-,-,-,145.00,0
7-Dec-16,-,-,-,145.00,0
6-Dec-16,-,-,-,145.00,0
5-Dec-16,-,-,-,145.00,0
2-Dec-16,-,-,-,145.00,0
1-Dec-16,-,-,-,145.00,0
30-Nov-16,-,-,-,145.00,0
29-Nov-16,-,-,-,145.00,0
28-Nov-16,-,-,-,145.00,0
25-Nov-16,115.00,150.00,115.00,145.00,4500
24-Nov-16,-,-,-,125.00,0
23-Nov-16,-,-,-,125.00,0
22-Nov-16,-,-,-,125.00,0
21-Nov-16,135.00,135.00,125.00,125.00,9200
