Date,Open,High,Low,Close,Volume
29-Dec-17,270.00,272.00,264.00,268.00,577900
28-Dec-17,270.00,272.00,264.00,264.00,134000
27-Dec-17,270.00,270.00,270.00,270.00,5100
22-Dec-17,270.00,270.00,270.00,270.00,2500
21-Dec-17,268.00,270.00,264.00,270.00,12800
20-Dec-17,264.00,268.00,264.00,266.00,233200
19-Dec-17,266.00,268.00,260.00,268.00,114600
18-Dec-17,270.00,270.00,260.00,268.00,140100
15-Dec-17,268.00,268.00,264.00,268.00,10700
14-Dec-17,266.00,266.00,262.00,264.00,68700
13-Dec-17,266.00,268.00,260.00,266.00,1007800
12-Dec-17,268.00,268.00,262.00,266.00,57400
11-Dec-17,266.00,268.00,258.00,266.00,694800
8-Dec-17,260.00,268.00,260.00,266.00,176300
7-Dec-17,268.00,268.00,262.00,262.00,100100
6-Dec-17,264.00,270.00,260.00,264.00,126400
5-Dec-17,266.00,270.00,260.00,264.00,157300
4-Dec-17,274.00,274.00,258.00,258.00,395100
30-Nov-17,262.00,274.00,262.00,268.00,1869800
29-Nov-17,258.00,266.00,256.00,262.00,863000
28-Nov-17,254.00,260.00,252.00,260.00,887900
27-Nov-17,262.00,266.00,260.00,264.00,34100
24-Nov-17,264.00,266.00,258.00,258.00,504800
23-Nov-17,252.00,262.00,252.00,262.00,1103300
22-Nov-17,244.00,250.00,242.00,250.00,782800
21-Nov-17,248.00,248.00,242.00,248.00,433500
20-Nov-17,248.00,252.00,246.00,248.00,441400
17-Nov-17,248.00,248.00,246.00,248.00,401000
16-Nov-17,250.00,256.00,246.00,248.00,605900
15-Nov-17,256.00,260.00,254.00,256.00,35800
14-Nov-17,256.00,260.00,250.00,256.00,629600
13-Nov-17,254.00,256.00,252.00,254.00,326400
10-Nov-17,250.00,256.00,250.00,254.00,160600
9-Nov-17,250.00,252.00,248.00,248.00,121500
8-Nov-17,250.00,252.00,242.00,248.00,726400
7-Nov-17,252.00,254.00,248.00,248.00,129900
6-Nov-17,248.00,250.00,248.00,248.00,324000
3-Nov-17,248.00,248.00,244.00,244.00,500100
2-Nov-17,242.00,248.00,240.00,248.00,723100
1-Nov-17,240.00,246.00,236.00,240.00,632900
31-Oct-17,240.00,246.00,236.00,238.00,194100
30-Oct-17,238.00,240.00,232.00,240.00,315900
27-Oct-17,234.00,238.00,234.00,236.00,147300
26-Oct-17,238.00,238.00,234.00,238.00,122400
25-Oct-17,238.00,238.00,232.00,238.00,58900
24-Oct-17,236.00,238.00,234.00,238.00,72000
23-Oct-17,234.00,236.00,232.00,236.00,215000
20-Oct-17,234.00,236.00,232.00,236.00,99500
19-Oct-17,236.00,236.00,234.00,236.00,64100
18-Oct-17,240.00,240.00,234.00,240.00,132000
17-Oct-17,240.00,240.00,236.00,240.00,50500
16-Oct-17,240.00,240.00,238.00,240.00,110200
13-Oct-17,244.00,244.00,238.00,238.00,13000
12-Oct-17,238.00,244.00,236.00,244.00,13500
11-Oct-17,240.00,240.00,236.00,240.00,64200
10-Oct-17,236.00,240.00,234.00,240.00,172500
9-Oct-17,242.00,242.00,234.00,240.00,102900
6-Oct-17,236.00,242.00,236.00,242.00,195400
5-Oct-17,236.00,240.00,234.00,240.00,46700
4-Oct-17,244.00,244.00,234.00,240.00,43400
3-Oct-17,234.00,242.00,234.00,242.00,89800
2-Oct-17,240.00,240.00,238.00,238.00,57800
29-Sep-17,240.00,244.00,240.00,242.00,32900
28-Sep-17,236.00,240.00,236.00,238.00,244100
27-Sep-17,240.00,240.00,232.00,236.00,177000
26-Sep-17,242.00,242.00,232.00,240.00,300700
25-Sep-17,244.00,244.00,242.00,242.00,4000
22-Sep-17,246.00,246.00,236.00,244.00,12400
20-Sep-17,240.00,246.00,240.00,246.00,83800
19-Sep-17,240.00,242.00,238.00,240.00,58600
18-Sep-17,240.00,242.00,238.00,240.00,73500
15-Sep-17,236.00,238.00,236.00,236.00,246800
14-Sep-17,232.00,242.00,232.00,236.00,205000
13-Sep-17,240.00,242.00,236.00,240.00,305100
12-Sep-17,244.00,244.00,232.00,240.00,914200
11-Sep-17,238.00,244.00,232.00,244.00,339500
8-Sep-17,240.00,242.00,232.00,238.00,292000
7-Sep-17,240.00,240.00,238.00,238.00,46400
6-Sep-17,236.00,242.00,230.00,238.00,505500
5-Sep-17,242.00,242.00,230.00,236.00,261500
4-Sep-17,242.00,244.00,232.00,234.00,268800
31-Aug-17,246.00,246.00,238.00,238.00,207700
30-Aug-17,244.00,246.00,236.00,244.00,97500
29-Aug-17,244.00,248.00,242.00,246.00,162000
28-Aug-17,240.00,246.00,240.00,244.00,29000
25-Aug-17,238.00,244.00,238.00,240.00,181500
24-Aug-17,240.00,240.00,230.00,240.00,231200
23-Aug-17,238.00,240.00,234.00,240.00,557500
22-Aug-17,236.00,238.00,234.00,234.00,666800
21-Aug-17,236.00,240.00,236.00,236.00,182100
18-Aug-17,238.00,238.00,230.00,236.00,384900
16-Aug-17,248.00,248.00,238.00,238.00,281900
15-Aug-17,240.00,248.00,238.00,248.00,306200
14-Aug-17,244.00,246.00,240.00,246.00,17700
11-Aug-17,244.00,246.00,234.00,244.00,40300
10-Aug-17,240.00,246.00,238.00,242.00,1263700
9-Aug-17,242.00,244.00,238.00,238.00,456900
8-Aug-17,240.00,244.00,236.00,240.00,518600
7-Aug-17,240.00,246.00,236.00,240.00,234600
4-Aug-17,242.00,246.00,238.00,240.00,544300
3-Aug-17,240.00,248.00,240.00,244.00,324100
2-Aug-17,248.00,254.00,240.00,246.00,1167400
1-Aug-17,250.00,254.00,240.00,248.00,93200
31-Jul-17,252.00,252.00,242.00,250.00,192600
28-Jul-17,250.00,256.00,248.00,248.00,287500
27-Jul-17,258.00,258.00,250.00,256.00,153300
26-Jul-17,260.00,260.00,250.00,254.00,630900
25-Jul-17,250.00,262.00,250.00,260.00,686400
24-Jul-17,254.00,264.00,244.00,256.00,1953500
21-Jul-17,254.00,258.00,250.00,252.00,337200
20-Jul-17,244.00,256.00,244.00,254.00,1288400
19-Jul-17,250.00,250.00,238.00,244.00,1642200
18-Jul-17,250.00,252.00,242.00,248.00,1388200
17-Jul-17,260.00,260.00,248.00,250.00,1495800
14-Jul-17,254.00,258.00,252.00,258.00,378200
13-Jul-17,258.00,264.00,252.00,254.00,2501400
12-Jul-17,252.00,258.00,252.00,256.00,287300
11-Jul-17,252.00,260.00,250.00,256.00,979300
10-Jul-17,260.00,260.00,250.00,256.00,704100
7-Jul-17,258.00,260.00,252.00,252.00,1085200
6-Jul-17,262.00,264.00,252.00,252.00,1362100
5-Jul-17,252.00,264.00,252.00,254.00,1866500
4-Jul-17,254.00,260.00,246.00,252.00,3556500
3-Jul-17,270.00,270.00,254.00,254.00,1054200
22-Jun-17,276.00,276.00,260.00,260.00,3390800
21-Jun-17,278.00,288.00,268.00,274.00,6557100
20-Jun-17,284.00,288.00,270.00,278.00,9302100
19-Jun-17,248.00,300.00,248.00,282.00,20102300
16-Jun-17,260.00,272.00,248.00,248.00,7366700
15-Jun-17,248.00,296.00,232.00,258.00,15688300
14-Jun-17,246.00,268.00,236.00,242.00,492200
13-Jun-17,240.00,240.00,240.00,240.00,110100
12-Jun-17,238.00,246.00,238.00,246.00,21500
9-Jun-17,234.00,244.00,234.00,240.00,108700
8-Jun-17,242.00,242.00,230.00,240.00,523700
7-Jun-17,242.00,246.00,234.00,242.00,76200
6-Jun-17,248.00,248.00,242.00,242.00,22400
5-Jun-17,242.00,248.00,242.00,248.00,201400
2-Jun-17,232.00,242.00,232.00,242.00,29100
31-May-17,244.00,244.00,236.00,240.00,18000
30-May-17,240.00,248.00,230.00,244.00,209800
29-May-17,234.00,240.00,234.00,240.00,2900
26-May-17,238.00,248.00,236.00,236.00,64500
24-May-17,238.00,238.00,232.00,238.00,89700
23-May-17,238.00,244.00,234.00,238.00,137500
22-May-17,248.00,248.00,232.00,234.00,2071500
19-May-17,250.00,250.00,240.00,250.00,117800
18-May-17,246.00,250.00,246.00,248.00,50400
17-May-17,246.00,248.00,246.00,248.00,84900
16-May-17,246.00,248.00,234.00,234.00,72200
15-May-17,236.00,250.00,236.00,248.00,139000
12-May-17,246.00,250.00,234.00,244.00,551200
10-May-17,242.00,250.00,240.00,246.00,832400
9-May-17,250.00,258.00,244.00,250.00,854500
8-May-17,232.00,266.00,232.00,244.00,851200
5-May-17,250.00,260.00,212.00,230.00,4685000
4-May-17,260.00,260.00,242.00,250.00,533400
3-May-17,260.00,260.00,242.00,256.00,879800
2-May-17,260.00,262.00,240.00,252.00,543500
28-Apr-17,272.00,272.00,258.00,260.00,1110400
27-Apr-17,280.00,280.00,268.00,270.00,1171700
26-Apr-17,280.00,294.00,268.00,278.00,1870600
25-Apr-17,248.00,282.00,248.00,280.00,2879600
21-Apr-17,246.00,248.00,244.00,246.00,2228200
20-Apr-17,244.00,246.00,240.00,246.00,164600
18-Apr-17,240.00,240.00,232.00,240.00,245500
17-Apr-17,248.00,248.00,234.00,240.00,43900
13-Apr-17,238.00,240.00,232.00,238.00,103200
12-Apr-17,236.00,238.00,236.00,238.00,70000
11-Apr-17,238.00,240.00,238.00,240.00,98800
10-Apr-17,-,-,-,238.00,0
7-Apr-17,230.00,238.00,230.00,238.00,300
6-Apr-17,242.00,242.00,230.00,236.00,245200
5-Apr-17,242.00,246.00,240.00,242.00,264900
4-Apr-17,236.00,242.00,236.00,240.00,1417400
3-Apr-17,234.00,236.00,234.00,236.00,76000
31-Mar-17,226.00,236.00,226.00,236.00,160200
30-Mar-17,236.00,238.00,226.00,236.00,162500
29-Mar-17,234.00,238.00,228.00,236.00,358400
27-Mar-17,240.00,240.00,220.00,230.00,2768900
24-Mar-17,240.00,244.00,232.00,240.00,289900
23-Mar-17,238.00,240.00,230.00,238.00,293200
