Date,Open,High,Low,Close,Volume
29-Dec-17,50.00,50.00,50.00,50.00,94000
28-Dec-17,50.00,50.00,50.00,50.00,11000
27-Dec-17,50.00,50.00,50.00,50.00,21200
22-Dec-17,50.00,50.00,50.00,50.00,693000
21-Dec-17,50.00,50.00,50.00,50.00,21500
20-Dec-17,-,-,-,50.00,0
19-Dec-17,50.00,50.00,50.00,50.00,100
18-Dec-17,-,-,-,50.00,0
15-Dec-17,50.00,50.00,50.00,50.00,50400
14-Dec-17,50.00,50.00,50.00,50.00,402000
13-Dec-17,50.00,50.00,50.00,50.00,1100
12-Dec-17,-,-,-,50.00,0
11-Dec-17,-,-,-,50.00,0
8-Dec-17,50.00,50.00,50.00,50.00,997700
7-Dec-17,-,-,-,50.00,0
6-Dec-17,-,-,-,50.00,0
5-Dec-17,-,-,-,50.00,0
4-Dec-17,-,-,-,50.00,0
30-Nov-17,-,-,-,50.00,0
29-Nov-17,50.00,50.00,50.00,50.00,100
28-Nov-17,50.00,50.00,50.00,50.00,20100
27-Nov-17,50.00,50.00,50.00,50.00,100
24-Nov-17,50.00,50.00,50.00,50.00,700
23-Nov-17,50.00,50.00,50.00,50.00,700
22-Nov-17,50.00,50.00,50.00,50.00,100
21-Nov-17,50.00,50.00,50.00,50.00,1700
20-Nov-17,50.00,50.00,50.00,50.00,20008000
17-Nov-17,50.00,50.00,50.00,50.00,1000
16-Nov-17,-,-,-,50.00,0
15-Nov-17,-,-,-,50.00,0
14-Nov-17,50.00,50.00,50.00,50.00,100
13-Nov-17,50.00,50.00,50.00,50.00,20000
10-Nov-17,-,-,-,50.00,0
9-Nov-17,-,-,-,50.00,0
8-Nov-17,50.00,50.00,50.00,50.00,1800
7-Nov-17,-,-,-,50.00,0
6-Nov-17,50.00,50.00,50.00,50.00,3600
3-Nov-17,50.00,50.00,50.00,50.00,6000
2-Nov-17,50.00,50.00,50.00,50.00,17300
1-Nov-17,50.00,50.00,50.00,50.00,300
31-Oct-17,-,-,-,50.00,0
30-Oct-17,50.00,50.00,50.00,50.00,300
27-Oct-17,50.00,50.00,50.00,50.00,21000
26-Oct-17,50.00,50.00,50.00,50.00,52600
25-Oct-17,50.00,50.00,50.00,50.00,10100
24-Oct-17,50.00,50.00,50.00,50.00,5000
23-Oct-17,50.00,50.00,50.00,50.00,25200
20-Oct-17,-,-,-,50.00,0
19-Oct-17,-,-,-,50.00,0
18-Oct-17,50.00,50.00,50.00,50.00,800
17-Oct-17,50.00,50.00,50.00,50.00,1200
16-Oct-17,50.00,50.00,50.00,50.00,670800
12-Oct-17,50.00,50.00,50.00,50.00,100
11-Oct-17,50.00,50.00,50.00,50.00,145000
10-Oct-17,50.00,50.00,50.00,50.00,100
9-Oct-17,50.00,50.00,50.00,50.00,100
6-Oct-17,50.00,50.00,50.00,50.00,400
5-Oct-17,50.00,50.00,50.00,50.00,200
4-Oct-17,50.00,50.00,50.00,50.00,600
3-Oct-17,50.00,50.00,50.00,50.00,1000
2-Oct-17,50.00,50.00,50.00,50.00,3200
29-Sep-17,50.00,50.00,50.00,50.00,10600
28-Sep-17,50.00,50.00,50.00,50.00,200
27-Sep-17,50.00,50.00,50.00,50.00,9000100
26-Sep-17,-,-,-,50.00,0
25-Sep-17,-,-,-,50.00,0
22-Sep-17,-,-,-,50.00,0
20-Sep-17,-,-,-,50.00,0
19-Sep-17,50.00,50.00,50.00,50.00,600
18-Sep-17,-,-,-,50.00,0
15-Sep-17,50.00,50.00,50.00,50.00,1000
14-Sep-17,-,-,-,50.00,0
13-Sep-17,-,-,-,50.00,0
12-Sep-17,50.00,50.00,50.00,50.00,100
11-Sep-17,50.00,50.00,50.00,50.00,500
8-Sep-17,-,-,-,50.00,0
7-Sep-17,50.00,50.00,50.00,50.00,2500
6-Sep-17,50.00,50.00,50.00,50.00,2200
5-Sep-17,50.00,50.00,50.00,50.00,1000
4-Sep-17,50.00,50.00,50.00,50.00,1300
31-Aug-17,50.00,50.00,50.00,50.00,1500
30-Aug-17,50.00,50.00,50.00,50.00,1000
29-Aug-17,50.00,50.00,50.00,50.00,2000
28-Aug-17,50.00,50.00,50.00,50.00,19200
25-Aug-17,50.00,50.00,50.00,50.00,1500
24-Aug-17,50.00,50.00,50.00,50.00,41300
23-Aug-17,50.00,50.00,50.00,50.00,100
22-Aug-17,50.00,50.00,50.00,50.00,400
21-Aug-17,50.00,50.00,50.00,50.00,200
18-Aug-17,50.00,50.00,50.00,50.00,1000
16-Aug-17,-,-,-,50.00,0
15-Aug-17,50.00,50.00,50.00,50.00,2200
14-Aug-17,50.00,50.00,50.00,50.00,2300
11-Aug-17,50.00,50.00,50.00,50.00,20300
10-Aug-17,50.00,50.00,50.00,50.00,400
9-Aug-17,50.00,50.00,50.00,50.00,900
8-Aug-17,50.00,50.00,50.00,50.00,1300
7-Aug-17,50.00,50.00,50.00,50.00,1100
4-Aug-17,50.00,50.00,50.00,50.00,30200
3-Aug-17,50.00,50.00,50.00,50.00,1200
2-Aug-17,50.00,50.00,50.00,50.00,100
