Date,Open,High,Low,Close,Volume
29-Dec-17,1350.00,1365.00,1325.00,1350.00,3211600
28-Dec-17,1365.00,1365.00,1350.00,1350.00,4501000
27-Dec-17,1360.00,1370.00,1360.00,1365.00,7546200
22-Dec-17,1365.00,1370.00,1345.00,1360.00,1592500
21-Dec-17,1325.00,1375.00,1325.00,1365.00,9446500
20-Dec-17,1350.00,1350.00,1315.00,1330.00,6529600
19-Dec-17,1330.00,1370.00,1315.00,1340.00,19005200
18-Dec-17,1235.00,1325.00,1235.00,1320.00,28210500
15-Dec-17,1230.00,1255.00,1230.00,1235.00,5294200
14-Dec-17,1250.00,1255.00,1240.00,1255.00,8253200
13-Dec-17,1220.00,1255.00,1210.00,1255.00,5634100
12-Dec-17,1245.00,1265.00,1225.00,1225.00,9941200
11-Dec-17,1195.00,1250.00,1190.00,1250.00,17294600
8-Dec-17,1195.00,1195.00,1185.00,1195.00,1625000
7-Dec-17,1195.00,1205.00,1190.00,1195.00,2778000
6-Dec-17,1195.00,1215.00,1190.00,1205.00,2170400
5-Dec-17,1190.00,1225.00,1190.00,1210.00,3664700
4-Dec-17,1180.00,1230.00,1180.00,1210.00,2163800
30-Nov-17,1215.00,1230.00,1215.00,1220.00,3515200
29-Nov-17,1220.00,1230.00,1205.00,1220.00,2087500
28-Nov-17,1220.00,1230.00,1200.00,1225.00,2084000
27-Nov-17,1170.00,1225.00,1170.00,1220.00,1210300
24-Nov-17,1180.00,1240.00,1180.00,1220.00,4032600
23-Nov-17,1215.00,1230.00,1205.00,1215.00,3898500
22-Nov-17,1210.00,1225.00,1195.00,1210.00,5598200
21-Nov-17,1210.00,1215.00,1195.00,1200.00,2671500
20-Nov-17,1210.00,1220.00,1205.00,1205.00,4549500
17-Nov-17,1220.00,1220.00,1200.00,1205.00,4254300
16-Nov-17,1220.00,1220.00,1205.00,1215.00,1120300
15-Nov-17,1235.00,1235.00,1215.00,1215.00,4979900
14-Nov-17,1225.00,1240.00,1215.00,1220.00,4066800
13-Nov-17,1225.00,1235.00,1220.00,1225.00,3472700
10-Nov-17,1235.00,1235.00,1220.00,1225.00,1914500
9-Nov-17,1235.00,1255.00,1225.00,1235.00,4934000
8-Nov-17,1275.00,1280.00,1235.00,1235.00,3163000
7-Nov-17,1280.00,1285.00,1270.00,1275.00,2758600
6-Nov-17,1280.00,1295.00,1270.00,1280.00,4388600
3-Nov-17,1275.00,1285.00,1265.00,1280.00,5278800
2-Nov-17,1285.00,1290.00,1250.00,1275.00,10299600
1-Nov-17,1245.00,1295.00,1245.00,1280.00,26076200
31-Oct-17,1245.00,1255.00,1230.00,1240.00,12563000
30-Oct-17,1215.00,1235.00,1205.00,1230.00,12902700
27-Oct-17,1190.00,1240.00,1190.00,1220.00,3175800
26-Oct-17,1190.00,1245.00,1190.00,1230.00,4262900
25-Oct-17,1225.00,1235.00,1215.00,1235.00,3064400
24-Oct-17,1190.00,1230.00,1190.00,1215.00,1834300
23-Oct-17,1205.00,1240.00,1205.00,1215.00,1292700
20-Oct-17,1240.00,1245.00,1225.00,1225.00,1333800
19-Oct-17,1225.00,1245.00,1225.00,1235.00,2779400
18-Oct-17,1210.00,1260.00,1210.00,1225.00,3987100
17-Oct-17,1160.00,1250.00,1160.00,1240.00,11265200
16-Oct-17,1220.00,1220.00,1175.00,1180.00,10080600
13-Oct-17,1200.00,1250.00,1200.00,1205.00,8719300
12-Oct-17,1240.00,1255.00,1220.00,1240.00,5605000
11-Oct-17,1240.00,1255.00,1235.00,1240.00,4537600
10-Oct-17,1275.00,1275.00,1250.00,1255.00,6261100
9-Oct-17,1300.00,1300.00,1270.00,1280.00,2177200
6-Oct-17,1250.00,1280.00,1250.00,1275.00,4795000
5-Oct-17,1300.00,1310.00,1275.00,1280.00,3571400
4-Oct-17,1300.00,1310.00,1270.00,1300.00,4352200
3-Oct-17,1280.00,1295.00,1250.00,1270.00,12260600
2-Oct-17,1270.00,1315.00,1270.00,1290.00,995800
29-Sep-17,1300.00,1310.00,1290.00,1295.00,1892600
28-Sep-17,1270.00,1315.00,1270.00,1300.00,2991800
27-Sep-17,1305.00,1315.00,1255.00,1305.00,3264500
26-Sep-17,1280.00,1310.00,1280.00,1305.00,3619500
25-Sep-17,1300.00,1325.00,1270.00,1280.00,6439000
22-Sep-17,1350.00,1355.00,1285.00,1300.00,12944800
20-Sep-17,1360.00,1370.00,1345.00,1350.00,10521300
19-Sep-17,1355.00,1370.00,1350.00,1360.00,2068800
18-Sep-17,1380.00,1395.00,1355.00,1355.00,1895700
15-Sep-17,1350.00,1380.00,1340.00,1380.00,13032900
14-Sep-17,1360.00,1365.00,1340.00,1355.00,5726200
13-Sep-17,1370.00,1380.00,1355.00,1360.00,3724000
12-Sep-17,1360.00,1385.00,1360.00,1370.00,5320700
11-Sep-17,1360.00,1385.00,1355.00,1370.00,4441500
8-Sep-17,1375.00,1375.00,1355.00,1360.00,2135500
7-Sep-17,1360.00,1390.00,1350.00,1375.00,5345700
6-Sep-17,1350.00,1375.00,1350.00,1360.00,1950300
5-Sep-17,1360.00,1380.00,1350.00,1370.00,5348900
4-Sep-17,1380.00,1380.00,1350.00,1360.00,7642700
31-Aug-17,1370.00,1390.00,1355.00,1385.00,8740500
30-Aug-17,1405.00,1415.00,1360.00,1390.00,7245500
29-Aug-17,1380.00,1415.00,1375.00,1405.00,7269700
28-Aug-17,1385.00,1390.00,1370.00,1380.00,4402700
25-Aug-17,1380.00,1380.00,1350.00,1370.00,6044900
24-Aug-17,1430.00,1440.00,1365.00,1370.00,9283400
23-Aug-17,1410.00,1440.00,1405.00,1430.00,11890200
22-Aug-17,1385.00,1410.00,1385.00,1400.00,5004400
21-Aug-17,1405.00,1415.00,1375.00,1385.00,3099300
18-Aug-17,1410.00,1420.00,1390.00,1405.00,2434900
16-Aug-17,1400.00,1420.00,1400.00,1420.00,2911700
15-Aug-17,1385.00,1410.00,1385.00,1400.00,7579300
14-Aug-17,1330.00,1390.00,1330.00,1385.00,11165400
11-Aug-17,1350.00,1380.00,1325.00,1330.00,5537200
10-Aug-17,1310.00,1385.00,1310.00,1385.00,33234600
9-Aug-17,1290.00,1320.00,1290.00,1310.00,5463400
8-Aug-17,1265.00,1295.00,1265.00,1295.00,6175000
7-Aug-17,1285.00,1310.00,1260.00,1265.00,2192600
4-Aug-17,1270.00,1305.00,1250.00,1285.00,6445700
3-Aug-17,1290.00,1300.00,1275.00,1280.00,1976400
2-Aug-17,1325.00,1330.00,1280.00,1290.00,3725800
1-Aug-17,1290.00,1330.00,1290.00,1320.00,11472800
31-Jul-17,1310.00,1325.00,1270.00,1290.00,3008300
28-Jul-17,1320.00,1330.00,1315.00,1320.00,11157200
27-Jul-17,1300.00,1320.00,1295.00,1320.00,15367600
26-Jul-17,1285.00,1310.00,1270.00,1295.00,20206300
25-Jul-17,1260.00,1295.00,1245.00,1285.00,11273600
24-Jul-17,1235.00,1265.00,1225.00,1260.00,4627900
21-Jul-17,1250.00,1250.00,1225.00,1245.00,2870800
20-Jul-17,1225.00,1255.00,1220.00,1250.00,3551600
19-Jul-17,1235.00,1240.00,1215.00,1230.00,3970900
18-Jul-17,1240.00,1245.00,1230.00,1235.00,2118900
17-Jul-17,1225.00,1245.00,1225.00,1240.00,5934100
14-Jul-17,1205.00,1235.00,1200.00,1225.00,2268400
13-Jul-17,1240.00,1265.00,1200.00,1210.00,8383900
12-Jul-17,1230.00,1250.00,1220.00,1240.00,6070200
11-Jul-17,1235.00,1255.00,1230.00,1230.00,3397400
10-Jul-17,1270.00,1270.00,1235.00,1235.00,3183600
7-Jul-17,1280.00,1300.00,1250.00,1265.00,12286100
6-Jul-17,1220.00,1275.00,1215.00,1275.00,17076200
5-Jul-17,1225.00,1250.00,1190.00,1215.00,8955000
4-Jul-17,1245.00,1255.00,1220.00,1230.00,3606400
3-Jul-17,1170.00,1250.00,1170.00,1245.00,11579200
22-Jun-17,1170.00,1185.00,1165.00,1170.00,4883100
21-Jun-17,1165.00,1180.00,1150.00,1165.00,4898300
20-Jun-17,1200.00,1200.00,1155.00,1160.00,5313900
19-Jun-17,1200.00,1200.00,1160.00,1160.00,6444100
16-Jun-17,1225.00,1225.00,1185.00,1190.00,4284400
15-Jun-17,1220.00,1240.00,1215.00,1225.00,7498300
14-Jun-17,1220.00,1230.00,1200.00,1220.00,6986600
13-Jun-17,1230.00,1240.00,1215.00,1220.00,5749800
12-Jun-17,1230.00,1240.00,1215.00,1240.00,2494600
9-Jun-17,1160.00,1245.00,1160.00,1230.00,6897000
8-Jun-17,1200.00,1215.00,1160.00,1180.00,7105600
7-Jun-17,1230.00,1240.00,1190.00,1200.00,7770500
6-Jun-17,1270.00,1280.00,1205.00,1230.00,14469000
5-Jun-17,1300.00,1300.00,1270.00,1270.00,1633600
2-Jun-17,1275.00,1300.00,1270.00,1285.00,3933600
31-May-17,1295.00,1295.00,1265.00,1280.00,2912900
30-May-17,1300.00,1305.00,1285.00,1300.00,3303400
29-May-17,1275.00,1315.00,1275.00,1300.00,4632000
26-May-17,1260.00,1285.00,1260.00,1275.00,2177000
24-May-17,1285.00,1285.00,1250.00,1275.00,2523000
23-May-17,1260.00,1295.00,1250.00,1285.00,10171200
22-May-17,1310.00,1355.00,1260.00,1260.00,13788200
19-May-17,1245.00,1315.00,1230.00,1315.00,15642600
18-May-17,1190.00,1255.00,1180.00,1235.00,6475300
17-May-17,1250.00,1250.00,1220.00,1240.00,9586000
16-May-17,1240.00,1270.00,1225.00,1245.00,6871100
15-May-17,1280.00,1285.00,1240.00,1240.00,5342900
12-May-17,1295.00,1305.00,1275.00,1285.00,7992800
10-May-17,1275.00,1320.00,1230.00,1295.00,14070800
9-May-17,1315.00,1320.00,1220.00,1275.00,15443700
8-May-17,1310.00,1330.00,1305.00,1315.00,12569800
5-May-17,1320.00,1335.00,1295.00,1305.00,4562600
4-May-17,1280.00,1335.00,1280.00,1320.00,33030800
3-May-17,1300.00,1315.00,1260.00,1270.00,13143000
2-May-17,1270.00,1315.00,1270.00,1300.00,21159000
28-Apr-17,1245.00,1275.00,1215.00,1270.00,11761200
27-Apr-17,1275.00,1280.00,1225.00,1235.00,19489600
26-Apr-17,1270.00,1300.00,1260.00,1265.00,15658600
25-Apr-17,1255.00,1275.00,1240.00,1260.00,7456000
21-Apr-17,1185.00,1255.00,1180.00,1255.00,48898300
20-Apr-17,1190.00,1205.00,1170.00,1185.00,5424100
18-Apr-17,1200.00,1240.00,1190.00,1200.00,43731100
17-Apr-17,1155.00,1200.00,1090.00,1190.00,27444200
13-Apr-17,1175.00,1210.00,1150.00,1155.00,12392200
12-Apr-17,1165.00,1210.00,1165.00,1170.00,8804600
11-Apr-17,1215.00,1240.00,1165.00,1165.00,30316800
10-Apr-17,1160.00,1225.00,1160.00,1215.00,45235000
7-Apr-17,1085.00,1160.00,1075.00,1155.00,42557200
6-Apr-17,1080.00,1095.00,1070.00,1085.00,30675600
5-Apr-17,1080.00,1110.00,1070.00,1075.00,9483200
4-Apr-17,1105.00,1110.00,1070.00,1080.00,11637000
3-Apr-17,1040.00,1110.00,1040.00,1095.00,54004700
31-Mar-17,1025.00,1060.00,1020.00,1040.00,33735700
30-Mar-17,995.00,1025.00,980.00,1020.00,16161500
29-Mar-17,1005.00,1005.00,985.00,985.00,8997300
27-Mar-17,1010.00,1015.00,995.00,1000.00,13513700
24-Mar-17,1015.00,1030.00,1010.00,1010.00,6401900
23-Mar-17,1000.00,1020.00,1000.00,1015.00,9452600
22-Mar-17,1020.00,1020.00,990.00,1005.00,7797600
21-Mar-17,1025.00,1035.00,1010.00,1020.00,5931200
20-Mar-17,1030.00,1035.00,1025.00,1025.00,6194300
17-Mar-17,1005.00,1030.00,1005.00,1030.00,21068000
16-Mar-17,1025.00,1045.00,1000.00,1005.00,14302700
15-Mar-17,1060.00,1060.00,1025.00,1025.00,19268000
14-Mar-17,1035.00,1060.00,1020.00,1050.00,39107500
13-Mar-17,1010.00,1035.00,995.00,1030.00,26015800
10-Mar-17,980.00,1025.00,975.00,1005.00,29773800
9-Mar-17,950.00,975.00,950.00,970.00,7221800
8-Mar-17,960.00,970.00,945.00,950.00,3152200
7-Mar-17,985.00,985.00,950.00,960.00,13249200
6-Mar-17,985.00,995.00,975.00,985.00,7629400
3-Mar-17,1010.00,1020.00,980.00,985.00,8141300
2-Mar-17,990.00,1035.00,980.00,1010.00,42480600
1-Mar-17,970.00,995.00,965.00,970.00,10090500
28-Feb-17,970.00,1000.00,965.00,990.00,16668900
27-Feb-17,1000.00,1000.00,965.00,970.00,12318900
24-Feb-17,990.00,1015.00,975.00,1000.00,15766700
23-Feb-17,1015.00,1020.00,980.00,995.00,18204600
22-Feb-17,1075.00,1090.00,995.00,1015.00,27957600
