Date,Open,High,Low,Close,Volume
29-Jun-15,50.00,50.00,50.00,50.00,100
26-Jun-15,-,-,-,50.00,0
25-Jun-15,50.00,50.00,50.00,50.00,53100
24-Jun-15,50.00,50.00,50.00,50.00,300
23-Jun-15,50.00,50.00,50.00,50.00,100
22-Jun-15,-,-,-,50.00,0
19-Jun-15,-,-,-,50.00,0
18-Jun-15,50.00,50.00,50.00,50.00,100000
17-Jun-15,50.00,50.00,50.00,50.00,100
16-Jun-15,-,-,-,50.00,0
15-Jun-15,50.00,50.00,50.00,50.00,282000
12-Jun-15,-,-,-,50.00,0
11-Jun-15,50.00,50.00,50.00,50.00,200
10-Jun-15,50.00,50.00,50.00,50.00,3000
9-Jun-15,50.00,50.00,50.00,50.00,41100
8-Jun-15,50.00,50.00,50.00,50.00,500
5-Jun-15,50.00,50.00,50.00,50.00,1000
4-Jun-15,50.00,50.00,50.00,50.00,104300
3-Jun-15,50.00,50.00,50.00,50.00,30200
1-Jun-15,50.00,50.00,50.00,50.00,452000
29-May-15,50.00,50.00,50.00,50.00,402500
28-May-15,50.00,50.00,50.00,50.00,62200
27-May-15,50.00,50.00,50.00,50.00,325300
26-May-15,50.00,50.00,50.00,50.00,655700
25-May-15,50.00,50.00,50.00,50.00,465400
22-May-15,50.00,50.00,50.00,50.00,12000
21-May-15,50.00,50.00,50.00,50.00,2800
20-May-15,50.00,50.00,50.00,50.00,2500
19-May-15,50.00,50.00,50.00,50.00,43100
18-May-15,50.00,50.00,50.00,50.00,1336400
15-May-15,50.00,50.00,50.00,50.00,651000
13-May-15,50.00,50.00,50.00,50.00,368000
12-May-15,50.00,50.00,50.00,50.00,676700
11-May-15,50.00,52.00,50.00,50.00,22527200
8-May-15,50.00,51.00,50.00,50.00,10644400
7-May-15,50.00,50.00,50.00,50.00,100
6-May-15,50.00,50.00,50.00,50.00,500
5-May-15,-,-,-,50.00,0
4-May-15,50.00,50.00,50.00,50.00,4000000
30-Apr-15,50.00,50.00,50.00,50.00,20000
29-Apr-15,50.00,50.00,50.00,50.00,900
28-Apr-15,-,-,-,50.00,0
27-Apr-15,-,-,-,50.00,0
24-Apr-15,50.00,50.00,50.00,50.00,5200
23-Apr-15,-,-,-,50.00,0
22-Apr-15,50.00,50.00,50.00,50.00,10400
21-Apr-15,50.00,50.00,50.00,50.00,481100
20-Apr-15,50.00,50.00,50.00,50.00,37000
17-Apr-15,50.00,50.00,50.00,50.00,2005800
16-Apr-15,50.00,53.00,50.00,50.00,21059900
15-Apr-15,50.00,50.00,50.00,50.00,1000
14-Apr-15,50.00,50.00,50.00,50.00,1000
13-Apr-15,50.00,50.00,50.00,50.00,70500
10-Apr-15,50.00,51.00,50.00,50.00,1733800
9-Apr-15,50.00,51.00,50.00,50.00,14558700
8-Apr-15,50.00,50.00,50.00,50.00,3000
7-Apr-15,50.00,50.00,50.00,50.00,101500
6-Apr-15,50.00,50.00,50.00,50.00,1500
2-Apr-15,50.00,50.00,50.00,50.00,1301500
1-Apr-15,50.00,50.00,50.00,50.00,2700
31-Mar-15,50.00,50.00,50.00,50.00,7600
30-Mar-15,50.00,50.00,50.00,50.00,1200
27-Mar-15,50.00,50.00,50.00,50.00,1500
26-Mar-15,50.00,50.00,50.00,50.00,2800
25-Mar-15,50.00,50.00,50.00,50.00,1000
24-Mar-15,50.00,50.00,50.00,50.00,101600
23-Mar-15,50.00,50.00,50.00,50.00,6900
20-Mar-15,50.00,50.00,50.00,50.00,1000
19-Mar-15,50.00,50.00,50.00,50.00,32900
18-Mar-15,50.00,50.00,50.00,50.00,5000
17-Mar-15,50.00,50.00,50.00,50.00,53600
16-Mar-15,50.00,50.00,50.00,50.00,26800
13-Mar-15,50.00,50.00,50.00,50.00,1223700
12-Mar-15,50.00,50.00,50.00,50.00,11900
11-Mar-15,50.00,50.00,50.00,50.00,51100
10-Mar-15,50.00,50.00,50.00,50.00,14700
9-Mar-15,50.00,50.00,50.00,50.00,262500
6-Mar-15,50.00,50.00,50.00,50.00,6100
5-Mar-15,50.00,50.00,50.00,50.00,592700
4-Mar-15,51.00,51.00,50.00,50.00,161900
3-Mar-15,50.00,51.00,50.00,50.00,11259900
2-Mar-15,50.00,51.00,50.00,50.00,8591300
27-Feb-15,50.00,50.00,50.00,50.00,311900
26-Feb-15,50.00,50.00,50.00,50.00,45700
25-Feb-15,50.00,50.00,50.00,50.00,13173000
24-Feb-15,50.00,51.00,50.00,50.00,8298700
23-Feb-15,50.00,51.00,50.00,50.00,10058700
20-Feb-15,50.00,51.00,50.00,50.00,8030200
18-Feb-15,50.00,51.00,50.00,50.00,4848200
17-Feb-15,50.00,51.00,50.00,50.00,10833200
16-Feb-15,51.00,52.00,50.00,51.00,12892800
13-Feb-15,50.00,52.00,50.00,51.00,17321100
12-Feb-15,51.00,53.00,50.00,50.00,34116600
11-Feb-15,52.00,55.00,51.00,51.00,74791300
10-Feb-15,50.00,55.00,50.00,52.00,91476100
9-Feb-15,50.00,50.00,50.00,50.00,1229800
6-Feb-15,50.00,50.00,50.00,50.00,47100
5-Feb-15,50.00,50.00,50.00,50.00,223700
4-Feb-15,50.00,50.00,50.00,50.00,1106200
2-Feb-15,50.00,50.00,50.00,50.00,2434400
30-Jan-15,50.00,50.00,50.00,50.00,1057300
29-Jan-15,50.00,51.00,50.00,50.00,5410100
28-Jan-15,50.00,51.00,50.00,50.00,4247900
27-Jan-15,50.00,50.00,50.00,50.00,804500
26-Jan-15,50.00,50.00,50.00,50.00,8698200
23-Jan-15,50.00,51.00,50.00,50.00,4631300
22-Jan-15,50.00,51.00,50.00,50.00,17621300
21-Jan-15,50.00,51.00,50.00,50.00,16581500
20-Jan-15,51.00,52.00,50.00,51.00,12337500
19-Jan-15,52.00,52.00,50.00,51.00,14302900
16-Jan-15,53.00,54.00,51.00,51.00,15249400
15-Jan-15,52.00,55.00,51.00,53.00,27706800
14-Jan-15,56.00,56.00,51.00,52.00,27779400
13-Jan-15,54.00,57.00,53.00,55.00,78198400
12-Jan-15,54.00,58.00,53.00,54.00,91244400
9-Jan-15,50.00,56.00,50.00,53.00,204113300
8-Jan-15,51.00,51.00,50.00,50.00,13262100
7-Jan-15,50.00,50.00,50.00,50.00,1935900
6-Jan-15,50.00,51.00,50.00,50.00,17970100
5-Jan-15,50.00,51.00,50.00,50.00,7244300
2-Jan-15,51.00,52.00,50.00,50.00,20854600
30-Dec-14,51.00,51.00,50.00,50.00,10834300
29-Dec-14,50.00,53.00,50.00,51.00,12338400
24-Dec-14,50.00,51.00,50.00,50.00,11783500
23-Dec-14,53.00,53.00,50.00,50.00,44882900
22-Dec-14,61.00,61.00,51.00,53.00,147067800
19-Dec-14,50.00,64.00,50.00,59.00,366947600
18-Dec-14,50.00,50.00,50.00,50.00,67300
17-Dec-14,50.00,50.00,50.00,50.00,208900
16-Dec-14,50.00,50.00,50.00,50.00,5700
15-Dec-14,50.00,50.00,50.00,50.00,206500
12-Dec-14,50.00,50.00,50.00,50.00,306700
11-Dec-14,50.00,50.00,50.00,50.00,429600
10-Dec-14,50.00,50.00,50.00,50.00,15300
9-Dec-14,50.00,50.00,50.00,50.00,8700
8-Dec-14,50.00,50.00,50.00,50.00,34700
5-Dec-14,50.00,50.00,50.00,50.00,121500
4-Dec-14,50.00,50.00,50.00,50.00,30500
3-Dec-14,50.00,50.00,50.00,50.00,1154000
2-Dec-14,50.00,51.00,50.00,50.00,5921500
1-Dec-14,51.00,51.00,50.00,50.00,4577500
28-Nov-14,50.00,51.00,50.00,51.00,12983100
27-Nov-14,50.00,51.00,50.00,50.00,5079400
26-Nov-14,50.00,51.00,50.00,50.00,10504100
25-Nov-14,50.00,51.00,50.00,50.00,11796000
24-Nov-14,51.00,51.00,50.00,50.00,18512400
21-Nov-14,50.00,51.00,50.00,51.00,3247300
20-Nov-14,50.00,51.00,50.00,51.00,4064500
19-Nov-14,51.00,52.00,50.00,50.00,8948000
18-Nov-14,51.00,53.00,50.00,51.00,17702800
17-Nov-14,50.00,51.00,50.00,50.00,14195900
14-Nov-14,52.00,53.00,51.00,51.00,8584200
13-Nov-14,52.00,55.00,50.00,52.00,50508300
12-Nov-14,58.00,59.00,52.00,52.00,26737300
11-Nov-14,63.00,63.00,57.00,57.00,7726400
10-Nov-14,63.00,64.00,62.00,62.00,3619200
7-Nov-14,64.00,64.00,62.00,63.00,1777300
6-Nov-14,65.00,66.00,63.00,63.00,7305200
5-Nov-14,66.00,66.00,63.00,64.00,4321500
4-Nov-14,68.00,68.00,65.00,65.00,7894900
3-Nov-14,68.00,69.00,67.00,67.00,4110300
31-Oct-14,70.00,70.00,68.00,68.00,3250600
30-Oct-14,71.00,72.00,69.00,69.00,5085300
29-Oct-14,71.00,73.00,70.00,71.00,5267900
28-Oct-14,71.00,71.00,69.00,70.00,4151100
27-Oct-14,74.00,75.00,71.00,71.00,10286800
24-Oct-14,75.00,77.00,73.00,74.00,10399700
23-Oct-14,72.00,79.00,71.00,74.00,48786500
22-Oct-14,68.00,72.00,67.00,72.00,19005700
21-Oct-14,69.00,69.00,67.00,67.00,6409900
20-Oct-14,73.00,73.00,67.00,68.00,19634600
17-Oct-14,72.00,74.00,70.00,71.00,8285600
16-Oct-14,70.00,74.00,70.00,71.00,29763800
15-Oct-14,70.00,74.00,70.00,72.00,7743400
14-Oct-14,74.00,75.00,71.00,71.00,8493600
13-Oct-14,75.00,77.00,74.00,74.00,2323300
10-Oct-14,77.00,78.00,74.00,75.00,4843900
9-Oct-14,80.00,81.00,77.00,77.00,6973300
8-Oct-14,78.00,83.00,77.00,79.00,12745900
7-Oct-14,82.00,84.00,77.00,78.00,12000500
6-Oct-14,84.00,85.00,81.00,82.00,7263200
3-Oct-14,86.00,88.00,82.00,84.00,13496800
2-Oct-14,88.00,92.00,82.00,85.00,25329100
1-Oct-14,81.00,94.00,79.00,89.00,49204000
30-Sep-14,77.00,84.00,77.00,80.00,50947400
29-Sep-14,100.00,102.00,64.00,77.00,168426900
27-Jun-14,94.00,99.00,92.00,97.00,19742400
26-Jun-14,97.00,97.00,92.00,92.00,2303500
25-Jun-14,106.00,106.00,91.00,93.00,3590400
