Date,Open,High,Low,Close,Volume
29-Dec-17,68.00,69.00,66.00,66.00,47081200
28-Dec-17,69.00,70.00,68.00,68.00,36009800
27-Dec-17,70.00,70.00,68.00,68.00,40962900
22-Dec-17,71.00,72.00,69.00,69.00,31406100
21-Dec-17,71.00,73.00,69.00,71.00,90028500
20-Dec-17,71.00,75.00,70.00,71.00,192139400
19-Dec-17,67.00,72.00,67.00,70.00,173193600
18-Dec-17,66.00,69.00,66.00,67.00,56273100
15-Dec-17,68.00,69.00,65.00,66.00,153826800
14-Dec-17,66.00,69.00,64.00,69.00,165101300
13-Dec-17,62.00,67.00,62.00,66.00,113010200
12-Dec-17,62.00,63.00,60.00,63.00,62057100
11-Dec-17,64.00,64.00,60.00,61.00,135780100
8-Dec-17,62.00,65.00,62.00,63.00,80790000
7-Dec-17,65.00,67.00,62.00,62.00,84200200
6-Dec-17,67.00,69.00,65.00,65.00,86180100
5-Dec-17,67.00,69.00,63.00,67.00,249432600
4-Dec-17,74.00,75.00,67.00,67.00,333668200
30-Nov-17,77.00,78.00,74.00,74.00,169461300
29-Nov-17,76.00,78.00,74.00,77.00,233197600
28-Nov-17,81.00,81.00,74.00,76.00,558399900
27-Nov-17,73.00,82.00,73.00,80.00,783769200
24-Nov-17,75.00,78.00,72.00,73.00,640129100
23-Nov-17,68.00,77.00,66.00,74.00,928176300
22-Nov-17,66.00,68.00,65.00,67.00,128280000
21-Nov-17,65.00,66.00,64.00,65.00,50941400
20-Nov-17,65.00,67.00,64.00,64.00,55789900
17-Nov-17,66.00,67.00,65.00,65.00,52145500
16-Nov-17,65.00,69.00,65.00,66.00,264584400
15-Nov-17,64.00,67.00,63.00,65.00,251200200
14-Nov-17,61.00,64.00,60.00,64.00,93770900
13-Nov-17,61.00,62.00,60.00,61.00,29396200
10-Nov-17,61.00,62.00,60.00,60.00,20046300
9-Nov-17,62.00,63.00,61.00,61.00,53822700
8-Nov-17,63.00,64.00,62.00,62.00,36086200
7-Nov-17,62.00,64.00,62.00,63.00,46268700
6-Nov-17,64.00,65.00,62.00,62.00,48107700
3-Nov-17,64.00,65.00,63.00,63.00,29845000
2-Nov-17,65.00,67.00,64.00,65.00,96528400
1-Nov-17,64.00,65.00,63.00,65.00,64310800
31-Oct-17,64.00,66.00,63.00,64.00,82373300
30-Oct-17,65.00,68.00,64.00,64.00,153606300
27-Oct-17,65.00,67.00,63.00,65.00,162109200
26-Oct-17,63.00,67.00,63.00,65.00,140597800
25-Oct-17,67.00,68.00,62.00,63.00,228398900
24-Oct-17,80.00,80.00,65.00,66.00,593238600
23-Oct-17,58.00,70.00,58.00,70.00,343828000
20-Oct-17,58.00,59.00,57.00,58.00,32187800
19-Oct-17,56.00,58.00,56.00,57.00,23807100
18-Oct-17,57.00,58.00,56.00,56.00,23189800
17-Oct-17,57.00,58.00,56.00,57.00,21413300
16-Oct-17,56.00,58.00,56.00,57.00,25587300
12-Oct-17,58.00,59.00,57.00,58.00,28746900
11-Oct-17,58.00,59.00,57.00,57.00,6209100
10-Oct-17,59.00,60.00,58.00,58.00,25910700
9-Oct-17,59.00,60.00,58.00,59.00,14490500
6-Oct-17,59.00,60.00,58.00,59.00,22343300
5-Oct-17,60.00,61.00,58.00,59.00,24613600
4-Oct-17,59.00,61.00,58.00,60.00,80219500
3-Oct-17,57.00,59.00,56.00,59.00,47987300
2-Oct-17,59.00,60.00,56.00,57.00,25655800
29-Sep-17,60.00,61.00,59.00,59.00,27352000
28-Sep-17,57.00,61.00,56.00,60.00,47992000
27-Sep-17,59.00,60.00,56.00,57.00,50215100
26-Sep-17,61.00,62.00,58.00,58.00,58199700
25-Sep-17,62.00,62.00,61.00,61.00,22519300
22-Sep-17,61.00,63.00,60.00,61.00,49855000
20-Sep-17,62.00,64.00,61.00,61.00,62621500
19-Sep-17,60.00,60.00,59.00,62.00,93906500
18-Sep-17,60.00,61.00,58.00,59.00,48841200
15-Sep-17,63.00,63.00,58.00,60.00,128362700
14-Sep-17,63.00,64.00,61.00,62.00,86422000
13-Sep-17,64.00,65.00,61.00,63.00,88592700
12-Sep-17,64.00,65.00,63.00,64.00,43227200
11-Sep-17,65.00,65.00,63.00,64.00,42534100
8-Sep-17,64.00,66.00,64.00,64.00,28118600
7-Sep-17,66.00,67.00,64.00,64.00,59553100
6-Sep-17,68.00,69.00,65.00,66.00,111912600
5-Sep-17,66.00,67.00,65.00,67.00,87724300
4-Sep-17,65.00,67.00,64.00,65.00,53128500
31-Aug-17,65.00,67.00,65.00,65.00,38077900
30-Aug-17,67.00,67.00,64.00,65.00,75225600
29-Aug-17,66.00,68.00,65.00,66.00,51757400
28-Aug-17,67.00,68.00,65.00,66.00,98248400
25-Aug-17,68.00,69.00,67.00,67.00,103980200
24-Aug-17,71.00,74.00,67.00,68.00,308659800
23-Aug-17,67.00,71.00,67.00,69.00,213756300
22-Aug-17,67.00,68.00,66.00,67.00,62269700
21-Aug-17,68.00,68.00,66.00,67.00,47717000
18-Aug-17,69.00,69.00,66.00,68.00,56561600
16-Aug-17,69.00,71.00,68.00,68.00,124639100
15-Aug-17,65.00,70.00,64.00,68.00,253239400
14-Aug-17,66.00,68.00,64.00,64.00,126045900
11-Aug-17,62.00,70.00,62.00,65.00,363077100
10-Aug-17,63.00,64.00,60.00,62.00,119641900
9-Aug-17,62.00,65.00,61.00,63.00,73132400
8-Aug-17,62.00,63.00,61.00,62.00,134743800
7-Aug-17,62.00,63.00,61.00,61.00,58430900
4-Aug-17,60.00,64.00,60.00,62.00,143674300
3-Aug-17,60.00,61.00,59.00,60.00,44869900
2-Aug-17,62.00,62.00,59.00,60.00,91171200
1-Aug-17,63.00,65.00,61.00,61.00,176052000
31-Jul-17,65.00,65.00,62.00,62.00,49559700
28-Jul-17,61.00,65.00,61.00,64.00,144653200
27-Jul-17,64.00,64.00,60.00,61.00,75892100
26-Jul-17,66.00,67.00,63.00,63.00,88547900
25-Jul-17,66.00,67.00,65.00,66.00,49970400
24-Jul-17,67.00,67.00,65.00,66.00,45655200
21-Jul-17,67.00,68.00,66.00,66.00,28761000
20-Jul-17,67.00,68.00,66.00,67.00,39700300
19-Jul-17,68.00,69.00,67.00,67.00,77749200
18-Jul-17,68.00,69.00,66.00,67.00,64385700
17-Jul-17,68.00,70.00,67.00,68.00,75238900
14-Jul-17,67.00,70.00,66.00,69.00,153554500
13-Jul-17,67.00,68.00,66.00,66.00,34448100
12-Jul-17,67.00,68.00,66.00,66.00,44202700
11-Jul-17,67.00,70.00,66.00,67.00,73045200
10-Jul-17,67.00,69.00,66.00,67.00,48402200
7-Jul-17,69.00,69.00,65.00,66.00,159557100
6-Jul-17,70.00,71.00,68.00,68.00,91965400
5-Jul-17,71.00,72.00,68.00,69.00,98274700
4-Jul-17,74.00,74.00,70.00,72.00,96525600
3-Jul-17,73.00,78.00,71.00,73.00,333255600
22-Jun-17,72.00,76.00,70.00,71.00,132575200
21-Jun-17,73.00,75.00,71.00,72.00,123181500
20-Jun-17,77.00,79.00,73.00,73.00,246806300
19-Jun-17,70.00,80.00,70.00,77.00,659013300
16-Jun-17,68.00,72.00,68.00,71.00,146881500
15-Jun-17,68.00,70.00,67.00,68.00,57622400
14-Jun-17,69.00,70.00,68.00,68.00,49209900
13-Jun-17,69.00,71.00,68.00,69.00,38847500
12-Jun-17,71.00,72.00,69.00,69.00,128837700
9-Jun-17,67.00,72.00,66.00,71.00,240943000
8-Jun-17,67.00,70.00,65.00,67.00,122807500
7-Jun-17,68.00,70.00,66.00,67.00,139547600
6-Jun-17,72.00,75.00,67.00,68.00,277065200
5-Jun-17,76.00,79.00,72.00,73.00,183153600
2-Jun-17,73.00,80.00,73.00,76.00,412986000
31-May-17,68.00,79.00,67.00,73.00,626138300
30-May-17,66.00,69.00,66.00,67.00,85131300
29-May-17,65.00,70.00,65.00,66.00,79927800
26-May-17,62.00,67.00,62.00,66.00,76361900
24-May-17,67.00,68.00,63.00,63.00,96168600
23-May-17,68.00,70.00,66.00,67.00,106302200
22-May-17,70.00,71.00,68.00,68.00,89550200
19-May-17,69.00,73.00,68.00,69.00,261819700
18-May-17,65.00,72.00,62.00,70.00,303687500
17-May-17,67.00,67.00,63.00,64.00,96740600
16-May-17,68.00,71.00,65.00,66.00,127018600
15-May-17,69.00,75.00,66.00,67.00,521275600
12-May-17,54.00,70.00,54.00,69.00,694722400
10-May-17,52.00,57.00,52.00,53.00,302881200
9-May-17,56.00,57.00,50.00,53.00,807870300
8-May-17,63.00,63.00,54.00,55.00,533481800
5-May-17,66.00,68.00,63.00,63.00,140398800
4-May-17,67.00,69.00,64.00,66.00,212349000
3-May-17,73.00,74.00,66.00,67.00,424341100
2-May-17,77.00,78.00,73.00,73.00,141097600
28-Apr-17,78.00,79.00,76.00,76.00,147547600
27-Apr-17,80.00,81.00,77.00,77.00,196734200
26-Apr-17,79.00,82.00,78.00,79.00,189360300
25-Apr-17,80.00,82.00,78.00,78.00,70079100
21-Apr-17,79.00,80.00,78.00,79.00,62689600
20-Apr-17,81.00,84.00,78.00,78.00,374534000
18-Apr-17,82.00,85.00,80.00,81.00,284257500
17-Apr-17,86.00,89.00,81.00,82.00,380798400
13-Apr-17,87.00,89.00,84.00,85.00,253513000
12-Apr-17,86.00,90.00,84.00,85.00,494219400
11-Apr-17,75.00,93.00,73.00,85.00,1498203400
10-Apr-17,77.00,79.00,73.00,74.00,287433800
7-Apr-17,78.00,81.00,76.00,76.00,111911200
6-Apr-17,83.00,84.00,78.00,78.00,209078500
5-Apr-17,86.00,87.00,81.00,83.00,369271700
4-Apr-17,77.00,89.00,77.00,85.00,784316700
3-Apr-17,78.00,79.00,76.00,76.00,88135300
31-Mar-17,79.00,81.00,76.00,78.00,105656200
30-Mar-17,80.00,81.00,78.00,79.00,47550400
29-Mar-17,82.00,84.00,79.00,79.00,91513000
27-Mar-17,88.00,88.00,78.00,82.00,276554700
24-Mar-17,89.00,91.00,87.00,87.00,100417100
23-Mar-17,89.00,91.00,88.00,89.00,119659900
22-Mar-17,90.00,91.00,88.00,88.00,202550100
21-Mar-17,91.00,94.00,88.00,91.00,199097000
20-Mar-17,95.00,95.00,90.00,90.00,211965000
17-Mar-17,89.00,95.00,88.00,94.00,341591500
16-Mar-17,90.00,92.00,87.00,88.00,163120800
15-Mar-17,90.00,93.00,85.00,90.00,263120600
14-Mar-17,96.00,99.00,93.00,93.00,331305700
13-Mar-17,93.00,97.00,88.00,95.00,465041600
10-Mar-17,95.00,96.00,92.00,93.00,139919500
9-Mar-17,95.00,98.00,92.00,94.00,211206600
8-Mar-17,96.00,102.00,91.00,95.00,490003800
7-Mar-17,103.00,103.00,96.00,96.00,449789400
6-Mar-17,104.00,108.00,102.00,102.00,635568600
3-Mar-17,89.00,104.00,82.00,104.00,907036200
2-Mar-17,91.00,94.00,86.00,88.00,265743600
1-Mar-17,95.00,97.00,88.00,90.00,260723600
28-Feb-17,96.00,101.00,93.00,94.00,200935700
27-Feb-17,98.00,104.00,94.00,96.00,411150800
24-Feb-17,105.00,111.00,98.00,100.00,449860900
23-Feb-17,97.00,116.00,92.00,106.00,1730256200
22-Feb-17,69.00,89.00,63.00,89.00,1856130500
21-Feb-17,105.00,109.00,66.00,66.00,1479116600
20-Feb-17,97.00,102.00,94.00,101.00,297355400
17-Feb-17,97.00,104.00,90.00,95.00,415191700
16-Feb-17,115.00,117.00,80.00,94.00,740905000
14-Feb-17,121.00,124.00,115.00,115.00,311083600
13-Feb-17,127.00,128.00,119.00,121.00,347765500
10-Feb-17,133.00,135.00,126.00,126.00,303348000
9-Feb-17,140.00,140.00,129.00,130.00,473302000
8-Feb-17,143.00,147.00,129.00,134.00,1383881900
7-Feb-17,139.00,150.00,139.00,141.00,684512500
6-Feb-17,140.00,148.00,134.00,138.00,471938000
3-Feb-17,150.00,153.00,139.00,139.00,463163900
2-Feb-17,149.00,154.00,145.00,149.00,840476800
1-Feb-17,139.00,156.00,134.00,148.00,2296116700
31-Jan-17,141.00,142.00,128.00,138.00,1428070900
30-Jan-17,135.00,149.00,135.00,140.00,1678343600
27-Jan-17,121.00,141.00,119.00,134.00,2724958200
26-Jan-17,102.00,125.00,100.00,122.00,2744358700
25-Jan-17,96.00,107.00,94.00,101.00,1709216000
24-Jan-17,91.00,95.00,90.00,94.00,562921400
23-Jan-17,91.00,97.00,86.00,90.00,1937717300
20-Jan-17,79.00,94.00,76.00,89.00,2549857700
19-Jan-17,80.00,80.00,76.00,78.00,214139800
18-Jan-17,81.00,83.00,78.00,79.00,362362400
17-Jan-17,78.00,82.00,77.00,80.00,571369500
16-Jan-17,76.00,80.00,76.00,77.00,318352300
13-Jan-17,75.00,77.00,74.00,76.00,214003500
12-Jan-17,83.00,86.00,75.00,75.00,840964900
11-Jan-17,80.00,86.00,80.00,82.00,785308500
10-Jan-17,85.00,87.00,78.00,80.00,812660500
9-Jan-17,71.00,88.00,70.00,85.00,2242175900
6-Jan-17,69.00,73.00,67.00,70.00,468123700
5-Jan-17,64.00,71.00,63.00,68.00,417703900
4-Jan-17,65.00,67.00,64.00,64.00,68415500
3-Jan-17,67.00,67.00,64.00,65.00,38908800
30-Dec-16,67.00,68.00,64.00,67.00,125394500
29-Dec-16,68.00,71.00,66.00,67.00,352240400
28-Dec-16,60.00,69.00,59.00,68.00,375552000
27-Dec-16,57.00,63.00,57.00,59.00,141202600
23-Dec-16,57.00,60.00,56.00,57.00,74986400
22-Dec-16,61.00,62.00,57.00,57.00,76861500
21-Dec-16,66.00,67.00,60.00,60.00,166807100
20-Dec-16,59.00,71.00,55.00,65.00,478201300
19-Dec-16,64.00,66.00,58.00,59.00,112832900
16-Dec-16,65.00,65.00,62.00,63.00,50571900
15-Dec-16,64.00,67.00,62.00,64.00,65900000
14-Dec-16,68.00,69.00,64.00,64.00,105431100
13-Dec-16,70.00,70.00,67.00,68.00,84208700
9-Dec-16,70.00,72.00,70.00,70.00,43836200
8-Dec-16,72.00,72.00,69.00,70.00,82576200
7-Dec-16,71.00,74.00,70.00,71.00,130601600
6-Dec-16,76.00,76.00,73.00,73.00,100456500
5-Dec-16,72.00,77.00,71.00,74.00,200960500
2-Dec-16,71.00,74.00,71.00,72.00,63310000
1-Dec-16,73.00,76.00,72.00,72.00,188069100
30-Nov-16,75.00,76.00,70.00,71.00,299300700
29-Nov-16,77.00,80.00,73.00,74.00,432125800
28-Nov-16,75.00,79.00,71.00,74.00,362097600
25-Nov-16,75.00,76.00,71.00,72.00,95923800
24-Nov-16,79.00,80.00,73.00,74.00,306550300
23-Nov-16,81.00,81.00,75.00,76.00,224321800
22-Nov-16,82.00,85.00,78.00,79.00,866102300
21-Nov-16,61.00,80.00,59.00,80.00,1057344500
18-Nov-16,67.00,67.00,59.00,60.00,293699800
17-Nov-16,69.00,71.00,65.00,65.00,257766200
16-Nov-16,66.00,73.00,66.00,70.00,256033500
15-Nov-16,73.00,76.00,67.00,67.00,298308800
14-Nov-16,80.00,80.00,73.00,74.00,287171000
11-Nov-16,85.00,85.00,78.00,80.00,466150700
10-Nov-16,85.00,89.00,83.00,85.00,779795900
9-Nov-16,81.00,85.00,77.00,83.00,735090400
8-Nov-16,82.00,89.00,77.00,80.00,1323544800
7-Nov-16,73.00,83.00,72.00,81.00,882342200
