Date,Open,High,Low,Close,Volume
29-Dec-17,2260.00,2290.00,2210.00,2260.00,28381400
28-Dec-17,2310.00,2330.00,2240.00,2260.00,25083400
27-Dec-17,2270.00,2330.00,2260.00,2310.00,26356800
22-Dec-17,2280.00,2300.00,2270.00,2270.00,18746600
21-Dec-17,2240.00,2310.00,2210.00,2280.00,27791000
20-Dec-17,2330.00,2330.00,2210.00,2240.00,22350200
19-Dec-17,2350.00,2370.00,2260.00,2330.00,33063100
18-Dec-17,2400.00,2420.00,2340.00,2350.00,40423100
15-Dec-17,2420.00,2430.00,2390.00,2390.00,21652400
14-Dec-17,2420.00,2440.00,2400.00,2410.00,26216600
13-Dec-17,2410.00,2440.00,2370.00,2420.00,28915100
12-Dec-17,2320.00,2420.00,2320.00,2410.00,30275900
11-Dec-17,2380.00,2390.00,2330.00,2330.00,20342400
8-Dec-17,2450.00,2450.00,2360.00,2390.00,30538500
7-Dec-17,2390.00,2450.00,2390.00,2440.00,33097100
6-Dec-17,2320.00,2380.00,2310.00,2380.00,28884700
5-Dec-17,2270.00,2320.00,2230.00,2310.00,37631900
4-Dec-17,2270.00,2280.00,2240.00,2270.00,26525100
30-Nov-17,2270.00,2290.00,2250.00,2270.00,26237500
29-Nov-17,2220.00,2290.00,2200.00,2270.00,37571700
28-Nov-17,2200.00,2220.00,2170.00,2220.00,21959700
27-Nov-17,2220.00,2240.00,2170.00,2200.00,30086700
24-Nov-17,2200.00,2220.00,2170.00,2220.00,27519800
23-Nov-17,2190.00,2220.00,2180.00,2200.00,30961100
22-Nov-17,2130.00,2190.00,2120.00,2190.00,24138900
21-Nov-17,2160.00,2160.00,2100.00,2120.00,35018700
20-Nov-17,2180.00,2190.00,2150.00,2160.00,24540200
17-Nov-17,2170.00,2190.00,2160.00,2180.00,19243300
16-Nov-17,2150.00,2180.00,2150.00,2170.00,22082400
15-Nov-17,2100.00,2150.00,2100.00,2150.00,33058200
14-Nov-17,2070.00,2130.00,2060.00,2100.00,27989300
13-Nov-17,2020.00,2080.00,2020.00,2070.00,38771800
10-Nov-17,2040.00,2050.00,2010.00,2020.00,23519600
9-Nov-17,2010.00,2050.00,2010.00,2040.00,28338700
8-Nov-17,2040.00,2050.00,1980.00,2010.00,44893300
7-Nov-17,2070.00,2080.00,2030.00,2040.00,26556700
6-Nov-17,2080.00,2100.00,2050.00,2070.00,32818500
3-Nov-17,2050.00,2080.00,2020.00,2060.00,24732200
2-Nov-17,2060.00,2080.00,2040.00,2040.00,26689300
1-Nov-17,2020.00,2060.00,2000.00,2050.00,28422800
31-Oct-17,2050.00,2070.00,2020.00,2020.00,27741700
30-Oct-17,2000.00,2060.00,1995.00,2040.00,39416900
27-Oct-17,1980.00,2010.00,1980.00,1995.00,23844000
26-Oct-17,1980.00,2030.00,1975.00,1980.00,40402500
25-Oct-17,1985.00,1990.00,1970.00,1980.00,30469700
24-Oct-17,2000.00,2030.00,1980.00,1985.00,30176400
23-Oct-17,1950.00,2030.00,1940.00,1995.00,47161700
20-Oct-17,1905.00,1955.00,1905.00,1945.00,31713500
19-Oct-17,1930.00,1945.00,1865.00,1900.00,63012000
18-Oct-17,1905.00,1935.00,1895.00,1930.00,27484600
17-Oct-17,1965.00,1975.00,1895.00,1905.00,36597200
16-Oct-17,1945.00,1980.00,1940.00,1965.00,29315900
13-Oct-17,1975.00,1995.00,1890.00,1945.00,43789900
12-Oct-17,1840.00,1985.00,1840.00,1960.00,43056000
11-Oct-17,1890.00,1890.00,1820.00,1840.00,37268900
10-Oct-17,1950.00,1960.00,1875.00,1890.00,45348500
9-Oct-17,1970.00,1980.00,1925.00,1935.00,23896300
6-Oct-17,1990.00,1995.00,1950.00,1965.00,20957000
5-Oct-17,2010.00,2020.00,1970.00,1975.00,25558900
4-Oct-17,1980.00,2030.00,1970.00,2000.00,30057200
3-Oct-17,2000.00,2020.00,1945.00,1970.00,42923000
2-Oct-17,1985.00,2080.00,1925.00,2000.00,46553600
29-Sep-17,2060.00,2070.00,1990.00,1995.00,34070200
28-Sep-17,2130.00,2150.00,1990.00,2050.00,49346300
27-Sep-17,2200.00,2210.00,2110.00,2120.00,30496600
26-Sep-17,2220.00,2220.00,2130.00,2200.00,39335700
25-Sep-17,2240.00,2270.00,2180.00,2210.00,36825400
22-Sep-17,2240.00,2250.00,2200.00,2230.00,36631700
20-Sep-17,2270.00,2280.00,2240.00,2260.00,46821800
19-Sep-17,2300.00,2300.00,2240.00,2270.00,26240200
18-Sep-17,2180.00,2300.00,2180.00,2290.00,44399900
15-Sep-17,2080.00,2210.00,2070.00,2210.00,72419000
14-Sep-17,2070.00,2110.00,2030.00,2070.00,26589600
13-Sep-17,2130.00,2170.00,2050.00,2070.00,35967600
12-Sep-17,2100.00,2140.00,2100.00,2130.00,31223700
11-Sep-17,2160.00,2170.00,2090.00,2100.00,32709500
8-Sep-17,2150.00,2180.00,2110.00,2160.00,35685200
7-Sep-17,2070.00,2160.00,2060.00,2140.00,50819800
6-Sep-17,2070.00,2080.00,2040.00,2060.00,23453900
5-Sep-17,2020.00,2070.00,1970.00,2060.00,39859700
4-Sep-17,1975.00,2030.00,1965.00,2010.00,44617900
31-Aug-17,1970.00,2020.00,1955.00,1975.00,42262000
30-Aug-17,1910.00,1980.00,1870.00,1970.00,50442400
29-Aug-17,1970.00,1975.00,1900.00,1910.00,44214400
28-Aug-17,1950.00,1985.00,1945.00,1970.00,28739200
25-Aug-17,1930.00,1975.00,1910.00,1950.00,37021600
24-Aug-17,1915.00,1945.00,1915.00,1930.00,23539000
23-Aug-17,1990.00,1995.00,1910.00,1910.00,36602000
22-Aug-17,1920.00,1980.00,1920.00,1980.00,50706200
21-Aug-17,1860.00,1915.00,1860.00,1910.00,27644300
18-Aug-17,1855.00,1870.00,1850.00,1855.00,17289600
16-Aug-17,1845.00,1890.00,1845.00,1860.00,43049100
15-Aug-17,1775.00,1855.00,1775.00,1840.00,40847000
14-Aug-17,1775.00,1780.00,1745.00,1770.00,24448800
11-Aug-17,1820.00,1820.00,1755.00,1770.00,24141300
10-Aug-17,1860.00,1865.00,1810.00,1820.00,17842200
9-Aug-17,1805.00,1875.00,1805.00,1850.00,45686100
8-Aug-17,1815.00,1835.00,1805.00,1805.00,29164100
7-Aug-17,1850.00,1860.00,1790.00,1810.00,25456400
4-Aug-17,1875.00,1900.00,1835.00,1845.00,30845200
3-Aug-17,1785.00,1880.00,1780.00,1865.00,72061100
2-Aug-17,1750.00,1780.00,1730.00,1780.00,33724200
1-Aug-17,1675.00,1750.00,1665.00,1740.00,56824500
31-Jul-17,1730.00,1730.00,1665.00,1665.00,35202500
28-Jul-17,1650.00,1700.00,1645.00,1695.00,34985400
27-Jul-17,1650.00,1665.00,1650.00,1650.00,19588100
26-Jul-17,1600.00,1670.00,1595.00,1650.00,42955600
25-Jul-17,1555.00,1595.00,1545.00,1595.00,31131000
24-Jul-17,1540.00,1555.00,1530.00,1550.00,18687100
21-Jul-17,1595.00,1600.00,1540.00,1540.00,22206600
20-Jul-17,1620.00,1625.00,1595.00,1595.00,19301500
19-Jul-17,1625.00,1645.00,1600.00,1620.00,40622900
18-Jul-17,1565.00,1625.00,1555.00,1620.00,47313100
