Date,Open,High,Low,Close,Volume
29-Dec-17,820.00,880.00,805.00,880.00,1600
28-Dec-17,850.00,870.00,850.00,870.00,300
27-Dec-17,-,-,-,870.00,0
22-Dec-17,880.00,880.00,870.00,870.00,1300
21-Dec-17,870.00,870.00,755.00,760.00,1800
20-Dec-17,890.00,890.00,850.00,880.00,1200
19-Dec-17,875.00,895.00,845.00,895.00,3400
18-Dec-17,740.00,770.00,740.00,770.00,7300
15-Dec-17,-,-,-,880.00,0
14-Dec-17,880.00,880.00,880.00,880.00,100
13-Dec-17,890.00,890.00,890.00,890.00,100
12-Dec-17,-,-,-,890.00,0
11-Dec-17,-,-,-,890.00,0
8-Dec-17,-,-,-,890.00,0
7-Dec-17,-,-,-,890.00,0
6-Dec-17,-,-,-,890.00,0
5-Dec-17,890.00,890.00,890.00,890.00,900
4-Dec-17,895.00,895.00,895.00,895.00,200
30-Nov-17,890.00,890.00,875.00,875.00,72500
29-Nov-17,890.00,895.00,885.00,895.00,5000
28-Nov-17,885.00,900.00,885.00,900.00,3700
27-Nov-17,885.00,885.00,880.00,885.00,3000
24-Nov-17,-,-,-,880.00,0
23-Nov-17,880.00,880.00,850.00,880.00,5900
22-Nov-17,885.00,885.00,885.00,885.00,1000
21-Nov-17,885.00,900.00,885.00,885.00,6300
20-Nov-17,885.00,885.00,885.00,885.00,1200
17-Nov-17,885.00,885.00,875.00,885.00,4000
16-Nov-17,885.00,885.00,885.00,885.00,6000
15-Nov-17,885.00,900.00,885.00,900.00,2400
14-Nov-17,900.00,900.00,885.00,885.00,200
13-Nov-17,900.00,900.00,900.00,900.00,500
10-Nov-17,900.00,900.00,900.00,900.00,1400
9-Nov-17,885.00,885.00,885.00,885.00,400
8-Nov-17,-,-,-,885.00,0
7-Nov-17,890.00,890.00,880.00,885.00,6500
6-Nov-17,895.00,895.00,890.00,890.00,1200
3-Nov-17,895.00,895.00,895.00,895.00,1000
2-Nov-17,900.00,900.00,900.00,900.00,1100
1-Nov-17,-,-,-,900.00,0
31-Oct-17,900.00,900.00,900.00,900.00,12600
30-Oct-17,-,-,-,880.00,0
27-Oct-17,890.00,890.00,880.00,880.00,90900
26-Oct-17,890.00,890.00,890.00,890.00,3400
25-Oct-17,895.00,895.00,890.00,890.00,1400
24-Oct-17,-,-,-,890.00,0
23-Oct-17,880.00,890.00,880.00,890.00,150700
20-Oct-17,880.00,885.00,880.00,885.00,3100
19-Oct-17,880.00,890.00,880.00,880.00,1100
18-Oct-17,880.00,880.00,870.00,875.00,19000
