Date,Open,High,Low,Close,Volume
29-Dec-17,2090.00,2100.00,2080.00,2100.00,14000
28-Dec-17,2090.00,2090.00,2090.00,2090.00,300
27-Dec-17,-,-,-,2090.00,0
22-Dec-17,2070.00,2090.00,2070.00,2090.00,6000
21-Dec-17,2030.00,2090.00,2020.00,2090.00,4800
20-Dec-17,2090.00,2090.00,2060.00,2090.00,4400
19-Dec-17,2090.00,2090.00,2020.00,2070.00,26500
18-Dec-17,2430.00,2430.00,2020.00,2070.00,12900
15-Dec-17,2200.00,2200.00,2090.00,2180.00,1700
14-Dec-17,2300.00,2400.00,2050.00,2200.00,15500
13-Dec-17,2070.00,2130.00,2070.00,2090.00,11600
12-Dec-17,2250.00,2250.00,2050.00,2230.00,12100
11-Dec-17,2270.00,2300.00,2010.00,2010.00,19000
8-Dec-17,2260.00,2400.00,2210.00,2270.00,6000
7-Dec-17,2460.00,2490.00,2230.00,2490.00,800
6-Dec-17,-,-,-,2500.00,0
5-Dec-17,2500.00,2500.00,2500.00,2500.00,500
4-Dec-17,2350.00,2500.00,2350.00,2500.00,1000
30-Nov-17,2390.00,2480.00,2390.00,2450.00,5200
29-Nov-17,2510.00,2510.00,2510.00,2510.00,500
28-Nov-17,-,-,-,2510.00,0
27-Nov-17,2510.00,2510.00,2510.00,2510.00,3000
24-Nov-17,2510.00,2510.00,2510.00,2510.00,100
23-Nov-17,2250.00,2260.00,2250.00,2250.00,1800
22-Nov-17,2350.00,2350.00,2350.00,2350.00,1700
21-Nov-17,2400.00,2400.00,2390.00,2400.00,3800
20-Nov-17,-,-,-,2500.00,0
17-Nov-17,-,-,-,2500.00,0
16-Nov-17,2500.00,2500.00,2500.00,2500.00,7200
15-Nov-17,2600.00,2600.00,2590.00,2590.00,200
14-Nov-17,2350.00,2350.00,2350.00,2350.00,100
13-Nov-17,2590.00,2590.00,2590.00,2590.00,100
10-Nov-17,2600.00,2600.00,2580.00,2580.00,83400
9-Nov-17,-,-,-,2580.00,0
8-Nov-17,2580.00,2580.00,2580.00,2580.00,100
7-Nov-17,-,-,-,2600.00,0
6-Nov-17,-,-,-,2600.00,0
3-Nov-17,-,-,-,2600.00,0
2-Nov-17,2600.00,2600.00,2600.00,2600.00,600
1-Nov-17,2620.00,2620.00,2600.00,2600.00,31200
31-Oct-17,2540.00,2640.00,2540.00,2630.00,1000
30-Oct-17,-,-,-,2670.00,0
27-Oct-17,2690.00,2700.00,2400.00,2670.00,30300
26-Oct-17,2620.00,2690.00,2600.00,2650.00,17800
25-Oct-17,2700.00,2730.00,2620.00,2620.00,40900
24-Oct-17,2650.00,2800.00,2650.00,2700.00,5300
23-Oct-17,2680.00,2800.00,2600.00,2650.00,17200
20-Oct-17,2600.00,2600.00,2600.00,2600.00,100
19-Oct-17,-,-,-,2640.00,0
18-Oct-17,2550.00,2640.00,2250.00,2640.00,16700
17-Oct-17,2680.00,2680.00,2670.00,2670.00,200
16-Oct-17,2500.00,2500.00,2500.00,2500.00,100
12-Oct-17,2680.00,2680.00,2600.00,2600.00,6400
11-Oct-17,2580.00,2580.00,2400.00,2400.00,2600
10-Oct-17,2680.00,2680.00,2570.00,2570.00,200
9-Oct-17,2240.00,2240.00,2140.00,2230.00,1500
6-Oct-17,-,-,-,2240.00,0
5-Oct-17,2210.00,2250.00,2200.00,2240.00,900
4-Oct-17,2020.00,2310.00,2020.00,2310.00,2300
3-Oct-17,2200.00,2370.00,2200.00,2370.00,300
2-Oct-17,2680.00,2680.00,2490.00,2490.00,700
29-Sep-17,-,-,-,2350.00,0
28-Sep-17,-,-,-,2350.00,0
27-Sep-17,-,-,-,2350.00,0
26-Sep-17,-,-,-,2350.00,0
25-Sep-17,-,-,-,2350.00,0
22-Sep-17,-,-,-,2350.00,0
20-Sep-17,-,-,-,2350.00,0
19-Sep-17,-,-,-,2350.00,0
18-Sep-17,-,-,-,2350.00,0
15-Sep-17,-,-,-,2350.00,0
14-Sep-17,-,-,-,2350.00,0
13-Sep-17,2400.00,2400.00,2350.00,2350.00,300
12-Sep-17,2240.00,2400.00,2200.00,2400.00,4000
11-Sep-17,2050.00,2250.00,1960.00,2250.00,11500
8-Sep-17,2000.00,2090.00,1950.00,2050.00,1800
7-Sep-17,2290.00,2290.00,1850.00,1950.00,21400
6-Sep-17,-,-,-,2340.00,0
5-Sep-17,-,-,-,2340.00,0
4-Sep-17,-,-,-,2340.00,0
31-Aug-17,-,-,-,2340.00,0
30-Aug-17,-,-,-,2340.00,0
29-Aug-17,1800.00,2340.00,1800.00,2340.00,600
28-Aug-17,2340.00,2340.00,2300.00,2340.00,3900
25-Aug-17,-,-,-,2340.00,0
24-Aug-17,2400.00,2400.00,2340.00,2340.00,300
23-Aug-17,2340.00,2340.00,2300.00,2300.00,10600
22-Aug-17,2350.00,2350.00,2240.00,2250.00,3600
21-Aug-17,2400.00,2400.00,2400.00,2400.00,100
18-Aug-17,-,-,-,2450.00,0
16-Aug-17,2250.00,2450.00,2250.00,2450.00,500
15-Aug-17,2190.00,2650.00,2190.00,2450.00,1600
14-Aug-17,-,-,-,2200.00,0
11-Aug-17,-,-,-,2200.00,0
10-Aug-17,2370.00,2370.00,2150.00,2200.00,600
9-Aug-17,1690.00,1900.00,1690.00,1900.00,23900
8-Aug-17,-,-,-,1730.00,0
7-Aug-17,1730.00,1730.00,1730.00,1730.00,1400
4-Aug-17,1740.00,1740.00,1740.00,1740.00,100
3-Aug-17,1790.00,1790.00,1780.00,1780.00,1000
2-Aug-17,1620.00,1800.00,1470.00,1800.00,400
1-Aug-17,1600.00,1670.00,1600.00,1620.00,16700
31-Jul-17,1600.00,1600.00,1600.00,1600.00,300
28-Jul-17,1590.00,1670.00,1590.00,1600.00,8100
27-Jul-17,-,-,-,1400.00,0
26-Jul-17,-,-,-,1400.00,0
25-Jul-17,1400.00,1400.00,1400.00,1400.00,100
24-Jul-17,-,-,-,1490.00,0
21-Jul-17,1490.00,1490.00,1490.00,1490.00,700
20-Jul-17,-,-,-,1500.00,0
19-Jul-17,1710.00,1715.00,1500.00,1500.00,6300
18-Jul-17,1650.00,1710.00,1650.00,1710.00,6000
17-Jul-17,1550.00,1700.00,1550.00,1700.00,3100
14-Jul-17,1550.00,1550.00,1550.00,1550.00,1000
13-Jul-17,1800.00,1800.00,1600.00,1600.00,3700
12-Jul-17,1840.00,1840.00,1650.00,1800.00,8500
11-Jul-17,-,-,-,1910.00,0
10-Jul-17,1590.00,1910.00,1590.00,1910.00,1300
7-Jul-17,1530.00,1540.00,1520.00,1530.00,14600
6-Jul-17,1510.00,1540.00,1510.00,1540.00,5400
5-Jul-17,1500.00,1500.00,1500.00,1500.00,1500
4-Jul-17,1410.00,1480.00,1410.00,1480.00,8000
3-Jul-17,1410.00,1410.00,1360.00,1410.00,4200
22-Jun-17,-,-,-,1500.00,0
21-Jun-17,1500.00,1500.00,1500.00,1500.00,2000
20-Jun-17,-,-,-,1500.00,0
19-Jun-17,1500.00,1500.00,1500.00,1500.00,2000
16-Jun-17,1500.00,1500.00,1500.00,1500.00,500
15-Jun-17,-,-,-,1500.00,0
14-Jun-17,1500.00,1500.00,1500.00,1500.00,200
13-Jun-17,1500.00,1500.00,1500.00,1500.00,100
12-Jun-17,-,-,-,1460.00,0
9-Jun-17,1460.00,1460.00,1460.00,1460.00,900
8-Jun-17,1460.00,1460.00,1460.00,1460.00,1000
7-Jun-17,1510.00,1510.00,1510.00,1510.00,1100
6-Jun-17,1510.00,1510.00,1510.00,1510.00,400
5-Jun-17,1400.00,1450.00,1400.00,1450.00,5500
2-Jun-17,1500.00,1500.00,1400.00,1400.00,200
31-May-17,1500.00,1500.00,1490.00,1500.00,21100
30-May-17,1530.00,1550.00,1500.00,1500.00,5500
29-May-17,1410.00,1500.00,1400.00,1500.00,2300
26-May-17,1400.00,1400.00,1400.00,1400.00,2400
24-May-17,1250.00,1300.00,1250.00,1300.00,1400
23-May-17,1300.00,1300.00,1300.00,1300.00,20900
22-May-17,-,-,-,1300.00,0
19-May-17,-,-,-,1300.00,0
18-May-17,1300.00,1300.00,1300.00,1300.00,5500
17-May-17,1350.00,1350.00,1350.00,1350.00,1000
16-May-17,1350.00,1350.00,1350.00,1350.00,4500
15-May-17,1330.00,1350.00,1300.00,1350.00,4900
12-May-17,1350.00,1350.00,1350.00,1350.00,5000
10-May-17,1350.00,1350.00,1330.00,1350.00,6000
9-May-17,1300.00,1350.00,1300.00,1350.00,1400
8-May-17,1750.00,1750.00,1320.00,1355.00,8900
5-May-17,-,-,-,1750.00,0
4-May-17,-,-,-,1750.00,0
3-May-17,1750.00,1750.00,1750.00,1750.00,2000
