Date,Open,High,Low,Close,Volume
29-Dec-17,124.00,150.00,124.00,140.00,96391000
28-Dec-17,100.00,125.00,97.00,123.00,79712900
27-Dec-17,103.00,104.00,94.00,100.00,7144400
22-Dec-17,106.00,110.00,94.00,104.00,11520600
21-Dec-17,95.00,109.00,91.00,109.00,39573100
20-Dec-17,75.00,97.00,73.00,94.00,74503100
19-Dec-17,77.00,77.00,73.00,74.00,14802500
18-Dec-17,81.00,82.00,75.00,77.00,7899100
15-Dec-17,76.00,83.00,75.00,80.00,13376900
14-Dec-17,68.00,78.00,68.00,75.00,14691500
13-Dec-17,66.00,69.00,64.00,68.00,3782900
12-Dec-17,63.00,69.00,61.00,66.00,11388200
11-Dec-17,82.00,84.00,63.00,64.00,16430400
8-Dec-17,91.00,94.00,80.00,81.00,18335600
7-Dec-17,90.00,91.00,85.00,91.00,2875000
6-Dec-17,90.00,98.00,88.00,90.00,4970000
5-Dec-17,101.00,103.00,86.00,90.00,8798400
4-Dec-17,101.00,104.00,99.00,101.00,13829000
30-Nov-17,109.00,110.00,102.00,102.00,33794100
29-Nov-17,110.00,113.00,108.00,109.00,32049100
28-Nov-17,114.00,115.00,109.00,110.00,50458300
27-Nov-17,114.00,118.00,108.00,113.00,118515400
24-Nov-17,114.00,118.00,109.00,113.00,243883900
23-Nov-17,122.00,126.00,112.00,113.00,238791500
22-Nov-17,128.00,133.00,121.00,121.00,153957000
21-Nov-17,128.00,135.00,126.00,127.00,140478700
20-Nov-17,131.00,133.00,124.00,128.00,112373000
17-Nov-17,133.00,135.00,129.00,130.00,66669300
16-Nov-17,150.00,151.00,131.00,132.00,69740200
15-Nov-17,151.00,154.00,149.00,149.00,92995800
14-Nov-17,154.00,154.00,151.00,151.00,49178300
13-Nov-17,158.00,160.00,154.00,154.00,72595000
10-Nov-17,156.00,159.00,156.00,157.00,57614600
9-Nov-17,151.00,156.00,149.00,156.00,21577600
8-Nov-17,156.00,156.00,150.00,151.00,59506800
7-Nov-17,159.00,160.00,156.00,156.00,24403000
6-Nov-17,163.00,164.00,158.00,158.00,59436700
3-Nov-17,168.00,168.00,163.00,163.00,21584000
2-Nov-17,171.00,172.00,168.00,168.00,20121900
1-Nov-17,170.00,171.00,168.00,171.00,46866000
31-Oct-17,168.00,172.00,167.00,170.00,58203600
30-Oct-17,169.00,170.00,167.00,168.00,58015800
27-Oct-17,168.00,172.00,167.00,168.00,56492000
26-Oct-17,170.00,171.00,167.00,167.00,23775100
25-Oct-17,170.00,176.00,169.00,170.00,57470300
24-Oct-17,166.00,171.00,165.00,170.00,62565200
23-Oct-17,163.00,167.00,162.00,164.00,61152500
20-Oct-17,159.00,164.00,158.00,163.00,56099900
19-Oct-17,163.00,163.00,159.00,159.00,23138000
18-Oct-17,168.00,168.00,163.00,163.00,48483200
17-Oct-17,170.00,172.00,166.00,168.00,58123700
16-Oct-17,170.00,172.00,169.00,170.00,59142400
13-Oct-17,170.00,171.00,169.00,170.00,53389400
12-Oct-17,172.00,172.00,169.00,170.00,21829500
11-Oct-17,173.00,177.00,164.00,172.00,65405300
10-Oct-17,167.00,173.00,167.00,172.00,70708200
9-Oct-17,167.00,170.00,165.00,168.00,57980500
6-Oct-17,164.00,168.00,163.00,167.00,56453200
5-Oct-17,167.00,167.00,164.00,164.00,22175500
4-Oct-17,170.00,174.00,164.00,167.00,59020200
3-Oct-17,172.00,175.00,168.00,170.00,72457400
2-Oct-17,160.00,171.00,160.00,171.00,94898400
29-Sep-17,154.00,162.00,154.00,160.00,63277400
28-Sep-17,152.00,156.00,151.00,154.00,49367800
27-Sep-17,149.00,154.00,146.00,152.00,51490800
26-Sep-17,151.00,155.00,148.00,149.00,71788300
25-Sep-17,150.00,154.00,148.00,151.00,61065300
22-Sep-17,148.00,153.00,148.00,150.00,59361400
20-Sep-17,148.00,152.00,147.00,148.00,48250500
19-Sep-17,145.00,151.00,145.00,147.00,46950600
18-Sep-17,142.00,145.00,141.00,145.00,60387600
15-Sep-17,140.00,145.00,139.00,140.00,48710500
14-Sep-17,142.00,144.00,130.00,140.00,39158000
13-Sep-17,146.00,146.00,141.00,143.00,42748000
12-Sep-17,154.00,156.00,147.00,149.00,856200
11-Sep-17,153.00,165.00,150.00,156.00,9723200
8-Sep-17,144.00,150.00,136.00,150.00,1089000
7-Sep-17,146.00,147.00,144.00,146.00,108000
6-Sep-17,150.00,151.00,146.00,146.00,9768700
5-Sep-17,155.00,156.00,149.00,150.00,220600
4-Sep-17,161.00,162.00,154.00,155.00,360900
31-Aug-17,158.00,162.00,153.00,162.00,1410500
30-Aug-17,159.00,160.00,156.00,157.00,1008400
29-Aug-17,158.00,161.00,158.00,159.00,10904600
28-Aug-17,150.00,163.00,149.00,158.00,22715100
25-Aug-17,156.00,156.00,146.00,150.00,1434200
24-Aug-17,159.00,160.00,155.00,157.00,1156600
23-Aug-17,166.00,185.00,154.00,159.00,4827200
22-Aug-17,172.00,173.00,165.00,167.00,33779000
21-Aug-17,173.00,183.00,167.00,173.00,59294900
18-Aug-17,175.00,178.00,170.00,173.00,905800
16-Aug-17,167.00,186.00,166.00,173.00,19268700
15-Aug-17,160.00,204.00,160.00,166.00,7279000
14-Aug-17,158.00,158.00,156.00,156.00,1076800
11-Aug-17,146.00,161.00,146.00,158.00,936800
10-Aug-17,138.00,146.00,138.00,146.00,241600
9-Aug-17,135.00,138.00,130.00,138.00,2665600
8-Aug-17,131.00,131.00,131.00,131.00,24000
7-Aug-17,137.00,137.00,131.00,131.00,2400
4-Aug-17,135.00,135.00,133.00,133.00,8000
3-Aug-17,132.00,132.00,132.00,132.00,40000
2-Aug-17,134.00,135.00,134.00,135.00,6400
1-Aug-17,135.00,137.00,131.00,132.00,68000
31-Jul-17,134.00,156.00,134.00,135.00,1527200
28-Jul-17,126.00,132.00,126.00,132.00,8800
27-Jul-17,126.00,126.00,125.00,126.00,869600
26-Jul-17,124.00,124.00,124.00,124.00,48800
25-Jul-17,129.00,129.00,124.00,124.00,5600
24-Jul-17,124.00,129.00,124.00,124.00,51200
21-Jul-17,126.00,126.00,124.00,126.00,36800
20-Jul-17,127.00,127.00,121.00,126.00,63200
19-Jul-17,-,-,-,126.00,0
18-Jul-17,-,-,-,126.00,0
17-Jul-17,125.00,127.00,125.00,126.00,1160800
14-Jul-17,128.00,128.00,128.00,128.00,800
13-Jul-17,126.00,126.00,121.00,124.00,84800
