Date,Open,High,Low,Close,Volume
29-Dec-17,50.00,50.00,50.00,50.00,400
28-Dec-17,-,-,-,50.00,0
27-Dec-17,50.00,50.00,50.00,50.00,21000
22-Dec-17,50.00,50.00,50.00,50.00,100
21-Dec-17,-,-,-,50.00,0
20-Dec-17,50.00,50.00,50.00,50.00,600
19-Dec-17,-,-,-,50.00,0
18-Dec-17,-,-,-,50.00,0
15-Dec-17,-,-,-,50.00,0
14-Dec-17,50.00,50.00,50.00,50.00,5000
13-Dec-17,50.00,50.00,50.00,50.00,25000
12-Dec-17,-,-,-,50.00,0
11-Dec-17,50.00,50.00,50.00,50.00,16000
8-Dec-17,50.00,50.00,50.00,50.00,50000
7-Dec-17,50.00,50.00,50.00,50.00,100000
6-Dec-17,-,-,-,50.00,0
5-Dec-17,50.00,50.00,50.00,50.00,100
4-Dec-17,-,-,-,50.00,0
30-Nov-17,50.00,50.00,50.00,50.00,100
29-Nov-17,-,-,-,50.00,0
28-Nov-17,-,-,-,50.00,0
27-Nov-17,50.00,50.00,50.00,50.00,200
24-Nov-17,-,-,-,50.00,0
23-Nov-17,50.00,50.00,50.00,50.00,200
22-Nov-17,50.00,50.00,50.00,50.00,200
21-Nov-17,-,-,-,50.00,0
20-Nov-17,50.00,50.00,50.00,50.00,100
17-Nov-17,50.00,50.00,50.00,50.00,100
16-Nov-17,-,-,-,50.00,0
15-Nov-17,50.00,50.00,50.00,50.00,101000
14-Nov-17,50.00,50.00,50.00,50.00,97600
13-Nov-17,50.00,50.00,50.00,50.00,4200
22-Jun-17,50.00,50.00,50.00,50.00,100
21-Jun-17,-,-,-,50.00,0
20-Jun-17,-,-,-,50.00,0
19-Jun-17,-,-,-,50.00,0
16-Jun-17,-,-,-,50.00,0
15-Jun-17,-,-,-,50.00,0
14-Jun-17,50.00,50.00,50.00,50.00,100
13-Jun-17,-,-,-,50.00,0
12-Jun-17,-,-,-,50.00,0
9-Jun-17,-,-,-,50.00,0
8-Jun-17,50.00,50.00,50.00,50.00,800
7-Jun-17,-,-,-,50.00,0
6-Jun-17,-,-,-,50.00,0
5-Jun-17,-,-,-,50.00,0
2-Jun-17,50.00,50.00,50.00,50.00,1000
31-May-17,-,-,-,50.00,0
30-May-17,-,-,-,50.00,0
29-May-17,-,-,-,50.00,0
26-May-17,50.00,50.00,50.00,50.00,3100
24-May-17,50.00,50.00,50.00,50.00,1000
23-May-17,-,-,-,50.00,0
22-May-17,50.00,50.00,50.00,50.00,100
19-May-17,50.00,50.00,50.00,50.00,3500
18-May-17,-,-,-,50.00,0
17-May-17,-,-,-,50.00,0
16-May-17,-,-,-,50.00,0
15-May-17,50.00,50.00,50.00,50.00,1600
12-May-17,-,-,-,50.00,0
10-May-17,-,-,-,50.00,0
9-May-17,-,-,-,50.00,0
8-May-17,-,-,-,50.00,0
5-May-17,-,-,-,50.00,0
4-May-17,-,-,-,50.00,0
3-May-17,-,-,-,50.00,0
2-May-17,-,-,-,50.00,0
28-Apr-17,50.00,50.00,50.00,50.00,10300
27-Apr-17,50.00,50.00,50.00,50.00,100
26-Apr-17,-,-,-,50.00,0
25-Apr-17,-,-,-,50.00,0
21-Apr-17,-,-,-,50.00,0
20-Apr-17,-,-,-,50.00,0
18-Apr-17,50.00,50.00,50.00,50.00,65000
17-Apr-17,50.00,50.00,50.00,50.00,100
13-Apr-17,50.00,50.00,50.00,50.00,700
12-Apr-17,-,-,-,50.00,0
11-Apr-17,50.00,50.00,50.00,50.00,100
10-Apr-17,50.00,50.00,50.00,50.00,100
7-Apr-17,50.00,50.00,50.00,50.00,700
6-Apr-17,50.00,50.00,50.00,50.00,100
5-Apr-17,-,-,-,50.00,0
4-Apr-17,50.00,50.00,50.00,50.00,10000
3-Apr-17,-,-,-,50.00,0
31-Mar-17,50.00,50.00,50.00,50.00,50000
30-Mar-17,-,-,-,50.00,0
29-Mar-17,50.00,50.00,50.00,50.00,300
27-Mar-17,50.00,50.00,50.00,50.00,20200
24-Mar-17,50.00,50.00,50.00,50.00,20000
23-Mar-17,-,-,-,50.00,0
22-Mar-17,-,-,-,50.00,0
21-Mar-17,50.00,50.00,50.00,50.00,600
20-Mar-17,50.00,50.00,50.00,50.00,74200
17-Mar-17,50.00,50.00,50.00,50.00,30700
16-Mar-17,50.00,50.00,50.00,50.00,64100
15-Mar-17,50.00,50.00,50.00,50.00,3122800
14-Mar-17,-,-,-,50.00,0
13-Mar-17,50.00,50.00,50.00,50.00,500
10-Mar-17,-,-,-,50.00,0
9-Mar-17,-,-,-,50.00,0
8-Mar-17,-,-,-,50.00,0
7-Mar-17,-,-,-,50.00,0
6-Mar-17,50.00,50.00,50.00,50.00,4000
3-Mar-17,-,-,-,50.00,0
2-Mar-17,50.00,50.00,50.00,50.00,100
1-Mar-17,-,-,-,50.00,0
28-Feb-17,50.00,50.00,50.00,50.00,1200
27-Feb-17,-,-,-,50.00,0
24-Feb-17,50.00,50.00,50.00,50.00,600
23-Feb-17,50.00,50.00,50.00,50.00,800
