Date,Open,High,Low,Close,Volume
29-Dec-17,2500.00,2500.00,2450.00,2460.00,218400
28-Dec-17,2580.00,2580.00,2430.00,2480.00,1233100
27-Dec-17,2390.00,2590.00,2380.00,2530.00,866800
22-Dec-17,2430.00,2430.00,2340.00,2390.00,3108600
21-Dec-17,2400.00,2450.00,2390.00,2400.00,226200
20-Dec-17,2420.00,2440.00,2350.00,2400.00,1589600
19-Dec-17,2530.00,2530.00,2420.00,2510.00,1606400
18-Dec-17,2490.00,2530.00,2470.00,2530.00,7700
15-Dec-17,2490.00,2490.00,2450.00,2490.00,3600
14-Dec-17,2520.00,2520.00,2480.00,2480.00,2500
13-Dec-17,2500.00,2530.00,2460.00,2520.00,16000
12-Dec-17,2560.00,2590.00,2500.00,2530.00,5574400
11-Dec-17,2550.00,2550.00,2540.00,2550.00,125600
8-Dec-17,2500.00,2550.00,2500.00,2550.00,443000
7-Dec-17,2460.00,2500.00,2460.00,2500.00,48000
6-Dec-17,2430.00,2460.00,2430.00,2450.00,48300
5-Dec-17,2400.00,2470.00,2200.00,2450.00,169100
4-Dec-17,2400.00,2460.00,2400.00,2450.00,57000
30-Nov-17,2440.00,2460.00,2440.00,2440.00,47200
29-Nov-17,2380.00,2440.00,2370.00,2440.00,36200
28-Nov-17,2400.00,2400.00,2380.00,2380.00,88300
27-Nov-17,2400.00,2400.00,2390.00,2390.00,67900
24-Nov-17,2400.00,2400.00,2390.00,2400.00,7212900
23-Nov-17,2400.00,2420.00,2390.00,2400.00,732500
22-Nov-17,2410.00,2420.00,2400.00,2400.00,3020900
21-Nov-17,2420.00,2430.00,2410.00,2410.00,92300
20-Nov-17,2440.00,2440.00,2420.00,2420.00,126300
17-Nov-17,2440.00,2450.00,2410.00,2410.00,28600
16-Nov-17,2430.00,2440.00,2420.00,2420.00,521400
15-Nov-17,2450.00,2450.00,2400.00,2440.00,284200
14-Nov-17,2440.00,2450.00,2420.00,2450.00,84600
13-Nov-17,2450.00,2450.00,2430.00,2450.00,325100
10-Nov-17,2470.00,2470.00,2450.00,2450.00,270900
9-Nov-17,2440.00,2510.00,2440.00,2470.00,16600
8-Nov-17,2430.00,2440.00,2400.00,2440.00,785900
7-Nov-17,2470.00,2470.00,2400.00,2460.00,286700
6-Nov-17,2480.00,2480.00,2410.00,2470.00,344800
3-Nov-17,2520.00,2520.00,2470.00,2480.00,190200
2-Nov-17,2530.00,2550.00,2510.00,2520.00,277500
1-Nov-17,2540.00,2540.00,2520.00,2540.00,54600
31-Oct-17,2550.00,2560.00,2530.00,2550.00,76800
30-Oct-17,2550.00,2550.00,2530.00,2550.00,3200
27-Oct-17,2550.00,2550.00,2550.00,2550.00,13000
26-Oct-17,2590.00,2590.00,2550.00,2550.00,192800
25-Oct-17,2550.00,2600.00,2550.00,2600.00,63400
24-Oct-17,2550.00,2550.00,2550.00,2550.00,30000
23-Oct-17,2560.00,2560.00,2550.00,2550.00,9000
20-Oct-17,2590.00,2600.00,2560.00,2560.00,31700
19-Oct-17,2510.00,2560.00,2510.00,2560.00,12600
18-Oct-17,2510.00,2510.00,2490.00,2510.00,25600
17-Oct-17,2500.00,2500.00,2500.00,2500.00,300
16-Oct-17,2490.00,2500.00,2490.00,2500.00,12400
13-Oct-17,2500.00,2500.00,2480.00,2490.00,192800
12-Oct-17,2500.00,2510.00,2500.00,2500.00,27600
11-Oct-17,2490.00,2500.00,2490.00,2500.00,126300
10-Oct-17,2550.00,2550.00,2500.00,2500.00,669600
