Date,Open,High,Low,Close,Volume
29-Dec-17,1350.00,1550.00,1350.00,1550.00,17800
28-Dec-17,1425.00,1425.00,1390.00,1390.00,500
27-Dec-17,-,-,-,1450.00,0
22-Dec-17,1450.00,1450.00,1450.00,1450.00,100
21-Dec-17,-,-,-,1420.00,0
20-Dec-17,1370.00,1420.00,1370.00,1420.00,10400
19-Dec-17,1420.00,1420.00,1420.00,1420.00,3300
18-Dec-17,-,-,-,1420.00,0
15-Dec-17,1420.00,1420.00,1380.00,1420.00,9700
14-Dec-17,1380.00,1420.00,1380.00,1420.00,11400
13-Dec-17,1420.00,1420.00,1380.00,1420.00,13700
12-Dec-17,1400.00,1420.00,1400.00,1420.00,11000
11-Dec-17,1400.00,1430.00,1370.00,1420.00,32600
8-Dec-17,-,-,-,1480.00,0
7-Dec-17,1480.00,1480.00,1480.00,1480.00,13000
6-Dec-17,1475.00,1475.00,1450.00,1475.00,11500
5-Dec-17,-,-,-,1490.00,0
4-Dec-17,1490.00,1490.00,1490.00,1490.00,1500
30-Nov-17,1500.00,1500.00,1500.00,1500.00,13600
29-Nov-17,1500.00,1500.00,1500.00,1500.00,10300
28-Nov-17,1500.00,1500.00,1455.00,1500.00,16000
27-Nov-17,1550.00,1550.00,1550.00,1550.00,13000
24-Nov-17,1355.00,1400.00,1355.00,1400.00,11600
23-Nov-17,1390.00,1400.00,1340.00,1400.00,18400
22-Nov-17,1395.00,1395.00,1360.00,1395.00,13600
21-Nov-17,1350.00,1400.00,1350.00,1400.00,23100
20-Nov-17,1335.00,1400.00,1300.00,1400.00,36100
17-Nov-17,1380.00,1380.00,1380.00,1380.00,200
16-Nov-17,1400.00,1445.00,1365.00,1445.00,12600
15-Nov-17,1405.00,1450.00,1350.00,1450.00,19700
14-Nov-17,1510.00,1510.00,1510.00,1510.00,24300
13-Nov-17,1480.00,1480.00,1470.00,1470.00,5100
10-Nov-17,1480.00,1480.00,1430.00,1480.00,21400
9-Nov-17,1500.00,1500.00,1500.00,1500.00,29000
8-Nov-17,1340.00,1340.00,1340.00,1340.00,29000
7-Nov-17,1285.00,1330.00,1285.00,1330.00,18500
6-Nov-17,1275.00,1330.00,1250.00,1330.00,18800
3-Nov-17,1320.00,1320.00,1320.00,1320.00,7500
2-Nov-17,1320.00,1320.00,1320.00,1320.00,5000
1-Nov-17,1265.00,1320.00,1260.00,1320.00,19300
31-Oct-17,1290.00,1320.00,1290.00,1320.00,15500
30-Oct-17,1245.00,1340.00,1245.00,1340.00,31800
27-Oct-17,1245.00,1280.00,1240.00,1280.00,34600
26-Oct-17,1280.00,1280.00,1280.00,1280.00,15000
25-Oct-17,1280.00,1280.00,1280.00,1280.00,10000
24-Oct-17,1240.00,1240.00,1240.00,1240.00,300
23-Oct-17,1245.00,1280.00,1240.00,1280.00,11600
20-Oct-17,1235.00,1290.00,1225.00,1290.00,27800
19-Oct-17,1280.00,1280.00,1240.00,1280.00,53500
18-Oct-17,1300.00,1300.00,1240.00,1295.00,45800
17-Oct-17,1245.00,1300.00,1225.00,1300.00,23000
16-Oct-17,1290.00,1290.00,1250.00,1290.00,11900
13-Oct-17,1280.00,1290.00,1240.00,1290.00,10700
12-Oct-17,1300.00,1300.00,1230.00,1290.00,55100
11-Oct-17,1300.00,1300.00,1200.00,1300.00,13600
10-Oct-17,1200.00,1300.00,1150.00,1300.00,70200
9-Oct-17,1075.00,1140.00,1075.00,1140.00,3900
6-Oct-17,1150.00,1150.00,1150.00,1150.00,400
5-Oct-17,1145.00,1200.00,1145.00,1200.00,24000
4-Oct-17,1200.00,1200.00,1140.00,1195.00,8300
3-Oct-17,1200.00,1200.00,1200.00,1200.00,40000
2-Oct-17,1155.00,1155.00,1050.00,1080.00,13800
29-Sep-17,1150.00,1155.00,1120.00,1155.00,16000
28-Sep-17,1200.00,1200.00,1155.00,1155.00,8000
27-Sep-17,1200.00,1200.00,1200.00,1200.00,1000
26-Sep-17,1235.00,1275.00,1225.00,1240.00,12600
25-Sep-17,1235.00,1280.00,1210.00,1280.00,52300
22-Sep-17,1230.00,1280.00,1230.00,1280.00,16100
20-Sep-17,1250.00,1275.00,1240.00,1275.00,66000
19-Sep-17,1300.00,1300.00,1240.00,1300.00,101000
18-Sep-17,1265.00,1310.00,1225.00,1310.00,108000
15-Sep-17,1300.00,1300.00,1250.00,1295.00,51600
14-Sep-17,1300.00,1300.00,1230.00,1300.00,90600
13-Sep-17,1210.00,1320.00,1200.00,1320.00,63600
12-Sep-17,1250.00,1270.00,1175.00,1270.00,41300
11-Sep-17,1250.00,1250.00,1250.00,1250.00,100
8-Sep-17,1330.00,1330.00,1250.00,1325.00,38100
7-Sep-17,1350.00,1350.00,1320.00,1330.00,6600
6-Sep-17,1380.00,1385.00,1345.00,1345.00,54000
5-Sep-17,1300.00,1395.00,1250.00,1395.00,118600
4-Sep-17,1220.00,1300.00,1180.00,1300.00,115300
31-Aug-17,1200.00,1250.00,1160.00,1250.00,69200
30-Aug-17,1180.00,1200.00,1150.00,1200.00,93400
29-Aug-17,1150.00,1180.00,1150.00,1180.00,86000
28-Aug-17,1150.00,1180.00,1140.00,1180.00,89000
25-Aug-17,1180.00,1180.00,1150.00,1180.00,70100
24-Aug-17,1155.00,1180.00,1110.00,1180.00,91200
23-Aug-17,1200.00,1200.00,1160.00,1160.00,15100
22-Aug-17,1160.00,1200.00,1100.00,1200.00,98100
21-Aug-17,1180.00,1180.00,1150.00,1150.00,29300
18-Aug-17,1180.00,1190.00,1150.00,1190.00,134100
16-Aug-17,1090.00,1200.00,1060.00,1200.00,88100
15-Aug-17,1100.00,1100.00,1000.00,1090.00,116800
14-Aug-17,1080.00,1195.00,1035.00,1075.00,63200
11-Aug-17,1035.00,1095.00,1015.00,1095.00,77400
10-Aug-17,1060.00,1065.00,980.00,1065.00,98500
9-Aug-17,990.00,1065.00,960.00,1065.00,121800
8-Aug-17,940.00,1000.00,940.00,1000.00,103300
7-Aug-17,930.00,975.00,920.00,975.00,184000
4-Aug-17,950.00,980.00,875.00,980.00,250100
3-Aug-17,950.00,1000.00,900.00,1000.00,177300
2-Aug-17,840.00,1000.00,800.00,1000.00,92500
1-Aug-17,795.00,850.00,770.00,850.00,31100
31-Jul-17,800.00,810.00,750.00,810.00,44100
28-Jul-17,750.00,800.00,730.00,800.00,19300
27-Jul-17,760.00,765.00,730.00,730.00,23000
26-Jul-17,750.00,760.00,730.00,755.00,47500
25-Jul-17,720.00,760.00,690.00,760.00,48700
24-Jul-17,-,-,-,760.00,0
21-Jul-17,760.00,760.00,760.00,760.00,4200
20-Jul-17,760.00,760.00,760.00,760.00,3100
19-Jul-17,760.00,760.00,760.00,760.00,5400
18-Jul-17,755.00,755.00,755.00,755.00,4900
17-Jul-17,720.00,760.00,720.00,760.00,4700
14-Jul-17,760.00,760.00,760.00,760.00,4000
13-Jul-17,760.00,760.00,760.00,760.00,5000
12-Jul-17,755.00,755.00,755.00,755.00,10200
11-Jul-17,720.00,755.00,720.00,755.00,4000
10-Jul-17,760.00,760.00,760.00,760.00,7500
7-Jul-17,760.00,760.00,760.00,760.00,5000
6-Jul-17,-,-,-,760.00,0
5-Jul-17,760.00,760.00,760.00,760.00,5100
4-Jul-17,-,-,-,760.00,0
3-Jul-17,-,-,-,760.00,0
22-Jun-17,-,-,-,760.00,0
21-Jun-17,760.00,760.00,760.00,760.00,100
20-Jun-17,760.00,760.00,760.00,760.00,3000
19-Jun-17,750.00,760.00,750.00,760.00,7200
16-Jun-17,-,-,-,760.00,0
15-Jun-17,760.00,760.00,760.00,760.00,1000
14-Jun-17,-,-,-,760.00,0
13-Jun-17,-,-,-,760.00,0
12-Jun-17,-,-,-,760.00,0
9-Jun-17,-,-,-,760.00,0
8-Jun-17,750.00,760.00,750.00,760.00,9100
7-Jun-17,725.00,740.00,725.00,740.00,2000
6-Jun-17,720.00,760.00,720.00,760.00,10600
5-Jun-17,-,-,-,760.00,0
2-Jun-17,-,-,-,760.00,0
31-May-17,760.00,760.00,760.00,760.00,200
30-May-17,720.00,750.00,720.00,750.00,1100
29-May-17,750.00,750.00,750.00,750.00,100
26-May-17,-,-,-,760.00,0
24-May-17,-,-,-,760.00,0
23-May-17,750.00,760.00,750.00,760.00,29000
22-May-17,750.00,750.00,750.00,750.00,1600
19-May-17,760.00,760.00,760.00,760.00,1000
18-May-17,720.00,760.00,720.00,760.00,11700
17-May-17,-,-,-,760.00,0
16-May-17,760.00,760.00,760.00,760.00,1100
15-May-17,760.00,760.00,760.00,760.00,1000
12-May-17,760.00,760.00,760.00,760.00,5700
10-May-17,745.00,760.00,720.00,760.00,9300
9-May-17,760.00,760.00,745.00,760.00,3100
8-May-17,715.00,740.00,705.00,740.00,3100
5-May-17,715.00,750.00,715.00,750.00,8700
4-May-17,715.00,750.00,715.00,725.00,4800
3-May-17,-,-,-,760.00,0
2-May-17,-,-,-,760.00,0
28-Apr-17,760.00,760.00,730.00,760.00,3100
27-Apr-17,720.00,760.00,720.00,760.00,4400
26-Apr-17,-,-,-,760.00,0
25-Apr-17,-,-,-,760.00,0
21-Apr-17,-,-,-,760.00,0
20-Apr-17,-,-,-,760.00,0
18-Apr-17,-,-,-,760.00,0
17-Apr-17,760.00,760.00,760.00,760.00,200
13-Apr-17,760.00,760.00,720.00,725.00,3300
12-Apr-17,-,-,-,750.00,0
11-Apr-17,715.00,750.00,715.00,750.00,2500
10-Apr-17,720.00,750.00,720.00,750.00,1700
7-Apr-17,-,-,-,760.00,0
6-Apr-17,-,-,-,760.00,0
5-Apr-17,-,-,-,760.00,0
4-Apr-17,710.00,760.00,710.00,760.00,13800
3-Apr-17,-,-,-,750.00,0
31-Mar-17,710.00,750.00,710.00,750.00,5500
30-Mar-17,-,-,-,760.00,0
29-Mar-17,-,-,-,760.00,0
27-Mar-17,760.00,760.00,760.00,760.00,1000
24-Mar-17,760.00,760.00,760.00,760.00,200
23-Mar-17,760.00,760.00,740.00,750.00,1700
22-Mar-17,750.00,750.00,720.00,720.00,1300
21-Mar-17,750.00,760.00,750.00,760.00,7100
20-Mar-17,715.00,760.00,715.00,760.00,13300
