Date,Open,High,Low,Close,Volume
29-Dec-17,282.00,284.00,270.00,270.00,291283700
28-Dec-17,282.00,288.00,278.00,280.00,373630700
27-Dec-17,276.00,282.00,274.00,280.00,180828300
22-Dec-17,280.00,282.00,270.00,274.00,312693000
21-Dec-17,282.00,288.00,272.00,278.00,518081400
20-Dec-17,280.00,292.00,280.00,282.00,796588100
19-Dec-17,268.00,286.00,268.00,278.00,867527000
18-Dec-17,264.00,276.00,262.00,268.00,917549300
15-Dec-17,270.00,272.00,258.00,258.00,692252000
14-Dec-17,256.00,274.00,250.00,272.00,919621700
13-Dec-17,242.00,256.00,236.00,252.00,1124847200
12-Dec-17,220.00,242.00,210.00,242.00,1078467100
11-Dec-17,256.00,258.00,212.00,218.00,1368928900
8-Dec-17,250.00,258.00,246.00,254.00,354296100
7-Dec-17,256.00,266.00,246.00,248.00,626659500
6-Dec-17,278.00,280.00,260.00,260.00,339067600
5-Dec-17,272.00,280.00,254.00,274.00,1056494000
4-Dec-17,300.00,300.00,272.00,272.00,1048061900
30-Nov-17,306.00,306.00,294.00,300.00,830087400
29-Nov-17,294.00,306.00,288.00,306.00,587833200
28-Nov-17,308.00,312.00,280.00,290.00,1070544100
27-Nov-17,302.00,314.00,300.00,308.00,558530900
24-Nov-17,304.00,306.00,296.00,300.00,309439900
23-Nov-17,308.00,310.00,300.00,302.00,746736000
22-Nov-17,284.00,306.00,282.00,306.00,1115703200
21-Nov-17,278.00,282.00,274.00,280.00,365827500
20-Nov-17,272.00,282.00,272.00,276.00,329977500
17-Nov-17,272.00,278.00,272.00,272.00,322020000
16-Nov-17,272.00,278.00,268.00,272.00,440276500
15-Nov-17,280.00,286.00,268.00,270.00,1243028200
14-Nov-17,250.00,280.00,250.00,280.00,1231128200
13-Nov-17,254.00,258.00,248.00,250.00,175383000
10-Nov-17,252.00,258.00,246.00,252.00,282280600
9-Nov-17,262.00,266.00,248.00,252.00,349355900
8-Nov-17,268.00,270.00,262.00,262.00,172633000
7-Nov-17,262.00,272.00,256.00,266.00,387388300
6-Nov-17,268.00,268.00,258.00,260.00,294057800
3-Nov-17,274.00,276.00,264.00,266.00,279801600
2-Nov-17,274.00,282.00,266.00,274.00,816773200
1-Nov-17,260.00,272.00,258.00,272.00,560151000
31-Oct-17,270.00,272.00,254.00,260.00,585421200
30-Oct-17,266.00,276.00,264.00,268.00,700471400
27-Oct-17,248.00,264.00,248.00,264.00,683343900
26-Oct-17,234.00,252.00,234.00,246.00,705384400
25-Oct-17,246.00,246.00,230.00,234.00,566316800
24-Oct-17,238.00,252.00,232.00,242.00,1270279300
23-Oct-17,214.00,236.00,214.00,236.00,784883100
20-Oct-17,206.00,214.00,204.00,212.00,670968300
19-Oct-17,199.00,208.00,197.00,204.00,477769800
18-Oct-17,200.00,206.00,193.00,197.00,349300000
17-Oct-17,199.00,200.00,196.00,198.00,139945600
16-Oct-17,196.00,202.00,194.00,197.00,332057800
13-Oct-17,202.00,216.00,188.00,194.00,1109853900
12-Oct-17,195.00,204.00,195.00,202.00,383770900
11-Oct-17,197.00,198.00,191.00,194.00,178028000
10-Oct-17,204.00,206.00,194.00,195.00,312643700
9-Oct-17,193.00,206.00,192.00,204.00,573607200
6-Oct-17,192.00,200.00,188.00,191.00,422183000
5-Oct-17,202.00,212.00,188.00,190.00,556528000
4-Oct-17,208.00,222.00,202.00,202.00,925832600
3-Oct-17,175.00,206.00,174.00,206.00,1052760000
2-Oct-17,200.00,204.00,171.00,173.00,617640400
29-Sep-17,193.00,206.00,191.00,199.00,694562500
28-Sep-17,175.00,192.00,166.00,191.00,1052912700
27-Sep-17,190.00,190.00,174.00,174.00,492080800
26-Sep-17,206.00,208.00,184.00,189.00,748949200
25-Sep-17,206.00,214.00,200.00,204.00,305894600
22-Sep-17,214.00,216.00,204.00,206.00,292051200
20-Sep-17,226.00,226.00,212.00,212.00,404329600
19-Sep-17,202.00,224.00,199.00,224.00,566799400
18-Sep-17,202.00,204.00,192.00,202.00,268126000
15-Sep-17,208.00,214.00,187.00,200.00,718190700
14-Sep-17,220.00,226.00,202.00,206.00,352400600
