Date,Open,High,Low,Close,Volume
29-Dec-17,480.00,520.00,470.00,520.00,15700
28-Dec-17,520.00,520.00,520.00,520.00,400
27-Dec-17,535.00,535.00,520.00,525.00,4600
22-Dec-17,480.00,498.00,480.00,498.00,10700
21-Dec-17,470.00,525.00,460.00,525.00,10200
20-Dec-17,500.00,500.00,500.00,500.00,600
19-Dec-17,-,-,-,525.00,0
18-Dec-17,500.00,525.00,500.00,525.00,6900
15-Dec-17,500.00,530.00,470.00,530.00,1700
14-Dec-17,550.00,550.00,460.00,492.00,3300
13-Dec-17,550.00,550.00,510.00,510.00,700
12-Dec-17,550.00,550.00,462.00,462.00,3600
11-Dec-17,550.00,550.00,484.00,500.00,700
8-Dec-17,480.00,484.00,480.00,484.00,11600
7-Dec-17,462.00,525.00,460.00,525.00,500
6-Dec-17,530.00,535.00,500.00,500.00,300
5-Dec-17,550.00,550.00,530.00,530.00,4000
4-Dec-17,550.00,550.00,466.00,500.00,45200
30-Nov-17,525.00,550.00,480.00,484.00,596000
29-Nov-17,525.00,525.00,525.00,525.00,100
28-Nov-17,560.00,560.00,525.00,525.00,200
27-Nov-17,525.00,525.00,525.00,525.00,200
24-Nov-17,525.00,525.00,525.00,525.00,100
23-Nov-17,530.00,530.00,530.00,530.00,1000
22-Nov-17,520.00,525.00,520.00,525.00,700
21-Nov-17,560.00,560.00,550.00,550.00,5500
20-Nov-17,520.00,560.00,520.00,560.00,2000
17-Nov-17,565.00,565.00,520.00,520.00,1700
16-Nov-17,520.00,560.00,520.00,520.00,800
15-Nov-17,-,-,-,565.00,0
14-Nov-17,-,-,-,565.00,0
13-Nov-17,-,-,-,565.00,0
10-Nov-17,-,-,-,565.00,0
9-Nov-17,-,-,-,565.00,0
8-Nov-17,-,-,-,565.00,0
7-Nov-17,-,-,-,565.00,0
6-Nov-17,-,-,-,565.00,0
3-Nov-17,-,-,-,565.00,0
2-Nov-17,565.00,565.00,565.00,565.00,100
1-Nov-17,-,-,-,565.00,0
31-Oct-17,-,-,-,565.00,0
30-Oct-17,-,-,-,565.00,0
27-Oct-17,530.00,565.00,530.00,565.00,3600
26-Oct-17,520.00,530.00,520.00,530.00,1400
25-Oct-17,525.00,565.00,525.00,560.00,15700
24-Oct-17,-,-,-,565.00,0
23-Oct-17,520.00,565.00,520.00,565.00,1100
20-Oct-17,560.00,560.00,525.00,525.00,300
19-Oct-17,-,-,-,560.00,0
18-Oct-17,-,-,-,560.00,0
17-Oct-17,525.00,565.00,525.00,560.00,400
16-Oct-17,-,-,-,565.00,0
13-Oct-17,-,-,-,565.00,0
12-Oct-17,-,-,-,565.00,0
11-Oct-17,-,-,-,565.00,0
10-Oct-17,-,-,-,565.00,0
9-Oct-17,-,-,-,565.00,0
6-Oct-17,-,-,-,565.00,0
5-Oct-17,565.00,565.00,565.00,565.00,100
4-Oct-17,-,-,-,565.00,0
3-Oct-17,565.00,565.00,565.00,565.00,100
2-Oct-17,-,-,-,565.00,0
29-Sep-17,-,-,-,565.00,0
28-Sep-17,565.00,565.00,565.00,565.00,100
27-Sep-17,565.00,565.00,525.00,560.00,6300
26-Sep-17,520.00,525.00,520.00,525.00,15500
25-Sep-17,560.00,560.00,560.00,560.00,10600
22-Sep-17,550.00,550.00,550.00,550.00,100
20-Sep-17,-,-,-,550.00,0
19-Sep-17,555.00,555.00,550.00,550.00,30000
18-Sep-17,555.00,555.00,550.00,550.00,21200
15-Sep-17,525.00,525.00,525.00,525.00,14000
14-Sep-17,525.00,525.00,525.00,525.00,5100
13-Sep-17,-,-,-,525.00,0
12-Sep-17,-,-,-,525.00,0
11-Sep-17,-,-,-,525.00,0
8-Sep-17,-,-,-,525.00,0
7-Sep-17,545.00,545.00,515.00,525.00,68800
6-Sep-17,550.00,555.00,550.00,555.00,7500
5-Sep-17,550.00,550.00,550.00,550.00,1100
4-Sep-17,555.00,585.00,550.00,550.00,461500
31-Aug-17,525.00,525.00,525.00,525.00,41700
30-Aug-17,550.00,550.00,525.00,525.00,8400
29-Aug-17,-,-,-,550.00,0
28-Aug-17,550.00,550.00,550.00,550.00,15000
25-Aug-17,550.00,550.00,550.00,550.00,5000
24-Aug-17,555.00,555.00,545.00,545.00,17500
23-Aug-17,545.00,555.00,545.00,550.00,118300
22-Aug-17,555.00,560.00,525.00,535.00,365400
21-Aug-17,-,-,-,580.00,0
18-Aug-17,-,-,-,580.00,0
16-Aug-17,-,-,-,580.00,0
15-Aug-17,580.00,580.00,580.00,580.00,100
14-Aug-17,-,-,-,580.00,0
11-Aug-17,-,-,-,580.00,0
10-Aug-17,-,-,-,580.00,0
9-Aug-17,580.00,580.00,580.00,580.00,5000
8-Aug-17,-,-,-,580.00,0
7-Aug-17,-,-,-,580.00,0
4-Aug-17,580.00,580.00,580.00,580.00,1000
3-Aug-17,580.00,580.00,570.00,580.00,11000
2-Aug-17,580.00,580.00,580.00,580.00,6100
1-Aug-17,580.00,580.00,555.00,580.00,700
31-Jul-17,580.00,580.00,580.00,580.00,20000
28-Jul-17,-,-,-,580.00,0
27-Jul-17,-,-,-,580.00,0
26-Jul-17,-,-,-,580.00,0
25-Jul-17,-,-,-,580.00,0
24-Jul-17,-,-,-,580.00,0
21-Jul-17,-,-,-,580.00,0
20-Jul-17,-,-,-,580.00,0
19-Jul-17,580.00,580.00,580.00,580.00,10000
18-Jul-17,580.00,580.00,580.00,580.00,50000
17-Jul-17,580.00,580.00,580.00,580.00,5000
14-Jul-17,-,-,-,580.00,0
13-Jul-17,-,-,-,580.00,0
12-Jul-17,-,-,-,580.00,0
11-Jul-17,-,-,-,580.00,0
10-Jul-17,555.00,580.00,555.00,580.00,8000
7-Jul-17,555.00,580.00,555.00,580.00,800
6-Jul-17,-,-,-,580.00,0
5-Jul-17,-,-,-,580.00,0
4-Jul-17,-,-,-,580.00,0
3-Jul-17,-,-,-,580.00,0
22-Jun-17,-,-,-,580.00,0
21-Jun-17,-,-,-,580.00,0
20-Jun-17,555.00,580.00,555.00,580.00,2200
19-Jun-17,555.00,580.00,555.00,580.00,600
16-Jun-17,-,-,-,580.00,0
15-Jun-17,-,-,-,580.00,0
14-Jun-17,555.00,580.00,555.00,580.00,9300
13-Jun-17,580.00,580.00,550.00,550.00,39400
12-Jun-17,-,-,-,580.00,0
9-Jun-17,-,-,-,580.00,0
8-Jun-17,-,-,-,580.00,0
