Date,Open,High,Low,Close,Volume
29-Dec-17,232.00,268.00,232.00,268.00,3200
28-Dec-17,280.00,280.00,252.00,252.00,1700
27-Dec-17,266.00,314.00,262.00,262.00,3000
22-Dec-17,274.00,274.00,260.00,260.00,800
21-Dec-17,278.00,290.00,270.00,274.00,1600
20-Dec-17,276.00,276.00,276.00,276.00,100
19-Dec-17,288.00,288.00,278.00,278.00,11100
18-Dec-17,-,-,-,294.00,0
15-Dec-17,256.00,294.00,254.00,294.00,400
14-Dec-17,270.00,270.00,250.00,250.00,8200
13-Dec-17,242.00,294.00,242.00,294.00,38500
12-Dec-17,264.00,264.00,258.00,258.00,8100
11-Dec-17,260.00,260.00,260.00,260.00,4300
8-Dec-17,-,-,-,316.00,0
7-Dec-17,316.00,316.00,316.00,316.00,100
6-Dec-17,322.00,322.00,322.00,322.00,100
5-Dec-17,294.00,294.00,274.00,274.00,4400
4-Dec-17,316.00,316.00,316.00,316.00,3200
30-Nov-17,340.00,340.00,280.00,316.00,700
29-Nov-17,314.00,340.00,314.00,336.00,1500
28-Nov-17,324.00,324.00,314.00,314.00,300
27-Nov-17,300.00,300.00,300.00,300.00,4500
24-Nov-17,320.00,320.00,320.00,320.00,700
23-Nov-17,322.00,330.00,316.00,316.00,3200
22-Nov-17,312.00,342.00,312.00,342.00,1000
21-Nov-17,-,-,-,312.00,0
20-Nov-17,312.00,322.00,312.00,312.00,1100
17-Nov-17,292.00,338.00,292.00,312.00,2200
16-Nov-17,318.00,318.00,280.00,280.00,400
15-Nov-17,318.00,318.00,318.00,318.00,100
14-Nov-17,-,-,-,320.00,0
13-Nov-17,320.00,320.00,320.00,320.00,900
10-Nov-17,320.00,320.00,320.00,320.00,100
9-Nov-17,324.00,326.00,324.00,326.00,1400
8-Nov-17,-,-,-,326.00,0
7-Nov-17,344.00,344.00,326.00,326.00,200
6-Nov-17,320.00,320.00,320.00,320.00,600
3-Nov-17,-,-,-,322.00,0
2-Nov-17,322.00,322.00,322.00,322.00,1100
1-Nov-17,-,-,-,322.00,0
31-Oct-17,324.00,324.00,318.00,322.00,1700
30-Oct-17,338.00,338.00,324.00,324.00,200
27-Oct-17,318.00,338.00,318.00,338.00,1500
26-Oct-17,-,-,-,320.00,0
25-Oct-17,322.00,322.00,320.00,320.00,700
24-Oct-17,298.00,320.00,298.00,320.00,5800
23-Oct-17,338.00,338.00,296.00,296.00,1500
20-Oct-17,358.00,358.00,306.00,336.00,11700
19-Oct-17,356.00,356.00,340.00,340.00,1400
18-Oct-17,356.00,356.00,356.00,356.00,100
17-Oct-17,350.00,350.00,304.00,340.00,1700
16-Oct-17,370.00,370.00,330.00,350.00,11700
13-Oct-17,392.00,392.00,334.00,354.00,8300
12-Oct-17,324.00,384.00,324.00,374.00,4400
11-Oct-17,362.00,372.00,342.00,342.00,9100
10-Oct-17,322.00,402.00,312.00,338.00,81400
9-Oct-17,388.00,388.00,278.00,324.00,30700
6-Oct-17,396.00,396.00,370.00,370.00,7700
5-Oct-17,418.00,418.00,354.00,384.00,14800
4-Oct-17,370.00,440.00,370.00,388.00,3300
3-Oct-17,370.00,370.00,370.00,370.00,600
2-Oct-17,352.00,420.00,334.00,370.00,24800
29-Sep-17,376.00,376.00,352.00,354.00,2200
28-Sep-17,388.00,388.00,356.00,380.00,800
27-Sep-17,400.00,450.00,352.00,388.00,41300
26-Sep-17,336.00,412.00,334.00,398.00,58100
25-Sep-17,380.00,380.00,302.00,332.00,5200
22-Sep-17,394.00,394.00,380.00,380.00,4900
