Date,Open,High,Low,Close,Volume
29-Dec-17,364.00,366.00,364.00,364.00,114700
28-Dec-17,364.00,366.00,364.00,364.00,500
27-Dec-17,366.00,366.00,364.00,366.00,202400
22-Dec-17,364.00,364.00,364.00,364.00,1200
21-Dec-17,364.00,366.00,364.00,364.00,2936100
20-Dec-17,368.00,368.00,364.00,364.00,3170700
19-Dec-17,370.00,372.00,366.00,368.00,3857200
18-Dec-17,374.00,374.00,370.00,370.00,2701400
15-Dec-17,-,-,-,374.00,0
14-Dec-17,374.00,376.00,374.00,374.00,56400
13-Dec-17,374.00,374.00,374.00,374.00,2131700
12-Dec-17,374.00,374.00,374.00,374.00,200
11-Dec-17,374.00,374.00,374.00,374.00,50700
8-Dec-17,374.00,374.00,374.00,374.00,223500
7-Dec-17,376.00,376.00,374.00,374.00,3113500
6-Dec-17,378.00,378.00,376.00,376.00,6639700
5-Dec-17,382.00,382.00,378.00,378.00,7648200
4-Dec-17,382.00,384.00,380.00,382.00,12939000
30-Nov-17,386.00,386.00,382.00,382.00,13021800
29-Nov-17,394.00,394.00,386.00,386.00,14019800
28-Nov-17,404.00,404.00,394.00,394.00,16097300
27-Nov-17,402.00,406.00,402.00,404.00,17619800
24-Nov-17,400.00,404.00,400.00,402.00,20562500
23-Nov-17,396.00,400.00,396.00,400.00,7824700
22-Nov-17,392.00,394.00,392.00,394.00,217100
21-Nov-17,392.00,394.00,392.00,392.00,282900
20-Nov-17,392.00,392.00,390.00,392.00,303100
17-Nov-17,392.00,392.00,392.00,392.00,248800
16-Nov-17,390.00,392.00,390.00,392.00,55100
15-Nov-17,388.00,390.00,388.00,390.00,105900
14-Nov-17,386.00,388.00,384.00,388.00,316000
13-Nov-17,386.00,388.00,386.00,388.00,6500
10-Nov-17,388.00,388.00,388.00,388.00,3500
9-Nov-17,386.00,388.00,386.00,388.00,900
8-Nov-17,384.00,386.00,384.00,386.00,3200
7-Nov-17,382.00,384.00,382.00,384.00,33300
6-Nov-17,380.00,382.00,380.00,382.00,700
3-Nov-17,386.00,386.00,380.00,380.00,617600
2-Nov-17,380.00,380.00,380.00,380.00,1000
1-Nov-17,-,-,-,382.00,0
31-Oct-17,382.00,382.00,382.00,382.00,251200
30-Oct-17,382.00,382.00,382.00,382.00,12800
27-Oct-17,384.00,384.00,384.00,384.00,100
26-Oct-17,386.00,386.00,384.00,386.00,100800
25-Oct-17,386.00,386.00,384.00,386.00,211700
24-Oct-17,386.00,386.00,386.00,386.00,300
23-Oct-17,386.00,386.00,386.00,386.00,400
20-Oct-17,388.00,388.00,388.00,388.00,17800
19-Oct-17,390.00,390.00,390.00,390.00,900
18-Oct-17,392.00,392.00,392.00,392.00,500
17-Oct-17,-,-,-,392.00,0
16-Oct-17,394.00,394.00,392.00,392.00,2100
13-Oct-17,394.00,394.00,394.00,394.00,16900
12-Oct-17,394.00,394.00,394.00,394.00,17000
11-Oct-17,398.00,398.00,394.00,394.00,522900
10-Oct-17,400.00,402.00,400.00,400.00,600
9-Oct-17,408.00,408.00,402.00,402.00,832300
6-Oct-17,-,-,-,408.00,0
5-Oct-17,406.00,408.00,406.00,408.00,5000
4-Oct-17,404.00,406.00,404.00,406.00,2000
3-Oct-17,404.00,406.00,404.00,406.00,7600
2-Oct-17,404.00,406.00,404.00,406.00,14900
29-Sep-17,406.00,408.00,406.00,406.00,9500
28-Sep-17,406.00,408.00,406.00,408.00,2000
27-Sep-17,408.00,408.00,406.00,408.00,9800
26-Sep-17,408.00,408.00,406.00,408.00,18000
25-Sep-17,-,-,-,408.00,0
22-Sep-17,-,-,-,408.00,0
20-Sep-17,408.00,408.00,406.00,408.00,53000
19-Sep-17,406.00,408.00,406.00,408.00,400
18-Sep-17,410.00,410.00,408.00,408.00,105000
15-Sep-17,410.00,410.00,410.00,410.00,257000
14-Sep-17,410.00,412.00,410.00,412.00,5048300
13-Sep-17,418.00,418.00,410.00,410.00,3801500
12-Sep-17,420.00,420.00,418.00,418.00,4529100
11-Sep-17,414.00,420.00,414.00,420.00,4332700
8-Sep-17,412.00,414.00,412.00,414.00,5042300
7-Sep-17,412.00,414.00,412.00,412.00,4128800
6-Sep-17,416.00,416.00,414.00,414.00,3914100
5-Sep-17,420.00,420.00,416.00,418.00,4727800
4-Sep-17,420.00,420.00,418.00,420.00,3378200
31-Aug-17,424.00,424.00,420.00,420.00,4588400
30-Aug-17,426.00,428.00,424.00,424.00,5086700
29-Aug-17,430.00,430.00,426.00,428.00,15961100
28-Aug-17,432.00,432.00,428.00,430.00,14913600
25-Aug-17,430.00,432.00,430.00,432.00,10078800
24-Aug-17,432.00,432.00,430.00,432.00,12251900
23-Aug-17,436.00,438.00,434.00,434.00,10481600
22-Aug-17,440.00,440.00,436.00,436.00,3149800
21-Aug-17,436.00,442.00,436.00,440.00,4044800
18-Aug-17,426.00,436.00,424.00,436.00,3187200
16-Aug-17,422.00,428.00,420.00,428.00,4197300
15-Aug-17,414.00,422.00,414.00,422.00,2014200
14-Aug-17,408.00,414.00,408.00,414.00,2390600
11-Aug-17,406.00,408.00,406.00,408.00,2238100
10-Aug-17,406.00,406.00,404.00,406.00,2594400
9-Aug-17,398.00,406.00,398.00,406.00,2352200
8-Aug-17,410.00,410.00,398.00,398.00,4248200
7-Aug-17,416.00,416.00,406.00,410.00,1975100
4-Aug-17,418.00,418.00,414.00,416.00,1996800
3-Aug-17,418.00,420.00,414.00,418.00,2771400
2-Aug-17,414.00,418.00,414.00,418.00,2745500
1-Aug-17,420.00,420.00,414.00,414.00,2353200
31-Jul-17,416.00,420.00,414.00,420.00,2797100
28-Jul-17,416.00,416.00,414.00,416.00,3131900
27-Jul-17,416.00,416.00,414.00,416.00,2356800
26-Jul-17,414.00,416.00,414.00,416.00,3129100
25-Jul-17,418.00,418.00,414.00,414.00,3231500
24-Jul-17,418.00,418.00,418.00,418.00,3351500
21-Jul-17,424.00,424.00,416.00,418.00,5087700
20-Jul-17,426.00,428.00,422.00,424.00,3996900
19-Jul-17,426.00,428.00,426.00,426.00,4119700
18-Jul-17,428.00,428.00,426.00,426.00,6305700
17-Jul-17,424.00,428.00,424.00,428.00,9231500
14-Jul-17,424.00,426.00,424.00,424.00,12421800
13-Jul-17,424.00,430.00,422.00,426.00,12252800
12-Jul-17,424.00,428.00,424.00,426.00,17085300
11-Jul-17,430.00,430.00,424.00,428.00,25086400
10-Jul-17,434.00,434.00,432.00,432.00,30546200
7-Jul-17,434.00,438.00,432.00,432.00,35332100
6-Jul-17,434.00,438.00,432.00,438.00,35169400
5-Jul-17,436.00,442.00,436.00,436.00,68512900
4-Jul-17,438.00,440.00,436.00,438.00,68646700
3-Jul-17,434.00,440.00,434.00,440.00,65170400
22-Jun-17,434.00,438.00,434.00,436.00,62604900
21-Jun-17,440.00,442.00,436.00,436.00,66068500
20-Jun-17,440.00,444.00,438.00,442.00,66250600
19-Jun-17,438.00,442.00,436.00,440.00,67623400
16-Jun-17,436.00,442.00,436.00,438.00,66412800
15-Jun-17,434.00,440.00,434.00,438.00,65042000
14-Jun-17,430.00,436.00,430.00,436.00,58308100
13-Jun-17,428.00,432.00,428.00,432.00,49166600
12-Jun-17,432.00,434.00,430.00,430.00,49827300
9-Jun-17,432.00,434.00,432.00,434.00,50593700
8-Jun-17,436.00,436.00,432.00,434.00,26276100
7-Jun-17,436.00,438.00,430.00,436.00,52325100
6-Jun-17,440.00,440.00,438.00,438.00,48912700
5-Jun-17,438.00,442.00,438.00,440.00,51580400
2-Jun-17,446.00,448.00,436.00,440.00,51349100
31-May-17,444.00,448.00,444.00,448.00,49229200
30-May-17,444.00,446.00,444.00,446.00,47918900
29-May-17,444.00,448.00,444.00,446.00,48518700
26-May-17,442.00,446.00,442.00,444.00,48246400
24-May-17,442.00,444.00,440.00,442.00,48414700
23-May-17,444.00,446.00,440.00,442.00,49119200
22-May-17,438.00,444.00,438.00,444.00,48465600
19-May-17,436.00,438.00,432.00,438.00,47246400
18-May-17,436.00,438.00,436.00,438.00,46107700
17-May-17,436.00,438.00,436.00,436.00,46141700
16-May-17,438.00,440.00,432.00,436.00,49103300
15-May-17,438.00,440.00,436.00,440.00,46293900
12-May-17,442.00,444.00,438.00,440.00,50443900
10-May-17,444.00,446.00,440.00,442.00,45307600
9-May-17,444.00,448.00,444.00,444.00,47734300
8-May-17,440.00,444.00,440.00,444.00,46358500
5-May-17,442.00,444.00,440.00,442.00,46190000
4-May-17,442.00,444.00,440.00,444.00,45234800
3-May-17,442.00,444.00,440.00,442.00,44699600
2-May-17,444.00,446.00,444.00,444.00,42324000
28-Apr-17,444.00,446.00,444.00,444.00,38398600
27-Apr-17,444.00,448.00,444.00,446.00,47153800
26-Apr-17,448.00,450.00,442.00,446.00,48075900
25-Apr-17,450.00,452.00,444.00,450.00,49143800
21-Apr-17,450.00,452.00,450.00,450.00,53393300
20-Apr-17,456.00,456.00,450.00,450.00,45144700
18-Apr-17,454.00,460.00,454.00,458.00,51499300
17-Apr-17,454.00,456.00,450.00,456.00,43546400
13-Apr-17,450.00,456.00,450.00,456.00,54506700
12-Apr-17,448.00,452.00,448.00,452.00,53877800
11-Apr-17,454.00,454.00,448.00,450.00,52441000
10-Apr-17,450.00,454.00,450.00,454.00,56124100
7-Apr-17,448.00,452.00,448.00,450.00,61293000
6-Apr-17,450.00,452.00,448.00,450.00,56167200
5-Apr-17,454.00,454.00,452.00,452.00,55489700
