Date,Open,High,Low,Close,Volume
29-Dec-17,81.00,82.00,80.00,80.00,79000
28-Dec-17,83.00,83.00,80.00,82.00,94700
27-Dec-17,81.00,88.00,81.00,82.00,868500
22-Dec-17,80.00,81.00,79.00,80.00,158000
21-Dec-17,81.00,81.00,80.00,80.00,555200
20-Dec-17,81.00,83.00,80.00,81.00,87600
19-Dec-17,85.00,85.00,81.00,81.00,55600
18-Dec-17,82.00,87.00,80.00,83.00,667400
15-Dec-17,80.00,89.00,80.00,82.00,785300
14-Dec-17,81.00,81.00,79.00,81.00,124800
13-Dec-17,79.00,82.00,79.00,81.00,1271300
12-Dec-17,80.00,80.00,79.00,79.00,94300
11-Dec-17,82.00,83.00,79.00,79.00,1049700
8-Dec-17,80.00,83.00,80.00,82.00,360200
7-Dec-17,84.00,89.00,79.00,79.00,1547800
6-Dec-17,85.00,85.00,81.00,84.00,73900
5-Dec-17,86.00,86.00,81.00,81.00,396500
4-Dec-17,88.00,90.00,85.00,85.00,246400
30-Nov-17,89.00,91.00,88.00,88.00,404100
29-Nov-17,90.00,91.00,88.00,88.00,270800
28-Nov-17,89.00,90.00,85.00,90.00,999500
27-Nov-17,90.00,90.00,85.00,88.00,2480100
24-Nov-17,88.00,91.00,88.00,88.00,485800
23-Nov-17,95.00,95.00,87.00,88.00,1953400
22-Nov-17,88.00,99.00,87.00,92.00,7919500
21-Nov-17,88.00,89.00,86.00,88.00,183800
20-Nov-17,89.00,90.00,86.00,87.00,270900
17-Nov-17,87.00,89.00,85.00,89.00,217700
16-Nov-17,90.00,90.00,86.00,88.00,142900
15-Nov-17,89.00,91.00,88.00,89.00,160500
14-Nov-17,87.00,89.00,87.00,89.00,249100
13-Nov-17,89.00,89.00,87.00,87.00,462600
10-Nov-17,92.00,95.00,88.00,89.00,617800
9-Nov-17,90.00,93.00,86.00,93.00,526900
8-Nov-17,88.00,94.00,86.00,92.00,792600
7-Nov-17,90.00,90.00,86.00,88.00,574400
6-Nov-17,90.00,92.00,85.00,88.00,816000
3-Nov-17,93.00,93.00,90.00,92.00,163100
2-Nov-17,90.00,94.00,90.00,92.00,265900
1-Nov-17,91.00,92.00,88.00,92.00,114500
31-Oct-17,92.00,94.00,91.00,92.00,198900
30-Oct-17,95.00,96.00,92.00,92.00,1082000
27-Oct-17,92.00,95.00,90.00,93.00,3721500
26-Oct-17,93.00,94.00,92.00,92.00,66100
25-Oct-17,94.00,94.00,93.00,93.00,255100
24-Oct-17,93.00,94.00,92.00,93.00,1430900
23-Oct-17,94.00,94.00,91.00,93.00,295600
20-Oct-17,93.00,96.00,92.00,93.00,1671900
19-Oct-17,92.00,93.00,92.00,93.00,2552700
18-Oct-17,93.00,94.00,92.00,92.00,738000
17-Oct-17,93.00,94.00,93.00,93.00,196600
16-Oct-17,93.00,94.00,92.00,93.00,981700
13-Oct-17,93.00,94.00,92.00,93.00,846200
12-Oct-17,93.00,97.00,92.00,92.00,964700
11-Oct-17,93.00,94.00,92.00,92.00,404800
10-Oct-17,93.00,94.00,92.00,93.00,3193800
9-Oct-17,94.00,94.00,92.00,93.00,1204600
6-Oct-17,95.00,95.00,92.00,94.00,1147500
5-Oct-17,95.00,96.00,93.00,93.00,1705800
4-Oct-17,95.00,98.00,92.00,95.00,4458400
3-Oct-17,95.00,96.00,92.00,95.00,4558100
2-Oct-17,96.00,97.00,95.00,95.00,850400
29-Sep-17,98.00,99.00,95.00,96.00,2803500
28-Sep-17,102.00,102.00,94.00,97.00,5786500
27-Sep-17,101.00,108.00,97.00,99.00,8661400
26-Sep-17,106.00,108.00,100.00,100.00,21867600
25-Sep-17,100.00,131.00,100.00,114.00,78601900
22-Sep-17,99.00,101.00,98.00,100.00,2550900
20-Sep-17,98.00,98.00,97.00,98.00,59000
19-Sep-17,99.00,99.00,97.00,97.00,600
18-Sep-17,97.00,98.00,96.00,97.00,394400
15-Sep-17,95.00,95.00,95.00,95.00,4900
14-Sep-17,95.00,96.00,95.00,95.00,18200
13-Sep-17,98.00,98.00,97.00,98.00,10400
12-Sep-17,99.00,100.00,97.00,98.00,5100
11-Sep-17,100.00,100.00,93.00,96.00,338800
8-Sep-17,101.00,101.00,94.00,98.00,42000
7-Sep-17,96.00,99.00,96.00,99.00,58900
6-Sep-17,100.00,100.00,93.00,96.00,357700
5-Sep-17,100.00,100.00,98.00,100.00,1078500
4-Sep-17,98.00,100.00,98.00,100.00,1731200
31-Aug-17,100.00,100.00,98.00,98.00,3100500
30-Aug-17,102.00,102.00,100.00,101.00,300400
29-Aug-17,99.00,102.00,99.00,102.00,918300
28-Aug-17,100.00,100.00,99.00,99.00,693300
25-Aug-17,100.00,106.00,100.00,100.00,124900
24-Aug-17,101.00,102.00,99.00,100.00,2097400
23-Aug-17,101.00,101.00,99.00,100.00,362800
22-Aug-17,101.00,102.00,100.00,101.00,215900
21-Aug-17,101.00,102.00,101.00,102.00,178400
18-Aug-17,100.00,102.00,100.00,101.00,293800
16-Aug-17,100.00,100.00,100.00,100.00,1476900
15-Aug-17,101.00,101.00,100.00,100.00,60700
14-Aug-17,100.00,103.00,100.00,102.00,537500
11-Aug-17,102.00,102.00,100.00,100.00,14800
10-Aug-17,103.00,103.00,100.00,102.00,583500
9-Aug-17,104.00,107.00,103.00,103.00,146800
8-Aug-17,102.00,104.00,101.00,102.00,41300
7-Aug-17,100.00,104.00,96.00,101.00,1127800
4-Aug-17,100.00,102.00,100.00,100.00,268800
3-Aug-17,102.00,103.00,100.00,102.00,503700
2-Aug-17,102.00,102.00,100.00,101.00,685200
1-Aug-17,100.00,103.00,99.00,102.00,1203500
31-Jul-17,99.00,101.00,99.00,101.00,1070800
28-Jul-17,99.00,100.00,99.00,100.00,107400
27-Jul-17,100.00,100.00,99.00,100.00,38100
