Date,Open,High,Low,Close,Volume
29-Dec-17,280.00,280.00,274.00,280.00,220800
28-Dec-17,280.00,280.00,270.00,280.00,970100
27-Dec-17,276.00,280.00,272.00,280.00,18600
22-Dec-17,272.00,280.00,272.00,276.00,213400
21-Dec-17,278.00,282.00,274.00,280.00,157600
20-Dec-17,282.00,282.00,274.00,280.00,219700
19-Dec-17,274.00,282.00,270.00,282.00,55200
18-Dec-17,280.00,280.00,278.00,280.00,2098600
15-Dec-17,280.00,280.00,280.00,280.00,1003300
14-Dec-17,282.00,282.00,280.00,280.00,1787200
13-Dec-17,284.00,284.00,284.00,284.00,575900
12-Dec-17,-,-,-,288.00,0
11-Dec-17,288.00,288.00,288.00,288.00,501000
8-Dec-17,292.00,292.00,292.00,292.00,200
7-Dec-17,282.00,288.00,282.00,288.00,148400
6-Dec-17,290.00,290.00,284.00,284.00,3733300
5-Dec-17,296.00,296.00,284.00,284.00,1945500
4-Dec-17,298.00,298.00,290.00,290.00,242400
30-Nov-17,290.00,298.00,290.00,292.00,119400
29-Nov-17,292.00,294.00,290.00,290.00,212500
28-Nov-17,292.00,296.00,292.00,294.00,123000
27-Nov-17,302.00,302.00,294.00,294.00,65600
24-Nov-17,292.00,292.00,292.00,292.00,560800
23-Nov-17,298.00,298.00,294.00,296.00,426100
22-Nov-17,296.00,296.00,292.00,294.00,2691400
21-Nov-17,296.00,296.00,292.00,292.00,1386300
20-Nov-17,-,-,-,296.00,0
17-Nov-17,312.00,312.00,296.00,296.00,122700
16-Nov-17,298.00,298.00,296.00,296.00,1461000
15-Nov-17,300.00,300.00,296.00,296.00,30000
14-Nov-17,298.00,308.00,298.00,308.00,2500
13-Nov-17,300.00,300.00,300.00,300.00,2000
10-Nov-17,294.00,300.00,294.00,300.00,78300
9-Nov-17,300.00,300.00,294.00,294.00,2006100
8-Nov-17,302.00,302.00,300.00,300.00,202000
7-Nov-17,-,-,-,302.00,0
6-Nov-17,298.00,302.00,298.00,302.00,72500
3-Nov-17,298.00,302.00,298.00,302.00,6400
2-Nov-17,294.00,314.00,294.00,308.00,33000
1-Nov-17,294.00,310.00,294.00,310.00,8500
31-Oct-17,294.00,310.00,294.00,310.00,102400
30-Oct-17,304.00,304.00,304.00,304.00,500
27-Oct-17,300.00,300.00,300.00,300.00,2500
26-Oct-17,300.00,300.00,300.00,300.00,200000
25-Oct-17,300.00,300.00,300.00,300.00,1000
24-Oct-17,300.00,300.00,294.00,298.00,2795500
23-Oct-17,298.00,298.00,298.00,298.00,6000
20-Oct-17,294.00,300.00,294.00,298.00,494100
19-Oct-17,300.00,300.00,298.00,300.00,107800
18-Oct-17,300.00,302.00,300.00,300.00,4002400
17-Oct-17,300.00,302.00,294.00,300.00,1100000
16-Oct-17,300.00,302.00,300.00,302.00,1000200
13-Oct-17,306.00,306.00,300.00,300.00,1436900
