Date,Open,High,Low,Close,Volume
29-Dec-17,72.00,73.00,71.00,73.00,18900
28-Dec-17,74.00,76.00,72.00,72.00,37300
27-Dec-17,73.00,74.00,73.00,74.00,19300
22-Dec-17,73.00,74.00,72.00,73.00,35300
21-Dec-17,73.00,74.00,71.00,73.00,54800
20-Dec-17,75.00,78.00,75.00,76.00,51500
19-Dec-17,75.00,75.00,71.00,73.00,106000
18-Dec-17,74.00,74.00,74.00,74.00,64300
15-Dec-17,73.00,77.00,73.00,74.00,47800
14-Dec-17,74.00,76.00,71.00,73.00,206000
13-Dec-17,74.00,75.00,73.00,75.00,40300
12-Dec-17,74.00,74.00,72.00,73.00,40800
11-Dec-17,76.00,78.00,74.00,75.00,188400
8-Dec-17,77.00,78.00,70.00,77.00,680500
7-Dec-17,78.00,90.00,78.00,79.00,91400
6-Dec-17,77.00,84.00,70.00,78.00,350500
5-Dec-17,81.00,81.00,77.00,77.00,2600
4-Dec-17,80.00,83.00,80.00,81.00,36300
30-Nov-17,80.00,84.00,77.00,79.00,55500
29-Nov-17,70.00,81.00,70.00,81.00,21600
28-Nov-17,78.00,88.00,78.00,80.00,81100
27-Nov-17,78.00,80.00,73.00,79.00,36900
24-Nov-17,79.00,81.00,76.00,78.00,56100
23-Nov-17,80.00,80.00,76.00,78.00,26300
22-Nov-17,80.00,80.00,75.00,80.00,142800
21-Nov-17,78.00,80.00,76.00,80.00,82900
20-Nov-17,78.00,78.00,75.00,78.00,30100
17-Nov-17,70.00,79.00,70.00,77.00,52600
16-Nov-17,70.00,79.00,70.00,78.00,32200
15-Nov-17,70.00,82.00,70.00,79.00,67100
14-Nov-17,77.00,81.00,76.00,79.00,78000
13-Nov-17,80.00,83.00,77.00,78.00,35500
10-Nov-17,80.00,83.00,79.00,79.00,98900
9-Nov-17,72.00,82.00,72.00,79.00,107000
8-Nov-17,80.00,83.00,78.00,78.00,126100
7-Nov-17,82.00,84.00,81.00,82.00,50600
6-Nov-17,80.00,90.00,79.00,84.00,368500
3-Nov-17,90.00,91.00,76.00,79.00,394600
2-Nov-17,74.00,94.00,74.00,90.00,1033500
