Date,Open,High,Low,Close,Volume
29-Dec-17,246.00,248.00,240.00,240.00,872300
28-Dec-17,252.00,252.00,244.00,244.00,1083200
27-Dec-17,250.00,258.00,250.00,250.00,644400
22-Dec-17,252.00,280.00,246.00,252.00,2655100
21-Dec-17,250.00,260.00,248.00,252.00,5315500
20-Dec-17,250.00,254.00,246.00,252.00,2393800
19-Dec-17,250.00,252.00,248.00,250.00,768000
18-Dec-17,252.00,252.00,244.00,250.00,373600
15-Dec-17,242.00,256.00,236.00,252.00,421000
14-Dec-17,246.00,246.00,238.00,242.00,189100
13-Dec-17,230.00,248.00,230.00,246.00,218800
12-Dec-17,220.00,250.00,202.00,240.00,631000
11-Dec-17,252.00,268.00,230.00,230.00,814500
8-Dec-17,286.00,296.00,278.00,290.00,1284300
7-Dec-17,292.00,300.00,284.00,286.00,775400
6-Dec-17,296.00,300.00,284.00,292.00,1352400
5-Dec-17,292.00,310.00,292.00,298.00,1612300
4-Dec-17,294.00,298.00,284.00,286.00,1235500
30-Nov-17,298.00,298.00,284.00,286.00,356200
29-Nov-17,294.00,302.00,292.00,292.00,241500
28-Nov-17,310.00,312.00,288.00,294.00,1316000
27-Nov-17,288.00,346.00,288.00,310.00,3988000
24-Nov-17,294.00,294.00,282.00,288.00,453500
23-Nov-17,304.00,310.00,288.00,294.00,1190500
22-Nov-17,300.00,330.00,296.00,304.00,2988200
20-Nov-17,350.00,360.00,288.00,296.00,4811000
17-Nov-17,376.00,380.00,346.00,350.00,1440500
16-Nov-17,364.00,416.00,362.00,376.00,5635200
15-Nov-17,480.00,480.00,364.00,366.00,6916000
14-Nov-17,645.00,695.00,484.00,484.00,3594800
13-Nov-17,690.00,730.00,645.00,645.00,768200
10-Nov-17,700.00,700.00,670.00,680.00,399200
9-Nov-17,720.00,785.00,675.00,700.00,696500
8-Nov-17,800.00,815.00,705.00,720.00,588400
7-Nov-17,840.00,855.00,765.00,790.00,260700
6-Nov-17,725.00,890.00,695.00,830.00,1078500
3-Nov-17,770.00,770.00,720.00,725.00,258200
2-Nov-17,830.00,830.00,770.00,770.00,447300
1-Nov-17,840.00,855.00,810.00,810.00,187400
31-Oct-17,835.00,910.00,810.00,835.00,347500
30-Oct-17,870.00,870.00,820.00,835.00,516000
27-Oct-17,960.00,960.00,875.00,890.00,320200
26-Oct-17,925.00,980.00,905.00,925.00,487500
25-Oct-17,890.00,1000.00,850.00,895.00,404000
24-Oct-17,890.00,940.00,830.00,870.00,576000
23-Oct-17,1040.00,1040.00,940.00,940.00,705500
20-Oct-17,1060.00,1060.00,995.00,1040.00,377000
19-Oct-17,1075.00,1135.00,1020.00,1035.00,395300
18-Oct-17,1100.00,1185.00,1065.00,1075.00,733700
17-Oct-17,1095.00,1145.00,1055.00,1100.00,378800
16-Oct-17,1200.00,1280.00,1070.00,1090.00,1356200
13-Oct-17,1025.00,1265.00,990.00,1200.00,1493300
12-Oct-17,1115.00,1120.00,980.00,1020.00,594700
11-Oct-17,1350.00,1445.00,1050.00,1115.00,2056100
10-Oct-17,1040.00,1260.00,1040.00,1260.00,2000600
9-Oct-17,810.00,1010.00,790.00,1010.00,1401500
6-Oct-17,805.00,830.00,760.00,810.00,374600
5-Oct-17,790.00,850.00,770.00,795.00,436200
4-Oct-17,940.00,965.00,765.00,765.00,1020500
3-Oct-17,715.00,890.00,635.00,890.00,1147000
2-Oct-17,830.00,995.00,715.00,715.00,387700
29-Sep-17,980.00,980.00,770.00,830.00,1251000
28-Sep-17,1310.00,1370.00,975.00,975.00,888400
