Date,Open,High,Low,Close,Volume
6-Nov-17,-,-,-,7100.00,0
2-Jun-17,-,-,-,7100.00,0
31-May-17,-,-,-,7100.00,0
30-May-17,-,-,-,7100.00,0
29-May-17,-,-,-,7100.00,0
18-May-17,-,-,-,7100.00,0
5-May-17,-,-,-,7100.00,0
31-Mar-17,-,-,-,7100.00,0
30-Mar-17,-,-,-,7100.00,0
29-Mar-17,-,-,-,7100.00,0
27-Mar-17,-,-,-,7100.00,0
20-Mar-17,-,-,-,7100.00,0
17-Mar-17,-,-,-,7100.00,0
16-Mar-17,-,-,-,7100.00,0
25-Jan-17,-,-,-,7100.00,0
24-Jan-17,-,-,-,7100.00,0
20-Jan-17,-,-,-,7100.00,0
16-Jan-17,-,-,-,7100.00,0
12-Jan-17,-,-,-,7100.00,0
9-Jan-17,-,-,-,7100.00,0
5-Jan-17,-,-,-,7100.00,0
4-Jan-17,-,-,-,7100.00,0
3-Jan-17,-,-,-,7100.00,0
29-Dec-16,-,-,-,7100.00,0
27-Dec-16,-,-,-,7100.00,0
20-Dec-16,-,-,-,7100.00,0
19-Dec-16,-,-,-,7100.00,0
13-Dec-16,-,-,-,7100.00,0
7-Dec-16,-,-,-,7100.00,0
6-Dec-16,-,-,-,7100.00,0
5-Dec-16,-,-,-,7100.00,0
2-Dec-16,-,-,-,7100.00,0
29-Nov-16,-,-,-,7100.00,0
28-Nov-16,-,-,-,7100.00,0
25-Nov-16,-,-,-,7100.00,0
24-Nov-16,-,-,-,7100.00,0
23-Nov-16,-,-,-,7100.00,0
22-Nov-16,-,-,-,7100.00,0
21-Nov-16,-,-,-,7100.00,0
18-Nov-16,-,-,-,7100.00,0
17-Nov-16,-,-,-,7100.00,0
16-Nov-16,-,-,-,7100.00,0
14-Nov-16,-,-,-,7100.00,0
11-Nov-16,-,-,-,7100.00,0
10-Nov-16,-,-,-,7100.00,0
9-Nov-16,-,-,-,7100.00,0
4-Nov-16,-,-,-,7100.00,0
3-Nov-16,-,-,-,7100.00,0
2-Nov-16,-,-,-,7100.00,0
1-Nov-16,-,-,-,7100.00,0
31-Oct-16,-,-,-,7100.00,0
28-Oct-16,-,-,-,7100.00,0
27-Oct-16,-,-,-,7100.00,0
26-Oct-16,-,-,-,7100.00,0
25-Oct-16,-,-,-,7100.00,0
24-Oct-16,-,-,-,7100.00,0
21-Oct-16,-,-,-,7100.00,0
20-Oct-16,-,-,-,7100.00,0
19-Oct-16,-,-,-,7100.00,0
18-Oct-16,-,-,-,7100.00,0
17-Oct-16,-,-,-,7100.00,0
14-Oct-16,-,-,-,7100.00,0
13-Oct-16,-,-,-,7100.00,0
12-Oct-16,-,-,-,7100.00,0
11-Oct-16,-,-,-,7100.00,0
10-Oct-16,-,-,-,7100.00,0
7-Oct-16,-,-,-,7100.00,0
6-Oct-16,-,-,-,7100.00,0
5-Oct-16,-,-,-,7100.00,0
4-Oct-16,-,-,-,7100.00,0
3-Oct-16,-,-,-,7100.00,0
30-Sep-16,-,-,-,7100.00,0
28-Sep-16,-,-,-,7100.00,0
27-Sep-16,-,-,-,7100.00,0
26-Sep-16,-,-,-,7100.00,0
20-Sep-16,-,-,-,7100.00,0
19-Sep-16,-,-,-,7100.00,0
16-Sep-16,-,-,-,7100.00,0
15-Sep-16,-,-,-,7100.00,0
14-Sep-16,-,-,-,7100.00,0
13-Sep-16,-,-,-,7100.00,0
