Date,Open,High,Low,Close,Volume
29-Dec-17,-,-,-,480.00,0
28-Dec-17,-,-,-,480.00,0
27-Dec-17,464.00,480.00,464.00,480.00,200
22-Dec-17,474.00,474.00,474.00,474.00,100
21-Dec-17,-,-,-,480.00,0
20-Dec-17,-,-,-,480.00,0
19-Dec-17,464.00,480.00,464.00,480.00,400
18-Dec-17,-,-,-,478.00,0
15-Dec-17,-,-,-,478.00,0
14-Dec-17,478.00,478.00,478.00,478.00,100
13-Dec-17,458.00,458.00,458.00,458.00,2200
12-Dec-17,460.00,460.00,440.00,458.00,1300
11-Dec-17,-,-,-,500.00,0
8-Dec-17,500.00,500.00,500.00,500.00,100
7-Dec-17,-,-,-,480.00,0
6-Dec-17,474.00,480.00,440.00,480.00,1200
5-Dec-17,440.00,474.00,440.00,474.00,300
4-Dec-17,464.00,490.00,440.00,484.00,6000
30-Nov-17,440.00,490.00,440.00,482.00,900
29-Nov-17,486.00,486.00,460.00,460.00,14400
28-Nov-17,500.00,525.00,440.00,470.00,2700
27-Nov-17,484.00,484.00,484.00,484.00,100
24-Nov-17,440.00,454.00,440.00,454.00,10000
23-Nov-17,440.00,440.00,440.00,440.00,10200
22-Nov-17,450.00,450.00,450.00,450.00,100
21-Nov-17,440.00,440.00,440.00,440.00,800
20-Nov-17,440.00,440.00,440.00,440.00,10000
17-Nov-17,438.00,444.00,438.00,444.00,200
16-Nov-17,-,-,-,438.00,0
15-Nov-17,-,-,-,438.00,0
14-Nov-17,-,-,-,438.00,0
13-Nov-17,438.00,438.00,438.00,438.00,1000
10-Nov-17,440.00,440.00,438.00,438.00,4400
9-Nov-17,476.00,476.00,462.00,462.00,300
8-Nov-17,462.00,462.00,462.00,462.00,100
7-Nov-17,436.00,442.00,430.00,442.00,43600
6-Nov-17,442.00,442.00,436.00,436.00,29700
3-Nov-17,450.00,474.00,450.00,474.00,46400
2-Nov-17,505.00,505.00,448.00,498.00,15100
1-Nov-17,-,-,-,540.00,0
31-Oct-17,-,-,-,540.00,0
30-Oct-17,-,-,-,540.00,0
27-Oct-17,540.00,540.00,540.00,540.00,100
26-Oct-17,525.00,530.00,525.00,530.00,1000
25-Oct-17,500.00,525.00,500.00,525.00,400
24-Oct-17,-,-,-,505.00,0
23-Oct-17,498.00,505.00,498.00,505.00,200
20-Oct-17,525.00,525.00,505.00,505.00,400
19-Oct-17,505.00,505.00,500.00,500.00,8500
18-Oct-17,-,-,-,530.00,0
17-Oct-17,560.00,560.00,530.00,530.00,900
16-Oct-17,520.00,530.00,520.00,530.00,2100
13-Oct-17,530.00,530.00,505.00,505.00,6100
12-Oct-17,525.00,525.00,505.00,505.00,10000
11-Oct-17,-,-,-,535.00,0
10-Oct-17,-,-,-,535.00,0
9-Oct-17,-,-,-,535.00,0
6-Oct-17,-,-,-,535.00,0
5-Oct-17,550.00,550.00,535.00,535.00,200
4-Oct-17,525.00,535.00,520.00,520.00,2500
3-Oct-17,525.00,525.00,525.00,525.00,2000
2-Oct-17,-,-,-,560.00,0
29-Sep-17,520.00,560.00,520.00,560.00,4800
28-Sep-17,-,-,-,550.00,0
27-Sep-17,550.00,550.00,545.00,550.00,1100
26-Sep-17,520.00,525.00,520.00,525.00,2600
25-Sep-17,525.00,545.00,525.00,545.00,2200
22-Sep-17,520.00,555.00,520.00,540.00,5200
20-Sep-17,540.00,540.00,540.00,540.00,100
19-Sep-17,525.00,535.00,520.00,520.00,3100
18-Sep-17,555.00,555.00,535.00,535.00,1100
15-Sep-17,540.00,540.00,540.00,540.00,1100
14-Sep-17,555.00,555.00,525.00,525.00,200
13-Sep-17,560.00,560.00,515.00,515.00,18000
12-Sep-17,570.00,570.00,525.00,550.00,8000
11-Sep-17,530.00,530.00,530.00,530.00,900
8-Sep-17,570.00,570.00,530.00,530.00,9600
7-Sep-17,570.00,575.00,570.00,570.00,1100
6-Sep-17,580.00,580.00,535.00,535.00,8600
5-Sep-17,585.00,585.00,540.00,555.00,11600
4-Sep-17,585.00,585.00,585.00,585.00,100
31-Aug-17,590.00,590.00,550.00,570.00,18600
30-Aug-17,575.00,575.00,540.00,540.00,12100
29-Aug-17,550.00,595.00,540.00,580.00,18500
28-Aug-17,590.00,590.00,590.00,590.00,100
25-Aug-17,-,-,-,575.00,0
24-Aug-17,555.00,575.00,545.00,575.00,15100
23-Aug-17,585.00,610.00,555.00,575.00,24100
22-Aug-17,555.00,560.00,550.00,560.00,1900
21-Aug-17,560.00,575.00,555.00,560.00,5500
18-Aug-17,575.00,575.00,550.00,550.00,5200
16-Aug-17,620.00,630.00,555.00,575.00,62900
15-Aug-17,640.00,640.00,620.00,620.00,1200
14-Aug-17,760.00,760.00,560.00,640.00,26400
11-Aug-17,750.00,750.00,550.00,710.00,10200
10-Aug-17,700.00,700.00,700.00,700.00,100
