Date,Open,High,Low,Close,Volume
29-Dec-17,1175.00,1190.00,1160.00,1185.00,6445200
28-Dec-17,1180.00,1190.00,1160.00,1165.00,4669300
27-Dec-17,1180.00,1190.00,1170.00,1175.00,3271500
22-Dec-17,1180.00,1185.00,1175.00,1175.00,1096700
21-Dec-17,1165.00,1200.00,1165.00,1180.00,6317500
20-Dec-17,1185.00,1205.00,1165.00,1165.00,8483400
19-Dec-17,1180.00,1190.00,1175.00,1185.00,5764300
18-Dec-17,1170.00,1185.00,1160.00,1175.00,6326700
15-Dec-17,1195.00,1205.00,1170.00,1170.00,14145000
14-Dec-17,1195.00,1205.00,1190.00,1195.00,8435600
13-Dec-17,1195.00,1200.00,1180.00,1195.00,6241200
12-Dec-17,1180.00,1195.00,1165.00,1195.00,5496000
11-Dec-17,1190.00,1190.00,1170.00,1175.00,6531400
8-Dec-17,1175.00,1190.00,1160.00,1190.00,21611100
7-Dec-17,1200.00,1200.00,1150.00,1160.00,12663900
6-Dec-17,1180.00,1180.00,1155.00,1165.00,19861600
5-Dec-17,1200.00,1200.00,1175.00,1180.00,8196800
4-Dec-17,1220.00,1220.00,1185.00,1200.00,10697700
30-Nov-17,1200.00,1225.00,1180.00,1225.00,14712500
29-Nov-17,1200.00,1210.00,1185.00,1200.00,5535800
28-Nov-17,1200.00,1210.00,1185.00,1205.00,7578300
27-Nov-17,1200.00,1210.00,1185.00,1210.00,4233600
24-Nov-17,1205.00,1230.00,1195.00,1200.00,12042500
23-Nov-17,1195.00,1210.00,1190.00,1200.00,11988600
22-Nov-17,1165.00,1205.00,1165.00,1200.00,8620900
21-Nov-17,1190.00,1190.00,1155.00,1165.00,8260000
20-Nov-17,1195.00,1205.00,1185.00,1190.00,7604800
17-Nov-17,1180.00,1195.00,1175.00,1195.00,13627100
16-Nov-17,1160.00,1195.00,1155.00,1170.00,5413100
15-Nov-17,1195.00,1195.00,1150.00,1160.00,18571300
14-Nov-17,1210.00,1210.00,1185.00,1195.00,11402100
13-Nov-17,1215.00,1215.00,1195.00,1210.00,7147200
10-Nov-17,1210.00,1220.00,1195.00,1210.00,14778700
9-Nov-17,1230.00,1230.00,1200.00,1210.00,9097800
8-Nov-17,1225.00,1235.00,1215.00,1220.00,7002800
7-Nov-17,1225.00,1235.00,1215.00,1225.00,8236500
6-Nov-17,1220.00,1230.00,1215.00,1225.00,17042600
3-Nov-17,1210.00,1225.00,1205.00,1220.00,10911800
2-Nov-17,1225.00,1230.00,1205.00,1210.00,15997400
1-Nov-17,1210.00,1220.00,1190.00,1215.00,19160500
31-Oct-17,1200.00,1220.00,1200.00,1210.00,27651900
30-Oct-17,1195.00,1205.00,1175.00,1200.00,15904500
27-Oct-17,1245.00,1245.00,1175.00,1195.00,13160900
26-Oct-17,1215.00,1230.00,1215.00,1220.00,32096500
25-Oct-17,1215.00,1220.00,1200.00,1215.00,23758400
24-Oct-17,1200.00,1225.00,1195.00,1215.00,17476300
23-Oct-17,1200.00,1210.00,1190.00,1205.00,22597200
20-Oct-17,1175.00,1215.00,1165.00,1215.00,15043900
19-Oct-17,1180.00,1180.00,1155.00,1175.00,16788300
18-Oct-17,1175.00,1180.00,1160.00,1175.00,14758100
17-Oct-17,1170.00,1170.00,1155.00,1170.00,11896900
16-Oct-17,1180.00,1180.00,1155.00,1165.00,10042100
13-Oct-17,1170.00,1170.00,1160.00,1160.00,6398900
12-Oct-17,1170.00,1175.00,1160.00,1170.00,10003200
11-Oct-17,1200.00,1200.00,1165.00,1170.00,12155600
10-Oct-17,1175.00,1195.00,1175.00,1190.00,17391200
9-Oct-17,1170.00,1175.00,1150.00,1175.00,2266800
6-Oct-17,1185.00,1190.00,1160.00,1165.00,13003400
5-Oct-17,1200.00,1200.00,1180.00,1185.00,12430100
4-Oct-17,1195.00,1215.00,1190.00,1200.00,37155500
3-Oct-17,1175.00,1200.00,1165.00,1190.00,12194000
2-Oct-17,1195.00,1210.00,1175.00,1185.00,6860000
29-Sep-17,1200.00,1210.00,1175.00,1195.00,41865800
28-Sep-17,1165.00,1200.00,1165.00,1195.00,23839800
27-Sep-17,1155.00,1165.00,1130.00,1160.00,5196400
26-Sep-17,1155.00,1160.00,1145.00,1150.00,10929400
25-Sep-17,1165.00,1175.00,1155.00,1155.00,8424300
22-Sep-17,1165.00,1165.00,1135.00,1155.00,21611700
20-Sep-17,1170.00,1190.00,1145.00,1165.00,17365000
19-Sep-17,1185.00,1200.00,1185.00,1185.00,23119300
18-Sep-17,1180.00,1190.00,1170.00,1185.00,13708700
15-Sep-17,1195.00,1210.00,1180.00,1180.00,20865600
14-Sep-17,1160.00,1205.00,1155.00,1190.00,30995400
13-Sep-17,1160.00,1175.00,1150.00,1150.00,10510300
12-Sep-17,1165.00,1175.00,1140.00,1155.00,6429600
11-Sep-17,1130.00,1170.00,1130.00,1160.00,8839300
8-Sep-17,1135.00,1155.00,1125.00,1130.00,8906500
7-Sep-17,1120.00,1155.00,1115.00,1155.00,15668500
6-Sep-17,1140.00,1145.00,1110.00,1125.00,15779900
5-Sep-17,1170.00,1185.00,1130.00,1140.00,14339700
4-Sep-17,1170.00,1170.00,1160.00,1170.00,4887800
31-Aug-17,1180.00,1190.00,1160.00,1170.00,11742900
30-Aug-17,1175.00,1200.00,1175.00,1185.00,7277700
29-Aug-17,1180.00,1185.00,1165.00,1170.00,22530700
28-Aug-17,1215.00,1235.00,1190.00,1190.00,10603500
25-Aug-17,1190.00,1220.00,1175.00,1215.00,10538000
24-Aug-17,1205.00,1215.00,1175.00,1190.00,9949200
23-Aug-17,1250.00,1260.00,1200.00,1210.00,43404300
22-Aug-17,1230.00,1245.00,1220.00,1230.00,25281000
21-Aug-17,1215.00,1245.00,1200.00,1235.00,33737400
18-Aug-17,1215.00,1215.00,1175.00,1215.00,18787000
16-Aug-17,1165.00,1225.00,1165.00,1220.00,38920900
15-Aug-17,1175.00,1185.00,1160.00,1180.00,19182000
14-Aug-17,1120.00,1180.00,1120.00,1165.00,22458200
11-Aug-17,1160.00,1160.00,1120.00,1120.00,22113800
10-Aug-17,1190.00,1210.00,1155.00,1160.00,27449400
9-Aug-17,1100.00,1215.00,1095.00,1190.00,138858800
8-Aug-17,1055.00,1100.00,1050.00,1100.00,36169900
7-Aug-17,1045.00,1075.00,1045.00,1055.00,8060800
4-Aug-17,1070.00,1085.00,1060.00,1065.00,21103600
3-Aug-17,1040.00,1070.00,1030.00,1070.00,31600200
2-Aug-17,1030.00,1040.00,1020.00,1040.00,21336800
1-Aug-17,1045.00,1045.00,1015.00,1025.00,17420700
31-Jul-17,1030.00,1045.00,1015.00,1035.00,53154500
28-Jul-17,1025.00,1025.00,990.00,1025.00,71241300
27-Jul-17,1080.00,1085.00,1010.00,1020.00,67531400
26-Jul-17,1080.00,1105.00,1070.00,1075.00,33944700
25-Jul-17,1115.00,1120.00,1075.00,1080.00,36661500
24-Jul-17,1125.00,1130.00,1105.00,1115.00,14179800
21-Jul-17,1145.00,1145.00,1105.00,1110.00,19991600
20-Jul-17,1170.00,1200.00,1125.00,1135.00,42330900
19-Jul-17,1210.00,1210.00,1170.00,1190.00,14200600
18-Jul-17,1250.00,1250.00,1180.00,1180.00,20671100
17-Jul-17,1250.00,1250.00,1225.00,1235.00,6564800
14-Jul-17,1210.00,1235.00,1210.00,1230.00,8585800
13-Jul-17,1230.00,1240.00,1215.00,1225.00,6879900
12-Jul-17,1200.00,1240.00,1200.00,1235.00,24713500
11-Jul-17,1185.00,1230.00,1185.00,1200.00,30764800
10-Jul-17,1185.00,1190.00,1180.00,1185.00,1893800
7-Jul-17,1200.00,1215.00,1170.00,1185.00,21867400
6-Jul-17,1195.00,1210.00,1195.00,1200.00,16603000
5-Jul-17,1170.00,1205.00,1170.00,1195.00,44278900
4-Jul-17,1195.00,1195.00,1170.00,1180.00,22238400
3-Jul-17,1150.00,1195.00,1150.00,1180.00,22402600
22-Jun-17,1180.00,1180.00,1150.00,1170.00,9071600
21-Jun-17,1165.00,1170.00,1150.00,1165.00,12910700
20-Jun-17,1150.00,1170.00,1145.00,1165.00,17444900
19-Jun-17,1120.00,1155.00,1115.00,1155.00,18406800
16-Jun-17,1160.00,1160.00,1110.00,1115.00,18241400
15-Jun-17,1160.00,1170.00,1150.00,1150.00,3652000
14-Jun-17,1120.00,1170.00,1110.00,1160.00,49687000
13-Jun-17,1110.00,1130.00,1100.00,1110.00,6277200
12-Jun-17,1090.00,1115.00,1090.00,1110.00,3931600
9-Jun-17,1120.00,1120.00,1085.00,1090.00,22142000
8-Jun-17,1120.00,1130.00,1105.00,1110.00,15672300
7-Jun-17,1150.00,1150.00,1120.00,1120.00,26186800
6-Jun-17,1175.00,1175.00,1125.00,1125.00,25097400
5-Jun-17,1170.00,1185.00,1150.00,1170.00,37515700
2-Jun-17,1100.00,1170.00,1100.00,1160.00,66096900
31-May-17,1105.00,1120.00,1085.00,1120.00,18401400
30-May-17,1090.00,1110.00,1085.00,1090.00,18646000
29-May-17,1130.00,1130.00,1080.00,1090.00,32628600
26-May-17,1130.00,1140.00,1115.00,1120.00,19198900
24-May-17,1135.00,1145.00,1115.00,1120.00,20214200
23-May-17,1175.00,1195.00,1130.00,1140.00,39203800
22-May-17,1200.00,1215.00,1150.00,1170.00,40416700
19-May-17,1120.00,1195.00,1115.00,1185.00,30001000
18-May-17,1105.00,1135.00,1100.00,1115.00,16133600
17-May-17,1165.00,1165.00,1125.00,1125.00,16925100
16-May-17,1175.00,1175.00,1145.00,1160.00,16571900
15-May-17,1195.00,1195.00,1165.00,1170.00,7963600
12-May-17,1190.00,1195.00,1165.00,1175.00,20428600
10-May-17,1185.00,1190.00,1150.00,1165.00,14902000
9-May-17,1175.00,1210.00,1175.00,1175.00,45367600
8-May-17,1225.00,1240.00,1170.00,1175.00,18172500
5-May-17,1235.00,1240.00,1200.00,1200.00,8568500
4-May-17,1175.00,1235.00,1170.00,1230.00,24701900
3-May-17,1215.00,1235.00,1175.00,1180.00,19147400
2-May-17,1270.00,1280.00,1215.00,1215.00,13818900
28-Apr-17,1285.00,1290.00,1220.00,1280.00,15676100
27-Apr-17,1285.00,1300.00,1280.00,1285.00,11604400
26-Apr-17,1305.00,1310.00,1265.00,1285.00,27140700
25-Apr-17,1320.00,1320.00,1295.00,1300.00,15040400
