Date,Open,High,Low,Close,Volume
12-Jan-17,685.00,695.00,675.00,690.00,5130100
11-Jan-17,700.00,700.00,685.00,685.00,2098300
10-Jan-17,695.00,705.00,690.00,700.00,3295000
9-Jan-17,690.00,700.00,685.00,695.00,3762200
6-Jan-17,690.00,690.00,680.00,690.00,519600
5-Jan-17,690.00,700.00,680.00,690.00,521300
4-Jan-17,695.00,695.00,680.00,690.00,1981600
3-Jan-17,700.00,700.00,685.00,685.00,561400
30-Dec-16,700.00,705.00,690.00,700.00,3984100
29-Dec-16,700.00,700.00,685.00,700.00,3310300
28-Dec-16,685.00,705.00,685.00,700.00,5993300
27-Dec-16,670.00,690.00,645.00,680.00,5944800
23-Dec-16,660.00,670.00,645.00,660.00,14827300
22-Dec-16,670.00,680.00,645.00,665.00,6853500
21-Dec-16,665.00,680.00,660.00,670.00,4198700
20-Dec-16,680.00,680.00,665.00,665.00,2121500
19-Dec-16,685.00,685.00,665.00,675.00,4018200
16-Dec-16,685.00,685.00,670.00,680.00,3020200
15-Dec-16,680.00,700.00,675.00,675.00,6427700
14-Dec-16,695.00,700.00,680.00,680.00,2482900
13-Dec-16,715.00,720.00,695.00,695.00,2978700
9-Dec-16,700.00,725.00,695.00,715.00,24134500
8-Dec-16,685.00,725.00,675.00,695.00,21851700
7-Dec-16,685.00,690.00,675.00,680.00,3235400
6-Dec-16,680.00,690.00,680.00,680.00,2110300
5-Dec-16,685.00,705.00,680.00,680.00,11473100
2-Dec-16,710.00,710.00,685.00,685.00,8252400
1-Dec-16,710.00,725.00,695.00,710.00,6275800
30-Nov-16,710.00,735.00,705.00,715.00,7162600
29-Nov-16,685.00,715.00,685.00,710.00,8827200
28-Nov-16,690.00,700.00,675.00,685.00,1934200
25-Nov-16,695.00,705.00,680.00,690.00,2917800
24-Nov-16,710.00,730.00,690.00,690.00,5958400
23-Nov-16,720.00,725.00,710.00,710.00,3743900
22-Nov-16,710.00,720.00,705.00,720.00,3913600
21-Nov-16,720.00,725.00,700.00,710.00,4133700
18-Nov-16,720.00,720.00,710.00,715.00,1812100
17-Nov-16,720.00,730.00,710.00,720.00,6347600
16-Nov-16,720.00,730.00,710.00,720.00,15378700
15-Nov-16,735.00,750.00,690.00,715.00,17764100
14-Nov-16,755.00,760.00,715.00,735.00,16795100
11-Nov-16,800.00,800.00,750.00,755.00,18645100
10-Nov-16,765.00,800.00,760.00,795.00,45995200
9-Nov-16,775.00,775.00,735.00,755.00,28068500
8-Nov-16,775.00,780.00,760.00,770.00,57024300
7-Nov-16,735.00,765.00,725.00,765.00,19343500
4-Nov-16,730.00,740.00,720.00,730.00,6849900
3-Nov-16,730.00,745.00,720.00,730.00,17142700
2-Nov-16,755.00,755.00,725.00,730.00,15853900
1-Nov-16,760.00,770.00,750.00,755.00,11625400
31-Oct-16,765.00,770.00,745.00,760.00,21826900
28-Oct-16,775.00,780.00,765.00,770.00,18964200
27-Oct-16,765.00,780.00,755.00,775.00,29544400
26-Oct-16,750.00,775.00,745.00,765.00,33364900
25-Oct-16,790.00,800.00,770.00,775.00,39121900
24-Oct-16,740.00,815.00,720.00,790.00,164858500
21-Oct-16,675.00,720.00,675.00,700.00,47924300
20-Oct-16,680.00,685.00,660.00,670.00,9532700
19-Oct-16,665.00,690.00,665.00,675.00,28483700
18-Oct-16,650.00,670.00,650.00,665.00,14382800
17-Oct-16,650.00,655.00,645.00,655.00,4322400
14-Oct-16,640.00,650.00,630.00,650.00,5803500
13-Oct-16,655.00,660.00,635.00,635.00,6600800
12-Oct-16,645.00,660.00,640.00,650.00,5565400
11-Oct-16,640.00,650.00,635.00,645.00,6875700
10-Oct-16,640.00,660.00,635.00,640.00,8768900
