Date,Open,High,Low,Close,Volume
29-Dec-17,316.00,316.00,306.00,306.00,10100
28-Dec-17,314.00,328.00,314.00,316.00,28100
27-Dec-17,312.00,314.00,298.00,314.00,38600
22-Dec-17,312.00,312.00,312.00,312.00,200
21-Dec-17,300.00,320.00,300.00,312.00,38900
20-Dec-17,330.00,330.00,310.00,310.00,39700
19-Dec-17,322.00,322.00,300.00,302.00,59800
18-Dec-17,316.00,322.00,316.00,322.00,200
15-Dec-17,298.00,318.00,298.00,316.00,242100
14-Dec-17,298.00,318.00,298.00,318.00,300
13-Dec-17,298.00,318.00,298.00,318.00,300
12-Dec-17,308.00,310.00,308.00,310.00,30000
11-Dec-17,308.00,308.00,308.00,308.00,9700
8-Dec-17,310.00,310.00,308.00,310.00,28600
7-Dec-17,310.00,310.00,310.00,310.00,68700
6-Dec-17,320.00,330.00,308.00,318.00,1800
5-Dec-17,310.00,330.00,310.00,320.00,14800
4-Dec-17,320.00,330.00,318.00,330.00,3700
30-Nov-17,252.00,332.00,252.00,332.00,14900
29-Nov-17,320.00,340.00,320.00,332.00,68600
28-Nov-17,324.00,324.00,318.00,320.00,47500
27-Nov-17,306.00,324.00,306.00,324.00,2200
24-Nov-17,312.00,324.00,306.00,324.00,10300
23-Nov-17,332.00,332.00,320.00,330.00,2200
22-Nov-17,330.00,338.00,330.00,334.00,1200
21-Nov-17,314.00,330.00,314.00,330.00,6600
20-Nov-17,326.00,326.00,314.00,320.00,145400
17-Nov-17,330.00,352.00,330.00,330.00,3193700
16-Nov-17,332.00,348.00,320.00,332.00,1196100
15-Nov-17,318.00,350.00,318.00,330.00,156300
14-Nov-17,322.00,324.00,318.00,318.00,123600
13-Nov-17,318.00,324.00,318.00,324.00,5900
10-Nov-17,318.00,332.00,318.00,318.00,139300
9-Nov-17,312.00,324.00,312.00,318.00,29600
8-Nov-17,312.00,312.00,310.00,312.00,181600
7-Nov-17,306.00,322.00,306.00,312.00,39900
6-Nov-17,310.00,310.00,306.00,306.00,15300
3-Nov-17,330.00,330.00,308.00,308.00,5100
2-Nov-17,322.00,322.00,314.00,318.00,82900
1-Nov-17,306.00,324.00,302.00,324.00,26900
31-Oct-17,-,-,-,316.00,0
30-Oct-17,318.00,318.00,316.00,316.00,12000
27-Oct-17,314.00,314.00,314.00,314.00,19000
26-Oct-17,320.00,330.00,312.00,330.00,5200
25-Oct-17,330.00,330.00,320.00,320.00,700
24-Oct-17,330.00,330.00,330.00,330.00,100
23-Oct-17,320.00,330.00,320.00,330.00,2100
20-Oct-17,-,-,-,320.00,0
19-Oct-17,346.00,346.00,310.00,320.00,25700
18-Oct-17,318.00,360.00,310.00,326.00,112700
17-Oct-17,304.00,314.00,304.00,314.00,21100
16-Oct-17,306.00,310.00,306.00,306.00,21700
13-Oct-17,318.00,318.00,310.00,310.00,155200
12-Oct-17,306.00,306.00,304.00,306.00,176100
11-Oct-17,312.00,336.00,306.00,306.00,15000
10-Oct-17,308.00,308.00,304.00,306.00,28300
9-Oct-17,308.00,316.00,306.00,308.00,8400
6-Oct-17,306.00,320.00,306.00,316.00,4900
5-Oct-17,326.00,326.00,304.00,310.00,3100
4-Oct-17,312.00,324.00,312.00,322.00,9000
3-Oct-17,306.00,310.00,306.00,308.00,50600
2-Oct-17,324.00,324.00,300.00,302.00,190200
29-Sep-17,308.00,326.00,308.00,316.00,33000
28-Sep-17,340.00,340.00,318.00,318.00,36400
27-Sep-17,332.00,336.00,312.00,330.00,50700
26-Sep-17,364.00,382.00,332.00,332.00,5667000
25-Sep-17,376.00,376.00,358.00,368.00,122100
22-Sep-17,360.00,362.00,360.00,362.00,118000
20-Sep-17,360.00,374.00,360.00,374.00,30200
19-Sep-17,378.00,380.00,366.00,376.00,38600
18-Sep-17,366.00,380.00,364.00,380.00,355600
15-Sep-17,344.00,380.00,342.00,380.00,184000
14-Sep-17,338.00,340.00,330.00,340.00,310500
13-Sep-17,340.00,340.00,306.00,330.00,456400
12-Sep-17,306.00,308.00,306.00,306.00,20100
11-Sep-17,318.00,318.00,310.00,310.00,900
8-Sep-17,306.00,320.00,306.00,320.00,4800
7-Sep-17,304.00,318.00,304.00,318.00,48000
6-Sep-17,304.00,312.00,304.00,312.00,7500
5-Sep-17,316.00,316.00,304.00,304.00,8000
4-Sep-17,306.00,306.00,306.00,306.00,19100
31-Aug-17,308.00,312.00,304.00,306.00,25800
30-Aug-17,310.00,310.00,306.00,306.00,40000
29-Aug-17,312.00,312.00,310.00,310.00,226700
28-Aug-17,314.00,314.00,314.00,314.00,35500
25-Aug-17,312.00,318.00,312.00,314.00,32800
24-Aug-17,312.00,314.00,310.00,312.00,43600
23-Aug-17,322.00,322.00,310.00,314.00,26900
22-Aug-17,318.00,326.00,310.00,320.00,121200
21-Aug-17,314.00,322.00,310.00,310.00,77300
18-Aug-17,316.00,324.00,314.00,314.00,35800
16-Aug-17,312.00,318.00,308.00,310.00,31000
15-Aug-17,326.00,326.00,326.00,326.00,200
14-Aug-17,326.00,326.00,324.00,324.00,1100
11-Aug-17,312.00,312.00,310.00,310.00,3500
10-Aug-17,320.00,324.00,308.00,322.00,69300
9-Aug-17,326.00,326.00,318.00,326.00,16700
8-Aug-17,312.00,324.00,310.00,320.00,7300
7-Aug-17,312.00,330.00,312.00,326.00,43500
4-Aug-17,316.00,324.00,316.00,316.00,3900
3-Aug-17,330.00,330.00,310.00,312.00,132400
2-Aug-17,316.00,326.00,316.00,320.00,350200
